,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
172,75,77,50,74,34,49,44,53,34,43,92,37,66,54,54,46,35,16,53,44,24088,0,22242,0,[]
173,61,74,46,67,22,50,46,52,34,43,91,52,56,45,52,47,44,15,52,42,24210,0,22405,0,[]
174,53,64,46,64,22,44,43,55,2,96,90,70,47,36,53,48,49,18,49,49,24365,0,22630,0,[]
175,59,73,37,63,21,38,45,53,14,89,86,77,48,26,52,47,45,16,49,48,24641,0,22858,0,[]
176,69,82,29,53,12,34,46,51,22,80,83,81,47,25,51,41,38,16,47,40,24726,0,23125,0,[]
177,81,85,19,47,10,24,55,54,30,70,83,84,40,23,57,40,35,16,40,30,24829,0,23259,0,[]
178,80,86,15,44,9,22,49,51,34,61,81,76,28,24,56,44,26,22,32,23,25112,0,23309,0,[]
179,73,89,20,44,9,25,50,49,32,50,78,72,20,28,58,44,18,16,22,25,25296,0,23474,0,[]
180,73,90,20,44,2,96,46,51,35,49,76,62,19,25,55,46,17,19,19,26,25466,0,23651,0,[]
181,70,91,4,93,4,93,35,48,30,51,79,74,20,27,56,44,10,19,18,24,25521,0,23748,0,[]
182,75,87,6,80,7,83,32,43,29,49,82,81,20,27,58,41,13,18,95,4,25571,0,23945,0,[]
183,79,86,8,69,8,71,40,51,40,50,83,84,93,8,56,44,17,13,82,9,25622,0,23996,0,[]
184,76,88,17,60,7,58,46,52,41,51,81,87,84,20,55,46,17,13,70,16,25699,0,24085,0,[]
185,79,87,21,52,7,45,50,49,47,50,86,77,73,29,60,49,95,4,59,25,25924,0,24145,0,[]
186,85,87,25,55,7,33,48,50,44,51,87,69,68,40,55,46,87,7,51,33,26190,0,24237,0,[]
187,81,87,29,50,11,30,43,48,33,47,91,79,72,42,58,42,73,10,56,33,26264,0,24332,0,[]
188,78,87,31,38,11,29,37,39,38,38,86,83,66,39,57,44,61,9,57,41,26333,0,24728,0,[]
189,77,89,35,29,13,19,41,37,40,38,84,84,54,32,51,42,48,9,55,32,26645,0,24832,0,[]
190,72,89,26,30,18,23,44,49,40,43,83,85,51,36,50,47,35,10,44,34,26698,0,24972,0,[]
191,72,90,29,21,21,27,45,52,38,39,78,76,46,34,52,46,29,9,43,32,26934,0,25271,0,[]
192,79,88,25,25,20,23,40,52,30,37,66,66,39,30,51,49,27,8,39,27,26992,0,25440,0,[]
193,84,82,27,33,16,16,45,53,37,40,64,53,28,22,50,45,27,18,29,23,27229,0,25520,0,[]
194,85,80,25,37,8,26,36,49,34,42,49,40,20,24,46,39,19,17,23,23,27344,0,25657,0,[]
195,90,74,23,44,15,37,39,50,45,44,35,37,31,32,41,34,24,14,28,35,27396,0,25848,0,[]
