,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
234,52,32,47,36,56,30,52,44,50,48,57,31,57,28,57,34,55,31,56,50,34577,2,33094,1,"['19:26 DMOTwila(符文法师) 击杀了 LNGAsura(虚空之女)', '19:29 LNGFlandre(血港鬼影) 击杀了 DMOTwila(符文法师)']"
235,49,34,52,33,56,30,49,39,55,31,57,34,49,32,55,32,55,31,56,50,34700,2,33144,1,['19:32 LNGFlandre(血港鬼影) 击杀了 DMOMark(正义巨像)']
236,49,34,56,34,56,30,51,34,55,31,56,35,55,31,56,33,55,31,56,50,35224,2,33874,1,['19:39 DMOGALA(战争女神) 击杀了 LNGSofM(巨魔之王)']
237,55,43,59,36,56,30,57,34,55,31,59,37,55,31,68,32,55,31,56,50,35780,3,33950,1,"['19:45 DMOChanghong(狂暴之心) 击破了防御塔', '19:43 LNGFlandre(血港鬼影) 击杀了 DMOXiaopeng(狂战士)']"
238,53,49,59,36,56,30,58,42,55,31,61,50,55,31,69,32,55,31,91,10,35893,3,34696,1,[]
239,51,43,59,36,56,30,52,43,55,31,50,49,55,31,62,36,55,31,81,19,36397,3,34835,1,['19:52 LNGFlandre(血港鬼影) 击杀了 DMOChanghong(狂暴之心)']
240,51,43,59,36,56,30,52,46,55,31,51,48,55,31,65,33,55,31,69,31,36450,3,34886,1,['19:56 DMOGALA(战争女神) 击杀了 LNGFlandre(血港鬼影)']
241,51,43,59,36,56,30,47,52,4,96,51,48,55,31,62,36,87,6,60,37,36505,3,35116,1,[]
242,51,43,59,36,7,91,47,52,19,84,51,48,55,31,63,35,73,14,57,41,36555,3,35166,1,[]
243,51,43,59,36,9,75,14,91,27,73,51,48,55,31,63,35,63,22,47,39,36606,3,35247,1,[]
244,51,43,2,96,9,62,28,83,35,64,51,48,83,15,91,5,50,22,41,33,36657,3,35298,1,[]
245,51,43,18,87,7,49,39,76,39,54,51,48,74,28,77,18,54,29,53,32,36728,3,35448,1,[]
246,51,43,30,81,6,40,46,71,32,45,51,48,66,40,67,28,58,38,64,39,36986,3,35502,1,[]
247,19,94,39,72,9,31,50,65,32,36,51,48,66,55,57,38,51,48,61,50,37162,3,35728,1,[]
248,33,92,39,62,8,25,48,59,32,46,73,10,65,69,52,50,53,47,62,51,37528,3,35778,1,[]
249,45,89,32,58,11,33,40,56,39,52,58,13,66,68,57,57,65,51,55,47,37579,3,35829,1,[]
250,55,83,31,50,17,43,40,54,40,53,47,22,66,69,64,64,71,40,59,36,37640,3,35880,1,[]
251,63,82,35,39,21,48,46,51,44,51,43,24,66,68,55,53,68,40,50,33,37964,3,36034,1,[]
252,57,84,36,41,24,39,43,48,42,45,42,26,66,69,57,42,58,43,41,33,38262,3,36290,1,[]
253,53,87,33,35,36,37,37,37,38,39,44,33,64,60,54,31,54,42,43,24,38463,3,36341,1,['21:2 LNG 击杀了水龙']
254,60,85,36,30,32,32,33,32,37,40,41,31,55,50,48,34,53,42,43,24,38564,3,36452,1,[]
255,70,90,34,40,32,41,32,45,31,45,39,26,56,40,54,41,57,41,89,7,38691,3,36502,1,[]
256,72,89,29,52,34,48,41,52,41,52,36,10,52,33,54,31,60,35,75,10,38763,3,36623,1,[]
257,74,87,25,56,46,51,50,50,49,50,36,7,48,34,49,35,61,39,65,19,39199,3,36717,1,[]
258,78,85,29,50,41,52,50,48,44,47,47,16,39,37,46,38,58,41,56,30,39283,3,36835,1,[]
259,82,82,39,51,41,52,48,53,45,52,51,30,42,43,44,39,57,40,45,38,39366,3,36953,1,[]
260,84,81,40,55,8,92,41,53,39,52,49,40,35,43,35,38,50,44,34,40,39557,3,37094,1,[]
261,84,81,33,59,13,91,43,55,39,53,56,48,41,40,24,29,51,44,25,33,39606,3,37177,1,[]
262,84,81,31,54,26,86,42,52,38,51,70,50,40,30,17,18,56,40,36,36,39661,3,37382,1,[]
263,5,78,34,48,36,77,48,52,36,48,84,51,48,19,29,22,59,39,50,34,39876,3,37433,1,[]
264,7,63,39,49,45,69,44,49,36,48,92,58,43,17,39,30,56,43,57,38,39958,3,37793,1,[]
265,10,51,32,44,57,69,42,52,5,92,92,65,44,16,43,38,53,42,53,42,40008,3,37944,1,[]
266,22,42,39,50,57,69,44,50,16,82,90,71,44,16,49,33,59,36,43,36,40090,3,38119,1,[]
267,23,39,43,47,65,78,48,48,25,73,88,74,44,16,54,32,59,36,42,32,40144,3,38282,1,[]
268,33,38,37,38,74,86,55,44,33,61,85,65,44,16,57,34,89,6,95,4,40374,3,38332,1,[]
269,34,38,41,32,74,86,50,46,43,53,75,54,80,11,60,39,78,15,86,7,40573,3,38383,1,[]
270,21,38,40,38,74,87,44,44,41,42,75,52,66,20,68,47,69,25,72,17,40624,3,38534,1,[]
271,12,34,36,41,81,86,37,41,35,36,81,56,56,30,68,44,62,32,60,26,40877,3,38676,1,[]
272,10,28,44,50,85,86,42,45,34,30,82,57,48,34,60,36,61,36,50,33,40987,3,38894,1,[]
273,11,24,47,54,78,79,43,51,30,39,82,56,45,39,49,34,57,44,45,37,41170,3,39046,1,[]
274,14,22,38,51,73,68,40,50,36,47,88,52,42,44,42,42,47,46,43,42,41221,3,39220,1,[]
275,20,25,39,53,63,61,47,53,46,52,92,55,46,38,42,36,42,39,45,36,41382,3,39402,1,[]
276,21,26,43,52,66,62,46,55,44,54,93,61,48,35,47,35,52,43,53,44,41446,3,39562,1,[]
277,27,16,44,57,75,71,43,56,41,54,90,72,41,31,40,28,53,46,52,45,41524,3,39676,1,[]
278,16,19,56,61,83,78,47,54,44,54,90,75,31,22,30,19,48,41,49,42,41693,3,39742,1,[]
279,13,21,68,63,87,71,49,59,43,53,93,65,37,23,23,12,59,37,42,32,41756,3,39914,1,[]
280,24,23,76,58,89,61,48,67,35,48,92,55,51,27,29,18,69,40,41,31,41930,3,39986,1,[]
281,25,35,77,54,90,58,48,57,37,48,93,53,61,37,38,27,68,40,55,32,42246,3,40056,1,[]
282,25,36,74,62,88,56,49,52,47,53,93,49,64,41,31,20,57,42,65,40,42420,3,40165,1,[]
283,23,37,66,63,84,65,42,58,49,58,91,55,72,43,20,14,56,41,67,47,42597,3,40339,1,[]
284,17,34,58,63,84,64,42,58,49,58,92,53,74,43,16,15,59,40,58,45,42652,3,40788,1,[]
285,15,34,58,75,84,64,11,91,3,96,91,54,78,48,22,12,54,42,52,44,42702,3,40938,1,[]
286,8,31,56,82,82,67,23,79,18,83,91,56,68,40,36,13,58,38,43,33,42899,3,41025,1,[]
287,10,33,57,82,80,76,34,68,28,73,92,56,56,33,31,11,55,42,42,32,43121,3,41169,1,[]
288,11,32,63,82,87,75,43,57,37,61,92,56,46,36,18,14,48,49,95,4,43341,3,41324,1,[]
289,19,35,72,75,84,78,39,55,39,58,92,11,46,39,15,18,56,40,79,14,43434,3,41424,1,[]
290,29,34,67,65,73,69,29,60,32,59,75,28,95,4,12,14,54,32,66,20,43585,3,41489,1,[]
291,33,32,62,57,62,61,40,57,39,58,66,41,84,8,12,13,52,32,55,30,43666,3,41541,1,[]
292,35,38,52,50,55,51,51,48,46,51,80,49,69,17,91,5,59,36,42,32,43913,3,41614,1,[]
293,42,35,48,40,53,42,51,43,49,49,89,51,58,28,73,14,63,35,48,24,43998,3,41723,1,[]
294,47,37,50,34,46,34,44,34,48,42,89,62,57,30,62,23,60,40,56,32,44050,3,41852,1,[]
295,49,33,54,31,51,32,49,34,52,36,88,76,58,26,61,25,64,36,63,36,44120,3,42145,1,[]
296,34,36,48,33,48,40,49,44,45,37,86,81,55,31,57,29,62,33,59,41,44172,3,42380,1,[]
297,21,38,41,41,48,52,47,51,43,41,81,79,48,27,51,27,63,32,57,42,44225,3,42463,1,[]
298,10,33,38,42,52,62,46,52,45,51,78,78,53,33,59,35,63,32,55,42,44326,3,42686,1,[]
299,9,35,43,49,60,72,47,50,49,50,78,71,47,33,57,42,82,12,53,42,44551,3,42767,1,[]
300,10,26,34,49,69,81,39,50,40,50,74,57,42,33,56,44,71,24,45,37,44644,3,42941,1,[]
301,10,21,23,50,75,88,39,54,40,51,58,47,44,47,51,45,61,34,42,44,44757,3,43034,1,[]
302,15,14,16,43,76,89,42,58,38,61,43,44,44,49,41,44,52,44,34,43,45000,3,43117,1,[]
303,8,18,15,44,73,90,38,63,37,62,56,54,43,51,43,48,46,50,35,49,45053,3,43199,1,[]
304,8,18,24,50,70,79,40,57,40,58,64,59,42,43,45,47,49,49,44,51,45103,3,43262,1,[]
305,16,21,31,52,68,78,46,54,39,58,74,50,41,30,41,38,58,41,48,41,45256,3,43310,1,[]
306,22,32,31,52,68,82,47,52,39,58,88,55,48,26,42,25,56,32,47,36,45397,3,43490,1,[]
307,32,44,13,91,75,78,51,62,7,94,93,66,55,32,46,15,56,32,47,36,45448,3,43599,1,[]
308,40,52,26,82,86,76,46,72,22,84,90,71,55,32,36,9,62,38,88,7,45643,3,43873,1,[]
309,51,62,37,75,88,77,51,65,32,80,87,65,62,37,36,9,70,41,78,23,45826,3,44049,1,[]
310,60,73,47,68,86,76,46,54,46,69,91,60,62,42,39,15,61,42,69,34,45898,3,44128,1,[]
311,71,77,53,61,75,74,47,53,57,65,89,62,59,49,49,20,59,46,62,42,45976,3,44269,1,[]
312,78,73,49,55,78,74,49,51,57,55,78,61,62,53,56,32,55,45,62,52,46132,3,44414,1,[]
313,78,73,61,58,83,79,59,56,63,60,79,64,66,47,59,41,58,42,66,48,46411,3,44659,1,[]
314,76,67,66,66,79,76,66,65,61,62,74,60,59,50,57,47,57,49,59,51,46461,3,44709,1,[]
315,71,68,65,70,70,68,71,69,67,68,66,55,60,59,56,56,55,56,53,56,46627,3,44820,1,[]
316,65,69,66,66,71,67,72,67,64,67,62,62,66,61,61,60,60,60,65,60,46678,3,44872,1,['26:18 DMO 击杀了土龙']
317,68,63,65,60,68,61,68,60,67,61,55,53,68,53,59,57,55,53,66,54,46731,3,44965,1,[]
318,73,62,59,59,60,63,59,62,58,62,55,58,56,49,51,52,48,49,55,50,46844,3,45150,1,[]
319,74,60,56,61,51,64,51,65,52,62,51,52,47,54,47,53,41,54,46,52,46945,3,45700,1,[]
320,72,63,48,65,41,69,39,67,41,66,40,58,39,44,44,50,36,49,34,49,47211,3,45751,2,['26:37 LNGAsura(虚空之女) 击破了防御塔']
321,72,63,44,67,39,63,33,61,39,59,46,55,28,36,43,48,33,43,21,50,47261,3,45804,2,[]
322,6,93,44,67,43,59,34,61,42,58,46,49,30,39,41,45,44,46,19,38,47310,3,45977,2,[]
323,18,76,9,84,34,65,36,65,32,63,55,57,28,36,32,37,43,37,29,37,47362,3,46074,2,[]
324,22,68,18,72,34,65,35,64,31,64,61,57,24,44,23,39,38,36,27,38,47412,3,46174,2,[]
325,17,57,18,59,37,61,42,56,40,59,73,49,25,38,22,39,42,40,34,39,47547,3,46325,2,[]
326,9,43,21,54,26,59,42,56,32,59,88,56,37,36,33,37,51,41,34,39,47824,3,46420,2,[]
327,7,40,31,60,30,63,38,59,33,49,90,64,49,35,41,32,51,47,82,10,47897,3,46653,2,[]
328,7,42,34,59,30,63,38,59,31,51,89,66,49,35,41,32,58,44,73,24,48049,3,46712,2,[]
329,5,45,38,55,7,95,45,53,2,96,78,78,87,6,85,7,58,44,59,33,48388,3,46762,2,[]
330,6,33,39,53,28,92,41,56,19,84,80,86,70,16,69,17,86,9,46,33,48439,3,46878,2,[]
331,9,23,38,61,41,92,39,58,28,72,78,88,57,28,59,27,73,23,42,33,48554,3,47084,2,[]
332,9,22,31,54,54,93,6,94,35,61,74,92,52,34,50,23,66,31,45,37,48696,3,47369,2,[]
333,10,31,34,47,67,92,20,82,45,54,72,93,49,35,43,15,66,39,51,45,48748,3,48069,2,[]
334,15,35,32,38,72,90,30,72,40,54,83,89,49,47,39,15,76,45,49,42,49016,3,48244,3,['27:47 LNG 击破了防御塔']
335,17,45,23,41,71,87,38,61,43,59,81,91,48,51,37,11,79,55,50,47,49153,3,48552,3,[]
336,22,50,24,51,79,85,40,57,40,57,84,89,48,53,37,11,84,63,48,52,49531,3,48855,3,[]
337,35,49,35,49,80,84,42,52,47,54,79,82,49,41,42,15,85,77,54,46,49583,3,48957,3,[]
338,38,50,45,56,85,88,51,56,56,55,85,88,47,38,32,11,82,86,62,51,49694,3,49632,3,['28:10 LNGAsura(虚空之女) 击杀了 DMOTwila(符文法师)']
339,82,91,56,59,85,88,58,60,64,63,88,81,48,51,26,9,76,89,66,49,50432,3,49816,3,[]
340,73,87,53,56,85,88,56,57,58,57,85,64,44,47,19,15,76,91,62,38,50519,3,49867,3,['28:16 DMOChanghong(狂暴之心) 击杀了 LNGAsura(虚空之女)']
341,62,74,52,47,85,88,55,48,54,47,83,57,47,36,11,26,76,91,55,32,50854,3,49918,3,[]
342,57,68,62,41,85,88,60,40,58,38,82,56,59,27,10,25,76,91,55,32,50905,3,50078,3,[]
343,63,76,63,33,85,88,62,35,63,33,80,41,69,28,7,25,76,91,66,25,51507,3,50248,3,[]
344,63,76,52,33,85,88,52,33,53,32,67,32,65,34,8,23,76,91,68,31,51559,4,50515,3,['28:36 DMOXiaopeng(狂战士) 击破了防御塔']
345,8,83,46,37,85,88,43,37,43,34,63,34,57,33,8,23,76,91,63,35,51661,4,50686,3,[]
346,11,68,39,28,85,88,37,39,41,41,58,39,50,34,78,12,76,91,54,32,51712,4,50736,3,[]
347,7,54,32,36,85,88,34,39,34,38,51,50,43,35,65,21,76,91,45,38,51941,4,50879,3,[]
348,17,49,33,31,2,96,32,35,32,35,46,52,42,33,55,30,76,91,40,31,51991,4,51062,3,[]
349,26,37,32,31,2,96,30,34,31,35,39,43,35,39,42,34,76,91,40,38,52047,4,51143,3,[]
350,30,32,31,34,29,33,29,35,33,32,36,37,34,39,38,38,82,10,34,40,52195,4,51193,3,[]
351,29,35,29,37,33,39,32,36,34,42,41,41,40,40,41,38,68,18,36,38,52658,4,51244,3,[]
352,31,41,31,44,36,37,33,42,35,42,44,44,43,39,46,38,58,27,40,36,52711,4,51297,3,['29:17 DMOTwila(符文法师) 击杀了 LNGDuan(深海泰坦)']
353,31,56,23,48,31,38,30,54,32,44,40,51,40,33,45,46,46,34,40,36,52901,4,51349,3,[]
354,37,61,23,48,20,37,34,64,2,96,42,46,40,33,43,45,50,46,40,36,53036,4,51400,3,[]
355,39,59,3,95,12,35,31,67,13,89,42,46,90,6,94,4,50,50,40,36,53206,4,51450,3,[]
356,37,63,14,81,7,35,2,96,25,77,91,16,72,15,75,13,46,52,40,36,53363,4,51661,3,[]
357,44,67,25,72,6,33,18,85,34,68,92,38,60,25,63,22,51,46,40,36,53616,4,51728,3,[]
358,41,59,32,62,15,35,28,74,38,58,91,53,47,33,50,18,54,45,40,36,53668,4,51885,3,[]
359,50,49,25,58,25,36,37,64,48,52,91,59,41,39,36,13,55,44,40,36,53887,4,51950,3,[]
360,50,48,26,58,23,25,46,53,51,47,88,69,49,35,29,10,59,38,82,11,54162,4,52133,3,[]
361,40,51,38,56,18,16,42,53,43,45,85,79,58,35,41,8,59,40,67,19,54409,4,52449,3,[]
362,41,51,32,46,15,17,32,45,34,42,86,82,55,47,47,16,56,43,56,29,54459,4,52665,3,[]
363,4,92,37,41,17,23,34,43,34,39,84,84,53,42,37,9,53,41,52,34,54512,4,52780,3,[]
364,17,77,38,43,28,21,37,49,39,44,84,84,49,42,44,9,53,42,58,40,54563,4,52913,3,[]
365,28,67,32,35,29,17,47,52,45,45,81,12,46,35,47,16,49,34,53,44,54900,4,53075,3,[]
366,37,65,41,39,24,12,46,52,44,49,67,29,48,34,53,29,58,34,58,38,55030,4,53231,3,[]
367,47,75,42,45,18,17,51,63,44,49,53,33,43,34,51,30,58,40,56,41,55198,4,53506,3,[]
368,54,88,32,45,17,18,46,73,6,95,47,36,48,34,47,17,53,29,58,42,55261,4,53663,3,[]
369,62,90,40,54,17,18,47,74,20,81,48,41,41,39,46,14,54,31,52,44,55520,4,53819,3,[]
370,55,89,50,61,16,88,39,63,30,70,38,37,32,33,49,10,54,31,40,44,55661,4,53961,3,[]
371,58,83,56,57,26,76,47,53,39,61,44,38,33,35,46,10,91,5,35,38,55897,4,54032,3,[]
372,70,80,65,57,35,67,48,54,45,56,54,44,35,38,48,10,79,21,35,38,56040,4,54148,3,[]
373,83,80,65,57,44,58,48,55,40,55,53,44,35,38,49,19,70,33,88,14,56266,4,54339,3,[]
374,80,76,59,56,49,50,47,49,45,49,62,41,85,18,57,33,71,39,74,28,56321,4,54491,3,[]
375,70,68,56,53,52,49,50,50,51,49,65,50,73,30,67,43,61,38,65,39,56373,4,54543,3,[]
376,58,58,46,46,49,46,50,46,42,42,59,50,59,41,60,44,58,40,58,44,56457,4,54654,3,[]
377,52,60,41,43,41,45,40,44,43,43,49,49,50,49,52,50,52,46,50,50,56528,4,54790,3,[]
378,52,60,46,48,50,52,46,45,50,48,56,44,58,47,57,47,57,45,55,44,56838,4,54843,3,[]
379,50,59,52,53,54,55,49,54,49,54,60,49,52,46,55,44,54,45,59,49,56889,4,54922,3,[]
380,52,61,56,57,53,57,47,56,47,53,66,56,51,48,57,49,54,46,58,50,56939,4,54973,3,[]
381,52,60,59,58,57,59,49,58,47,58,66,56,54,50,65,53,54,49,52,52,57112,4,55024,3,[]
382,49,58,56,56,49,57,49,54,49,54,62,62,56,49,65,57,56,46,52,47,57270,4,55075,3,[]
383,50,48,53,50,50,49,51,47,52,47,66,54,59,45,66,49,60,42,60,43,57560,4,55128,3,[]
384,51,45,48,49,50,47,50,47,51,44,62,50,59,42,62,40,60,39,60,40,57611,4,55507,3,[]
385,42,45,38,41,44,44,43,42,46,42,69,61,54,45,57,44,58,46,55,46,57662,4,55677,3,[]
386,38,43,37,40,38,41,39,39,42,40,65,62,50,51,61,51,51,49,53,50,57715,4,55854,3,[]
387,32,37,33,32,31,34,30,34,33,38,51,52,38,42,48,46,41,44,42,42,57827,4,55905,3,[]
388,31,32,30,33,29,36,29,32,32,32,40,51,34,38,36,41,38,39,38,38,57880,4,55989,3,[]
389,25,37,25,37,23,43,23,42,24,39,32,50,40,44,42,45,45,48,32,47,57928,4,56310,3,[]
390,23,41,21,48,18,53,18,54,24,41,32,54,42,45,42,53,48,50,37,50,57980,4,56365,3,[]
391,23,40,25,56,19,63,23,65,24,39,37,58,52,55,50,55,58,59,37,51,58133,4,56426,3,[]
392,24,38,19,51,18,51,18,56,24,37,44,50,51,53,50,55,67,66,95,4,58183,4,56476,3,[]
393,31,34,32,32,30,33,31,33,32,32,35,39,40,42,84,8,67,64,77,12,58235,4,56550,3,[]
394,30,30,33,31,30,32,30,32,33,36,35,39,37,36,80,10,56,56,63,22,59808,4,56612,3,[]
395,34,39,32,37,33,40,31,38,37,39,40,43,39,38,34,47,45,48,52,32,59876,4,56662,3,['32:51 DMO 击杀了大龙']
396,34,33,25,37,33,39,26,36,28,36,36,39,35,40,31,45,34,42,39,37,59926,4,56713,3,[]
397,34,36,30,39,30,35,29,34,32,38,40,37,34,42,32,44,38,39,35,36,60313,4,56764,3,[]
398,37,37,32,42,28,38,32,36,32,42,41,39,36,41,32,39,39,40,35,36,60814,4,57511,3,['33:6 DMOGALA(战争女神) 击杀了 LNGDuan(深海泰坦)']
399,37,37,32,46,29,36,27,37,32,39,33,42,33,43,32,39,36,39,35,36,60887,4,58053,3,"['33:11 LNGFlandre(血港鬼影) 击杀了 DMOChanghong(狂暴之心)', '33:13 DMOTwila(符文法师) 击杀了 LNGPlex(万花通灵)']"
400,37,37,33,48,22,29,30,39,32,45,29,39,31,40,32,39,28,38,35,36,60939,4,58103,3,['33:18 LNGAsura(虚空之女) 击杀了 DMOMark(正义巨像)']
401,37,37,40,57,20,27,29,39,32,45,18,44,31,39,32,39,29,36,35,36,61018,4,59346,3,[]
402,37,37,39,63,8,93,29,38,32,45,11,28,39,44,32,39,35,39,35,36,61068,4,59398,3,['33:26 LNGAsura(虚空之女) 击杀了 DMOGALA(战争女神)']
403,37,37,45,68,21,80,29,38,32,45,19,16,48,52,32,39,45,48,35,36,61232,4,59512,3,[]
404,37,37,44,67,30,71,29,38,32,45,28,9,61,59,32,39,56,55,35,36,61285,4,59647,3,[]
405,37,37,2,96,39,62,29,38,32,45,25,10,66,66,32,39,65,64,35,36,61335,4,59788,3,[]
406,37,37,2,96,39,52,29,38,32,45,12,19,66,69,32,39,68,67,86,10,61387,4,59941,3,[]
407,37,37,14,89,27,50,29,38,32,45,8,18,74,63,32,39,75,62,76,25,61438,4,60022,3,['33:52 LNG 击杀了火龙']
408,37,37,25,76,18,46,29,38,32,45,8,18,74,59,32,39,87,63,67,37,61575,4,60213,3,[]
409,37,37,33,65,14,36,29,38,2,96,78,16,74,59,32,39,88,56,66,46,61718,4,60264,3,[]
410,6,96,36,57,9,29,29,38,14,89,62,25,84,14,88,8,88,56,66,51,61943,4,60314,3,[]
411,29,93,43,53,10,22,29,38,26,76,48,25,73,27,73,21,90,6,66,49,61994,4,60367,3,[]
412,42,90,42,54,20,23,29,38,34,64,30,22,64,34,66,33,75,19,54,50,62044,4,60593,3,[]
413,52,88,45,53,25,25,12,82,45,55,38,15,54,44,66,41,65,30,56,44,62235,4,60659,3,[]
414,58,83,47,50,30,34,25,71,39,50,39,14,56,46,74,49,58,41,56,45,62299,4,60815,3,[]
415,65,82,47,49,39,43,36,62,33,43,44,15,55,48,79,52,57,44,57,43,62436,4,60999,3,[]
416,72,76,50,49,47,52,47,53,42,44,45,15,54,47,68,48,56,43,57,41,62504,4,61155,3,[]
417,80,76,57,44,55,48,54,47,53,46,37,9,60,36,64,36,63,36,56,33,62585,4,61274,3,[]
418,86,74,59,47,60,43,58,43,63,50,32,8,53,34,68,33,67,35,57,29,62898,4,61512,3,[]
419,91,66,70,49,59,46,60,49,73,48,44,12,54,32,65,35,63,34,64,31,63035,4,61715,3,[]
420,92,65,73,44,58,45,73,48,79,49,57,22,65,36,67,33,76,33,77,33,63281,4,61767,3,[]
421,89,58,78,52,59,45,87,53,84,52,73,29,69,34,67,32,75,34,81,32,63419,4,61876,3,[]
422,88,49,81,50,62,42,90,48,89,47,80,32,69,35,71,32,86,34,81,32,64021,4,61956,3,[]
423,89,45,81,48,61,50,91,41,88,48,73,40,65,37,67,32,87,36,85,18,64253,5,62238,3,['35:12 DMOGALA(战争女神) 击破了防御塔']
424,91,37,78,47,61,50,92,38,91,40,72,39,71,41,78,33,86,31,81,34,64320,5,62352,3,[]
425,90,39,78,48,68,50,93,41,91,43,77,34,73,34,88,32,91,31,88,33,64371,5,62556,3,[]
426,89,52,78,51,64,50,91,54,93,53,88,42,80,42,89,39,91,39,87,41,64437,5,62638,3,[]
427,88,60,74,62,54,50,83,65,87,62,93,53,78,47,80,39,78,35,81,42,64649,5,62734,3,[]
428,84,64,66,54,51,44,77,62,87,73,92,52,68,41,76,35,65,36,80,42,64699,5,62911,3,[]
429,84,64,57,45,45,36,66,63,87,73,91,54,58,34,63,37,59,37,70,34,64752,5,63117,3,[]
430,83,65,51,48,34,38,53,66,87,70,91,58,48,26,54,30,52,28,56,32,64951,5,63357,3,[]
431,84,66,52,47,34,42,45,72,85,77,81,51,54,31,60,39,55,32,54,32,65145,5,63439,3,[]
432,84,66,52,47,7,93,50,66,88,84,73,42,54,31,62,35,60,35,54,32,65299,5,63491,3,[]
433,4,94,49,51,19,79,38,64,88,84,55,31,87,8,61,36,60,37,90,6,65350,5,63737,3,[]
434,19,77,42,55,28,69,27,60,7,86,46,16,73,23,62,35,59,35,76,20,65503,5,63789,3,[]
435,31,70,8,93,33,61,30,60,19,75,33,10,64,35,62,36,58,33,66,32,65553,5,63889,3,[]
436,43,67,23,80,37,62,30,60,32,65,26,10,53,46,55,43,54,43,56,42,65714,5,64061,3,[]
437,44,67,31,69,30,60,12,91,38,58,39,14,46,50,48,49,47,49,52,50,65765,5,64307,3,[]
438,44,67,35,63,35,64,24,78,36,63,51,25,37,50,44,51,41,51,40,52,65906,5,64374,3,[]
439,17,85,32,65,37,66,34,68,36,65,41,32,32,59,33,49,31,53,27,51,66140,5,64427,3,[]
440,29,74,31,67,39,64,36,66,31,68,34,39,32,59,32,53,33,49,26,60,66190,5,64476,3,[]
441,33,66,34,62,37,63,40,62,36,61,31,41,34,47,36,49,35,47,31,51,66362,5,64527,3,[]
442,38,61,36,59,38,61,41,59,42,60,33,44,38,42,38,41,37,43,38,43,66412,5,64580,3,[]
443,45,56,44,54,50,59,47,55,45,57,41,46,47,48,49,47,48,47,51,48,66519,5,64784,3,[]
444,44,57,43,55,50,59,47,57,47,55,52,49,43,51,45,50,49,47,51,51,66604,5,64878,3,[]
445,40,60,41,56,44,58,40,60,44,58,51,54,46,50,47,48,52,50,50,51,66656,5,64989,3,[]
446,35,63,35,61,37,63,36,65,40,59,43,57,40,57,40,56,44,58,40,60,67228,5,65530,3,[]
447,45,57,41,60,39,59,38,61,40,57,46,58,45,53,40,51,48,59,41,60,67279,5,65583,3,"['37:11 DMOMark(正义巨像) 击杀了 LNGDuan(深海泰坦)', '37:12 LNGSofM(巨魔之王) 击杀了 DMOMark(正义巨像)']"
448,37,61,37,61,36,58,35,62,40,57,44,57,42,56,43,53,46,57,41,60,67332,5,65740,3,[]
449,32,65,34,65,35,65,34,66,40,57,40,58,39,58,42,55,41,60,41,60,67383,5,65969,3,[]
450,30,68,27,66,29,69,29,70,40,57,30,60,35,60,38,60,38,61,41,60,67456,5,66571,3,[]
451,24,74,23,71,26,76,26,73,40,57,35,65,29,64,32,62,36,63,41,60,67667,5,66622,4,['37:32 LNGAsura(虚空之女) 击破了防御塔']
452,25,75,24,73,28,73,25,75,40,57,48,67,42,57,46,56,49,60,41,60,67731,5,66690,4,[]
453,25,75,23,73,19,71,25,76,40,57,59,70,53,56,54,53,49,60,41,60,67784,5,66771,4,[]
454,4,96,2,96,18,58,5,95,40,57,75,63,55,56,50,40,91,6,41,60,67836,5,66851,4,[]
455,27,92,17,81,20,49,20,81,40,57,88,68,55,56,51,32,76,20,41,60,67988,5,67138,4,[]
456,40,88,27,70,19,48,30,70,2,96,91,71,84,13,48,18,68,32,80,17,68122,5,67198,4,[]
457,49,83,38,62,17,49,38,60,19,82,91,71,70,27,46,16,72,40,69,29,68255,5,67443,4,[]
458,50,83,47,53,2,96,42,57,30,70,86,10,61,38,47,16,60,40,58,38,68328,5,67523,4,[]
459,44,79,45,53,18,84,42,57,34,60,67,31,55,51,50,18,52,47,49,44,68392,5,67631,4,[]
460,43,68,44,56,28,73,38,56,31,54,57,43,56,55,54,29,53,48,41,37,68444,5,67769,4,[]
461,33,60,42,55,36,63,37,58,31,51,42,45,45,49,56,39,48,49,43,44,68498,5,68002,4,[]
462,41,58,40,55,41,59,40,57,38,58,43,48,46,54,48,49,46,50,44,47,68744,5,68073,4,[]
463,41,58,46,54,44,57,43,59,43,57,55,57,54,52,55,49,55,50,57,49,68795,5,68125,4,[]
464,40,59,42,54,41,58,42,58,45,58,54,58,49,50,53,52,51,53,54,53,68850,5,68207,4,[]
465,45,65,40,59,39,62,38,60,40,60,54,58,45,52,48,52,48,52,51,56,68902,5,68261,4,[]
466,47,62,42,59,41,58,42,58,41,59,53,58,49,52,49,52,51,52,52,56,68983,5,68334,4,[]
467,47,62,48,59,42,59,40,59,40,59,53,58,49,53,47,50,50,52,50,53,69036,5,68499,4,[]
468,47,63,44,57,40,54,42,53,43,55,54,51,49,49,47,49,52,53,49,55,69214,5,68667,4,[]
469,36,62,39,53,43,53,39,52,43,54,62,62,59,58,56,54,60,58,57,59,69446,5,68718,4,[]
470,31,50,32,44,41,45,32,41,43,44,66,70,66,69,65,64,67,66,66,67,69653,5,68770,4,[]
