,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,WEClever9, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
78,7,29,50,62,47,50,76,86,46,58,9,24,78,56,53,49,85,78,69,67,0,0,0,0,[]
79,7,31,55,67,47,49,78,87,54,65,10,22,81,55,54,49,83,83,78,74,0,0,0,0,[]
80,6,32,63,63,49,47,83,89,62,61,9,24,81,55,55,47,83,82,82,81,0,0,0,0,[]
81,2,96,65,63,52,52,79,87,68,65,12,21,77,55,56,45,83,83,86,83,0,0,0,0,[]
82,12,21,69,50,61,57,80,86,75,69,14,17,76,56,58,44,83,83,82,80,0,0,0,0,[]
83,10,20,73,50,67,60,80,85,79,76,17,13,79,55,52,42,88,81,86,79,0,0,0,0,[]
84,17,21,63,58,57,55,85,84,82,80,27,17,83,65,51,46,88,79,88,79,0,0,0,0,[]
85,20,13,50,65,49,51,88,84,86,81,24,14,78,64,51,45,88,75,91,79,0,0,0,0,[]
86,17,16,48,67,49,52,86,84,85,83,21,12,68,65,52,46,87,78,89,78,0,0,0,0,[]
87,17,13,49,66,50,46,86,84,81,82,23,11,66,65,52,45,87,77,85,77,0,0,0,0,[]
88,19,12,55,61,47,51,83,82,78,80,25,11,64,57,55,46,87,80,86,78,0,0,0,0,[]
89,22,21,57,56,51,47,80,84,78,78,27,9,71,49,58,42,86,80,86,79,0,0,0,0,[]
90,19,22,65,64,52,46,81,80,76,69,26,8,70,48,57,43,88,84,88,78,0,0,0,0,[]
91,17,14,65,58,52,47,81,81,73,64,23,10,66,45,57,44,87,85,88,81,0,0,0,0,[]
92,14,17,72,50,54,53,79,83,76,55,17,13,60,36,56,43,86,82,85,83,0,0,0,0,[]
93,16,13,75,50,64,57,79,85,76,57,20,12,54,31,57,43,87,83,86,80,0,0,0,0,[]
94,18,12,75,56,59,56,81,82,75,61,25,11,55,31,56,41,89,77,88,78,0,0,0,0,[]
95,21,14,74,58,53,49,86,79,79,73,27,10,52,32,56,41,91,72,92,73,0,0,0,0,[]
96,16,16,73,62,52,48,88,77,86,77,26,10,52,28,90,6,92,71,92,75,0,0,0,0,[]
97,16,19,66,67,51,51,84,81,83,80,28,10,52,28,81,18,88,77,89,76,0,0,0,0,[]
98,16,13,61,63,46,55,81,85,81,84,23,11,51,27,67,35,85,83,86,82,0,0,0,0,[]
99,14,14,57,73,42,59,80,84,80,85,18,12,52,27,60,43,86,83,85,80,0,0,0,0,[]
100,18,13,51,75,3,96,79,85,80,87,24,10,47,17,54,48,84,83,83,80,0,0,0,0,[]
101,20,23,51,75,11,91,78,87,80,87,28,8,43,15,58,58,84,83,79,78,0,0,0,0,[]
102,23,34,51,76,19,83,72,90,72,91,26,9,42,16,66,65,79,88,76,87,0,0,0,0,[]
103,29,35,51,76,28,73,74,88,76,90,28,8,41,15,56,62,82,86,80,83,0,0,0,0,[]
104,29,38,4,93,34,64,73,85,74,87,28,8,44,15,48,55,84,85,83,83,0,0,0,0,[]
105,25,33,10,81,42,56,78,85,79,87,89,5,44,15,50,52,85,84,82,80,0,0,0,0,[]
106,19,23,16,69,44,53,76,87,76,89,80,6,94,7,51,52,83,86,84,85,0,0,0,0,[]
107,16,15,18,57,41,56,71,90,71,91,69,7,90,14,46,55,77,89,76,90,0,0,0,0,[]
108,15,15,16,44,42,55,69,90,71,93,55,9,83,27,49,52,75,90,78,90,0,0,0,0,[]
109,20,12,16,44,41,56,72,93,77,90,44,10,81,39,50,52,78,88,80,87,0,0,0,0,[]
110,22,11,20,46,40,55,78,89,79,86,33,11,79,51,60,50,84,83,83,83,0,0,0,0,[]
111,16,10,22,48,48,59,77,86,76,89,29,8,77,52,66,50,84,85,83,86,0,0,0,0,[]
112,16,10,22,48,54,64,75,87,73,85,26,9,75,49,66,47,83,85,83,88,0,0,0,0,[]
113,3,94,24,57,58,61,74,88,69,79,27,9,77,44,62,42,83,84,80,87,0,0,0,0,[]
114,5,85,26,59,54,58,71,85,69,79,17,16,77,45,58,44,83,80,84,86,0,0,0,0,[]
115,6,72,33,60,50,52,74,86,5,95,11,21,80,53,56,45,84,84,85,82,0,0,0,0,[]
116,7,60,45,58,53,54,74,86,18,89,10,21,80,55,55,45,83,87,83,84,0,0,0,0,[]
117,7,47,56,61,61,61,76,87,27,82,18,23,77,56,58,43,83,83,81,80,0,0,0,0,[]
118,7,35,64,57,64,64,75,89,36,77,20,24,71,64,59,42,86,77,77,73,0,0,0,0,[]
119,7,27,59,57,55,54,69,90,46,70,26,17,75,61,58,42,86,77,78,73,0,0,0,0,[]
120,16,22,62,62,53,49,73,88,55,64,17,13,78,51,56,44,95,4,78,73,0,0,0,0,[]
121,21,28,66,67,49,50,78,84,67,65,21,12,68,48,53,45,95,4,94,10,0,0,0,0,[]
122,20,24,74,69,53,53,80,83,64,57,20,12,66,52,56,44,90,80,90,20,0,0,0,0,[]
123,13,21,78,75,61,59,82,81,66,59,16,16,73,49,61,42,88,78,83,29,0,0,0,0,[]
124,14,18,73,70,55,53,81,82,75,62,18,13,77,53,57,45,88,77,80,40,0,0,0,0,[]
125,15,11,66,56,50,50,77,79,73,64,19,12,76,59,55,45,88,78,78,50,0,0,0,0,[]
126,17,14,67,55,53,51,73,74,73,63,25,11,77,54,56,45,88,79,80,56,0,0,0,0,[]
127,20,12,63,64,55,55,72,84,76,72,26,11,70,48,54,44,86,80,86,65,0,0,0,0,[]
128,21,10,50,65,56,55,80,83,79,81,27,11,66,50,57,43,87,83,87,76,0,0,0,0,[]
129,22,13,48,66,55,56,79,88,77,87,26,10,66,56,59,47,84,82,84,82,0,0,0,0,[]
130,26,13,49,65,57,56,75,89,76,88,27,10,67,65,59,48,79,82,78,75,0,0,0,0,[]
131,26,16,58,68,53,51,75,88,77,88,28,12,70,68,59,46,79,82,73,75,0,0,0,0,[]
132,20,15,57,57,52,49,63,88,69,82,28,11,68,62,58,45,78,88,76,73,0,0,0,0,[]
133,21,14,60,56,55,53,63,88,61,74,24,11,66,56,57,45,70,85,77,84,0,0,0,0,[]
134,20,15,66,55,63,57,3,96,57,64,23,11,61,51,59,44,74,87,73,85,0,0,0,0,[]
135,20,19,65,56,63,58,3,96,66,62,25,10,61,50,59,42,73,91,72,92,0,0,0,0,[]
136,26,30,68,61,66,64,3,96,70,65,27,9,58,45,59,42,81,87,79,87,0,0,0,0,[]
137,28,31,62,61,65,65,71,88,76,62,26,11,58,34,95,4,88,77,86,79,0,0,0,0,[]
138,22,27,67,65,64,63,68,81,72,66,22,12,52,34,94,4,88,85,85,78,0,0,0,0,[]
139,18,23,67,65,57,58,74,76,76,74,21,12,51,33,52,47,82,79,81,78,0,0,0,0,[]
140,14,16,67,66,48,55,78,81,78,81,19,13,43,36,49,48,86,83,82,79,0,0,0,0,[]
141,14,15,67,65,47,55,79,88,78,86,19,15,33,35,46,50,83,83,83,81,0,0,0,0,[]
142,13,19,57,68,45,57,77,90,76,88,14,18,30,33,43,45,81,86,82,85,0,0,0,0,[]
143,13,14,49,59,46,54,76,89,76,88,16,15,23,28,51,47,83,86,82,85,0,0,0,0,[]
144,8,23,39,53,47,52,75,88,76,90,16,17,21,20,53,50,84,86,82,85,0,0,0,0,[]
145,14,18,33,44,46,51,77,88,78,88,19,11,39,16,52,50,85,85,84,84,0,0,0,0,[]
146,15,16,33,36,40,50,78,87,81,91,19,11,40,16,49,43,83,83,84,88,0,0,0,0,[]
147,18,13,23,43,40,50,77,86,77,88,23,11,36,16,50,45,83,84,82,90,0,0,0,0,[]
148,19,18,16,44,5,94,73,90,75,90,28,9,38,14,51,48,82,85,81,91,0,0,0,0,[]
149,20,14,15,44,16,84,67,91,70,94,26,8,32,17,49,51,75,89,73,90,0,0,0,0,[]
150,18,19,19,44,24,77,69,91,71,93,26,14,28,21,49,50,75,87,75,88,0,0,0,0,[]
