,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
79,7,66,16,44,45,55,81,77,75,64,49,7,42,16,48,48,91,74,91,74,0,0,0,0,[]
80,8,53,17,45,44,55,83,78,79,66,36,8,45,15,49,48,89,74,89,74,0,0,0,0,[]
81,9,40,18,47,43,56,85,80,83,78,24,11,49,21,48,48,89,76,89,76,0,0,0,0,[]
82,11,27,25,56,40,55,86,78,89,78,22,10,51,31,49,43,91,73,91,73,0,0,0,0,[]
83,16,16,21,51,36,49,89,80,87,78,22,12,52,36,49,43,91,73,92,73,0,0,0,0,[]
84,12,20,24,47,27,51,89,82,86,80,19,12,54,32,92,7,90,75,92,76,0,0,0,0,[]
85,10,21,24,46,28,50,88,82,87,83,19,14,47,28,80,20,91,75,92,77,0,0,0,0,[]
86,12,19,23,41,35,49,85,84,87,85,15,11,48,28,72,28,88,76,90,79,0,0,0,0,[]
87,11,20,21,29,46,51,85,83,86,85,17,13,46,24,63,36,89,80,90,81,0,0,0,0,[]
88,11,19,19,24,47,50,89,81,89,83,18,17,50,26,55,45,89,78,91,79,0,0,0,0,[]
89,19,14,20,15,45,57,86,85,86,87,19,17,59,34,53,50,87,83,87,83,0,0,0,0,[]
90,25,22,23,22,44,55,85,84,90,80,28,22,68,40,52,48,90,76,90,77,0,0,0,0,[]
91,38,23,34,23,44,53,89,78,88,83,40,24,72,43,51,51,89,75,91,72,0,0,0,0,['7:33 SNSmlz(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË DMOGALA(Õ½ÕùÅ®Éñ)']
92,28,17,43,15,46,56,89,80,86,81,44,11,76,45,51,49,89,75,91,71,0,0,0,0,[]
93,17,15,33,17,43,54,89,79,84,81,43,9,76,56,54,55,89,75,85,66,0,0,0,0,[]
94,25,14,31,18,45,51,83,87,77,88,41,8,73,63,56,58,93,9,73,63,0,0,0,0,[]
95,34,11,2,96,43,57,81,90,73,92,47,6,62,63,57,63,93,20,80,65,0,0,0,0,[]
96,44,10,16,90,39,64,81,90,73,92,55,6,52,66,53,56,93,31,90,69,0,0,0,0,[]
97,42,10,27,85,46,67,5,96,7,96,55,6,52,64,46,57,92,42,92,72,0,0,0,0,[]
98,47,16,36,77,39,63,13,95,17,95,88,5,58,63,47,51,91,53,91,71,0,0,0,0,[]
99,46,16,50,75,41,56,24,94,29,93,77,6,69,62,49,52,90,64,86,66,0,0,0,0,[]
100,37,14,48,73,39,55,35,93,39,88,64,6,77,56,48,55,90,74,79,64,0,0,0,0,[]
101,37,13,48,74,42,54,46,92,46,79,51,7,81,56,50,54,88,74,87,67,0,0,0,0,[]
102,36,15,51,75,44,57,57,92,56,75,39,9,82,55,51,50,88,74,89,72,0,0,0,0,[]
103,34,17,61,73,44,55,68,89,57,64,32,11,76,53,50,53,87,75,88,69,0,0,0,0,[]
104,26,22,58,60,48,54,79,84,58,69,28,11,74,53,50,48,87,77,87,75,0,0,0,0,[]
105,21,14,51,65,45,54,81,85,65,78,23,10,73,54,51,48,85,78,85,78,0,0,0,0,[]
106,21,13,46,64,48,50,83,86,75,88,26,9,73,53,60,51,85,78,84,78,0,0,0,0,[]
107,23,13,46,63,52,46,79,87,76,88,25,9,74,57,68,49,86,80,86,80,0,0,0,0,[]
108,20,11,51,62,47,46,80,84,81,86,26,9,72,65,53,49,87,81,87,78,0,0,0,0,[]
109,21,9,42,54,45,43,77,87,76,89,25,9,69,63,53,46,83,83,83,79,0,0,0,0,[]
110,16,12,35,48,43,41,80,88,74,88,26,13,65,60,54,45,83,83,83,83,0,0,0,0,[]
111,19,11,34,39,41,31,82,88,74,87,30,11,64,52,51,43,85,82,85,82,0,0,0,0,[]
112,21,11,30,33,42,32,78,89,76,90,34,9,55,44,45,37,81,80,81,80,0,0,0,0,[]
113,30,20,45,35,40,30,74,87,73,86,28,9,51,41,48,34,74,71,74,70,0,0,0,0,[]
114,26,24,36,37,38,39,78,86,77,89,28,9,57,38,47,36,69,61,66,63,0,0,0,0,[]
115,15,18,26,37,34,47,79,84,81,86,39,15,54,32,50,47,74,63,70,65,0,0,0,0,[]
116,19,14,21,43,41,54,84,88,74,86,39,15,49,35,51,49,83,66,74,61,0,0,0,0,[]
117,19,14,24,32,42,54,84,85,74,87,36,14,47,38,44,54,87,73,73,63,0,0,0,0,[]
118,24,13,27,20,42,54,80,83,70,82,29,8,47,38,47,50,87,77,74,66,0,0,0,0,[]
119,28,9,29,8,45,52,79,75,74,76,29,8,40,29,51,45,89,74,80,66,0,0,0,0,['9:55 SNWeiwei(ÁÝ¶¬Ö®Å­) »÷É±ÁË DMOChanghong(»úÐµ¹«µÐ)']
120,28,8,28,9,46,52,78,81,76,78,29,8,51,35,53,48,89,74,87,66,0,0,0,0,[]
121,23,12,22,11,45,52,78,86,72,82,29,8,53,35,52,49,86,79,86,79,0,0,0,0,[]
122,23,12,20,15,44,53,76,87,76,88,29,8,46,36,51,48,84,82,84,82,0,0,0,0,[]
123,20,16,23,25,44,53,81,88,83,89,29,8,48,42,48,52,84,81,84,81,0,0,0,0,[]
124,27,9,31,35,37,57,82,86,80,87,29,8,41,54,44,55,86,81,86,81,0,0,0,0,[]
125,27,9,40,43,39,58,84,85,80,83,92,6,49,51,49,51,87,80,87,80,0,0,0,0,[]
126,37,9,44,43,44,53,90,76,88,77,80,9,60,50,54,50,91,71,91,72,0,0,0,0,[]
127,36,11,44,44,44,53,85,81,88,77,67,11,68,45,57,45,88,69,89,72,0,0,0,0,[]
128,36,16,2,96,45,54,83,84,85,85,54,10,73,42,59,44,88,67,82,68,0,0,0,0,[]
129,29,20,8,83,45,54,86,82,85,87,42,7,74,43,60,42,89,73,87,69,0,0,0,0,[]
130,29,20,15,72,3,96,87,77,90,78,48,6,74,43,60,44,90,68,90,69,0,0,0,0,[]
131,4,92,18,59,7,88,91,73,92,75,47,6,74,43,55,46,92,68,92,68,0,0,0,0,[]
132,3,91,23,55,16,78,90,76,91,77,38,6,91,8,51,49,89,71,89,71,0,0,0,0,[]
133,4,76,24,55,26,71,87,83,85,82,26,10,86,19,52,50,89,76,89,76,0,0,0,0,[]
134,6,63,29,50,35,63,83,84,85,87,15,17,81,30,58,47,89,78,89,78,0,0,0,0,[]
135,8,50,33,37,41,55,80,88,85,87,13,17,80,42,58,47,89,76,87,77,0,0,0,0,[]
136,9,37,32,29,47,50,72,86,6,95,15,10,80,53,95,4,83,80,80,82,0,0,0,0,[]
137,10,27,30,34,50,48,64,88,18,88,15,10,84,56,92,7,77,88,77,88,0,0,0,0,[]
138,16,32,30,33,47,50,63,94,30,80,24,14,80,55,80,20,74,88,71,82,0,0,0,0,[]
139,18,23,31,35,46,50,62,86,43,78,31,22,72,63,72,29,80,88,71,80,0,0,0,0,[]
140,22,26,30,33,42,46,69,80,56,84,35,18,67,66,63,37,81,86,77,80,0,0,0,0,[]
141,27,32,31,34,34,37,76,89,70,84,43,15,66,70,57,41,83,86,83,83,0,0,0,0,[]
142,17,23,29,37,33,42,74,88,77,86,49,21,66,69,56,48,87,85,86,84,0,0,0,0,[]
143,15,14,27,36,38,51,80,86,81,88,56,32,66,69,50,52,89,81,89,81,0,0,0,0,[]
144,18,14,19,44,38,59,77,87,79,88,65,40,66,69,50,51,89,72,87,71,0,0,0,0,['12:0 DMO »÷É±ÁË·çÁú']
145,22,12,15,43,41,54,78,85,78,89,66,53,59,62,49,52,89,72,87,72,0,0,0,0,[]
146,22,10,20,45,42,55,80,87,76,88,66,54,51,66,48,55,95,4,95,4,0,0,0,0,[]
147,26,10,23,45,33,59,80,86,73,86,73,63,50,65,45,58,95,4,95,4,0,0,0,0,[]
148,27,22,23,48,27,51,79,84,68,80,84,65,50,65,50,53,30,8,85,5,0,0,0,0,[]
149,28,35,23,43,35,59,79,84,54,76,90,75,57,57,48,53,29,6,70,5,0,0,0,0,[]
150,34,48,25,31,40,57,2,96,48,67,86,83,66,54,49,53,25,9,57,6,0,0,0,0,[]
151,49,51,19,24,48,54,2,96,39,63,79,87,60,52,52,51,36,7,45,6,0,0,0,0,[]
152,51,49,19,23,54,49,15,18,47,52,77,88,58,45,58,45,24,12,34,8,0,0,0,0,[]
153,57,61,24,23,49,49,13,16,39,41,77,84,57,34,60,36,22,11,22,11,0,0,0,0,[]
154,59,72,32,16,47,46,20,13,40,29,77,84,52,33,58,39,34,8,33,11,0,0,0,0,[]
155,63,76,36,15,46,48,27,12,30,19,94,4,51,30,56,46,40,7,39,11,0,1,0,0,"['12:55 SN »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
156,72,85,34,18,44,52,30,9,30,19,82,6,47,25,52,50,42,7,40,10,0,1,0,0,[]
157,83,81,40,17,43,53,31,9,37,16,82,20,46,24,50,51,46,6,46,9,0,1,0,0,[]
158,84,80,48,25,43,52,38,14,43,15,88,32,52,28,52,48,47,8,47,8,0,1,0,0,[]
159,85,78,41,28,43,46,38,16,45,23,89,46,54,31,58,38,46,7,45,7,0,1,0,0,[]
160,90,72,47,38,48,46,39,16,44,34,90,59,54,31,58,43,47,7,50,8,0,1,0,0,[]
161,89,77,53,48,54,47,36,17,53,42,90,71,55,31,62,40,48,7,53,8,0,1,0,0,[]
162,79,75,55,49,50,47,36,17,51,46,91,70,60,36,61,40,47,15,55,19,0,1,0,0,[]
163,85,79,55,52,54,52,27,14,52,46,88,66,58,42,59,40,54,21,57,30,0,1,0,0,[]
164,87,78,64,57,64,57,27,12,53,57,89,62,69,41,57,41,52,18,51,33,0,1,0,0,[]
165,77,72,63,61,56,54,26,15,59,60,92,67,69,39,57,41,43,16,59,35,0,1,0,0,[]
166,76,68,54,67,51,45,33,22,55,53,89,61,72,40,92,6,41,10,67,42,0,1,0,0,[]
167,81,78,63,62,53,46,41,31,67,62,87,49,76,47,83,20,47,7,76,47,0,1,0,0,[]
168,87,76,74,60,52,48,49,41,75,58,80,54,77,51,73,29,48,6,77,51,0,1,0,0,[]
169,86,76,76,55,56,48,56,45,76,56,86,53,82,48,63,39,48,6,82,48,0,1,0,0,[]
170,87,73,75,56,57,54,52,50,76,59,86,53,77,47,58,42,95,6,77,47,0,1,0,0,[]
171,91,69,80,66,57,56,42,45,73,66,89,51,68,40,58,44,88,16,68,40,0,1,0,0,[]
172,90,70,90,69,2,96,41,36,69,67,89,47,57,40,53,44,77,25,66,37,0,1,0,0,[]
173,91,70,93,71,6,89,41,42,62,63,95,4,56,39,46,41,66,33,62,38,0,1,0,0,[]
174,91,69,91,70,10,83,34,49,48,58,93,15,33,49,34,43,55,41,52,42,0,1,0,0,[]
175,91,66,87,66,44,49,36,49,43,55,92,29,33,47,39,44,46,46,46,46,0,2,0,0,"['14:31 SNWeiwei(ÁÝ¶¬Ö®Å­) »÷ÆÆÁË·ÀÓùËþ', '14:31 DMOXiaopeng(ÓÀºãÃÎ÷Ê) »÷É±ÁË SNSmlz(Ê¥Ç¹ÓÎÏÀ)']"
176,89,69,73,64,47,52,36,49,43,56,92,43,45,52,43,48,46,49,46,49,0,2,0,0,[]
177,89,69,60,63,49,53,36,49,39,60,89,45,47,50,44,52,50,52,46,54,0,2,0,0,['14:41 DMOGALA(Õ½ÕùÅ®Éñ) »÷É±ÁË SNMaple(Íò»¨Í¨Áé)']
178,8,87,51,72,49,53,36,49,38,60,89,45,47,41,47,49,42,41,46,45,0,2,0,0,[]
179,19,76,48,74,49,53,36,49,38,60,91,51,44,39,46,49,40,30,44,39,0,2,0,0,[]
180,28,67,49,74,49,53,36,49,2,96,90,52,31,37,47,49,36,15,30,37,0,2,0,0,[]
181,38,59,49,74,49,53,11,91,12,90,81,51,26,35,45,49,25,12,26,35,0,2,0,0,[]
182,41,55,3,95,49,53,13,79,22,80,83,59,23,37,43,45,19,13,23,37,0,2,0,0,[]
183,46,65,10,81,4,93,10,67,31,68,83,60,20,28,43,45,18,17,21,25,0,2,0,0,[]
184,49,65,16,69,13,82,10,54,41,58,87,71,20,28,90,9,18,20,20,28,0,2,0,0,[]
185,51,65,18,55,22,74,10,41,39,55,89,74,94,6,78,23,18,20,92,6,0,2,0,0,[]
186,60,73,28,50,32,66,10,28,33,47,92,63,85,17,67,32,94,6,87,16,0,2,0,0,[]
187,70,82,35,39,42,58,11,26,37,41,92,58,73,22,57,41,88,8,75,20,0,2,0,0,[]
188,82,85,42,42,45,52,13,18,41,38,92,58,61,25,54,49,77,10,67,29,0,2,0,0,[]
189,81,83,53,47,53,49,16,17,49,46,86,9,55,32,56,46,63,10,59,37,0,2,0,0,[]
190,87,73,43,44,46,50,24,27,41,43,79,21,53,34,56,41,63,16,58,34,0,2,0,0,[]
191,89,62,32,45,48,49,33,36,45,38,69,29,53,33,57,42,52,9,53,33,0,2,0,0,[]
192,89,61,25,56,49,52,43,44,45,43,67,42,54,32,54,47,41,9,53,35,0,2,0,0,[]
193,81,57,30,59,57,49,48,46,47,44,75,49,57,34,59,42,42,11,59,35,0,2,0,0,[]
194,77,49,42,56,66,51,52,52,53,45,89,48,48,34,61,42,31,11,61,42,0,2,0,0,[]
195,77,48,50,51,67,50,44,44,42,42,87,38,42,32,61,43,29,11,68,43,0,2,0,0,[]
196,68,41,55,45,68,48,41,36,46,35,74,35,42,25,59,39,31,20,66,41,0,2,0,0,[]
197,74,43,48,48,66,54,28,37,44,37,62,39,52,29,55,41,41,26,55,41,0,2,0,0,[]
198,80,48,35,48,56,61,15,34,32,44,62,40,47,38,50,46,46,37,50,46,0,2,0,0,[]
199,89,53,41,57,44,67,11,25,33,49,55,48,47,49,49,48,48,48,49,48,0,2,0,0,[]
200,89,53,38,59,38,59,10,18,33,59,46,53,43,56,43,53,41,53,43,56,0,2,0,0,[]
201,88,56,41,66,42,56,13,20,39,55,55,50,51,50,45,45,48,47,55,56,0,2,0,0,[]
202,81,66,53,64,42,54,21,27,43,56,69,49,48,39,51,49,58,37,55,46,0,2,0,0,[]
203,72,62,56,61,45,57,28,37,32,46,85,50,41,32,50,48,57,24,50,41,0,2,0,0,[]
204,66,53,66,54,49,53,33,43,37,40,86,51,33,22,51,45,46,16,44,35,0,2,0,0,[]
205,67,57,66,57,46,55,34,43,36,41,80,43,40,29,51,46,38,14,47,37,0,2,0,0,[]
206,68,68,66,67,54,63,29,50,32,47,71,34,46,32,54,44,38,14,46,36,0,2,0,0,[]
207,67,69,65,69,60,68,36,43,45,50,70,41,36,25,61,43,36,8,43,34,0,2,0,0,[]
208,70,67,65,69,50,60,40,43,43,47,72,41,37,25,57,40,32,8,42,24,0,2,0,0,[]
209,79,63,57,81,47,53,28,38,31,40,62,39,42,32,52,45,20,15,42,32,0,2,0,0,['17:22 SN »÷É±ÁËË®Áú']
210,89,62,56,82,46,55,16,34,20,37,60,40,38,37,49,47,11,21,38,37,0,2,0,0,[]
211,89,66,55,82,42,56,8,28,15,33,72,34,30,36,46,50,14,18,30,36,0,2,0,0,[]
212,80,65,55,80,39,58,7,32,5,37,87,37,34,36,36,42,11,18,34,36,0,2,0,0,[]
213,69,61,55,80,33,61,5,42,5,41,89,48,24,34,22,38,6,26,22,38,0,2,0,0,[]
214,59,56,8,83,39,58,8,38,5,36,91,49,23,28,28,33,7,28,23,28,0,2,0,0,[]
215,53,47,15,71,45,48,8,33,8,33,89,52,23,28,43,36,11,24,21,26,0,2,0,0,[]
216,51,44,18,59,52,50,14,36,12,34,84,51,34,35,54,32,21,22,35,35,0,2,0,0,[]
217,51,49,22,46,45,51,12,24,12,22,82,55,46,33,58,41,33,23,41,31,0,2,0,0,[]
218,47,63,26,47,33,49,15,16,13,19,80,53,39,28,56,42,28,15,41,30,0,2,0,0,[]
219,46,64,21,47,26,50,12,24,11,28,78,49,29,22,55,42,21,12,29,22,0,2,0,0,[]
220,49,65,15,43,38,51,12,24,11,28,78,49,29,22,56,41,29,11,29,22,0,2,0,0,[]
221,49,65,18,46,40,51,2,95,4,92,94,4,93,5,53,44,41,15,93,5,0,2,0,0,[]
222,13,94,26,50,43,53,6,81,12,80,85,13,80,13,53,48,48,23,80,13,0,2,0,0,[]
223,26,93,34,41,43,55,9,69,17,66,76,25,68,19,51,49,49,21,68,19,0,2,0,0,[]
224,39,90,35,47,43,55,10,56,18,51,67,35,58,28,57,45,50,19,58,28,0,2,0,0,[]
225,51,88,23,53,38,56,11,43,16,37,71,41,53,34,57,45,94,4,53,34,0,2,0,0,[]
226,64,88,24,56,41,51,11,30,15,32,77,53,57,34,94,6,90,6,57,34,0,2,0,0,[]
