,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
121,13,18,3,96,52,46,37,93,52,63,16,9,92,4,62,36,91,32,57,28,0,0,0,0,[]
122,14,19,18,91,45,43,47,92,56,67,15,11,80,11,57,42,80,35,44,32,0,0,0,0,[]
123,11,17,27,82,45,43,58,90,56,74,16,12,68,18,52,41,80,46,35,24,0,0,0,0,[]
124,10,22,38,74,5,95,68,88,66,79,15,14,58,27,47,36,71,48,32,33,0,0,0,0,[]
125,11,22,51,77,8,93,79,85,76,75,14,15,50,35,48,39,70,50,41,43,0,0,0,0,[]
126,8,25,63,77,17,84,82,84,78,73,16,15,39,39,48,50,81,57,54,49,0,0,0,0,[]
127,9,22,59,71,24,76,86,82,79,75,14,16,35,36,51,49,88,65,68,50,0,0,0,0,[]
128,9,22,56,67,32,67,85,81,79,75,13,15,41,36,54,48,91,74,65,59,0,0,0,0,[]
129,8,22,57,67,39,59,79,74,73,70,13,17,43,23,95,4,92,72,69,50,0,0,0,0,[]
130,8,27,55,64,46,55,70,68,65,64,14,16,42,18,87,8,90,72,71,49,0,0,0,0,[]
131,8,30,58,55,57,57,71,67,69,62,18,23,41,17,78,16,89,69,95,4,0,0,0,0,[]
132,7,32,57,54,53,57,75,75,75,73,11,22,41,16,69,26,89,68,83,11,0,0,0,0,[]
133,8,27,57,54,48,50,80,79,79,74,12,20,32,18,60,36,89,72,73,18,0,0,0,0,[]
134,10,20,57,54,48,51,82,85,80,75,14,17,25,27,52,46,90,81,68,32,0,0,0,0,[]
135,6,28,53,46,50,47,85,85,74,71,9,24,24,29,53,47,91,77,67,47,0,0,0,0,[]
136,8,29,55,44,55,46,81,83,63,61,18,23,36,37,55,46,87,80,56,47,0,0,0,0,['11:19 RNGKarsa(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË FPXDoinb(°µÒá½£Ä§)']
137,9,29,48,51,53,45,84,81,59,56,24,29,47,42,55,46,90,77,57,42,0,0,0,0,[]
138,10,27,49,49,52,49,83,80,54,50,25,32,53,43,55,46,88,71,56,43,0,0,0,0,[]
139,16,20,50,48,52,48,86,84,54,51,23,23,53,43,55,46,85,77,57,42,0,0,0,0,[]
140,14,18,52,48,54,45,81,81,56,47,19,17,58,40,55,46,88,77,57,41,0,0,0,0,[]
141,11,19,47,60,49,49,82,81,55,51,17,16,56,40,55,46,89,78,60,44,0,0,0,0,[]
142,13,18,47,65,46,52,81,82,64,59,19,13,51,41,93,5,88,77,56,46,0,0,0,0,[]
143,11,19,47,72,52,49,81,82,66,51,18,16,39,39,85,13,90,73,56,41,0,0,0,0,[]
144,6,27,50,82,53,48,83,81,66,55,10,23,32,33,75,21,89,78,53,32,0,0,0,0,[]
145,6,34,52,85,54,57,87,78,73,67,11,23,31,33,66,31,92,71,39,37,0,0,0,0,[]
146,5,35,52,84,54,57,83,81,79,75,11,25,31,32,58,41,93,68,32,35,0,0,0,0,[]
147,5,32,50,82,2,96,84,81,80,75,8,23,31,32,50,46,93,68,31,35,0,0,0,0,[]
148,5,39,51,75,10,92,85,81,85,78,6,27,32,32,38,41,95,4,30,35,0,0,0,0,[]
149,4,44,53,76,17,83,88,72,89,73,5,26,30,33,46,49,9,29,27,36,0,0,0,0,[]
150,4,44,56,75,26,74,90,70,89,72,6,25,22,32,46,51,9,28,19,34,0,0,0,0,[]
151,4,92,69,66,33,65,89,76,87,75,7,19,23,38,41,46,9,29,8,31,0,0,0,0,[]
152,6,76,73,66,40,55,88,78,89,81,7,19,16,43,31,40,9,28,13,37,0,0,0,0,[]
153,6,63,81,66,36,60,88,71,89,81,92,7,18,45,28,37,9,37,9,43,0,0,0,1,"['12:42 FPX »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
154,7,54,91,70,25,66,90,71,3,95,87,9,19,52,20,46,8,47,7,46,0,0,0,1,[]
155,7,57,92,72,12,63,89,71,6,77,78,19,17,53,10,50,10,49,9,49,0,0,0,1,[]
156,6,58,91,73,10,57,89,73,8,62,67,31,11,51,11,53,11,51,7,51,0,0,0,1,[]
157,6,54,80,76,11,57,87,79,9,57,58,41,16,49,18,49,10,44,10,47,0,0,0,1,[]
158,8,58,70,69,18,64,83,79,13,63,52,49,22,54,23,53,11,37,23,51,0,0,0,1,[]
159,8,54,72,75,30,64,87,74,27,66,53,54,31,48,34,49,10,39,23,51,0,0,0,1,[]
160,8,52,66,78,39,58,88,69,40,61,57,55,32,44,46,49,9,45,95,5,0,0,0,1,[]
161,7,55,64,72,46,53,90,61,46,58,61,50,32,44,51,38,9,48,92,12,0,1,0,1,['13:24 RNGUzi(ÄæÓð) »÷ÆÆÁË·ÀÓùËþ']
162,6,56,67,71,51,50,90,61,37,57,71,48,86,6,52,36,20,45,86,25,0,1,0,1,[]
