,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
71,17,95,7,29,58,83,43,52,23,93,8,16,66,69,50,54,88,57,68,65,9342,0,8933,0,[]
72,28,94,8,30,57,83,45,52,34,91,7,18,67,68,50,52,82,66,71,64,9536,0,9004,0,[]
73,38,93,8,25,57,69,43,52,41,84,8,17,67,68,50,52,65,65,69,67,9685,0,9118,0,[]
74,49,92,9,23,47,67,44,51,50,83,8,16,67,69,48,52,69,65,69,66,9771,0,9279,0,[]
75,60,91,8,17,37,63,41,54,53,76,11,12,70,65,49,52,76,71,71,67,9827,0,9329,0,['6:14 RNG »÷É±ÁËÍÁÁú']
76,70,89,9,20,31,54,47,51,61,83,11,13,77,56,58,50,81,81,79,75,9903,0,9551,0,[]
77,75,89,10,21,33,43,47,51,69,88,12,20,82,56,54,47,82,80,83,82,9981,0,9653,0,[]
78,72,87,9,25,36,40,48,50,76,87,10,21,82,56,53,49,81,80,83,86,10072,0,9808,0,[]
79,70,84,12,22,34,31,49,49,75,87,16,11,81,56,54,48,81,83,82,89,10242,0,9980,0,[]
80,77,86,15,21,36,38,46,54,77,88,16,10,74,61,55,46,82,82,84,88,10313,0,10129,0,[]
81,73,89,15,20,39,50,51,64,74,87,94,4,72,68,58,45,80,82,81,90,10377,0,10298,0,[]
82,74,88,14,20,39,61,59,71,76,87,84,4,70,66,58,45,79,82,80,88,10496,0,10374,0,[]
83,72,83,14,20,44,70,53,64,68,83,71,6,70,66,93,5,81,83,79,89,10596,0,10453,0,[]
84,71,90,14,21,48,74,50,59,62,84,58,6,90,4,82,12,80,85,78,86,10669,0,10518,0,[]
85,72,94,2,96,50,75,49,51,70,87,45,7,77,12,75,20,77,92,77,86,10960,0,10610,0,[]
86,71,90,4,89,51,75,49,49,71,88,31,9,67,19,68,30,77,91,78,87,11108,0,10862,0,[]
87,71,90,5,76,52,76,45,53,68,89,24,10,57,24,60,39,75,90,77,86,11177,0,11022,0,[]
88,67,92,7,65,64,78,45,53,67,89,23,9,52,34,56,44,73,92,74,89,11249,0,11193,0,[]
89,68,91,8,54,70,80,2,96,68,88,23,11,52,31,53,47,74,93,76,87,11322,0,11534,0,[]
90,69,90,10,43,63,75,11,91,74,93,22,12,52,32,49,51,75,93,80,89,11535,0,11655,0,[]
91,72,91,15,34,51,75,20,81,71,87,18,15,53,29,50,51,84,83,84,82,11600,0,11788,0,[]
92,76,89,15,34,43,68,28,72,79,84,13,17,51,27,52,51,85,87,78,77,11677,0,11927,0,[]
93,77,88,8,32,32,65,36,63,77,88,12,18,48,24,50,44,84,86,83,84,11749,0,12190,0,[]
94,76,90,9,25,24,58,40,57,75,87,12,21,41,16,41,38,84,88,80,84,11910,0,12307,0,[]
95,74,90,7,30,23,55,42,54,73,88,20,27,38,16,47,41,82,88,80,83,12099,0,12451,0,[]
96,69,91,9,28,18,46,46,52,71,90,24,35,35,12,52,50,78,82,76,77,12233,0,12501,0,[]
97,73,90,8,27,16,35,46,51,79,91,23,39,32,10,51,50,81,84,69,79,12352,0,12608,0,[]
98,74,89,12,23,18,33,46,50,79,88,23,28,20,8,53,50,80,82,74,78,12466,0,12707,0,[]
99,77,89,10,21,17,32,47,53,80,90,20,19,11,12,51,48,79,83,83,84,12588,0,12800,0,[]
100,75,88,13,22,15,39,47,52,79,91,14,11,10,14,53,46,80,84,82,87,12703,0,12921,0,[]
101,72,90,20,22,16,43,39,50,74,91,20,12,10,14,49,50,78,84,80,86,12856,0,13043,0,[]
102,68,91,20,19,19,47,45,52,71,93,25,12,10,14,51,50,76,87,77,91,12960,0,13140,0,[]
103,71,89,19,16,28,61,46,51,74,90,20,16,14,14,50,52,80,86,81,90,13069,0,13237,0,[]
104,75,88,19,22,40,67,49,53,76,87,19,21,18,20,52,49,83,83,83,89,13160,0,14056,0,['8:40 RNGLangx(»ÄÄ®ÍÀ·ò) »÷É±ÁË RWHolder(¿ñ±©Ö®ÐÄ)']
105,76,87,19,22,47,68,49,54,78,88,17,16,16,16,53,48,83,85,84,89,13388,0,14353,0,[]
106,71,92,19,22,49,67,52,55,73,92,11,22,18,12,55,48,77,80,79,84,13546,0,14408,0,[]
107,69,91,19,22,53,76,55,56,72,89,7,28,18,12,53,45,77,80,72,78,13662,0,14619,0,[]
108,71,92,19,22,55,82,50,52,75,89,7,30,93,12,53,46,94,5,73,74,13813,0,14690,0,[]
109,75,87,4,82,59,83,51,52,79,86,9,30,85,25,52,48,94,15,75,64,14060,0,14853,0,[]
110,80,84,5,70,60,83,50,53,80,82,8,31,81,37,55,46,93,26,83,65,14203,0,14967,0,[]
111,81,82,5,55,64,83,55,62,80,80,8,31,79,48,59,48,92,37,89,56,14307,0,15196,0,[]
112,77,80,5,43,72,76,55,62,76,73,16,22,76,52,70,50,89,57,89,57,14358,0,15246,0,[]
113,77,80,7,32,69,65,60,61,78,66,16,22,77,52,73,49,91,66,89,57,14458,0,15453,0,[]
114,4,96,10,25,72,66,61,62,73,71,95,4,80,54,68,51,90,72,92,9,14673,0,15532,0,[]
115,14,95,17,18,60,72,56,58,73,71,82,5,80,54,64,52,89,75,83,20,14745,0,15582,0,[]
116,24,95,21,13,59,73,48,53,5,94,69,6,80,53,54,48,86,83,80,35,14884,0,15817,0,[]
117,35,94,19,14,2,96,51,51,15,88,56,7,78,49,54,47,84,81,78,48,15019,0,15910,0,[]
118,46,93,19,17,5,88,43,55,26,85,43,7,66,54,51,49,80,78,66,54,15091,0,16053,0,[]
119,57,93,23,27,12,77,40,57,35,85,34,8,60,62,57,55,78,84,58,63,15143,0,16167,0,[]
120,67,92,19,22,17,66,46,52,45,88,28,8,57,68,53,54,72,89,57,75,15249,0,16495,0,[]
121,70,94,17,17,18,53,47,51,56,92,24,9,63,61,53,49,78,85,58,63,15396,0,16615,0,[]
122,71,89,17,16,21,48,46,52,67,89,21,10,67,50,55,47,80,82,67,68,15476,0,16710,0,[]
123,79,88,14,15,21,48,44,52,78,90,16,10,74,43,52,52,80,80,71,69,15663,0,16854,0,[]
124,75,88,13,18,22,51,40,51,81,89,17,14,73,42,54,50,80,82,77,80,15734,0,17150,0,[]
125,74,88,14,18,24,50,27,50,75,90,16,11,73,42,49,52,82,87,85,85,15911,0,17300,0,[]
126,71,90,14,17,32,43,39,51,72,87,17,11,73,42,51,50,78,89,80,90,16158,0,17376,0,[]
127,72,89,16,17,29,35,45,51,72,86,21,10,84,10,54,48,79,91,78,87,16335,0,17469,0,[]
128,71,85,19,15,28,31,46,48,69,81,23,10,74,16,62,41,80,89,77,79,16438,0,17554,0,[]
129,73,89,17,17,29,33,37,40,70,83,22,9,63,22,62,41,80,91,80,85,16532,0,17661,0,[]
130,69,91,15,16,27,32,30,34,71,91,23,11,55,31,95,4,79,88,80,86,16604,0,17747,0,[]
131,70,91,15,15,27,33,30,35,71,91,22,12,42,32,84,9,75,79,71,78,16778,0,17831,0,[]
132,71,90,17,16,28,33,28,34,78,90,25,10,39,28,78,16,73,75,73,74,16957,0,17910,0,[]
133,75,87,21,24,29,34,27,36,81,86,19,15,35,30,41,36,75,74,70,69,17022,0,17975,0,[]
134,80,88,15,18,22,43,26,37,80,87,15,11,32,33,36,42,79,81,81,78,17095,0,18103,0,[]
135,79,89,14,19,18,45,24,48,81,91,17,13,40,41,46,48,78,83,84,85,17318,0,18342,0,[]
136,80,84,12,18,21,45,36,49,79,82,18,15,49,50,43,53,86,83,85,80,17413,0,18460,0,[]
137,80,82,14,17,22,32,36,49,80,87,22,12,56,59,42,54,88,83,85,80,17506,0,18574,0,[]
138,76,87,17,16,19,24,43,54,77,86,26,10,59,70,48,54,87,86,84,81,17627,0,18638,0,[]
139,75,91,20,13,26,22,42,54,80,91,30,9,60,83,47,56,84,87,81,85,17753,0,18851,0,[]
140,75,89,23,12,32,16,39,55,74,88,38,7,61,85,45,55,82,86,82,90,18023,0,18961,0,[]
141,67,90,23,12,30,15,39,58,68,90,62,85,63,86,50,65,79,86,76,87,18120,0,19113,0,[]
142,73,94,22,11,27,8,39,58,75,93,67,91,72,93,39,65,74,88,73,89,18598,0,19164,0,[]
143,70,94,68,92,27,8,71,94,71,93,79,92,73,87,44,69,73,88,74,88,18929,0,19215,0,[]
144,67,94,64,90,27,8,67,93,66,94,80,88,67,82,50,78,77,88,73,86,19140,0,19264,0,[]
145,61,94,57,91,27,8,63,94,64,94,73,89,61,87,54,87,71,86,61,86,19209,0,19416,0,[]
146,53,94,52,91,28,8,60,94,53,94,63,84,58,90,54,87,62,85,60,92,19272,0,19972,0,[]
147,45,94,45,94,28,8,59,94,43,91,59,91,60,91,52,84,63,90,58,90,20179,1,20042,0,"['12:14 RWHaro(Ðé¿Õ¶ÝµØÊÞ) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ', '12:13 RNGUzi(Õ½ÕùÅ®Éñ) »÷É±ÁË RWHuaTian(½âÍÑÕß)']"
148,41,94,44,94,31,10,59,94,42,91,69,94,54,84,54,77,67,90,66,91,20232,1,20256,0,[]
149,2,96,4,96,42,17,59,94,2,96,71,93,55,76,57,70,66,92,69,90,20359,1,21008,0,[]
150,8,93,22,95,38,14,59,94,5,94,71,93,55,76,55,58,65,91,67,89,20474,1,21306,1,['12:26 RNGUzi(Õ½ÕùÅ®Éñ) »÷ÆÆÁË·ÀÓùËþ']
151,18,85,34,94,42,10,59,94,15,85,92,4,65,70,51,51,60,84,65,89,20567,1,21437,1,[]
152,26,77,48,93,38,12,59,94,24,77,77,5,66,71,50,47,63,82,64,83,20632,1,21528,1,[]
153,32,67,52,89,42,25,2,96,32,68,64,6,66,70,49,34,66,80,70,78,20684,1,21659,1,[]
154,39,59,55,91,44,23,8,86,39,59,52,8,67,69,42,32,69,79,70,78,20891,1,21873,1,[]
