,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
76,3,88,43,33,48,52,77,86,55,57,24,9,42,15,67,31,88,80,76,56,0,0,0,0,[]
77,5,76,40,27,50,52,74,90,56,56,24,11,44,15,60,39,86,75,79,64,0,0,0,0,[]
78,6,62,42,35,51,50,72,89,57,55,21,10,44,15,56,44,87,81,87,68,0,0,0,0,[]
79,8,50,34,39,49,51,75,88,57,54,17,15,91,6,65,41,88,79,86,65,0,0,0,0,[]
80,10,38,34,38,50,50,75,90,56,61,13,18,80,15,63,41,87,68,81,56,0,0,0,0,[]
81,12,25,29,37,58,56,75,88,59,71,14,15,73,25,60,42,86,65,74,49,0,0,0,0,[]
82,9,23,32,43,54,58,74,88,67,79,17,10,67,36,58,42,87,74,66,48,0,0,0,0,[]
83,10,21,39,52,54,55,72,89,74,88,17,10,66,47,59,48,83,79,66,56,0,0,0,0,[]
84,20,24,39,64,49,52,73,88,73,90,90,4,64,57,54,50,80,84,62,61,0,0,0,0,[]
85,18,18,46,72,45,50,75,90,72,86,77,5,58,57,52,50,79,84,57,65,0,0,0,0,[]
86,15,14,46,71,45,54,77,90,76,90,65,6,56,64,54,53,81,83,54,66,0,0,0,0,[]
87,16,14,46,71,41,56,78,88,78,89,52,7,66,58,63,60,80,81,65,65,0,0,0,0,[]
88,18,17,41,71,44,57,78,86,79,88,40,8,74,54,70,67,85,84,75,71,0,0,0,0,[]
89,25,28,44,79,46,56,79,88,80,88,28,9,75,57,73,63,83,82,81,80,0,0,0,0,[]
90,31,35,56,83,48,51,83,82,79,80,27,9,82,56,76,56,88,76,88,77,0,0,0,0,[]
91,28,33,68,83,47,50,87,79,80,76,27,9,82,55,73,48,91,74,87,74,0,0,0,0,[]
92,27,21,79,90,45,52,86,79,85,79,23,11,79,53,65,41,90,72,87,72,0,0,0,0,[]
93,36,23,79,86,45,52,87,79,84,78,20,10,74,44,59,44,91,72,90,71,0,0,0,0,[]
94,46,23,68,84,6,95,85,78,75,72,21,9,71,40,55,42,92,72,89,70,0,0,0,0,[]
95,43,24,57,82,8,93,77,74,67,64,21,10,69,41,58,46,93,72,87,74,0,0,0,0,[]
96,44,23,59,83,9,95,76,70,66,56,21,9,66,47,58,47,90,71,84,66,0,0,0,0,[]
97,44,23,66,82,20,82,71,69,66,57,18,11,66,57,52,50,89,71,79,64,0,0,0,0,[]
98,44,24,63,76,36,66,70,68,62,61,16,13,66,49,58,47,87,71,71,63,0,0,0,0,[]
99,31,22,60,72,46,54,75,76,57,68,17,13,66,48,61,44,83,78,80,66,0,0,0,0,[]
100,21,29,65,77,52,55,78,80,59,73,19,22,95,4,56,45,83,79,87,70,0,0,0,0,[]
101,9,32,75,71,62,61,84,84,69,77,27,30,92,9,55,43,90,77,88,78,0,0,0,0,[]
102,7,27,76,69,50,53,85,82,77,73,36,39,89,18,50,46,90,74,87,68,0,0,0,0,[]
103,7,26,67,61,51,53,84,82,71,64,45,48,79,25,53,46,87,69,79,64,0,0,0,0,[]
104,14,20,62,60,48,51,84,83,63,62,41,39,70,33,57,44,80,66,78,63,0,0,0,0,[]
105,14,18,56,63,53,52,86,83,63,62,38,28,59,34,57,41,88,67,87,66,0,0,0,0,[]
106,13,15,66,65,64,61,84,83,65,57,30,19,54,32,54,43,88,75,90,75,0,0,0,0,[]
107,22,11,66,64,69,65,78,85,62,61,26,8,54,32,47,48,89,74,87,74,0,0,0,0,[]
