,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
118,14,18,23,57,41,56,75,89,77,89,44,37,75,59,37,10,86,77,89,82,15289,0,16237,0,[]
119,12,22,22,52,33,59,74,89,75,89,50,33,76,45,25,12,89,78,89,82,15499,0,16326,0,[]
120,11,24,23,46,28,51,73,88,72,90,54,32,74,43,18,11,88,79,84,6,15596,0,16480,0,[]
121,10,14,25,46,26,50,65,88,65,88,59,35,73,43,22,9,86,79,70,7,15751,0,16636,0,[]
122,17,9,24,35,36,49,60,82,58,84,55,46,73,43,22,10,85,82,58,14,15821,0,16764,0,[]
123,17,12,26,24,46,49,59,83,56,84,54,49,89,4,24,9,85,82,45,16,16025,0,16948,0,[]
124,18,10,30,20,48,48,60,84,59,85,58,46,76,6,24,9,84,81,35,11,16251,0,17015,0,[]
125,22,13,30,18,48,49,61,86,61,85,62,42,63,7,26,6,86,77,36,5,16426,0,17183,0,[]
126,20,13,20,25,48,50,68,90,70,91,62,42,51,9,30,8,86,77,38,10,16757,0,17234,0,[]
127,17,14,20,26,45,52,72,89,74,90,95,4,42,16,24,12,94,10,30,19,16866,0,17412,0,[]
128,14,17,19,25,45,52,78,87,80,88,59,44,32,18,14,11,93,22,30,21,17063,0,17519,0,[]
129,8,27,14,32,6,91,79,86,83,89,55,46,25,29,13,17,92,34,23,31,17156,0,17677,0,[]
130,5,34,14,42,14,81,81,89,83,89,50,47,33,36,11,26,92,46,24,38,17207,0,17742,0,[]
131,5,34,16,43,26,71,81,89,7,91,45,53,31,49,16,19,90,58,32,41,17347,0,17794,0,[]
132,4,92,24,39,35,62,6,91,15,84,47,51,30,43,13,20,91,68,34,42,17398,0,18007,0,[]
133,6,79,23,38,46,52,12,86,22,74,45,46,30,42,15,20,90,73,35,39,17491,0,18176,0,[]
134,6,68,21,38,44,55,23,87,30,65,46,45,27,35,15,18,87,79,35,39,17556,0,18329,0,[]
135,7,56,23,40,42,59,34,89,33,59,45,53,36,36,17,17,86,81,41,43,17634,0,18394,0,[]
136,8,44,25,38,38,49,46,91,31,53,51,46,40,26,95,4,77,74,48,43,17720,0,18445,0,[]
137,9,33,30,39,38,49,57,91,33,48,48,51,39,34,87,14,68,67,42,32,17834,0,18497,0,[]
138,16,32,41,41,43,47,67,91,39,43,51,50,39,33,75,17,59,59,42,32,17933,0,18611,0,[]
139,23,38,43,45,45,51,71,88,43,48,51,51,43,38,64,21,55,57,41,39,17984,0,18772,0,[]
140,33,39,40,40,43,46,66,78,41,40,46,45,41,41,56,30,50,50,41,40,18485,0,18822,0,[]
141,41,40,42,38,37,43,59,69,43,45,47,45,41,41,44,37,43,46,46,39,18560,0,19324,0,['11:43 IGTheShy(万花通灵) 击杀了 V5Ben4(水晶先锋)']
142,34,39,41,37,33,43,54,58,35,47,41,44,41,41,38,40,42,45,41,39,18610,0,19376,0,['11:47 V5Mole(解脱者) 击杀了 IGNing(德玛西亚皇子)']
143,26,37,41,37,41,45,45,55,39,52,33,47,41,41,32,43,31,45,34,42,18819,0,19422,0,[]
144,20,28,41,37,42,55,40,57,43,58,39,50,41,41,42,47,39,44,43,46,18891,0,19488,0,[]
145,15,18,41,37,42,59,39,58,40,60,44,51,95,4,48,54,44,53,47,49,19009,0,19635,0,[]
146,14,17,5,95,42,56,38,64,39,64,50,48,91,5,58,60,44,45,50,44,19202,0,19710,0,[]
147,11,19,19,87,38,59,49,68,39,64,52,48,80,10,68,67,41,40,54,41,19259,0,19774,0,[]
148,10,20,29,81,2,96,59,68,8,93,52,48,69,17,73,77,39,28,54,41,19315,0,19846,0,[]
149,4,93,40,72,12,82,65,77,10,92,48,51,57,23,79,85,30,16,90,5,19368,0,20004,0,[]
150,4,84,47,66,22,73,70,88,20,83,49,50,47,25,76,86,24,12,81,10,19546,0,20140,0,[]
151,5,71,46,64,33,63,77,88,27,73,49,43,46,24,79,76,17,15,69,15,19684,0,20262,0,[]
152,7,59,49,65,42,56,77,89,32,62,49,43,48,21,81,86,16,17,58,23,19860,0,20512,0,[]
153,8,46,61,62,44,49,69,91,32,50,93,5,42,17,79,75,20,23,45,22,19974,0,20662,0,[]
154,7,33,66,62,43,44,68,89,34,42,89,7,47,17,74,66,26,31,30,22,20230,0,20715,0,[]
155,10,33,56,64,49,48,68,89,36,38,80,15,52,31,79,75,20,24,21,28,20280,0,20786,0,[]
156,16,43,47,70,52,49,6,94,30,48,72,25,47,33,87,80,12,22,29,35,20398,0,20909,0,[]
157,23,51,48,73,48,50,10,93,21,50,64,34,46,34,84,88,13,22,30,33,20491,0,21203,0,[]
158,31,58,47,72,47,49,8,27,15,39,54,43,36,36,84,86,15,21,31,34,20785,0,21514,0,[]
159,40,67,38,64,41,46,9,28,9,30,52,46,34,30,80,81,24,29,30,39,21026,0,21732,0,[]
160,48,77,41,55,43,45,10,30,11,33,49,41,30,34,73,71,29,36,29,33,21091,0,21782,0,[]
161,57,84,40,45,43,46,18,35,20,37,47,40,32,35,64,64,29,34,29,35,21176,0,21834,0,[]
162,67,90,31,43,34,44,21,40,24,39,39,41,27,36,58,59,26,34,28,34,21226,0,22336,0,[]
163,69,91,31,45,33,46,22,45,28,37,34,39,29,34,33,39,24,35,28,36,21277,0,22486,0,['13:34 V5Max(深海泰坦) 击杀了 IGLucas(弗雷尔卓德之心)']
164,26,47,31,51,36,49,22,48,28,37,37,43,32,35,32,46,32,41,33,43,21328,0,22980,0,['13:39 V5Mole(解脱者) 击杀了 IGNing(德玛西亚皇子)']
165,25,50,31,51,42,56,30,54,28,37,45,48,46,46,40,45,41,45,44,47,21374,0,23070,0,[]
166,32,59,31,51,38,59,37,60,28,37,42,55,46,50,45,55,43,50,44,56,21447,0,23198,0,[]
167,41,57,31,51,38,59,42,60,2,96,45,55,47,57,46,57,44,55,44,58,22113,0,23585,0,['13:54 IGJackeyLove(虚空之女) 击杀了 V5Max(深海泰坦)']
168,40,59,31,51,42,60,38,59,12,90,44,55,46,55,44,53,44,54,44,58,22193,0,23683,0,[]
169,43,56,31,51,44,58,40,54,21,82,49,54,50,54,54,50,48,53,44,58,22303,0,23730,0,[]
170,43,58,12,91,45,56,42,54,29,73,53,51,58,57,62,50,51,50,44,58,22374,0,23781,0,[]
171,41,59,23,86,52,65,44,58,39,67,65,51,64,57,64,51,59,42,44,58,22429,0,23833,0,[]
172,2,96,36,77,63,61,45,57,50,65,74,55,64,57,95,4,60,41,87,16,22479,0,23884,0,[]
173,12,90,44,69,66,55,57,50,60,59,79,52,68,51,92,7,61,41,77,26,22530,0,23935,0,[]
174,22,81,55,64,68,62,55,49,67,58,78,48,74,44,89,20,59,41,73,30,22637,0,24118,0,[]
175,30,72,67,62,68,65,52,51,72,66,70,41,76,45,83,30,54,44,62,39,22722,0,24281,0,[]
176,40,66,67,65,65,56,49,54,70,66,58,44,66,48,82,37,52,48,51,48,22875,0,24543,0,[]
177,47,58,64,57,65,56,55,64,65,57,55,48,60,44,79,49,57,49,55,50,22926,0,24593,0,[]
178,53,63,65,56,66,54,54,64,65,57,54,54,55,53,74,59,55,54,57,56,22976,0,24665,0,[]
179,56,58,56,54,60,52,54,57,61,57,55,54,57,54,65,61,55,54,60,57,24019,0,25127,0,"['14:54 V5y4(逆羽) 击杀了 IGNing(德玛西亚皇子)', '14:54 IGRookie(诡术妖姬) 击杀了 V5Ben4(水晶先锋)', '14:55 IGJackeyLove(虚空之女) 击杀了 V5y4(逆羽)']"
180,55,55,56,54,65,56,55,50,55,58,60,44,57,54,58,58,55,54,59,56,24539,0,25179,0,[]
181,55,57,56,54,60,56,55,53,54,55,58,45,57,54,61,57,55,54,59,56,25061,0,25232,0,['15:3 IGJackeyLove(虚空之女) 击杀了 V5Windy(符文法师)']
182,55,55,56,54,66,59,55,51,64,59,58,45,57,54,64,50,55,54,60,57,25175,0,25283,0,['15:7 IGJackeyLove(虚空之女) 击杀了 V5Max(深海泰坦)']
183,56,46,56,54,73,69,59,56,67,67,58,45,57,54,66,41,55,54,60,57,25225,0,25334,0,[]
184,55,47,56,54,69,68,67,66,69,67,58,45,57,54,57,43,55,54,60,57,25294,0,25448,0,[]
185,52,47,5,86,70,68,68,67,67,69,58,45,95,4,62,40,55,54,60,57,25366,0,25500,0,[]
186,50,47,9,74,74,72,67,66,68,67,58,45,88,16,62,41,84,5,92,6,25675,0,25552,0,[]
187,52,50,13,64,85,78,68,65,70,65,58,45,82,29,58,43,71,6,80,13,25863,0,25603,0,['15:31 IG 击杀了火龙']
188,41,56,23,56,87,81,73,74,70,65,87,9,81,41,57,43,59,7,67,19,25968,0,25801,0,[]
189,41,56,22,53,86,79,73,74,4,96,81,19,82,56,57,41,46,9,56,29,26252,0,25852,0,[]
190,5,95,19,48,81,82,3,96,4,96,87,30,82,55,55,43,34,11,43,35,26300,0,25916,0,[]
191,17,86,16,43,80,83,6,94,14,88,89,43,81,54,47,51,24,11,32,42,26437,0,26248,0,[]
192,25,76,18,46,3,95,17,86,23,78,91,55,68,47,45,51,14,18,21,39,26523,0,26347,0,[]
193,35,64,19,47,9,81,27,74,30,68,91,67,60,36,42,46,12,19,21,29,26640,0,26497,0,[]
194,38,62,21,48,16,64,35,64,39,58,88,75,50,32,42,46,22,24,19,26,26717,0,26682,0,[]
195,45,67,21,48,19,52,31,59,34,59,87,68,50,33,90,7,30,23,30,22,26898,0,26798,0,[]
196,42,69,30,53,10,43,31,56,33,49,82,57,40,36,77,18,38,29,38,28,27032,0,26850,0,[]
197,48,78,33,49,8,31,39,54,36,49,74,50,37,43,68,27,42,40,42,41,27182,0,26932,0,[]
198,58,85,37,49,14,36,39,56,41,52,63,50,42,45,59,36,49,48,43,44,27233,0,27238,0,[]
199,70,88,37,50,21,45,39,59,40,58,51,52,44,52,50,46,46,53,47,54,27287,0,27288,0,[]
200,64,78,34,59,34,49,34,60,36,63,50,60,48,55,48,54,42,55,44,54,27615,0,27990,1,"['16:40 V5y4(逆羽) 击破了防御塔,获得一塔']"
201,70,83,42,67,37,50,39,60,41,59,57,57,48,40,55,58,50,46,49,42,27790,0,28073,1,[]
202,78,86,51,62,45,55,44,57,48,57,56,47,50,23,66,64,44,35,42,33,27973,0,28140,1,[]
203,79,83,62,61,57,55,48,56,59,59,53,41,42,17,73,63,36,25,34,23,28087,0,28280,1,[]
204,86,77,66,55,62,52,51,49,55,50,59,41,42,17,85,64,25,22,26,23,28204,0,28396,1,[]
205,87,79,66,50,66,48,57,47,49,46,59,37,42,16,87,74,17,17,39,27,28255,0,28677,1,[]
206,84,79,64,40,60,37,57,42,58,40,57,33,52,26,91,74,11,24,50,32,28356,0,28854,1,[]
207,87,78,59,45,62,52,57,46,58,45,57,40,58,37,88,73,9,29,58,39,28420,0,28920,1,[]
208,83,87,56,56,58,55,48,54,51,54,53,44,56,44,83,87,10,29,54,43,28471,0,29499,1,[]
209,73,85,58,66,2,96,54,64,52,62,45,49,46,51,78,86,7,36,52,50,28522,0,29848,2,['17:21 V5y4(逆羽) 击破了防御塔']
210,67,82,64,76,7,83,50,68,48,66,42,52,38,58,89,79,9,39,44,52,28570,0,30107,2,[]
211,62,84,62,76,8,70,38,66,40,67,32,49,28,59,91,80,7,50,37,50,28711,0,30194,2,[]
212,62,84,56,82,8,54,36,63,38,63,28,50,23,51,84,83,10,51,30,50,29002,0,30432,2,[]
213,68,91,61,83,5,58,31,68,32,64,23,42,16,50,84,88,10,39,30,45,29066,0,30512,2,[]
214,70,91,71,78,7,53,31,68,31,65,25,35,23,38,84,89,14,35,30,39,29199,0,30561,2,[]
215,67,91,80,84,7,52,4,96,3,96,25,35,38,38,95,5,14,35,30,39,29493,0,30614,2,[]
216,67,90,82,90,7,52,17,90,17,88,89,5,47,49,94,17,87,6,87,8,29545,0,30728,2,[]
217,4,95,82,90,6,45,24,79,25,78,77,6,50,49,92,29,79,16,77,19,29605,0,30822,2,[]
218,8,93,10,94,6,49,33,69,33,69,65,7,44,40,91,42,72,24,69,29,29768,0,30873,2,[]
219,17,86,22,90,6,49,39,64,38,62,54,8,31,38,90,54,60,25,61,37,29850,0,31049,2,[]
220,27,76,28,81,7,88,47,73,45,71,42,10,33,38,88,67,52,27,53,42,29900,0,31101,2,[]
221,36,66,30,69,16,79,46,69,50,65,31,11,43,43,86,80,50,32,42,33,30052,0,31303,2,[]
