,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
128,10,27,31,34,53,43,19,24,17,22,91,4,73,73,61,50,71,90,69,90,15778,0,16694,0,[]
129,3,96,31,32,50,45,11,21,15,20,82,11,69,87,59,41,69,90,70,90,15892,0,16925,0,[]
130,18,94,30,34,44,50,19,14,21,14,74,21,69,90,52,49,68,90,70,89,15944,0,16978,0,[]
131,28,89,29,35,49,46,25,9,25,9,66,32,69,90,54,47,72,92,70,89,16325,0,17190,0,[]
132,35,80,29,33,44,49,25,9,25,9,55,40,70,91,49,51,70,89,70,90,16488,0,17311,0,[]
133,42,70,23,25,42,52,23,10,23,9,49,43,69,82,48,49,72,85,72,86,16638,0,17525,0,[]
134,50,65,20,15,35,48,22,9,22,10,52,43,64,83,47,48,71,85,71,86,16690,0,17575,0,[]
135,53,67,22,14,34,48,25,9,24,9,54,52,55,80,53,58,68,90,69,89,16954,0,17626,0,[]
136,40,66,27,8,33,48,28,9,24,9,54,57,47,71,50,65,68,93,68,90,17328,0,17869,0,[]
137,40,56,27,8,4,96,31,9,26,9,49,52,46,68,50,60,70,89,71,87,18210,0,18002,0,[]
138,40,57,34,8,17,86,31,9,31,9,50,53,50,77,47,54,71,88,68,80,18418,1,18238,0,"['11:27 LGDKramer(战争女神) 击破了防御塔,获得一塔']"
139,43,55,38,13,27,76,35,9,35,9,55,42,57,83,50,46,78,85,68,80,18518,1,18410,0,[]
140,44,54,42,16,33,64,38,10,44,7,64,34,58,83,48,35,81,88,88,6,18717,1,18528,0,[]
141,39,55,46,15,40,59,49,9,49,11,65,23,59,84,58,28,77,87,73,7,18888,1,18693,0,[]
142,44,49,47,11,44,51,47,9,47,9,60,12,68,81,51,17,70,89,57,8,18941,1,19404,0,[]
143,43,45,35,16,45,44,33,11,33,11,51,11,71,68,51,19,70,94,54,11,19019,1,19517,1,['11:54 RNG 击破了防御塔']
144,49,59,25,25,46,48,19,10,19,10,50,7,68,64,51,22,63,93,55,10,19176,1,19820,1,[]
145,47,69,23,37,49,58,17,10,17,9,45,11,69,65,57,33,63,91,57,22,19226,1,19935,1,[]
146,51,83,18,43,50,65,2,96,2,96,43,10,69,62,57,44,75,91,60,37,19297,1,20188,1,[]
147,49,90,16,44,47,72,5,96,5,94,31,7,72,53,63,50,79,90,58,48,19564,1,20266,1,[]
148,51,91,22,54,50,75,14,89,13,91,29,9,75,52,74,53,79,90,65,57,19714,1,20442,1,[]
149,41,85,24,56,40,73,23,80,23,80,26,10,75,52,74,53,91,8,59,57,19797,1,20524,1,[]
150,33,74,24,56,50,84,30,70,30,69,32,8,90,5,95,4,92,15,65,56,19863,1,20575,1,[]
151,24,67,24,56,51,92,38,60,38,60,32,8,76,14,91,12,84,26,65,56,19930,1,20627,1,[]
152,18,56,12,93,56,89,46,51,44,54,95,6,63,22,85,23,81,38,64,53,20044,1,20678,1,[]
153,16,42,24,89,57,88,46,57,50,59,94,5,50,22,75,33,80,52,66,56,20097,1,20731,1,[]
154,11,32,37,89,57,94,48,59,52,66,91,13,45,23,64,39,81,57,65,57,20169,1,20795,1,[]
155,14,19,50,92,64,93,46,51,46,56,79,15,45,24,55,46,86,65,68,61,20340,1,21032,1,[]
156,14,14,60,88,69,90,47,52,47,51,67,12,52,33,54,48,86,75,79,75,20527,1,21105,1,[]
157,15,13,68,82,71,84,46,53,46,53,55,10,54,32,55,47,78,73,79,75,20680,1,21306,1,[]
158,18,12,68,80,73,85,46,57,46,57,42,10,61,36,54,48,75,67,79,75,20775,1,21454,1,[]
159,17,15,68,80,73,86,42,55,42,55,30,11,67,48,64,53,80,75,79,75,20949,1,21526,1,[]
160,8,18,72,84,81,88,39,52,39,52,29,10,77,52,67,60,82,78,79,75,21082,1,21703,1,[]
161,7,18,73,85,81,87,49,49,49,49,35,9,69,67,58,55,82,78,86,79,21212,1,21878,1,[]
162,3,95,73,85,83,87,48,49,48,49,24,13,69,80,53,49,80,81,84,81,21298,1,22048,1,[]
163,3,89,73,86,78,85,41,57,41,57,17,20,82,84,52,53,78,84,80,85,21351,1,22157,1,[]
164,84,84,80,84,81,84,81,85,81,85,14,20,88,73,53,58,87,74,86,76,21507,1,22316,1,[]
165,90,78,86,77,87,77,87,77,86,77,9,28,92,59,46,51,87,64,86,65,21553,1,22543,1,[]
166,91,73,90,70,89,70,89,71,88,69,9,32,81,49,45,55,85,52,81,51,21998,1,22601,1,[]
167,84,78,91,68,86,76,90,67,90,70,8,34,73,43,45,56,76,46,87,51,22044,1,22970,1,[]
168,74,76,83,78,77,75,89,70,91,72,9,29,68,45,44,55,86,53,82,57,22742,1,23170,1,[]
169,63,75,73,69,69,68,86,76,83,78,13,22,64,57,39,53,87,63,83,65,22815,2,23356,1,['14:2 LGD 击破了防御塔']
170,55,66,62,62,56,61,83,81,79,75,11,24,63,52,40,55,89,61,89,62,22910,2,23407,1,[]
171,43,57,56,67,44,57,83,81,79,75,9,31,54,43,40,45,90,64,90,64,22993,2,23562,1,[]
172,35,49,56,67,42,59,11,92,11,92,9,29,42,40,29,39,89,66,91,66,23044,2,23669,1,[]
173,22,50,3,96,42,59,23,86,23,86,9,28,29,35,18,35,84,64,84,63,23095,2,23722,1,[]
174,16,40,16,91,13,95,33,78,33,78,10,27,18,34,14,35,86,75,80,68,23147,2,23835,1,[]
175,15,49,29,89,25,91,40,68,40,68,10,23,11,31,23,37,81,86,81,69,23198,2,24075,1,[]
176,7,45,41,85,38,88,44,58,44,58,16,20,17,22,31,35,80,82,95,4,23302,2,24254,1,[]
177,7,34,47,75,40,73,49,52,46,49,18,17,31,22,27,35,81,79,92,8,23479,2,24423,1,[]
178,6,27,53,65,42,60,52,49,51,48,18,17,41,18,32,36,81,79,81,16,23713,2,24476,1,[]
179,9,30,57,55,51,51,56,45,56,46,92,5,42,17,45,39,92,5,71,27,23923,2,24607,1,[]
180,19,35,57,49,56,45,57,45,56,45,85,11,43,17,49,40,88,16,60,38,23979,2,24772,1,[]
181,29,38,54,44,56,45,56,46,56,45,78,22,43,16,57,40,77,25,60,41,24056,2,24860,1,[]
182,35,38,53,53,55,53,48,54,48,54,69,31,43,16,57,42,68,36,57,44,24107,2,24911,1,[]
183,35,38,52,64,57,66,50,65,50,65,59,39,92,8,59,39,58,40,59,50,24168,2,24964,1,[]
184,4,88,48,66,51,77,45,73,57,68,46,40,82,21,59,39,52,42,48,42,24292,2,25074,1,[]
185,7,74,48,66,50,90,44,70,57,68,44,44,71,31,90,16,53,51,48,48,24648,2,25198,1,[]
186,20,71,40,65,57,90,39,64,46,67,48,49,66,44,83,28,46,49,48,51,24703,2,25488,1,[]
187,31,65,39,64,64,83,38,58,38,58,57,55,65,56,80,41,55,53,51,54,24864,2,25539,1,[]
188,43,67,48,59,67,83,43,57,43,57,66,62,66,60,77,54,65,62,57,64,25032,2,25652,1,[]
189,51,62,56,63,57,84,52,60,51,60,69,65,75,70,79,68,67,65,63,62,25084,2,25703,1,[]
190,56,66,58,61,51,78,59,62,59,61,77,62,74,78,73,78,75,65,71,64,25220,2,25748,1,[]
191,49,58,54,52,56,68,52,52,52,52,73,65,71,68,66,78,70,68,70,62,25367,2,25837,1,[]
192,52,49,52,43,48,57,52,47,52,47,68,65,66,71,72,70,68,65,67,56,25640,2,25984,1,[]
193,55,43,49,35,42,51,52,41,55,43,66,44,67,66,66,64,72,70,61,51,26118,3,26076,1,"['16:4 LGDLies(狂暴之心) 击破了防御塔', '16:2 RNG 击杀了风龙']"
194,52,55,47,35,26,49,44,36,42,34,61,41,69,62,66,54,72,84,65,50,26259,3,26284,1,[]
195,48,55,36,40,22,45,43,47,43,47,68,33,80,56,57,44,65,88,94,5,26312,3,26335,1,[]
196,40,66,29,50,16,42,50,49,50,49,68,33,81,55,46,36,59,85,89,13,26465,3,26474,1,[]
197,36,77,24,58,11,33,51,49,51,49,92,4,76,58,44,32,63,82,77,23,26690,3,26854,1,[]
198,40,89,24,55,8,27,49,50,49,50,82,12,65,67,41,31,63,82,65,34,26933,3,26957,2,['16:28 RNG 击破了防御塔']
199,51,92,17,45,12,23,44,53,44,53,73,22,66,71,29,23,63,83,64,36,27005,3,27008,2,[]
200,53,93,15,34,13,15,44,53,44,53,61,40,62,84,19,24,60,85,60,40,27135,3,27233,2,[]
201,54,90,16,37,14,15,5,95,5,95,57,44,60,86,18,24,59,85,57,49,27188,3,27736,2,[]
202,53,92,11,32,15,15,16,93,16,93,56,54,56,92,16,19,56,89,53,55,27240,3,27955,2,['16:49 RNGKarsa(虚空遁地兽) 击杀了 LGDLies(狂暴之心)']
203,53,92,11,32,12,23,29,92,29,92,49,54,56,92,27,22,55,92,47,54,27291,3,28164,2,[]
204,53,92,17,44,11,30,42,91,42,91,48,53,67,82,38,10,61,87,51,54,27481,3,28361,2,[]
205,53,92,24,56,11,30,45,91,44,91,43,55,69,65,41,7,61,86,46,59,27569,3,28523,2,[]
206,53,92,35,59,9,93,36,87,36,87,42,55,68,50,31,7,95,4,43,56,27650,3,28597,2,[]
207,53,92,37,57,19,84,32,75,38,74,45,52,73,44,29,9,93,11,49,50,27702,3,28726,2,[]
208,53,92,31,54,26,72,36,63,35,61,57,50,76,43,26,16,86,23,41,41,27753,3,28863,2,[]
209,14,95,33,43,32,59,44,54,44,54,71,50,78,46,24,28,81,36,41,31,27867,3,28914,2,[]
210,26,94,29,38,32,45,48,51,46,53,75,50,78,51,26,33,79,50,35,23,28217,3,29065,2,[]
211,41,93,22,43,26,33,42,43,41,40,67,42,76,58,28,23,75,64,35,23,28265,3,29112,2,[]
212,53,93,18,44,16,22,40,37,40,38,63,39,75,72,40,15,71,78,93,7,28508,3,29373,2,[]
213,55,89,18,44,13,19,43,47,38,36,63,35,73,78,45,13,77,85,84,20,28654,3,29569,2,[]
214,55,93,18,44,22,27,42,55,38,36,60,34,63,83,45,13,74,88,71,30,28705,3,29652,2,[]
215,50,93,11,93,26,25,46,51,14,94,55,45,59,85,45,12,67,90,61,43,28842,3,29919,2,[]
216,50,94,24,92,32,17,45,54,26,88,54,46,68,80,40,15,66,88,58,43,28923,3,30161,2,[]
217,51,93,34,86,34,9,39,65,29,74,58,39,68,80,48,9,59,85,53,46,29055,3,30211,2,[]
218,48,93,39,76,26,12,43,68,39,73,53,28,88,6,41,8,60,83,47,38,29320,3,30447,2,[]
219,51,93,50,79,26,25,45,69,47,77,47,17,75,13,48,6,71,76,43,33,29372,3,30528,2,[]
220,57,91,58,84,30,38,42,67,58,84,40,9,63,23,48,6,75,75,50,34,29518,3,30684,2,[]
221,53,90,64,82,23,29,43,57,63,83,34,9,48,27,91,6,88,79,51,33,29639,3,30736,2,[]
222,63,89,68,78,23,34,47,52,68,82,22,12,49,25,80,14,90,74,45,38,29909,3,30908,2,[]
