,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
111,14,18,51,45,50,49,84,79,78,74,19,14,74,49,50,44,89,76,89,76,15181,0,13383,0,[]
112,21,20,42,42,46,44,80,75,79,77,19,12,73,43,56,45,90,78,90,75,15232,0,13578,0,[]
113,28,20,43,49,51,46,84,79,83,80,17,12,74,44,58,45,91,77,90,74,15313,0,13823,0,[]
114,24,24,47,59,48,49,88,77,89,79,19,18,68,40,56,48,90,70,90,70,15416,0,13932,0,[]
115,18,24,46,65,46,51,86,77,85,78,13,19,57,34,53,47,90,70,90,70,15642,0,14025,0,[]
116,13,18,42,67,48,54,86,79,84,78,15,17,52,35,52,46,90,74,90,74,15754,0,14339,0,[]
117,7,30,32,61,48,57,85,80,79,75,13,22,47,35,46,41,88,77,88,77,15854,0,14411,0,[]
118,6,26,24,57,2,96,79,83,79,75,19,25,35,38,34,39,91,71,88,73,15993,0,14534,0,[]
119,7,27,23,55,12,90,79,83,2,96,18,23,39,43,43,45,89,72,90,73,16122,0,14625,0,[]
120,7,31,17,46,20,82,5,91,7,86,10,16,43,44,48,51,87,67,87,67,16177,0,14679,0,[]
121,7,32,15,44,27,73,8,80,13,75,11,14,44,42,49,52,87,67,87,67,16309,0,14863,0,[]
122,4,96,20,45,34,64,9,69,17,64,95,4,95,4,52,46,92,5,92,6,16414,0,14918,0,[]
123,21,94,24,47,40,57,10,58,18,53,94,9,83,8,52,45,84,8,89,6,16577,0,14973,0,[]
124,34,93,25,46,36,48,11,47,22,43,94,18,72,15,94,4,72,7,78,7,16726,0,15020,0,[]
125,47,91,24,41,35,49,11,36,28,37,93,30,63,23,85,12,61,8,68,7,16777,0,15072,0,[]
126,60,90,30,34,45,52,12,25,26,31,90,42,48,23,76,21,50,9,58,9,16895,0,15127,0,[]
127,76,86,31,34,47,53,15,17,26,32,89,52,36,24,68,30,39,11,47,9,17010,0,15179,0,[]
128,85,82,29,33,40,51,14,17,26,36,88,64,25,22,59,39,28,11,36,11,17173,0,15293,0,[]
129,85,82,26,32,31,43,10,17,23,31,86,77,15,19,55,43,20,14,25,13,17252,0,15442,0,[]
130,74,87,28,34,28,36,18,18,25,35,88,78,26,13,56,46,21,11,22,11,17303,0,15676,0,[]
131,71,82,30,32,30,38,21,24,23,28,84,79,37,14,57,48,21,11,23,9,17458,0,15773,0,[]
132,79,85,26,30,35,48,14,15,18,19,79,78,43,18,54,47,26,10,32,11,17510,0,15854,0,[]
133,79,85,2,96,45,51,15,14,16,15,83,85,43,17,54,49,26,11,28,11,17680,0,16038,0,[]
134,78,86,16,95,47,50,15,16,13,14,83,84,40,16,56,46,20,13,20,13,17822,0,16297,0,[]
135,79,87,28,93,50,53,12,14,13,17,82,84,36,16,58,50,22,11,22,10,17873,0,16384,0,[]
136,75,88,40,92,46,54,8,16,8,18,83,87,27,20,68,50,21,11,25,16,17928,0,16530,0,[]
137,77,90,52,88,47,53,8,16,8,18,77,80,21,27,77,54,19,12,22,27,18043,0,16591,0,[]
138,80,89,56,83,46,52,9,95,11,93,79,75,27,24,79,52,13,12,19,18,18299,0,16642,0,[]
139,81,90,56,81,48,51,21,94,25,93,84,82,38,26,72,49,16,14,14,15,18530,0,16793,0,[]
140,2,96,52,84,56,47,33,94,38,92,81,86,44,36,66,47,18,14,16,12,18581,0,16992,0,[]
141,4,79,55,75,53,45,46,93,52,88,80,84,50,40,61,44,16,16,15,13,18796,0,17287,0,[]
142,6,66,57,64,52,48,58,92,58,84,78,73,48,34,57,41,19,15,19,15,18847,0,17359,0,[]
143,7,53,63,61,52,48,70,91,70,88,71,64,39,27,57,46,18,16,18,15,19027,0,17405,0,[]
144,7,40,58,60,48,51,70,92,70,88,76,56,27,34,55,47,10,26,11,23,19269,0,17501,0,[]
145,6,31,63,63,48,54,79,85,72,85,82,59,18,34,52,48,10,27,7,26,19400,0,17865,0,[]
146,5,31,75,71,52,53,82,84,82,81,89,67,14,34,46,41,10,24,10,24,19534,0,17953,0,[]
147,6,35,79,75,54,54,86,75,84,78,89,57,14,36,35,37,11,26,11,28,19595,0,18108,0,[]
148,9,47,70,67,52,53,89,71,88,72,82,51,7,29,42,38,8,26,9,32,19874,0,18345,0,[]
149,21,50,64,70,52,52,91,66,89,69,92,55,13,22,52,41,7,20,10,27,20937,1,18396,0,"['12:25 LGD 击破了防御塔,获得一塔']"
150,22,41,66,69,50,54,92,62,92,61,93,52,15,22,55,47,7,19,7,19,21114,1,18470,0,[]
151,33,37,67,70,51,54,89,57,86,53,90,45,95,4,50,48,95,5,95,4,21170,1,18523,0,[]
152,46,36,66,69,54,48,83,50,80,49,91,46,91,15,58,39,90,15,90,15,21321,1,18624,0,[]
153,52,35,68,62,55,43,70,49,71,40,90,47,82,23,57,32,80,23,80,23,21372,1,18764,0,['12:43 LGD 击杀了风龙']
154,48,40,66,55,55,44,59,46,63,51,86,51,72,31,51,34,71,31,71,31,21582,1,18877,0,[]
155,50,50,56,50,53,47,51,47,50,49,90,53,68,40,47,38,62,40,62,40,21678,1,19065,0,[]
156,61,60,50,52,49,51,41,41,39,43,89,61,69,42,55,32,56,48,56,48,21773,1,19182,0,[]
157,68,64,46,64,46,50,29,33,28,33,87,73,66,53,42,32,55,47,53,45,21935,1,19269,0,[]
158,76,77,47,65,38,56,25,23,19,23,88,80,66,55,47,22,54,46,53,44,22068,1,19448,0,[]
159,80,86,47,73,38,56,21,14,25,16,85,81,71,49,41,15,54,43,54,43,22182,1,19615,0,[]
160,79,88,51,74,2,96,17,12,15,17,86,80,72,42,31,10,47,39,45,40,22338,1,19781,0,[]
161,73,90,53,77,14,89,16,10,12,13,84,78,72,41,27,8,41,31,40,30,22512,1,20095,0,[]
162,72,89,53,76,24,78,16,10,12,13,79,74,61,36,28,8,48,41,48,41,22686,1,20189,0,[]
163,70,88,2,96,34,68,4,91,2,96,82,79,51,27,23,10,48,49,47,49,22737,1,20303,0,[]
164,71,91,10,82,42,57,5,80,6,80,79,87,47,25,20,15,50,46,50,47,22851,1,20480,0,[]
165,72,89,16,69,41,58,7,66,11,66,87,85,47,23,17,17,44,36,48,43,22965,1,20694,0,[]
166,75,87,20,59,42,58,7,52,17,55,87,85,44,16,19,16,49,42,49,42,23084,1,20779,0,[]
167,71,89,24,58,46,55,8,37,12,47,93,6,44,17,13,15,52,44,52,44,23260,1,20901,0,[]
168,69,89,30,56,46,55,9,27,9,31,90,15,37,13,14,11,50,47,49,48,23351,1,21010,0,[]
169,2,96,31,45,46,57,14,21,16,21,84,25,26,8,15,11,47,49,47,49,23447,1,21128,0,[]
170,14,95,35,38,43,54,16,17,13,20,81,37,15,10,16,9,50,46,50,46,23626,1,21178,0,[]
171,31,94,35,36,44,54,20,14,16,17,79,49,16,12,17,9,48,38,48,38,23737,1,21252,0,[]
172,45,92,25,28,45,55,20,12,21,8,75,61,28,8,22,9,44,33,44,33,23845,1,21303,0,[]
173,58,89,30,20,42,44,28,11,23,10,78,73,36,7,38,7,36,24,36,24,23926,1,21377,0,[]
174,72,89,35,24,46,48,24,11,24,11,82,83,42,6,28,6,47,24,47,24,24133,1,21456,0,[]
175,81,85,31,17,51,49,22,12,20,11,78,73,42,6,39,7,56,32,56,32,24460,1,21509,0,[]
176,80,84,37,15,52,45,21,10,22,12,81,83,90,4,46,6,57,42,57,42,24593,1,21704,0,[]
177,72,91,29,8,50,48,25,9,26,10,80,85,89,5,46,13,51,43,54,47,24688,1,22410,0,[]
178,70,90,29,8,44,53,25,9,26,10,78,84,80,12,46,7,49,53,50,52,25261,1,22546,0,['14:49 V5y4(虚空之女) 击杀了 LGDYuuki(万花通灵)']
179,71,89,27,12,44,53,33,10,29,10,78,73,68,10,45,7,48,53,50,49,25389,2,22597,0,['14:53 LGDKramer(圣枪游侠) 击破了防御塔']
180,73,90,25,28,44,53,37,8,35,10,77,80,55,9,48,7,46,56,46,56,25596,2,22811,0,[]
181,72,85,31,40,44,53,33,17,36,16,78,87,47,11,46,7,47,57,48,55,25668,2,22976,0,[]
182,79,85,38,51,44,53,24,22,26,23,78,86,38,14,40,11,55,66,55,66,26061,2,23136,0,[]
183,81,83,41,54,44,53,24,22,20,26,78,84,34,17,38,10,62,76,62,76,26239,2,23188,0,['15:13 LGDLies(战争之影) 击杀了 V5Aliez(荒漠屠夫)']
184,76,90,32,44,44,53,7,96,20,26,78,84,29,20,36,8,74,87,74,87,26290,2,23846,0,[]
185,74,92,29,37,5,96,16,88,3,96,78,84,36,24,40,8,80,85,80,85,26462,2,23900,0,['15:21 V5y4(虚空之女) 击杀了 LGDLies(战争之影)']
186,74,92,33,39,50,51,25,78,12,91,78,84,43,33,40,8,88,83,88,83,26598,2,23953,0,[]
187,74,92,45,43,50,49,35,68,24,79,78,84,56,33,91,6,88,83,88,83,26648,2,24004,0,[]
188,74,92,46,43,51,50,46,56,36,67,78,84,58,42,90,14,91,5,93,7,26804,2,24051,0,[]
189,74,92,55,43,58,46,56,46,48,54,78,84,57,40,89,18,89,6,89,6,26861,2,24257,0,[]
190,74,92,56,44,57,46,57,46,56,47,93,6,58,40,58,40,82,16,82,16,27497,2,24310,0,[]
191,2,96,50,48,53,47,52,47,52,46,84,10,57,34,68,41,74,26,74,26,27618,3,24364,0,['15:51 LGDKramer(圣枪游侠) 击破了防御塔']
192,6,75,39,51,37,50,50,61,50,48,72,11,54,31,77,46,65,35,65,35,27681,3,24601,0,[]
193,8,62,24,47,28,50,51,66,52,63,56,9,57,34,78,49,61,40,59,38,27764,3,24767,0,[]
194,9,48,19,46,29,51,55,67,51,68,43,10,56,43,83,61,60,41,56,46,27987,3,24899,0,[]
195,10,29,16,43,43,55,65,77,54,65,31,11,46,39,87,73,53,41,46,38,28126,3,24952,0,[]
196,13,18,16,43,46,55,74,86,57,68,26,16,48,34,84,80,56,41,47,35,28318,3,25033,0,[]
197,14,14,16,43,48,53,80,83,55,66,24,13,48,34,90,69,50,47,50,47,28434,3,25085,0,[]
198,13,18,9,93,48,53,83,80,50,59,31,16,92,10,82,59,55,42,55,42,28562,3,25157,0,[]
199,16,14,23,84,49,53,82,82,55,61,41,17,84,21,79,54,55,43,55,43,28725,3,25346,0,[]
200,17,12,35,77,49,57,84,82,53,62,44,16,74,28,79,53,54,43,55,45,29084,3,25537,0,[]
201,16,18,51,77,49,57,79,82,53,62,43,16,66,37,82,51,52,44,52,46,29136,3,25784,0,[]
202,22,30,55,82,12,90,78,83,11,93,44,14,57,41,93,56,46,36,46,36,29269,3,25928,0,[]
203,22,44,57,84,27,88,2,96,26,85,41,10,50,46,93,57,49,48,49,48,29390,3,26258,0,[]
204,25,57,54,82,42,88,2,96,38,73,38,7,49,42,86,50,49,47,49,47,29507,3,26427,0,[]
205,24,56,61,74,58,88,46,54,43,59,30,10,42,35,87,46,42,38,42,38,29688,3,26480,0,[]
206,19,49,70,79,73,87,56,57,54,64,25,10,30,35,87,46,31,36,31,36,29740,3,26596,0,[]
207,14,36,78,73,83,81,57,55,62,58,22,11,21,27,88,5,33,37,25,37,29821,3,26690,0,[]
208,8,28,78,72,84,80,54,48,56,54,24,22,11,23,75,6,45,37,35,37,29949,3,26741,0,[]
209,7,32,76,59,87,67,58,45,58,48,12,23,8,27,71,15,53,33,46,35,30171,3,26791,0,[]
210,5,44,77,49,92,65,54,44,63,50,8,28,7,29,70,27,59,35,57,33,30373,3,26883,0,[]
211,5,44,82,48,87,56,65,50,79,50,7,28,7,29,81,34,61,37,64,36,30427,3,27533,1,['17:35 V5Ben4(狂战士) 击破了防御塔']
212,3,93,82,43,89,49,79,49,87,49,9,28,13,22,90,41,64,35,75,34,30529,3,27819,1,[]
213,4,76,88,44,92,47,88,48,89,49,9,18,14,22,90,41,74,35,85,36,31147,3,27865,1,[]
214,6,59,80,51,89,51,84,50,85,52,9,18,94,6,92,44,86,38,88,44,31219,4,28014,1,['17:47 LGDRD(琴瑟仙女) 击破了防御塔']
215,8,53,76,56,78,53,76,49,77,55,94,7,88,17,90,48,89,50,89,50,31374,4,28171,1,[]
216,8,46,67,64,71,65,61,50,71,66,89,15,82,29,79,50,81,51,78,50,31582,4,28224,1,[]
217,11,39,58,63,58,64,56,60,61,63,49,49,71,34,53,50,56,50,53,50,31635,4,28360,1,[]
218,11,34,55,62,49,65,49,59,52,61,50,53,66,44,48,54,52,54,50,53,31708,4,28433,1,[]
219,51,53,55,54,56,58,48,55,53,57,55,54,65,56,51,51,55,53,55,53,33393,4,28506,1,['18:15 LGDYuuki(万花通灵) 击杀了 V5y4(虚空之女)']
220,52,51,55,55,54,49,54,50,55,52,55,54,65,56,58,42,54,53,55,53,33508,4,28559,1,"['18:17 LGDYuuki(万花通灵) 击杀了 V5Aliez(荒漠屠夫)', '18:18 LGDLies(战争之影) 击杀了 V5Max(魔法猫咪)']"
221,56,41,62,62,56,41,56,44,55,52,55,54,66,45,64,37,54,53,55,53,33713,4,28612,1,[]
222,61,41,64,71,62,41,62,41,64,41,55,54,66,33,65,34,54,53,55,53,33764,4,28664,1,[]
223,64,31,64,71,68,36,65,35,67,36,55,54,69,32,68,28,54,53,55,53,33866,4,28715,1,[]
224,63,35,64,71,64,36,66,36,65,37,55,54,67,30,67,29,54,53,55,53,33917,4,28871,1,[]
225,63,33,65,70,65,36,65,35,64,34,55,54,70,30,65,30,54,53,55,53,34668,5,28924,1,['18:44 LGDYuuki(万花通灵) 击破了防御塔']
226,53,43,66,71,60,40,63,38,61,38,55,54,67,27,69,31,95,3,93,5,34810,5,28977,1,['18:48 LGD 击杀了水龙']
227,44,55,66,71,50,46,58,40,54,44,55,54,57,23,65,35,86,10,86,10,34875,5,29029,1,[]
228,44,55,5,95,48,48,48,38,45,52,86,9,51,26,58,42,77,19,77,19,34938,5,29142,1,[]
229,4,95,20,87,2,96,42,39,45,52,76,16,48,34,60,41,68,30,68,30,34999,5,29245,1,[]
230,21,94,32,80,13,90,33,43,10,91,65,21,56,33,73,42,61,37,60,38,35082,5,29378,1,[]
231,36,91,42,70,20,77,31,49,20,77,53,21,66,41,80,49,59,36,60,39,35142,5,29588,1,[]
232,46,82,46,65,31,66,31,49,30,65,41,17,67,48,88,56,54,33,54,41,35294,5,29691,1,[]
233,50,74,51,63,43,57,10,93,33,59,40,17,64,51,91,57,52,27,47,36,35345,5,29943,1,[]
234,48,77,49,58,49,53,21,86,45,55,38,15,76,50,91,57,54,31,54,31,35452,5,30113,1,[]
235,51,77,39,52,49,49,33,79,42,53,37,14,80,54,91,57,57,41,57,41,35533,5,30227,1,[]
236,49,81,34,42,43,47,47,79,32,45,29,17,80,54,90,6,58,39,58,40,35691,5,30500,1,[]
237,56,82,26,32,39,44,51,64,24,36,24,23,83,51,81,14,58,40,58,40,35885,5,30595,1,[]
