BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
8,27,24,48,39,58,80,88,32,66,83,79,41,42,40,51,12,22,41,42,25323,0,28517,1,"['15:42 EDGMeiko(Ä§·¨Ã¨ßä) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
7,30,16,43,33,59,80,87,32,55,81,78,36,40,31,51,8,26,32,42,25484,0,28602,1,[]
7,31,15,41,31,55,78,87,32,55,83,83,32,44,31,54,8,27,31,54,25660,0,29338,1,[]
8,28,21,51,35,63,69,91,32,58,78,87,32,59,33,59,9,24,33,59,25739,0,29801,1,['15:57 EDGJiejie(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË BLGXinMo(Éîº£Ì©Ì¹)']
7,37,25,57,35,65,57,88,32,58,75,88,40,58,37,62,11,22,37,62,25791,0,30075,1,['16:3 EDGScout(½âÍÑÕß) »÷É±ÁË BLGKuro(»ÄÄ®ÍÀ·ò)']
5,43,31,54,35,65,60,88,32,58,73,87,48,51,45,53,8,23,45,53,25868,0,30196,1,[]
5,43,32,59,35,65,62,92,32,58,67,90,38,50,34,49,12,24,34,49,26083,0,30569,1,[]
4,96,39,64,35,65,66,93,32,58,66,91,35,48,30,52,8,32,27,51,26138,0,31651,2,"['16:19 EDGiBoy(°µÒ¹ÁÔÊÖ) »÷ÆÆÁË·ÀÓùËþ', '16:18 EDGJinoo(¿ñ±©Ö®ÐÄ) »÷É±ÁË BLGJinjiao(ÇÙÉªÏÉÅ®)']"
10,95,46,72,35,65,66,93,32,58,60,91,35,48,42,51,10,39,19,47,26190,0,31797,3,['16:22 EDGJinoo(¿ñ±©Ö®ÐÄ) »÷ÆÆÁË·ÀÓùËþ']
23,94,57,76,35,65,66,93,14,95,60,92,90,5,48,51,10,41,11,42,26241,0,32170,3,[]
36,93,64,88,35,65,66,93,28,94,65,89,81,12,49,50,11,38,11,38,26293,0,32422,3,[]
49,92,74,91,3,94,66,93,42,93,75,90,73,24,51,48,14,35,14,35,26430,0,32474,3,[]
61,90,72,91,4,80,66,93,57,91,83,82,66,36,95,4,14,35,14,35,26685,0,32526,3,[]
71,88,62,85,6,67,6,94,69,88,89,81,52,36,87,16,90,6,93,9,26765,0,32641,3,[]
81,84,56,83,6,54,16,84,77,85,89,81,53,34,78,25,81,16,82,16,27040,0,32743,3,[]
