,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,TESMoyu, ,TESAKi, ,TESKnight9, ,TESLokeN, ,TESQiuQiu, ,blue_economics,blue_towers,red_economics,red_towers,captions
17,49,59,23,47,17,33,68,79,69,80,46,23,47,24,54,47,81,66,79,65,0,0,0,0,[]
18,49,53,23,46,10,29,69,82,69,79,47,25,48,26,50,47,89,68,87,69,0,0,0,0,[]
19,45,53,21,46,9,20,75,87,73,86,48,22,49,26,52,50,86,76,90,78,0,0,0,0,[]
20,46,50,21,45,13,18,81,86,83,89,41,15,47,24,53,48,85,80,87,85,0,0,0,0,[]
21,46,56,20,45,14,17,83,85,86,87,27,15,44,23,49,50,87,80,88,84,0,0,0,0,[]
22,48,55,17,44,13,14,82,86,85,87,20,13,42,19,51,48,85,79,87,81,0,0,0,0,[]
23,44,57,15,43,14,15,80,85,84,86,20,14,44,16,49,50,84,82,87,82,0,0,0,0,[]
24,42,54,15,43,14,17,80,87,84,89,19,13,46,16,50,51,84,80,87,85,0,0,0,0,[]
25,41,56,21,52,15,14,81,87,85,88,21,12,41,16,46,52,82,82,87,82,0,0,0,0,[]
26,44,54,25,55,12,16,82,88,85,87,18,14,44,16,52,50,82,80,85,81,0,0,0,0,[]
27,44,54,23,56,14,15,81,88,83,87,21,11,46,16,49,50,83,82,85,81,0,0,0,0,[]
28,45,52,31,60,14,14,82,89,83,90,21,12,51,24,50,49,84,80,86,84,0,0,0,0,[]
29,43,58,41,66,16,13,80,86,84,88,23,12,54,32,47,52,84,80,87,83,0,0,0,0,[]
30,44,56,46,63,20,19,80,86,84,87,28,9,53,33,50,49,84,80,86,81,0,0,0,0,[]
31,43,55,46,63,20,19,80,85,85,86,24,8,54,32,50,50,85,80,87,81,0,0,0,0,[]
32,44,56,46,66,20,13,80,87,83,88,25,8,56,32,49,51,84,82,86,83,0,0,0,0,[]
33,43,54,50,73,20,14,80,87,80,87,23,8,65,39,50,50,86,79,86,82,0,0,0,0,[]
34,41,54,52,73,18,10,81,85,81,85,25,10,72,42,47,52,86,80,87,82,0,0,0,0,[]
35,43,54,51,76,18,11,80,86,80,86,24,11,75,44,47,51,85,80,86,82,0,0,0,0,[]
36,41,55,54,83,19,10,82,85,82,86,24,12,77,48,49,50,84,79,87,81,0,0,0,0,[]
37,43,57,56,82,19,12,81,85,82,86,25,11,77,53,49,51,84,79,87,82,0,0,0,0,[]
38,41,57,55,83,17,14,83,86,81,85,23,12,74,64,48,52,85,79,86,81,0,0,0,0,[]
39,40,57,59,83,16,12,82,86,80,86,23,13,65,70,48,52,85,80,85,81,0,0,0,0,[]
40,41,56,68,81,12,13,81,85,82,86,18,10,67,64,47,53,84,79,85,79,0,0,0,0,[]
41,40,57,72,71,17,14,82,82,82,82,21,9,69,63,45,55,88,80,88,81,0,0,0,0,[]
42,48,58,68,62,17,15,80,81,80,81,19,10,67,59,53,53,87,82,85,81,0,0,0,0,[]
43,58,60,66,53,13,19,79,81,80,79,17,13,67,53,61,50,86,79,85,79,0,0,0,0,[]
44,64,57,66,55,12,16,83,81,82,79,16,15,75,47,61,50,89,79,87,78,0,0,0,0,[]
45,53,56,55,55,13,18,86,81,86,81,18,15,81,57,52,48,87,76,89,78,0,0,0,0,[]
46,48,55,46,51,9,20,83,84,83,84,16,18,76,54,52,48,87,78,88,79,0,0,0,0,[]
47,45,53,38,42,11,21,85,84,87,83,16,17,75,56,53,50,86,77,88,78,0,0,0,0,[]
48,45,50,31,38,6,27,86,82,86,82,10,23,75,60,50,49,87,76,90,77,0,0,0,0,[]
49,48,55,25,37,7,28,88,83,86,83,12,22,77,60,54,48,88,75,87,76,0,0,0,0,[]
50,47,56,25,37,7,25,83,85,79,80,15,22,76,59,53,50,87,76,88,78,0,0,0,0,[]
51,47,54,3,94,8,23,84,85,82,83,14,19,81,66,52,49,86,77,88,79,0,0,0,0,[]
52,45,54,8,84,8,24,85,84,86,85,14,19,88,71,52,46,87,77,89,79,0,0,0,0,[]
53,43,56,13,73,9,25,87,83,87,83,13,20,87,70,57,44,86,76,87,78,0,0,0,0,[]
54,42,58,18,62,9,25,86,82,87,82,14,21,87,70,57,44,86,77,89,77,0,0,0,0,[]
55,2,96,18,50,11,24,84,83,84,83,14,17,87,70,57,43,87,77,88,79,0,0,0,0,[]
56,4,95,15,43,8,24,84,83,84,83,12,22,84,61,54,43,86,77,89,79,0,0,0,0,[]
57,42,57,14,43,10,26,83,85,83,85,11,20,84,59,55,46,87,78,88,79,0,0,0,0,[]
58,50,54,20,51,10,24,82,84,82,84,15,19,79,56,59,44,88,78,88,70,0,0,0,0,[]
59,55,53,25,56,9,26,85,81,85,81,12,21,72,64,62,42,89,74,87,66,0,0,0,0,[]
60,46,55,25,58,10,27,84,79,79,77,13,21,77,64,62,42,93,69,95,4,0,0,0,0,[]
61,45,55,26,59,7,27,88,78,80,75,12,23,95,4,91,8,91,65,94,15,0,0,0,0,[]
62,45,54,37,64,6,27,85,78,3,96,10,25,83,5,82,15,90,69,93,28,0,0,0,0,[]
63,43,54,45,65,8,27,86,79,10,93,13,22,72,7,76,24,90,73,92,41,0,0,0,0,[]
64,46,56,46,64,9,28,86,76,19,87,12,21,60,9,68,31,90,70,91,53,0,0,0,0,[]
65,45,56,41,70,9,29,82,78,28,81,12,23,48,11,60,39,91,69,90,66,0,0,0,0,[]
66,45,56,40,71,8,27,80,75,40,71,13,21,43,16,53,47,89,71,90,71,0,0,0,0,[]
67,48,54,51,66,7,29,2,96,51,66,10,23,45,15,50,47,89,71,92,74,0,0,0,0,[]
68,53,46,56,56,10,24,15,95,56,56,14,17,45,15,55,42,89,70,87,70,0,0,0,0,[]
69,48,49,59,50,10,22,26,94,58,50,16,17,46,16,59,41,95,4,78,64,0,0,0,0,[]
70,56,54,66,56,7,24,37,92,66,56,13,21,48,19,58,42,94,14,76,56,0,0,0,0,[]
71,57,54,70,65,10,22,48,91,70,65,14,19,53,29,59,41,93,24,72,49,0,0,0,0,[]
72,54,49,75,68,11,23,59,90,76,62,13,19,54,32,57,41,91,35,70,49,0,0,0,0,[]
73,55,48,70,78,10,29,70,88,74,68,12,23,54,32,56,42,90,46,80,54,0,0,0,0,[]
74,52,51,61,82,8,26,81,83,77,78,12,22,58,34,57,41,89,56,82,65,0,0,0,0,[]
75,55,56,56,82,9,25,86,82,87,82,13,21,65,40,56,42,88,67,87,67,0,0,0,0,[]
76,46,55,56,82,10,24,82,82,82,82,13,19,65,51,59,48,85,77,87,77,0,0,0,0,[]
77,43,56,60,83,7,27,80,85,80,85,12,19,63,60,55,53,85,81,88,82,0,0,0,0,[]
78,46,54,67,80,7,28,81,85,81,85,12,13,63,61,52,50,88,80,82,78,0,0,0,0,[]
79,48,55,76,77,8,28,81,82,78,82,12,13,66,62,52,48,85,79,82,80,0,0,0,0,[]
80,47,55,89,76,2,96,84,79,84,79,95,4,73,64,52,48,89,73,83,80,0,0,0,0,"['6:38 SNWeiwei(¿ñÕ½Ê¿) »÷É±ÁË TESQiuQiu(À×öªÅØÏø),»ñµÃÒ»Ñª']"
81,45,52,83,78,5,89,83,79,82,78,89,4,82,66,53,49,89,71,83,80,0,0,0,0,[]
82,44,52,76,69,8,79,82,79,78,73,75,5,88,68,52,48,88,71,95,4,0,0,0,0,[]
83,43,52,79,63,10,68,87,76,75,63,64,6,84,66,53,48,90,70,94,18,0,0,0,0,[]
84,47,55,74,67,17,61,87,81,77,70,49,7,87,58,52,47,91,70,93,30,0,0,0,0,[]
85,51,52,73,70,19,50,86,78,83,78,38,8,82,49,53,42,93,67,91,43,0,0,0,0,[]
86,49,49,2,96,23,41,85,81,86,81,27,11,76,44,57,42,88,73,89,55,0,0,0,0,[]
87,47,54,6,87,23,31,84,81,87,83,17,15,72,42,56,44,90,77,89,67,0,0,0,0,[]
88,46,51,15,79,18,22,84,88,84,88,18,15,69,40,56,45,90,69,90,72,0,0,0,0,[]
89,46,44,24,71,15,18,84,88,84,88,16,12,59,34,58,42,89,73,90,75,0,0,0,0,[]
90,49,46,33,62,16,16,6,95,8,95,19,11,49,33,58,43,86,77,88,80,0,0,0,0,[]
91,51,45,42,54,21,20,10,95,15,94,25,9,39,37,59,45,81,85,83,88,0,0,0,0,[]
92,48,45,42,43,19,17,21,94,26,93,22,11,38,37,59,41,84,86,81,85,0,0,0,0,[]
93,41,35,41,31,19,14,32,93,36,91,23,8,40,27,57,43,81,87,80,84,0,0,0,0,[]
94,41,26,43,22,21,13,43,92,47,91,24,8,39,15,58,39,87,85,79,74,0,0,0,0,[]
95,44,12,46,15,27,12,54,92,58,90,30,8,42,8,54,49,87,85,76,69,0,0,0,0,[]
96,40,8,40,9,25,11,66,91,69,89,25,7,46,5,50,48,92,9,66,62,0,0,0,0,['7:57 SNWeiwei(¿ñÕ½Ê¿) »÷É±ÁË TESAKi(°µÒá½£Ä§)']
97,36,15,33,17,24,12,74,89,72,89,33,6,46,5,49,52,92,19,55,57,0,0,0,0,[]
98,37,14,25,25,22,11,83,84,80,84,44,7,46,5,50,49,91,31,52,54,0,0,0,0,[]
99,36,16,31,36,22,12,83,83,80,79,41,9,86,8,47,38,90,43,50,43,0,0,0,0,[]
100,26,22,29,37,25,9,80,84,75,74,31,8,77,14,42,32,89,54,47,37,0,0,0,0,[]
101,25,28,24,40,23,9,85,81,77,77,28,8,66,20,44,36,88,66,56,47,0,0,0,0,[]
102,25,28,24,46,23,10,82,81,85,84,31,7,56,23,44,36,90,76,66,54,0,0,0,0,[]
103,5,95,25,46,21,12,84,83,87,85,34,6,48,26,91,8,88,74,71,63,0,0,0,0,[]
104,13,89,16,43,16,17,86,81,86,81,34,6,45,24,79,21,88,73,80,65,0,0,0,0,[]
105,24,79,16,44,17,16,85,82,86,82,94,4,43,19,69,32,89,76,87,72,0,0,0,0,[]
106,32,70,22,54,17,16,85,78,85,78,94,4,45,15,60,41,91,73,89,74,0,0,0,0,[]
107,40,62,24,57,12,20,87,76,86,76,19,11,46,15,52,48,92,68,93,70,0,0,0,0,[]
108,45,54,33,61,11,21,78,73,78,73,16,11,46,15,53,47,90,70,91,72,0,0,0,0,[]
109,46,56,44,67,2,96,75,65,75,65,20,8,49,19,51,47,89,71,90,73,0,0,0,0,[]
110,51,54,46,64,4,89,76,74,76,74,21,10,51,30,53,45,88,75,90,80,0,0,0,0,[]
111,63,57,56,63,11,69,82,83,82,83,19,13,53,33,59,41,88,77,89,81,0,0,0,0,[]
112,65,52,66,55,11,52,82,83,82,83,22,12,57,34,56,41,89,77,89,81,0,0,0,0,[]
113,69,62,74,53,11,37,86,83,86,83,27,22,65,40,59,45,89,77,90,79,0,0,0,0,[]
114,74,68,74,53,9,24,85,83,85,83,19,24,66,47,65,50,87,77,89,78,0,0,0,0,[]
115,65,64,74,61,12,20,84,81,84,81,19,24,74,49,68,50,89,76,90,75,0,0,0,0,[]
116,54,61,65,63,17,22,85,83,85,82,24,22,77,52,56,47,90,77,87,77,0,0,0,0,[]
117,47,56,57,69,11,17,85,83,85,83,18,18,83,58,52,47,89,77,87,75,0,0,0,0,[]
118,45,54,53,73,12,19,84,83,84,83,18,16,84,58,51,48,88,74,89,75,0,0,0,0,[]
119,47,54,52,73,11,30,82,82,82,82,18,14,79,53,53,47,89,74,90,75,0,0,0,0,[]
120,46,54,51,83,19,33,81,87,85,84,16,20,81,57,53,47,87,75,91,75,0,0,0,0,[]
121,44,54,55,82,11,31,80,89,80,89,14,19,76,47,51,48,87,74,89,73,0,0,0,0,[]
122,45,55,57,83,12,20,82,84,82,84,18,14,76,45,50,47,87,77,88,67,0,0,0,0,[]
123,44,55,56,83,14,20,85,81,85,81,15,14,73,48,52,45,92,72,88,67,0,0,0,0,[]
124,43,53,56,83,13,20,86,80,82,80,14,13,66,55,51,46,91,65,93,9,0,0,0,0,[]
125,43,57,4,92,10,21,85,80,80,75,14,16,63,60,50,51,90,68,94,5,0,0,0,0,[]
126,40,55,10,80,8,27,77,78,80,75,12,22,65,54,49,50,90,70,90,19,0,0,0,0,[]
127,41,54,20,72,6,25,80,88,10,94,11,22,56,46,47,51,89,71,89,34,0,0,0,0,[]
128,38,56,30,64,9,22,82,90,17,86,14,18,57,46,51,51,90,77,88,49,0,0,0,0,[]
129,44,51,31,51,9,23,81,90,24,83,14,19,66,54,55,55,90,76,86,63,0,0,0,0,[]
130,42,54,31,38,10,24,78,88,33,89,15,19,68,63,50,51,88,74,80,69,0,0,0,0,[]
131,34,48,30,31,16,21,79,88,32,78,24,25,67,64,53,48,88,74,71,68,0,0,0,0,[]
132,36,49,31,30,20,25,80,90,32,67,26,17,62,62,51,49,93,8,62,61,0,0,0,0,[]
133,43,53,30,32,19,23,82,89,31,56,18,14,53,60,52,49,92,20,54,58,0,0,0,0,[]
134,41,58,25,35,15,18,2,96,32,45,16,11,51,50,45,46,89,28,51,46,0,0,0,0,[]
135,41,51,24,36,16,15,4,94,24,36,21,10,44,41,38,39,78,28,41,35,0,0,0,0,[]
136,32,46,29,37,18,17,11,83,29,37,26,12,38,37,35,36,67,31,40,35,0,0,0,0,[]
137,37,37,31,33,23,26,20,75,32,38,25,11,41,34,44,35,56,32,43,34,0,0,0,0,[]
138,29,35,30,32,28,21,28,66,32,36,27,14,40,34,44,39,46,37,39,41,0,0,0,0,[]
139,25,31,24,30,24,26,31,55,24,30,21,14,33,37,33,37,38,41,29,37,0,0,0,0,[]
140,26,36,29,37,20,26,32,44,29,37,18,17,36,38,39,38,36,38,28,37,0,0,0,0,['11:39 SNWeiwei(¿ñÕ½Ê¿) »÷É±ÁË TESQiuQiu(À×öªÅØÏø)']
141,34,39,44,38,18,22,41,40,41,40,17,15,41,30,46,39,45,40,28,37,0,0,0,0,[]
142,47,35,43,37,18,15,47,45,47,35,20,10,41,31,57,33,45,40,28,37,0,0,0,0,['11:47 SNAngel(Äº¹âÐÇÁé) »÷É±ÁË TESLokeN(¸´³ðÖ®Ã¬)']
143,57,33,32,34,18,14,52,44,57,33,31,6,41,31,67,36,45,40,28,37,0,0,0,0,[]
144,50,24,32,32,19,15,52,46,50,24,31,6,41,27,61,42,45,40,89,15,0,0,0,0,[]
145,47,24,33,32,28,18,55,43,42,24,92,4,48,23,60,36,45,40,77,26,0,0,0,0,[]
146,42,26,33,32,23,12,55,42,42,26,79,5,56,23,61,42,95,5,66,35,0,0,0,0,[]
147,39,37,33,33,22,12,54,52,40,36,68,6,57,33,59,42,91,17,57,44,0,0,0,0,[]
148,31,36,32,32,24,8,63,60,31,35,53,6,54,32,61,42,89,28,56,46,0,0,0,0,[]
149,31,36,30,33,24,8,64,63,30,33,41,11,55,32,61,42,89,39,62,52,0,0,0,0,[]
150,2,95,9,93,25,8,74,63,6,94,30,9,62,32,92,6,89,53,76,50,0,0,0,0,[]
151,4,95,19,84,19,13,79,73,19,85,27,9,62,32,79,18,90,64,79,53,0,0,0,0,[]
152,50,52,32,79,17,15,80,83,30,82,22,10,95,7,71,27,90,74,89,60,0,0,0,0,[]
153,59,56,42,70,16,17,82,82,42,78,20,12,93,8,62,36,90,75,89,72,0,0,0,0,[]
154,60,58,45,63,9,24,79,85,52,78,16,17,90,12,57,42,85,78,88,78,0,0,0,0,[]
155,52,54,55,64,7,28,79,85,53,86,17,16,83,22,53,45,86,78,89,81,0,0,0,0,[]
156,48,53,67,65,7,28,79,85,62,89,11,23,79,34,53,46,87,79,88,84,0,0,0,0,[]
157,52,54,57,56,2,95,79,86,73,87,14,18,75,42,51,46,88,79,87,85,0,0,0,0,[]
158,52,52,57,55,2,95,81,86,81,86,16,15,77,44,54,44,88,78,89,83,0,0,0,0,[]
159,61,60,69,61,13,20,79,89,82,89,15,16,79,50,58,42,84,81,86,85,0,0,0,0,[]
160,70,68,77,72,12,21,79,84,80,87,18,15,83,60,60,41,86,79,86,82,0,0,0,0,[]
161,82,69,79,76,20,24,87,79,87,79,22,12,81,65,53,46,93,71,92,74,0,0,0,0,[]
162,81,78,83,78,27,34,91,73,89,75,24,10,90,65,49,49,91,68,91,67,0,0,0,0,[]
163,86,74,88,75,32,45,92,75,91,74,17,12,91,66,53,50,93,67,93,67,0,0,0,0,[]
164,90,70,88,72,39,52,92,74,91,73,16,14,93,68,60,58,90,65,90,66,0,0,0,0,[]
165,83,78,84,78,40,51,91,77,90,75,13,18,93,68,69,63,91,68,88,69,0,0,0,0,[]
166,82,78,76,71,32,43,92,76,88,77,8,26,93,71,76,61,91,71,88,66,0,0,0,0,[]
167,72,70,67,61,25,37,83,78,79,75,6,25,84,63,76,49,92,66,88,64,0,0,0,0,[]
168,62,63,67,65,13,33,85,79,75,66,6,25,83,58,67,43,92,66,88,64,0,0,0,0,[]
169,53,55,66,70,11,22,86,78,69,68,10,18,78,50,57,45,93,9,95,7,0,0,0,0,[]
170,47,54,66,70,10,29,82,79,66,70,8,23,69,40,51,47,92,21,92,22,0,0,0,0,[]
171,47,54,66,69,9,27,83,78,71,69,12,19,58,33,53,47,91,32,87,34,0,0,0,0,['14:15 SN »÷É±ÁË·çÁú']
172,48,55,77,61,8,30,84,78,76,62,12,20,49,26,51,48,90,44,80,46,0,0,0,0,[]
173,46,55,83,65,7,31,89,71,80,65,10,21,47,25,53,45,83,50,71,48,0,0,0,0,[]
174,43,57,79,55,6,32,90,68,83,65,11,24,42,25,50,48,76,49,64,57,0,1,0,0,"['14:29 SNSmlz(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
175,44,54,77,52,2,96,89,72,83,56,14,18,30,33,51,49,80,39,61,51,0,1,0,0,[]
176,40,57,75,54,4,88,87,66,81,57,12,20,26,36,45,43,87,40,62,50,0,1,0,0,[]
177,42,58,76,54,6,61,84,66,81,57,13,20,23,43,34,39,90,46,64,40,0,1,0,0,[]
178,38,60,76,54,10,43,2,96,4,91,6,26,24,42,25,38,90,46,53,41,0,1,0,0,[]
179,38,60,2,95,8,32,5,94,7,80,7,25,24,34,27,37,92,53,39,38,0,1,0,0,[]
180,3,94,10,84,9,32,12,83,16,76,10,16,28,21,39,36,91,49,43,34,0,1,0,0,[]
181,11,83,23,77,9,27,23,73,26,70,14,17,32,18,51,45,92,53,50,47,0,1,0,0,[]
182,22,74,36,77,11,17,33,64,33,64,17,12,40,17,50,49,93,56,47,51,0,1,0,0,[]
183,32,65,51,83,13,16,41,57,41,57,27,8,43,16,52,47,93,56,56,42,0,1,0,0,[]
184,43,57,56,83,24,22,48,51,48,51,25,9,46,15,54,46,92,5,56,42,0,1,0,0,[]
185,52,49,55,82,27,22,51,49,47,48,23,10,52,26,57,39,82,12,59,40,0,1,0,0,[]
186,50,46,50,79,19,16,52,48,51,47,25,8,53,31,61,39,75,21,56,34,0,1,0,0,[]
187,53,45,51,73,19,14,56,47,54,48,30,8,60,40,61,41,68,30,53,35,0,1,0,0,[]
188,55,48,47,70,18,15,53,49,55,48,23,10,57,41,57,42,60,39,53,37,0,1,0,0,[]
189,47,48,45,63,20,23,54,55,54,55,20,11,67,42,60,38,59,40,55,43,0,1,0,0,[]
190,47,53,54,62,27,34,66,62,58,56,22,9,62,51,54,41,53,41,56,45,0,1,0,0,[]
191,48,55,65,56,31,38,80,66,63,57,24,8,66,49,55,44,58,45,58,50,0,1,0,0,[]
192,48,54,56,61,22,38,89,71,56,57,24,8,70,42,51,47,62,41,52,50,0,1,0,0,[]
193,48,55,47,53,18,43,90,72,47,53,83,5,67,40,55,44,73,41,56,48,0,1,0,0,[]
194,50,43,42,38,20,44,85,64,50,45,68,6,65,41,60,40,83,37,61,39,0,1,0,0,[]
195,49,47,44,34,23,34,78,50,49,47,52,7,94,5,64,36,90,47,63,38,0,1,0,0,[]
196,51,45,46,35,18,22,65,51,47,41,45,14,87,14,60,37,91,51,61,41,0,1,0,0,[]
197,48,48,47,36,22,12,53,50,48,35,31,16,78,24,59,41,93,50,63,41,0,1,0,0,[]
198,47,40,44,33,20,12,51,49,44,33,27,11,68,33,60,41,89,44,65,46,0,1,0,0,[]
199,41,29,46,23,17,17,47,40,46,23,26,9,60,41,58,42,87,39,62,42,0,1,0,0,[]
200,48,19,41,15,21,14,41,28,41,15,40,6,53,49,57,43,88,50,56,46,0,1,0,0,[]
201,44,14,35,16,24,13,41,33,37,14,53,5,52,61,56,55,90,61,60,58,0,1,0,0,[]
202,44,23,28,20,30,10,43,47,30,21,62,7,56,68,55,52,87,72,58,63,0,1,0,0,[]
203,41,35,28,32,29,10,39,60,30,21,61,10,53,77,53,50,86,79,58,64,0,1,0,0,[]
204,44,48,35,40,27,11,40,70,5,96,59,10,60,74,51,52,82,84,94,6,0,1,0,0,[]
205,41,53,32,45,24,11,36,83,17,95,48,6,59,67,61,53,82,84,87,17,0,2,0,0,['17:3 SNMaple(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷ÆÆÁË·ÀÓùËþ']
206,40,58,31,58,22,13,44,92,29,95,47,6,65,77,64,51,83,86,81,29,0,2,0,0,[]
207,33,69,32,72,2,96,45,94,45,94,47,8,76,72,95,4,88,82,80,44,0,2,0,0,[]
208,34,67,35,85,5,92,59,94,59,94,51,8,82,60,85,10,88,82,69,47,0,2,0,0,[]
209,34,67,40,89,10,81,71,92,57,94,49,10,82,56,74,21,93,10,66,48,0,2,0,0,[]
210,9,93,40,89,16,68,73,90,62,94,39,7,74,49,66,31,92,22,66,56,0,2,0,0,[]
211,19,84,3,96,24,57,75,88,72,89,30,10,66,56,58,40,91,35,65,57,0,2,0,0,[]
212,29,74,16,89,21,48,82,84,82,84,20,12,65,57,51,47,90,47,64,51,0,2,0,0,[]
213,38,63,29,81,19,35,80,85,80,85,21,12,65,57,51,49,90,59,68,50,0,2,0,0,[]
214,40,56,41,71,14,33,71,80,71,80,23,7,66,57,60,48,91,65,75,61,0,2,0,0,[]
215,42,52,55,68,8,30,80,76,80,76,10,14,75,62,52,48,91,63,75,63,0,2,0,0,[]
216,47,58,62,62,8,25,73,69,72,69,7,19,77,64,50,47,90,64,82,67,0,2,0,0,[]
217,41,58,71,64,11,20,80,77,70,65,10,14,79,65,54,49,82,65,80,67,0,2,0,0,[]
218,47,55,74,73,11,24,86,79,74,73,9,16,77,64,65,53,85,65,82,65,0,2,0,0,[]
219,57,61,75,58,13,21,80,76,75,58,17,13,78,52,67,54,90,70,83,63,0,2,0,0,[]
220,59,62,77,62,23,28,75,64,76,62,19,12,77,52,72,50,91,62,89,62,0,2,0,0,[]
221,53,56,66,57,18,22,74,71,66,57,17,9,78,52,78,51,83,59,83,61,0,2,0,0,[]
222,51,53,66,48,19,24,84,78,67,48,15,18,73,44,73,42,78,48,77,48,0,2,0,0,[]
223,51,51,66,47,18,23,85,79,66,47,14,16,70,39,63,38,77,47,68,40,0,2,0,0,[]
224,61,50,76,45,18,31,84,78,76,45,19,26,72,40,57,40,88,50,57,41,0,2,0,0,[]
225,66,49,69,41,15,34,85,77,69,41,14,20,65,35,57,41,91,44,61,39,0,2,0,0,[]
226,67,53,74,48,9,25,86,65,74,48,11,18,53,32,53,34,92,43,50,33,0,2,0,0,[]
227,56,58,78,51,9,32,91,56,76,49,7,25,42,33,56,33,92,41,42,36,0,2,0,0,[]
228,50,54,79,63,10,30,89,57,79,52,9,21,46,35,59,40,92,42,42,36,0,2,0,0,[]
229,53,55,77,62,10,31,81,66,74,61,14,19,41,32,54,44,91,44,35,38,0,2,0,0,[]
230,56,59,67,68,8,39,72,65,73,62,11,20,31,31,52,42,91,44,26,37,0,2,0,0,[]
231,47,55,64,68,4,44,67,67,3,96,8,31,22,38,52,37,91,42,25,37,0,2,0,0,[]
232,42,57,64,71,5,44,68,68,13,90,11,36,15,40,95,4,91,45,94,6,0,2,0,1,['19:18 TESMoyu(¿ñ±©Ö®ÐÄ) »÷ÆÆÁË·ÀÓùËþ']
233,45,57,66,69,5,47,69,68,22,82,9,41,16,37,91,7,92,49,86,15,0,2,0,1,[]
234,50,53,60,63,6,45,77,74,28,72,10,40,23,33,80,20,93,47,75,26,0,2,0,1,['19:26 SN »÷É±ÁË»ðÁú']
235,52,52,47,65,5,47,87,75,37,64,10,34,31,33,72,29,93,47,66,37,0,2,0,1,[]
236,54,56,50,65,5,47,88,73,46,56,10,30,31,37,63,38,86,9,67,44,0,2,0,1,[]
237,67,61,59,59,6,42,87,71,59,59,7,19,32,33,57,42,86,22,59,44,0,2,0,1,[]
238,75,68,56,56,7,42,89,58,56,56,7,19,24,40,50,47,88,34,52,49,0,2,0,1,[]
239,63,61,51,54,5,47,92,53,51,54,8,25,24,44,50,46,91,45,51,44,0,2,0,1,[]
240,53,53,52,49,5,47,85,63,52,49,9,33,24,41,53,44,90,44,59,42,0,2,0,1,[]
241,55,48,53,44,4,91,81,57,53,44,11,29,24,39,58,39,89,42,59,41,0,2,0,1,[]
242,58,46,53,44,7,82,75,52,53,44,11,28,34,37,62,36,81,35,61,40,0,2,0,1,[]
243,52,46,63,51,28,68,75,52,51,44,95,4,48,33,63,34,68,33,61,36,0,2,0,1,[]
244,52,46,67,47,31,52,78,52,50,45,89,22,52,27,94,5,60,36,59,39,0,2,0,1,[]
245,52,52,64,50,37,39,89,52,51,49,89,37,52,29,84,14,53,28,60,39,0,2,0,1,[]
246,54,48,52,45,47,40,88,55,53,48,90,48,60,38,75,25,59,36,61,40,0,2,0,1,[]
247,62,51,54,41,58,34,87,62,54,41,84,50,60,44,66,33,60,40,59,40,0,2,0,1,[]
248,57,50,55,44,50,33,73,63,52,43,69,48,60,43,59,37,62,41,61,35,0,2,0,1,[]
249,58,46,57,43,53,35,65,53,58,46,65,39,66,34,61,37,65,35,66,36,0,3,0,1,['20:45 SNAngel(Äº¹âÐÇÁé) »÷ÆÆÁË·ÀÓùËþ']
