,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
74,70,88,2,96,18,46,44,54,72,90,19,14,39,15,50,52,80,84,95,4,0,0,0,0,[]
75,64,88,14,18,26,58,47,53,69,92,20,12,39,15,50,45,75,87,89,14,0,0,0,0,[]
76,62,84,20,13,29,59,50,53,65,94,23,11,93,8,47,42,79,85,80,23,0,0,0,0,[]
77,64,89,15,16,30,59,48,49,65,94,18,13,85,19,56,44,80,88,72,31,0,0,0,0,[]
78,70,90,17,16,39,65,48,49,2,96,17,12,76,26,56,48,84,83,67,41,0,0,0,0,[]
79,71,89,14,19,50,67,47,51,13,95,16,15,68,35,53,48,89,82,66,53,0,0,0,0,[]
80,70,88,12,18,57,64,48,51,23,90,17,17,66,46,54,48,89,82,64,58,0,0,0,0,[]
81,67,91,16,18,56,66,50,52,31,81,17,17,65,58,55,47,95,4,61,61,0,0,0,0,[]
82,67,91,14,19,51,75,49,55,39,73,18,14,68,64,60,44,80,85,69,62,0,0,0,0,[]
83,2,96,15,19,54,76,50,49,48,68,16,13,68,66,58,45,80,85,76,71,0,0,0,0,[]
84,69,92,12,18,57,71,48,51,58,69,17,16,73,54,54,46,78,86,81,79,0,0,0,0,[]
85,73,90,10,21,61,62,47,50,60,70,18,22,74,56,54,47,82,85,77,78,0,0,0,0,[]
86,77,90,11,20,60,61,49,50,66,79,11,17,74,59,54,47,82,86,78,74,0,0,0,0,[]
87,75,89,10,22,50,65,50,52,74,87,13,18,73,64,55,46,83,86,81,82,0,0,0,0,[]
88,75,90,9,21,49,65,52,54,77,92,14,19,65,63,57,45,80,84,80,84,0,0,0,0,[]
89,75,89,9,21,49,65,62,58,76,90,15,18,64,69,57,43,81,85,79,83,0,0,0,0,[]
90,74,88,9,29,56,64,66,65,72,83,10,21,65,68,59,49,80,87,79,81,0,0,0,0,[]
91,71,80,9,26,69,67,73,66,73,72,9,23,69,68,66,57,79,82,74,69,0,0,0,0,[]
92,74,71,8,26,75,67,75,63,75,68,11,21,74,68,74,65,79,73,78,65,0,0,0,0,[]
93,73,67,11,21,73,64,72,64,72,64,15,17,74,68,70,62,77,69,82,67,0,0,0,0,[]
94,69,65,9,25,65,61,63,62,67,65,13,18,74,68,67,58,78,72,87,67,0,0,0,0,[]
95,73,74,11,23,60,63,54,54,72,70,12,19,95,4,67,58,83,79,87,79,0,0,0,0,[]
96,74,76,9,27,53,53,49,50,76,76,10,24,83,10,67,58,83,81,86,82,0,0,0,0,[]
97,73,84,11,21,51,42,50,49,72,83,10,21,75,18,67,58,83,85,79,76,0,0,0,0,[]
98,79,88,14,17,44,36,50,49,79,90,21,11,64,22,94,5,85,85,83,82,0,0,0,0,[]
99,78,89,13,17,31,39,3,96,81,89,25,14,51,25,83,11,80,84,81,85,0,0,0,0,[]
100,78,89,14,19,25,35,5,91,80,90,17,15,40,24,74,21,82,82,81,84,0,0,0,0,[]
101,78,88,20,26,17,34,5,91,82,90,20,19,30,30,66,30,82,82,85,85,0,0,0,0,[]
102,76,89,14,33,20,32,11,86,82,90,21,31,20,35,57,39,82,84,82,83,0,0,0,0,[]
103,66,92,11,35,15,37,20,77,72,92,20,27,22,26,50,47,80,86,77,86,0,0,0,0,[]
104,66,92,11,35,21,47,28,68,73,92,19,17,28,20,51,47,82,86,82,86,0,0,0,0,[]
105,5,95,4,92,25,47,31,57,76,89,18,15,41,18,55,47,83,85,82,87,0,0,0,0,[]
106,13,95,6,77,22,46,26,50,75,90,19,14,44,17,52,50,81,85,82,86,0,0,0,0,[]
107,24,94,7,63,18,45,30,51,71,93,17,18,45,15,52,50,75,90,75,88,0,0,0,0,[]
108,36,93,7,50,16,44,44,52,71,94,11,21,48,16,51,50,75,89,75,78,0,0,0,0,[]
109,47,93,8,36,16,44,45,54,68,92,11,24,48,23,50,48,75,88,67,79,0,0,0,0,[]
110,59,92,10,28,19,49,45,54,64,91,14,20,49,27,48,52,76,88,72,78,0,0,0,0,[]
111,70,91,10,26,24,55,42,55,72,91,12,13,53,28,53,50,76,87,77,80,0,0,0,0,[]
112,73,91,8,28,25,57,41,58,74,91,12,13,53,29,60,60,76,86,77,80,0,0,0,0,[]
113,73,90,11,23,25,57,45,53,73,93,90,4,55,31,68,54,79,89,78,89,0,0,0,0,[]
114,72,87,16,22,25,58,47,51,75,89,74,6,54,32,58,49,82,83,82,86,0,0,0,0,[]
115,67,88,19,25,2,96,45,52,69,82,61,7,56,33,52,47,81,86,80,87,0,0,0,0,[]
116,72,89,22,21,8,94,46,51,68,81,46,9,66,39,53,48,84,84,84,85,0,0,0,0,[]
117,77,87,18,14,17,88,46,51,73,84,33,11,75,44,52,49,85,85,88,84,0,0,0,0,[]
118,78,89,19,17,20,76,43,48,76,87,22,11,76,45,56,43,89,81,89,83,0,0,0,0,[]
119,74,87,22,13,28,66,42,45,70,79,25,8,79,53,55,44,89,81,91,74,0,0,0,0,[]
120,72,85,17,9,31,54,48,46,70,79,24,11,84,59,56,45,81,80,87,75,0,0,0,0,[]
121,69,89,15,13,33,42,49,48,4,93,19,16,83,63,56,45,80,81,86,75,0,0,0,0,[]
122,69,88,14,18,33,29,48,47,8,86,16,14,83,63,56,45,84,79,86,75,0,0,0,0,[]
123,70,88,18,16,32,34,53,43,13,75,17,16,92,4,58,44,85,79,90,5,0,0,0,0,[]
124,74,87,19,14,31,32,46,44,17,65,26,8,78,5,56,43,95,4,79,11,0,0,0,0,[]
125,76,87,14,18,31,33,46,44,18,53,19,12,66,7,58,45,94,12,69,17,0,0,0,0,[]
126,71,87,13,18,30,32,48,46,29,50,18,11,55,9,56,45,93,24,59,23,0,0,0,0,[]
127,69,88,15,17,32,32,46,48,32,38,18,12,44,13,54,47,92,36,48,22,0,0,0,0,[]
128,2,96,15,17,30,33,47,46,34,39,20,11,33,17,58,44,91,48,39,26,0,0,0,0,[]
129,3,91,12,19,35,38,43,41,35,40,17,15,29,20,57,43,90,59,41,32,0,0,0,0,[]
130,12,91,11,20,43,47,48,47,42,45,18,15,25,12,54,45,89,71,46,36,0,0,0,0,[]
131,23,90,12,21,48,59,49,47,51,49,15,13,22,8,58,44,88,73,55,43,0,0,0,0,[]
132,35,90,12,19,49,65,50,50,52,53,18,13,14,10,57,45,92,73,59,48,0,0,0,0,[]
133,46,91,11,27,57,63,57,58,61,59,15,16,14,11,58,42,90,76,69,50,0,0,0,0,[]
134,58,89,8,25,72,65,64,60,67,60,12,16,14,11,57,43,90,78,77,52,0,0,0,0,[]
135,69,88,10,24,74,69,74,63,76,62,13,17,14,11,57,47,90,77,79,63,0,0,0,0,[]
136,80,84,9,29,75,68,73,63,78,62,9,25,12,22,53,49,88,76,83,64,0,0,0,0,[]
137,82,81,5,35,75,73,61,59,76,69,8,34,6,34,47,50,89,77,83,65,0,0,0,0,[]
138,86,76,7,33,75,66,50,54,81,77,9,35,7,34,50,47,92,72,88,67,0,0,0,0,[]
139,85,78,7,31,79,63,48,53,89,77,18,34,5,37,50,47,88,66,89,66,0,0,0,0,[]
140,87,76,7,31,83,66,50,53,86,76,21,29,5,37,50,47,91,64,91,61,0,0,0,0,[]
141,89,72,7,31,90,68,52,50,90,70,14,22,5,37,56,43,93,60,92,58,0,0,0,0,[]
142,86,76,7,31,91,68,57,49,90,70,11,21,5,37,58,42,93,60,92,58,0,0,0,0,[]
143,89,72,7,31,90,69,66,50,89,71,12,23,5,37,55,44,93,58,92,61,0,0,0,0,[]
144,89,70,7,31,90,70,65,57,90,70,7,26,95,4,52,47,93,59,91,59,0,0,0,0,[]
145,89,69,4,85,89,70,53,56,89,68,10,23,82,5,50,49,93,54,83,51,0,0,0,0,[]
146,85,77,6,71,85,77,52,51,82,78,10,23,70,7,59,45,92,60,87,54,0,1,0,0,[]
147,76,73,6,58,74,72,56,54,73,70,10,25,58,8,63,41,93,64,92,61,0,1,0,0,[]
148,69,68,7,44,65,69,64,63,66,68,7,25,47,11,63,41,93,66,92,63,0,1,0,0,[]
149,69,68,8,31,65,69,62,63,67,68,10,23,43,17,91,6,93,62,93,60,0,1,0,0,[]
150,69,70,12,24,62,71,53,55,67,68,11,11,42,16,83,15,91,62,94,54,0,1,0,0,[]
151,69,70,23,29,55,83,50,49,4,94,11,11,36,16,74,27,87,71,90,59,0,1,0,0,[]
152,5,87,33,38,54,83,45,55,8,86,95,4,42,16,66,36,88,77,83,65,0,1,0,0,[]
153,13,79,43,48,53,84,45,55,15,75,79,5,49,22,57,45,85,78,83,66,0,1,0,0,[]
154,22,72,43,53,51,83,2,96,25,70,68,8,52,33,53,49,86,76,83,66,0,1,0,0,[]
155,31,65,40,52,49,74,3,90,42,57,74,22,56,32,57,45,86,76,93,4,0,1,0,0,[]
156,40,57,50,61,48,74,5,77,39,51,80,33,59,35,52,50,88,5,83,11,0,1,0,0,[]
157,45,52,59,71,50,73,6,65,46,51,79,49,69,40,52,46,87,5,74,20,0,1,0,0,[]
158,44,51,68,81,50,73,8,53,46,50,76,60,75,44,54,46,80,15,68,30,0,1,0,0,[]
159,44,51,78,86,4,91,10,41,35,48,73,67,74,49,57,44,73,24,60,39,0,1,0,0,[]
160,33,47,81,88,5,91,11,28,37,39,78,63,76,53,56,47,66,33,57,46,0,1,0,0,[]
161,32,46,89,83,13,77,15,18,36,38,89,66,79,54,53,44,58,41,51,43,0,1,0,0,[]
162,41,51,90,81,25,70,19,17,34,47,90,68,80,56,45,35,52,49,44,38,0,1,0,0,[]
163,47,50,89,75,36,62,21,12,44,51,89,67,77,55,38,26,54,47,44,39,0,1,0,0,[]
164,43,52,90,73,48,65,19,19,43,51,89,69,75,66,29,17,54,48,50,45,0,1,0,0,[]
165,41,58,90,78,59,63,16,18,45,57,87,75,80,76,26,9,56,54,54,52,0,1,0,0,[]
166,40,59,85,77,70,69,16,18,53,66,86,79,86,78,27,14,55,53,58,60,0,1,0,0,[]
167,86,81,85,77,79,77,82,82,61,74,82,86,79,76,88,73,88,75,67,67,0,1,0,0,[]
168,82,88,85,77,78,76,78,87,79,83,69,84,79,75,81,87,86,83,78,75,0,1,0,0,[]
169,82,88,85,77,73,77,76,91,78,84,73,76,78,74,80,89,78,78,75,76,0,1,0,0,[]
170,82,88,85,77,69,79,71,88,71,87,65,77,78,74,79,88,76,79,70,79,0,1,0,0,[]
171,82,88,85,77,69,79,63,92,64,92,57,68,78,74,79,85,78,82,69,84,0,1,0,0,[]
172,82,88,85,77,69,79,74,90,72,90,52,62,78,74,70,80,74,71,69,79,0,1,0,0,[]
173,82,88,8,92,69,79,72,91,67,88,47,53,78,74,70,79,75,69,69,79,0,1,0,0,[]
174,6,91,17,82,69,79,72,91,65,88,46,51,78,74,95,4,75,64,94,5,0,1,0,0,[]
