,WE957, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
73,8,22,49,66,48,56,77,92,57,70,13,21,66,56,57,59,78,84,61,63,9250,0,9477,0,[]
74,10,21,42,68,46,52,76,92,65,78,14,21,67,62,54,53,80,86,70,68,9381,0,9647,0,[]
75,8,23,42,77,47,54,73,89,72,87,11,20,67,70,51,48,77,89,78,75,9517,0,9801,0,[]
76,10,23,56,75,47,51,75,92,75,93,12,19,68,67,52,50,80,87,79,84,9582,0,10034,0,[]
77,6,27,56,67,49,52,71,93,69,90,17,22,60,62,52,45,75,89,76,88,9728,0,10089,0,[]
78,7,28,56,59,50,52,69,91,68,88,17,22,65,57,56,47,74,92,75,89,9920,0,10139,0,[]
79,9,25,62,62,51,48,70,89,70,89,90,4,66,55,55,46,74,93,76,90,10064,0,10350,0,[]
80,11,20,58,62,52,55,78,90,77,91,77,5,73,49,58,41,83,90,82,88,10136,0,10422,0,[]
81,12,19,57,73,44,48,77,91,77,88,64,6,82,55,57,43,83,85,83,87,10208,0,10647,0,[]
82,13,19,51,75,34,43,75,90,76,88,51,8,81,66,53,44,80,84,80,87,10368,0,10716,0,[]
83,14,17,49,73,27,37,75,90,78,90,38,10,66,65,52,44,80,84,80,86,10491,0,10805,0,[]
84,14,17,51,75,35,41,75,90,73,87,25,10,67,63,50,49,78,81,79,80,10670,0,10898,0,[]
85,3,94,57,72,44,48,77,87,74,87,23,11,74,60,48,51,69,78,69,80,10756,0,11011,0,[]
86,5,87,59,70,49,51,78,87,72,87,21,13,80,56,51,50,70,79,70,79,10849,0,11125,0,[]
87,5,74,59,72,48,53,78,88,72,83,19,12,80,55,55,50,79,81,80,81,10946,0,11360,0,[]
88,7,61,60,73,49,50,79,89,69,79,19,11,79,52,65,53,82,84,84,86,11125,0,11596,0,[]
89,8,47,58,63,57,56,80,89,77,86,19,11,72,43,54,48,81,82,82,82,11177,0,11707,0,[]
90,9,34,62,62,54,56,78,89,76,86,17,11,71,41,52,49,81,83,78,81,11263,0,11804,0,[]
91,7,22,58,63,51,51,78,90,73,83,14,14,68,40,52,46,77,77,78,78,11491,0,11978,0,[]
92,9,17,46,58,51,52,77,91,80,91,16,14,58,34,53,47,81,84,84,87,11578,0,12111,0,[]
93,12,16,34,59,49,53,76,88,78,91,18,15,47,26,52,46,82,86,83,88,11650,0,12280,0,[]
94,14,21,25,56,49,53,76,87,76,90,14,16,47,24,53,44,81,87,83,89,11757,0,12380,0,[]
95,8,27,22,54,47,55,73,89,77,90,19,25,46,24,51,48,79,85,82,87,12000,0,12568,0,[]
96,6,29,30,50,48,53,72,90,74,92,22,32,42,17,50,47,78,90,83,89,12201,0,12623,0,[]
97,8,27,34,40,50,52,74,92,72,86,20,36,40,17,51,46,79,88,80,86,12386,0,12754,0,[]
