,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
244,72,71,34,47,40,52,43,57,33,49,88,49,41,40,18,17,45,48,45,48,0,2,0,3,[]
245,66,58,36,48,44,50,49,52,46,51,77,46,49,41,29,22,54,44,54,44,0,2,0,3,[]
246,74,47,37,40,46,45,47,49,43,44,67,40,53,43,39,27,53,47,53,47,0,2,0,3,[]
247,77,50,41,37,43,39,48,51,42,41,59,35,54,41,42,25,55,45,55,46,0,2,0,3,[]
248,83,62,41,33,32,34,40,57,33,44,55,32,52,45,51,29,54,43,54,43,0,2,0,3,[]
249,90,67,42,46,22,26,42,55,32,39,63,34,51,49,58,37,50,42,50,42,0,2,0,3,[]
250,85,64,36,57,13,20,38,60,31,53,76,35,41,54,49,48,44,51,41,54,0,2,0,3,[]
251,90,53,32,61,18,16,33,65,28,59,87,38,40,60,41,56,40,56,40,60,0,2,0,3,[]
252,90,58,40,57,22,10,39,57,37,57,90,47,52,56,52,53,51,54,51,54,0,2,0,3,[]
253,80,66,48,52,22,10,45,53,44,53,91,52,63,62,63,51,62,61,62,61,0,2,0,3,[]
254,76,62,52,54,23,11,50,54,50,58,83,51,66,59,63,51,66,58,66,58,0,2,0,3,[]
255,68,65,48,60,23,11,43,59,50,60,83,50,64,53,87,4,58,50,58,50,0,2,0,3,[]
256,68,65,48,65,12,90,43,57,51,59,89,49,56,46,77,6,51,50,51,50,0,2,0,3,[]
257,79,64,56,57,23,79,46,52,53,60,80,48,59,46,55,9,51,46,51,46,0,2,0,3,[]
258,89,67,61,61,31,69,49,55,54,57,81,49,60,51,45,14,50,48,50,48,0,2,0,3,[]
259,89,66,66,66,31,58,47,56,56,61,89,46,50,44,38,14,49,42,49,42,0,2,0,3,[]
260,81,66,67,67,26,48,44,55,44,55,90,46,38,39,27,12,37,38,37,38,0,2,0,3,[]
261,71,66,66,67,24,38,41,54,41,54,91,50,43,43,21,13,40,43,41,42,0,2,0,3,[]
262,67,68,66,67,23,48,39,60,34,59,91,52,35,37,21,28,47,47,47,47,0,2,0,3,[]
263,61,62,57,66,20,49,38,61,34,59,92,51,24,39,22,43,44,51,44,51,0,2,0,3,['21:51 LNG 击杀了水龙']
264,56,55,48,57,15,50,38,59,31,53,90,49,22,44,16,41,38,43,38,43,0,2,0,3,[]
265,50,45,42,47,9,40,42,53,36,47,95,4,27,35,10,33,39,37,39,37,0,2,0,3,[]
266,48,42,39,42,8,33,41,51,44,49,83,15,25,26,16,22,43,25,43,25,0,2,0,3,[]
267,44,46,34,42,8,35,36,48,34,43,72,24,35,24,35,23,53,29,53,29,0,2,0,3,[]
268,48,52,34,43,10,28,36,48,34,43,65,35,42,32,53,29,55,33,56,32,0,2,0,3,[]
269,52,48,2,96,13,16,11,91,2,96,60,44,43,39,57,39,56,42,56,42,0,2,0,3,[]
270,42,57,10,81,21,9,23,84,12,82,46,52,38,43,50,47,50,48,50,48,0,2,0,3,[]
271,43,56,17,67,16,12,29,72,24,71,38,43,41,33,41,37,41,39,43,36,0,2,0,3,[]
272,40,54,21,57,10,22,36,61,34,60,43,36,42,32,43,25,51,31,44,35,0,2,0,3,[]
273,50,55,23,53,12,35,42,55,39,49,54,42,95,4,46,15,53,30,94,4,0,2,0,3,[]
274,60,60,32,45,23,38,46,53,32,46,53,44,84,13,46,8,52,28,80,14,0,2,0,3,[]
275,71,68,38,42,24,27,47,53,37,39,60,41,75,26,46,11,55,32,75,26,0,2,0,3,[]
276,81,77,35,37,27,15,49,52,34,39,73,44,66,37,37,14,56,42,66,36,0,2,0,3,[]
277,85,80,26,46,26,9,47,57,24,34,80,48,71,41,39,14,53,46,57,43,0,2,0,3,[]
278,80,77,16,43,20,15,55,67,25,26,92,51,62,40,37,15,50,49,50,49,0,2,0,3,[]
279,72,67,16,44,20,15,57,77,25,26,91,57,51,40,39,10,55,43,55,43,0,2,0,3,[]
280,79,63,28,46,7,88,50,84,3,94,91,54,47,37,43,9,54,45,58,47,0,2,0,3,[]
281,89,61,35,43,16,74,47,74,15,79,87,49,58,44,49,22,50,50,55,49,0,2,0,3,[]
282,89,62,35,43,18,56,40,60,27,68,90,48,52,45,49,34,48,51,48,51,0,2,0,3,[]
283,84,63,31,46,28,50,36,64,34,64,86,50,40,44,41,37,41,56,41,56,0,2,0,3,[]
284,74,62,33,47,31,51,39,59,41,57,91,49,36,41,29,34,41,44,43,43,0,2,0,3,[]
285,63,58,34,43,33,43,39,54,42,51,91,46,34,39,38,37,43,39,43,39,0,2,0,3,[]
286,53,51,34,36,36,42,42,44,43,43,91,53,42,37,42,35,46,36,42,37,0,2,0,3,[]
287,53,46,40,31,33,35,50,46,45,44,83,51,55,32,55,32,57,34,57,34,0,2,0,3,[]
288,55,50,41,32,38,38,54,51,49,47,70,49,54,46,55,44,58,45,58,45,0,2,0,3,[]
289,58,55,44,43,50,47,56,58,49,55,57,55,53,47,58,50,54,49,54,49,0,2,0,3,['24:5 WEPoss(刀锋舞者) 击杀了 LNGAsura(暗夜猎手)']
290,53,55,44,50,44,46,56,58,44,53,51,48,51,47,50,44,50,47,50,47,0,2,0,3,[]
291,51,62,38,56,33,44,56,58,39,59,48,54,50,53,50,55,46,54,46,54,0,2,0,3,[]
292,46,65,44,67,30,57,56,58,35,66,41,57,41,57,40,55,40,55,40,55,0,2,0,3,[]
293,42,67,41,66,36,62,56,58,37,65,40,55,38,52,44,50,42,54,42,54,0,2,0,3,[]
294,44,58,44,58,46,56,56,58,42,59,42,43,34,42,41,37,51,45,51,45,0,2,0,3,[]
295,47,55,53,57,50,51,56,58,50,52,50,34,39,37,39,25,58,39,58,39,0,2,0,3,[]
296,50,55,66,56,39,44,56,58,39,51,56,33,41,34,36,16,58,39,58,39,0,2,0,3,[]
297,2,96,73,54,30,37,56,58,37,49,56,42,41,32,26,13,93,5,93,5,0,2,0,3,[]
298,20,93,74,58,32,38,18,89,2,96,54,44,95,4,26,11,87,8,87,8,0,2,0,3,[]
299,34,92,76,57,27,31,30,81,10,80,58,40,88,7,29,21,78,19,78,19,0,2,0,3,[]
300,47,91,82,61,20,26,42,77,17,64,58,40,74,16,29,20,69,29,69,29,0,2,0,3,[]
301,62,90,82,60,11,22,44,69,21,51,90,13,62,23,29,20,59,39,59,39,0,2,0,3,[]
302,74,88,74,62,11,19,40,60,30,45,80,25,52,35,19,15,53,46,53,46,0,2,0,3,[]
303,76,89,62,61,12,20,41,58,32,44,80,39,52,35,20,14,46,47,46,47,0,2,0,3,[]
304,83,82,50,59,20,22,38,58,40,49,77,51,44,33,32,11,50,47,50,47,0,2,0,3,[]
305,88,70,47,63,20,15,37,58,34,47,80,50,41,31,33,18,48,50,48,50,0,2,0,3,[]
306,89,71,37,63,18,15,41,57,32,47,90,47,35,24,33,23,45,44,45,44,0,2,0,3,[]
307,88,69,31,52,17,15,37,57,32,48,91,49,43,33,26,16,38,43,38,43,0,2,0,3,[]
308,78,63,37,49,21,25,37,57,31,51,93,54,40,43,30,11,40,45,36,42,0,2,0,3,[]
309,67,60,36,41,31,34,40,57,34,42,92,49,49,41,35,12,53,45,53,45,0,2,0,3,[]
310,66,48,43,34,41,40,44,47,44,43,92,50,61,38,47,16,55,40,55,40,0,2,0,3,[]
311,66,48,45,33,36,37,48,52,43,37,91,49,57,44,51,29,53,47,53,47,0,2,0,3,[]
312,66,48,47,35,45,43,47,54,50,42,85,37,56,41,58,37,54,46,54,46,0,2,0,3,[]
313,66,48,39,38,47,45,45,51,41,40,73,34,58,43,61,40,59,41,59,41,0,2,0,3,[]
314,63,53,39,38,35,37,37,41,32,34,63,41,64,40,56,46,70,40,70,40,0,2,0,3,[]
315,59,56,35,39,24,27,30,38,32,34,51,41,51,41,49,42,59,41,59,41,0,2,0,3,[]
316,57,55,34,38,16,16,33,43,35,38,48,34,46,33,50,42,47,38,47,38,0,2,0,3,[]
317,57,54,35,39,22,21,32,44,35,39,48,39,46,40,49,47,50,48,50,48,0,2,0,3,[]
318,50,55,34,43,26,23,31,55,34,43,48,42,41,38,48,43,50,48,50,48,0,2,0,3,[]
319,44,52,32,43,27,16,31,56,32,44,38,41,36,38,41,33,43,39,46,38,0,2,0,3,[]
320,49,52,35,39,25,11,32,61,34,43,46,40,45,34,42,26,52,43,46,38,0,2,0,3,[]
321,55,57,37,39,31,21,36,62,42,42,57,42,50,34,47,16,54,42,90,7,0,2,0,3,[]
322,56,54,36,38,32,23,45,53,38,40,64,39,56,32,46,8,56,43,77,19,0,2,0,3,[]
323,49,48,35,35,35,23,46,46,44,42,58,45,56,43,47,8,55,46,68,28,0,2,0,3,[]
324,47,50,31,35,38,29,36,38,37,39,55,48,49,39,48,18,53,44,58,33,0,2,0,3,[]
325,48,49,36,29,38,39,34,39,35,39,53,43,44,34,41,25,55,41,44,34,0,2,0,3,[]
326,44,46,36,29,42,45,34,39,35,38,51,42,44,38,39,28,52,42,45,37,0,2,0,3,[]
327,43,41,33,22,42,39,42,35,39,36,56,40,46,32,47,24,56,39,41,30,0,2,0,3,[]
328,54,31,35,24,49,39,45,32,43,35,49,40,50,33,52,29,53,32,50,33,0,2,0,3,[]
329,55,30,44,33,54,32,51,32,46,33,53,41,51,33,57,34,56,32,56,32,0,2,0,3,['27:24 LNGPlex(解脱者) 击杀了 WEbeishang(德邦总管)']
330,48,32,42,37,48,32,46,34,44,35,56,31,51,33,58,38,60,38,56,31,0,2,0,3,[]
331,35,29,38,41,36,40,35,42,34,38,47,36,51,33,58,38,60,38,58,38,0,2,0,3,[]
332,35,29,35,38,34,42,33,43,34,39,45,39,51,33,91,4,95,4,95,5,0,2,0,3,[]
333,2,96,34,38,2,96,2,96,34,38,42,33,51,33,95,4,95,4,95,4,0,2,0,3,[]
334,2,96,35,39,2,96,2,96,34,38,42,43,51,33,43,53,44,51,43,53,0,2,0,3,[]
335,2,96,32,32,30,31,30,31,29,32,41,41,51,33,42,46,43,52,42,46,0,2,0,3,[]
336,34,31,32,30,31,31,30,31,27,33,35,37,51,33,30,39,38,42,30,39,0,2,0,3,[]
337,32,32,29,33,27,33,28,32,25,33,36,38,86,9,32,39,34,38,32,39,0,2,0,3,[]
338,19,33,21,36,22,31,19,25,20,37,31,37,71,18,25,37,27,34,25,37,0,2,0,3,[]
339,16,43,9,37,11,38,10,24,10,39,20,38,60,26,19,36,23,38,19,36,0,2,0,3,[]
340,12,49,12,48,11,49,7,19,11,49,21,47,49,33,19,48,19,48,19,48,0,2,0,3,[]
341,7,53,15,49,11,52,8,24,9,49,24,39,36,36,23,43,22,46,24,42,0,2,0,3,[]
342,7,53,22,54,20,48,9,37,18,49,34,31,34,31,29,35,24,39,29,35,0,2,0,3,[]
343,11,82,30,49,22,43,16,43,21,45,31,31,32,31,31,34,29,36,29,36,0,2,0,3,[]
344,17,68,34,38,25,37,24,42,24,40,32,34,32,35,33,37,30,34,30,34,0,2,0,3,[]
345,18,55,35,39,28,33,24,37,25,38,33,31,33,31,31,34,30,30,30,30,0,2,0,3,['28:41 WEMissing(魔法猫咪) 击杀了 LNGSofM(暗裔剑魔)']
346,21,43,35,39,25,35,24,40,23,41,26,34,28,34,27,35,25,34,25,34,0,2,0,3,[]
347,24,40,35,39,26,35,22,40,23,43,28,33,27,34,30,34,27,32,26,32,0,2,0,3,['28:53 WExiye(英勇投弹手) 击杀了 LNGPlex(解脱者)']
348,32,34,35,39,26,35,27,37,25,38,31,31,34,31,33,33,32,33,31,32,0,2,0,3,[]
349,32,31,35,39,26,35,33,42,25,38,29,36,27,32,40,33,32,33,35,30,0,2,0,3,['29:2 LNGAsura(暗夜猎手) 击杀了 WEMystic(战争女神)']
350,24,36,35,39,26,35,26,37,24,38,29,35,22,37,35,38,32,33,35,38,0,2,0,3,"['29:6 LNGAsura(暗夜猎手) 击杀了 WEPoss(刀锋舞者)', '29:8 WEbeishang(德邦总管) 击杀了 LNGDuan(光辉女郎)', '29:10 LNGFlandre(离群之刺) 击杀了 WEbeishang(德邦总管)']"
351,24,29,35,39,26,35,23,35,24,38,29,35,22,37,33,37,32,33,33,37,0,2,0,3,['29:11 WExiye(英勇投弹手) 击杀了 LNGAsura(暗夜猎手)']
352,27,34,35,39,26,35,23,35,24,38,29,35,22,37,42,46,32,33,42,46,0,2,0,3,[]
353,33,33,35,39,26,35,23,35,24,38,29,35,22,37,48,50,32,33,48,50,0,2,0,3,[]
354,32,37,18,88,26,35,23,35,24,38,29,35,22,37,50,49,32,33,53,47,0,2,0,3,[]
355,31,50,31,80,26,35,23,35,24,38,29,35,22,37,50,49,32,33,53,47,0,2,0,3,[]
356,32,63,41,70,26,35,23,35,24,38,29,35,22,37,90,7,32,33,95,4,0,2,0,4,['29:38 WE 击破了防御塔']
357,29,68,46,65,5,91,23,35,2,96,29,35,22,37,76,20,32,33,94,4,0,2,0,4,[]
358,32,65,34,60,14,74,23,35,16,79,29,35,22,37,66,30,82,6,82,6,0,2,0,4,[]
359,43,57,27,59,19,61,23,35,28,67,88,17,88,15,55,32,65,8,65,8,0,2,0,4,[]
360,44,54,32,50,30,55,16,90,31,53,88,33,75,27,58,38,52,9,52,9,0,2,0,4,[]
361,46,51,33,43,33,42,30,81,35,48,75,34,66,38,54,47,39,10,39,10,0,2,0,4,[]
362,43,48,28,34,28,33,42,78,32,41,64,40,73,44,53,47,30,8,34,17,0,2,0,4,[]
363,44,48,27,31,21,22,46,74,37,39,54,43,64,41,54,41,36,13,36,13,0,2,0,4,[]
364,42,44,35,39,16,15,39,64,33,32,58,34,59,36,57,33,46,15,46,15,0,2,0,4,[]
365,49,49,44,43,19,25,46,53,42,42,47,36,54,41,55,43,48,19,48,19,0,2,0,4,[]
366,46,48,43,39,29,33,47,49,41,43,50,34,55,42,54,46,52,28,52,28,0,2,0,4,[]
367,45,43,41,35,19,22,42,46,42,42,57,38,50,44,53,48,59,36,59,37,0,2,0,4,[]
368,42,44,36,42,17,18,43,54,36,43,48,49,45,50,44,51,50,47,44,51,0,2,0,4,[]
369,44,39,34,43,25,29,41,54,29,38,44,49,42,46,44,48,44,49,44,48,0,2,0,4,['30:41 WEMissing(魔法猫咪) 击杀了 LNGAsura(暗夜猎手)']
370,41,38,30,48,32,38,41,54,22,45,42,54,43,53,40,58,40,57,41,57,0,2,0,4,[]
371,42,44,24,52,32,38,41,54,18,59,39,58,32,58,40,55,35,58,40,55,0,2,0,4,[]
372,40,33,19,50,5,89,41,54,18,66,37,57,34,47,32,58,35,59,38,51,0,2,0,4,[]
373,39,26,18,56,14,79,41,54,19,61,28,66,32,59,30,67,29,71,33,60,0,2,0,4,[]
374,39,26,19,66,18,78,41,54,17,69,25,74,24,71,26,76,26,75,26,70,0,2,0,5,['31:10 WExiye(英勇投弹手) 击破了防御塔']
375,13,89,20,71,21,82,41,54,16,75,20,77,21,73,25,75,25,76,24,76,0,2,0,5,[]
376,24,76,19,69,27,77,41,54,21,75,29,70,24,71,29,71,29,69,30,71,0,2,0,5,[]
377,30,66,25,70,24,71,41,54,26,72,30,65,26,69,31,67,31,67,31,67,0,2,0,5,['31:23 LNGSofM(暗裔剑魔) 击杀了 WEbeishang(德邦总管)']
378,39,63,30,65,35,64,7,94,32,67,36,63,26,69,39,59,35,64,35,64,0,2,0,5,['31:29 WEMystic(战争女神) 击杀了 LNGFlandre(离群之刺)']
379,39,63,36,60,41,60,21,81,40,62,44,54,26,69,48,55,35,64,48,55,0,2,0,5,['31:31 LNGDuan(光辉女郎) 击杀了 WEMystic(战争女神)']
380,39,63,46,57,50,48,29,71,49,50,53,44,26,69,56,46,35,64,56,46,0,2,0,5,[]
381,39,63,52,62,48,48,38,62,44,55,48,51,26,69,51,46,35,64,48,51,0,2,0,5,['31:42 WExiye(英勇投弹手) 击杀了 LNGPlex(解脱者)']
382,39,63,65,63,48,48,44,56,38,51,56,42,26,69,58,39,35,64,58,39,0,2,0,5,[]
383,39,63,72,66,48,48,48,53,47,52,59,39,26,69,58,39,35,64,58,39,0,2,0,5,[]
384,39,63,75,67,48,48,48,53,42,56,59,39,26,69,89,7,35,64,89,7,0,2,0,5,[]
385,39,63,75,67,48,48,44,52,32,59,85,9,26,69,74,22,35,64,74,22,0,2,0,5,[]
386,39,63,9,85,48,48,31,49,31,49,67,10,77,14,64,32,35,64,64,32,0,2,0,5,[]
387,39,63,22,73,48,48,20,48,31,49,54,9,63,22,56,41,35,64,56,41,0,2,0,5,[]
388,39,63,31,63,48,48,21,47,2,96,46,13,52,32,41,39,92,6,41,39,0,2,0,5,[]
389,39,63,42,55,48,48,30,53,14,77,43,24,39,36,32,34,78,19,30,38,0,2,0,5,[]
390,12,82,47,49,48,48,33,49,28,67,33,30,32,31,31,32,68,28,31,33,0,2,0,5,[]
391,17,67,41,39,48,48,34,42,31,53,32,32,33,31,35,31,56,33,35,31,0,2,0,5,[]
392,21,60,44,51,15,90,43,48,35,48,34,35,34,35,39,37,47,36,39,37,0,2,0,5,['32:37 WE 击杀了大龙']
393,24,57,47,62,28,87,41,58,41,58,43,42,45,44,47,47,50,45,45,44,0,2,0,5,[]
394,32,61,53,67,41,90,39,59,44,67,53,51,54,53,57,54,54,52,54,53,0,2,0,5,[]
395,43,68,59,77,56,91,39,65,47,67,59,60,64,63,64,62,51,52,64,63,0,2,0,5,[]
396,44,69,58,83,47,81,39,65,52,76,68,63,68,67,65,59,54,52,65,59,0,2,0,5,[]
397,34,65,53,84,40,70,34,67,52,76,69,67,69,66,89,5,56,50,92,5,0,2,0,5,['33:5 WE 击杀了风龙']
398,29,59,49,81,32,60,31,70,3,96,74,69,74,62,82,22,92,5,82,22,0,2,0,5,[]
399,19,52,38,76,24,51,31,70,20,83,80,81,92,9,80,47,82,20,80,48,0,2,0,5,[]
400,21,51,27,68,21,46,6,94,29,69,79,88,78,24,74,49,81,35,74,49,0,2,0,5,[]
401,27,59,21,59,22,48,22,82,36,59,70,91,67,36,67,55,79,49,67,55,0,2,0,5,[]
402,39,66,30,49,24,47,30,83,34,69,68,91,73,44,51,55,76,57,51,55,0,2,0,5,[]
403,47,76,33,40,17,44,32,70,41,77,70,90,68,44,53,63,73,69,53,63,0,2,0,5,[]
404,41,86,32,40,12,34,28,69,43,88,56,89,64,57,56,74,68,82,56,75,0,2,0,5,[]
405,39,91,32,42,11,25,23,74,34,88,48,90,57,70,49,83,54,86,49,83,0,2,0,5,[]
406,37,92,3,96,11,20,22,74,30,81,46,91,49,79,41,82,48,91,41,81,0,2,0,6,['33:49 WEPoss(刀锋舞者) 击破了防御塔']
407,29,93,24,90,11,20,25,87,30,85,38,91,39,89,36,91,37,93,36,91,0,2,0,6,[]
408,22,94,27,87,14,94,24,90,24,86,32,89,33,90,32,94,32,93,32,94,0,2,0,6,[]
409,8,96,20,84,18,89,15,85,18,86,26,89,24,89,25,82,26,91,25,82,0,2,0,7,['34:1 WEMystic(战争女神) 击破了防御塔']
410,8,95,12,85,14,93,11,83,13,87,22,87,21,88,22,87,20,92,20,82,0,2,0,7,[]
411,13,95,4,95,9,92,9,85,6,94,21,85,23,86,18,89,21,85,18,89,0,2,0,7,[]
412,15,94,12,94,18,87,18,84,15,91,22,88,26,89,19,92,22,89,22,89,0,2,0,7,[]
413,26,87,24,94,21,89,26,86,20,93,24,87,27,93,26,92,27,93,26,92,0,2,0,7,['34:24 LNGAsura(暗夜猎手) 击杀了 WEPoss(刀锋舞者)']
414,34,92,28,96,30,93,30,87,28,94,24,87,33,90,36,93,34,93,34,92,0,2,0,7,['34:30 LNGAsura(暗夜猎手) 击杀了 WEbeishang(德邦总管)']
415,20,86,35,84,30,91,45,90,31,89,24,87,33,90,36,93,34,93,35,91,0,2,0,7,"['34:31 LNGDuan(光辉女郎) 击杀了 WExiye(英勇投弹手)', '34:31 LNGPlex(解脱者) 击杀了 WEMystic(战争女神)', '34:32 LNGAsura(暗夜猎手) 击杀了 WEMissing(魔法猫咪)']"
416,11,83,24,77,16,86,58,91,24,78,24,87,33,90,36,93,34,93,35,91,0,2,0,7,[]
417,16,83,27,72,17,82,64,93,29,70,24,87,33,90,36,93,34,93,35,91,0,2,0,7,[]
418,26,79,35,64,25,71,72,89,36,63,24,87,33,90,36,93,34,93,35,91,0,2,0,7,[]
419,33,69,44,55,35,62,82,82,44,55,24,87,33,90,36,93,34,93,35,91,0,2,0,7,[]
420,42,59,48,52,46,52,84,83,46,52,24,87,33,90,36,93,34,93,35,91,0,2,0,7,[]
421,53,50,55,45,54,44,79,86,52,44,24,87,33,90,36,93,34,93,35,91,0,2,0,7,[]
422,61,41,63,35,63,35,74,87,61,37,24,87,33,90,36,93,34,93,35,91,0,3,0,7,['35:7 LNGPlex(解脱者) 击破了防御塔']
423,64,34,56,33,67,32,64,78,62,35,24,87,33,90,36,93,34,93,35,91,0,3,0,7,[]
424,64,33,51,34,61,37,52,75,58,43,92,8,91,10,36,93,34,93,35,91,0,4,0,7,['35:16 LNGFlandre(离群之刺) 击破了防御塔']
425,51,32,40,29,51,40,47,79,60,49,79,22,75,24,36,93,89,13,89,13,0,4,0,7,[]
426,39,37,33,32,51,40,47,79,60,49,65,33,68,31,36,93,75,26,75,26,0,4,0,7,[]
427,31,38,26,37,9,93,2,96,4,96,60,37,62,39,85,6,62,32,62,32,0,4,0,7,[]
428,30,49,17,44,23,85,5,94,13,91,53,29,55,31,66,11,52,27,58,25,0,4,0,7,[]
429,24,58,17,45,30,83,24,87,28,84,58,37,59,36,51,12,56,32,57,32,0,4,0,7,[]
430,22,58,16,52,30,70,32,80,34,78,49,42,47,38,43,11,53,30,53,30,0,4,0,7,[]
431,22,58,16,52,39,63,33,69,43,69,41,34,41,29,40,6,47,17,47,17,0,4,0,7,[]
432,15,92,4,91,49,50,43,67,53,63,41,24,30,21,37,15,41,16,41,16,0,4,0,7,[]
433,32,90,17,78,42,58,43,67,51,61,53,29,34,22,42,16,37,17,37,17,0,4,0,7,[]
434,44,90,29,70,42,68,49,79,39,64,66,33,20,25,26,12,24,14,26,13,0,4,0,7,[]
435,57,90,41,61,30,66,52,84,42,67,63,34,19,25,14,18,14,20,14,20,0,4,0,7,[]
436,66,91,34,63,16,63,46,80,42,67,52,32,21,29,10,29,8,29,8,29,0,4,0,7,[]
437,66,91,20,64,8,55,42,78,5,76,47,37,22,42,10,38,6,39,10,38,0,4,0,7,[]
438,76,87,11,57,7,56,31,72,10,58,47,53,12,49,7,49,7,48,13,48,0,4,0,7,[]
439,81,86,11,57,5,53,27,67,10,57,43,52,16,50,13,50,9,46,13,50,0,4,0,7,[]
440,82,86,18,61,5,57,25,72,10,56,34,61,17,50,8,46,6,46,8,46,0,4,0,7,[]
441,81,86,22,66,5,57,28,72,9,59,34,61,14,50,10,49,7,50,10,49,0,4,0,7,[]
442,80,85,21,65,6,62,23,71,12,64,36,60,8,55,10,53,7,53,7,53,0,4,0,8,['36:48 WExiye(英勇投弹手) 击破了防御塔']
443,80,85,25,65,9,63,24,71,12,68,38,61,10,51,12,49,8,53,8,52,0,4,0,8,[]
444,89,82,28,66,15,66,31,67,27,66,40,57,24,51,26,51,20,50,24,51,0,4,0,8,[]
445,88,77,37,74,8,60,30,70,29,70,34,60,30,58,33,59,32,52,33,59,0,4,0,8,[]
446,87,76,44,72,10,61,27,79,35,77,28,69,33,64,30,64,30,65,30,65,0,4,0,8,[]
447,84,78,42,70,17,68,21,82,27,81,21,73,24,74,25,70,24,73,25,70,0,4,0,8,[]
448,84,78,36,76,16,74,22,80,28,80,25,71,33,75,24,71,27,71,24,70,0,4,0,8,[]
449,2,96,34,76,25,68,28,74,28,75,31,68,32,72,31,68,31,66,31,68,0,4,0,8,[]
450,35,60,34,63,30,64,31,63,32,67,36,60,31,67,37,59,31,58,32,59,0,4,0,8,"['37:27 LNGSofM(暗裔剑魔) 击杀了 WEbeishang(德邦总管)', '37:30 LNGAsura(暗夜猎手) 击杀了 WEMystic(战争女神)']"
451,43,57,40,59,36,58,32,56,37,62,48,55,31,67,46,59,31,54,31,54,0,4,0,8,"['37:32 LNGAsura(暗夜猎手) 击杀了 WEMissing(魔法猫咪)', '37:35 LNGDuan(光辉女郎) 击杀了 WExiye(英勇投弹手)']"
452,49,55,45,54,48,52,40,56,46,55,59,58,31,67,46,59,31,54,31,54,0,4,0,8,[]
453,55,54,55,53,58,43,41,56,59,56,72,63,31,67,46,59,31,54,31,54,0,4,0,8,[]
454,61,43,62,41,64,37,41,57,71,62,79,71,31,67,46,59,31,54,31,54,0,4,0,8,[]
455,67,34,70,31,70,32,51,49,76,56,79,72,31,67,46,59,31,54,31,54,0,4,0,8,[]
456,73,26,73,27,75,26,61,40,79,41,95,4,31,67,46,59,31,54,31,54,0,4,0,8,[]
457,73,26,73,30,75,25,71,30,73,29,84,15,31,67,46,59,31,54,31,54,0,4,0,8,[]
458,78,20,79,22,79,22,79,24,79,23,84,16,31,67,46,59,31,54,31,54,0,5,0,8,['38:6 LNGFlandre(离群之刺) 击破了防御塔']
459,85,16,85,17,86,17,88,18,86,19,85,13,31,67,46,59,31,54,31,54,0,5,0,8,[]
460,84,15,85,13,85,13,88,14,86,16,86,19,87,9,46,59,31,54,31,54,0,6,0,8,"['38:18 LNGDuan(光辉女郎) 击破了防御塔', '38:18 LNGPlex(解脱者) 击杀了 WEPoss(刀锋舞者)']"
461,86,14,86,13,89,14,91,15,86,16,86,19,87,15,46,59,31,54,95,4,0,7,0,8,"['38:22 LNGFlandre(离群之刺) 击破了防御塔', '38:22 LNGAsura(暗夜猎手) 击杀了 WEbeishang(德邦总管)']"
462,86,14,86,13,89,14,91,15,86,16,86,19,87,15,46,59,95,3,95,4,0,7,0,8,[]
463,86,14,86,13,89,14,91,15,86,16,86,19,87,15,46,59,95,3,95,4,0,7,0,8,['38:35 LNG 获胜']
