,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
98,11,22,42,66,43,51,65,88,67,88,24,11,69,49,46,52,79,88,78,87,0,0,0,0,[]
99,16,17,52,63,43,55,68,92,69,88,26,11,73,54,49,52,84,88,75,87,0,0,0,0,[]
100,19,14,56,66,48,57,68,92,71,87,23,10,73,54,59,50,84,88,84,88,0,0,0,0,[]
101,17,15,53,66,52,47,71,88,71,85,25,10,74,55,66,53,95,4,95,4,0,0,0,0,[]
102,16,16,45,64,47,50,70,88,68,80,21,10,69,62,57,49,94,8,95,6,0,0,0,0,[]
103,17,15,46,68,46,50,66,88,63,76,21,10,59,56,54,48,90,73,90,73,0,0,0,0,[]
104,17,16,54,59,54,54,2,96,55,64,20,11,55,55,54,50,85,81,84,81,0,0,0,0,[]
105,18,16,51,51,52,52,14,96,54,54,18,12,53,50,56,45,82,84,82,81,0,0,0,0,"['8:45 LNGSofM(暗裔剑魔) 击杀了 WEbeishang(德邦总管),获得一血']"
106,17,16,59,60,45,50,25,95,57,62,15,12,53,50,53,46,80,91,75,78,0,0,0,0,[]
107,14,17,63,60,49,50,35,94,61,63,16,14,53,50,55,46,73,91,72,70,0,0,0,0,[]
108,17,18,64,60,48,49,48,93,71,70,17,16,94,5,54,47,74,91,78,75,0,0,0,0,[]
109,10,21,3,96,44,52,58,92,70,79,17,16,88,17,51,49,73,91,78,80,0,0,0,0,['9:1 LNGFlandre(离群之刺) 击杀了 WEPoss(刀锋舞者)']
110,11,21,14,90,40,54,69,91,70,88,17,16,83,28,49,51,75,89,76,89,0,0,0,0,[]
111,10,20,18,80,37,57,70,90,69,91,17,16,80,40,48,51,74,89,74,89,0,0,0,0,[]
112,13,20,18,68,37,57,67,91,71,94,17,16,80,53,45,53,75,93,75,93,0,0,0,0,[]
113,19,24,21,58,36,57,70,91,68,92,17,16,83,56,46,53,78,89,74,88,0,0,0,0,[]
