,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
87,51,74,17,15,76,89,77,88,40,58,82,83,24,11,73,62,58,56,84,86,0,0,0,0,[]
88,52,76,18,16,74,91,72,90,43,56,77,88,25,11,67,64,65,60,82,83,0,0,0,0,[]
89,54,76,16,20,71,92,70,90,50,59,77,88,21,11,72,66,63,52,79,84,0,0,0,0,[]
90,56,80,19,20,72,91,73,89,49,53,78,81,20,13,72,67,54,49,83,87,0,0,0,0,[]
91,56,82,16,17,77,89,80,91,51,53,84,84,23,12,75,58,54,49,86,86,0,0,0,0,[]
92,56,82,14,21,80,85,82,87,51,56,86,82,22,11,83,58,53,47,88,83,0,0,0,0,[]
93,57,69,13,22,83,86,85,84,62,62,86,80,21,12,83,63,57,42,87,78,0,0,0,0,[]
94,63,59,16,20,83,85,81,85,61,57,86,77,21,11,87,66,55,43,88,78,0,0,0,0,[]
95,67,53,15,18,81,87,82,88,56,56,84,81,19,13,82,68,49,42,88,81,0,0,0,0,[]
96,58,55,14,21,80,85,84,87,52,53,85,79,19,13,80,68,52,45,87,80,0,0,0,0,[]
97,59,56,14,21,85,81,85,81,53,52,91,76,18,14,79,75,52,44,91,74,0,0,0,0,[]
98,66,59,12,22,84,84,85,82,55,53,89,76,19,12,78,72,53,45,90,80,0,0,0,0,[]
99,78,62,12,23,87,81,84,80,67,60,88,72,15,15,78,71,55,42,88,71,0,0,0,0,[]
100,79,68,13,21,84,78,79,75,75,66,87,70,15,15,77,71,58,39,84,66,0,0,0,0,[]
101,83,65,10,24,88,73,76,68,75,62,88,67,14,19,91,67,54,42,87,66,0,0,0,0,[]
102,84,66,10,26,90,74,79,75,61,57,92,68,18,24,94,67,52,47,88,69,0,0,0,0,[]
103,83,69,9,27,86,79,84,79,52,52,90,74,18,23,90,74,50,47,93,73,0,0,0,0,[]
104,80,65,9,28,83,83,84,84,48,53,92,71,11,24,89,69,51,47,93,72,0,0,0,0,[]
105,84,64,7,24,82,81,86,82,51,54,88,75,12,21,93,63,56,42,91,76,0,0,0,0,[]
106,85,63,9,28,88,76,89,77,65,57,91,68,9,21,94,60,59,37,93,70,0,0,0,0,[]
107,92,62,9,29,91,68,91,71,83,60,93,66,9,23,93,61,59,37,93,66,0,0,0,0,[]
108,93,68,8,30,89,71,88,74,89,66,94,69,9,21,94,66,94,9,93,66,0,0,0,0,"['8:56 V5y4(Æ¤³ÇÅ®¾¯) »÷É±ÁË RWKillua(ºÓÁ÷Ö®Íõ)', '8:57 V5Mole(ÑÒÈ¸) »÷É±ÁË RWHaro(½âÍÑÕß)', '8:58 V5y4(Æ¤³ÇÅ®¾¯) »÷É±ÁË RWZWuJi(Ì½ÏÕ¼Ò)']"
109,90,69,9,29,89,70,89,73,85,66,94,69,13,21,94,66,87,16,93,66,0,0,0,0,[]
110,88,74,7,26,88,70,90,73,74,62,94,69,13,20,94,66,69,32,95,4,0,0,0,0,[]
111,84,78,9,28,88,74,84,79,60,56,92,6,13,21,87,8,57,42,85,4,0,1,0,0,"['9:12 V5 »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
112,2,96,6,28,87,76,84,79,46,56,84,9,11,26,77,14,50,47,73,5,0,1,0,0,[]
113,8,85,8,30,2,96,4,93,38,56,73,10,10,28,66,20,45,52,62,7,0,1,0,0,[]
114,14,74,8,31,3,92,5,90,42,57,62,9,17,22,57,28,45,49,51,9,0,1,0,0,[]
115,22,66,8,31,5,79,6,76,40,59,49,9,26,22,53,37,45,51,39,10,0,1,0,0,[]
116,31,59,2,96,5,67,7,63,38,60,38,10,26,22,50,34,44,53,28,12,0,1,0,0,[]
117,23,55,15,95,7,55,18,58,39,58,28,12,94,11,50,25,45,53,19,15,0,1,0,0,[]
118,21,51,25,91,8,42,20,45,32,58,18,14,93,24,49,24,44,50,15,16,0,1,0,0,[]
119,24,48,31,82,9,30,18,35,25,50,17,17,91,38,49,22,45,52,19,22,0,1,0,0,[]
120,24,42,39,74,8,24,11,31,29,52,14,22,90,48,48,18,45,54,16,21,0,1,0,0,[]
121,21,29,48,67,10,26,10,23,37,58,16,16,88,54,44,14,50,50,16,20,0,1,0,0,[]
122,23,31,46,64,11,20,15,20,39,53,17,15,78,54,41,16,54,46,20,15,0,1,0,0,[]
123,26,35,57,69,13,18,16,20,40,55,25,13,74,54,39,15,63,51,25,14,0,1,0,0,[]
124,30,31,64,77,12,17,19,20,42,52,24,12,76,52,39,14,72,50,28,16,0,1,0,0,[]
125,34,30,65,83,16,15,27,22,45,52,22,11,87,55,33,17,67,43,21,12,0,1,0,0,[]
126,29,33,57,82,21,14,22,21,48,52,25,10,83,64,32,18,59,44,22,13,0,1,0,0,[]
127,29,32,61,85,12,20,16,19,44,49,18,14,85,65,23,22,52,48,16,17,0,1,0,0,[]
128,26,24,64,90,14,20,22,21,32,40,21,12,88,74,27,18,45,43,20,12,0,1,0,0,[]
129,27,32,74,89,16,16,27,21,38,42,22,11,90,76,34,17,45,43,21,9,0,1,0,0,[]
130,25,30,80,84,17,14,26,22,41,45,24,12,86,77,36,18,47,49,24,12,0,1,0,0,[]
131,25,29,74,89,18,13,30,20,46,48,27,6,77,78,36,18,52,47,25,10,0,1,0,0,[]
132,26,31,70,91,19,12,30,18,50,53,29,12,78,88,38,13,53,50,32,12,0,1,0,0,[]
133,26,30,69,91,18,12,28,19,46,52,29,9,77,88,46,6,53,49,35,12,0,1,0,0,[]
134,23,23,68,92,17,13,20,19,36,42,27,11,78,88,46,6,50,43,30,9,0,1,0,0,[]
135,28,15,68,93,24,9,25,10,27,34,34,9,72,87,91,5,57,38,30,6,0,1,0,0,[]
136,27,8,67,91,24,9,26,10,27,19,32,6,77,88,86,6,55,31,31,6,0,1,0,0,[]
