,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
97,8,25,67,68,49,52,74,71,76,69,12,20,52,35,56,40,89,75,87,73,12166,0,12881,0,[]
98,6,20,66,71,52,49,68,68,69,68,17,17,55,32,91,10,85,79,85,79,12265,0,13000,0,[]
99,9,21,65,71,49,53,69,68,69,67,13,17,64,40,81,20,78,73,81,77,12311,0,13088,0,[]
100,12,18,66,69,50,53,66,66,65,65,18,19,68,49,72,30,73,64,74,68,12488,0,13165,0,['8:19 BLG 击杀了水龙']
101,13,19,69,67,55,58,68,67,65,65,22,24,69,66,67,42,72,68,69,66,12620,0,13660,0,['8:24 V5y4(圣枪游侠) 击杀了 BLGMeteor(狂战士)']
102,16,19,69,67,58,69,66,72,57,64,28,32,66,72,64,57,78,76,67,71,12727,0,13739,0,[]
103,20,26,69,67,60,72,62,70,60,74,32,34,64,72,58,68,81,85,63,71,13240,0,14295,0,['8:35 V5Max(深海泰坦) 击杀了 BLGJinjiao(战争女神)']
104,17,19,2,96,48,74,62,70,50,79,40,34,64,72,57,68,84,85,71,67,13312,0,14432,0,['8:36 BLGXinMo(堕落天使) 击杀了 V5Ben4(盲僧)']
105,16,15,12,92,43,68,62,70,56,84,35,24,64,72,53,55,81,87,74,69,13426,0,14610,0,[]
106,16,16,23,86,43,68,62,70,67,88,27,16,64,72,52,48,84,80,79,79,13575,0,14679,0,[]
107,13,15,33,79,5,92,12,95,74,87,22,11,91,11,50,48,84,79,79,82,13625,0,14844,0,[]
108,17,9,46,75,12,82,23,94,74,87,28,9,86,21,47,51,95,4,78,85,13696,0,15006,0,[]
109,17,9,51,74,21,74,34,93,68,91,25,8,81,31,52,57,94,11,81,81,13867,0,15057,0,[]
110,19,12,46,71,30,66,46,93,67,92,21,13,80,43,57,68,93,24,79,75,13917,0,15108,0,[]
