,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
33,18,16,46,65,52,47,89,80,90,79,22,10,95,4,54,47,91,73,90,72,4331,0,4029,0,[]
34,17,16,51,65,52,47,90,75,89,78,22,10,90,15,56,42,90,70,88,70,4603,0,4144,0,[]
35,15,16,51,65,52,46,89,79,87,78,23,11,84,25,57,44,91,72,88,72,4760,0,4218,0,[]
36,20,14,58,62,52,45,91,74,90,75,27,11,81,36,56,45,92,68,88,68,4847,0,4346,0,[]
37,21,13,67,61,51,44,88,77,89,76,26,8,80,48,53,45,93,70,88,69,4965,0,4532,0,[]
38,22,13,68,51,54,45,87,80,84,79,22,7,73,53,57,43,88,74,91,74,5141,0,4618,0,[]
39,23,13,71,50,56,48,86,79,80,75,28,8,77,52,57,42,88,74,91,77,5220,0,4683,0,[]
40,24,13,76,56,58,49,88,78,75,65,27,8,77,52,57,44,90,72,92,73,5413,0,4818,0,[]
41,24,11,75,56,53,46,82,78,76,58,29,8,75,44,57,44,91,69,92,71,5463,0,4995,0,[]
42,24,11,73,61,51,48,75,70,75,54,29,8,72,42,59,39,89,73,92,72,5548,0,5121,0,[]
43,19,15,71,64,53,45,72,69,77,56,27,14,73,43,63,39,89,81,86,76,5739,0,5272,0,[]
44,16,16,67,63,48,48,77,78,76,67,22,11,76,47,56,45,87,80,86,76,5861,0,5344,0,[]
45,17,16,56,57,45,43,81,86,77,77,22,10,82,55,58,42,86,81,88,80,5911,0,5451,0,[]
46,15,17,45,49,46,43,81,86,81,85,21,10,82,55,53,44,85,80,88,85,6046,0,5516,0,[]
47,16,16,39,41,47,44,83,84,82,85,20,10,81,55,50,42,87,78,88,79,6136,0,5693,0,[]
48,17,15,45,39,51,43,84,84,87,85,20,10,73,49,56,41,88,76,87,76,6228,0,5765,0,[]
49,18,14,37,41,50,47,83,84,87,85,22,10,66,41,65,40,87,78,90,77,6349,0,5837,0,[]
50,16,14,39,43,50,48,82,84,87,85,23,13,58,34,65,40,89,80,88,78,6526,0,5923,0,[]
51,14,12,43,38,52,47,83,83,87,85,23,13,54,32,95,4,88,78,87,78,6667,0,6002,0,[]
52,16,13,46,36,42,39,84,81,88,79,23,12,52,33,95,4,88,76,88,77,6841,0,6142,0,[]
53,19,16,39,29,42,40,82,81,83,82,23,10,55,31,59,41,88,77,87,76,6983,0,6333,0,[]
54,20,12,36,28,2,96,88,79,86,77,25,9,54,32,51,41,90,72,92,72,7149,0,6528,0,[]
55,20,12,36,28,14,91,89,74,89,77,26,11,52,27,52,44,89,68,92,72,7270,0,6706,0,[]
56,19,13,5,95,22,82,89,75,90,76,25,11,42,24,52,46,90,70,93,71,7368,0,6853,0,[]
57,24,12,7,94,29,73,88,78,90,77,26,11,31,22,54,43,89,70,92,72,7505,0,6928,0,[]
58,16,15,14,86,37,65,87,79,87,78,25,12,20,20,54,45,89,71,91,72,7582,0,7028,0,[]
59,6,21,20,76,44,56,87,76,88,78,12,19,7,21,54,45,88,70,92,72,7656,0,7116,0,[]
60,5,29,29,65,50,46,90,75,88,76,7,22,11,23,54,47,89,68,93,71,7712,0,7239,0,[]
61,5,36,31,53,49,48,87,80,87,82,16,13,19,22,55,47,91,70,92,74,7788,0,7329,0,[]
62,5,36,34,42,49,49,83,83,89,84,26,8,29,19,54,47,89,79,90,79,7880,0,7423,0,[]
63,3,96,41,34,50,50,87,82,89,82,26,8,39,17,54,46,89,76,90,74,7973,0,7498,0,[]
64,20,13,43,23,51,47,87,82,89,82,95,4,42,16,56,46,88,76,87,75,8080,0,7580,0,[]
65,29,16,45,13,46,50,86,82,88,82,95,4,46,12,52,46,88,76,87,76,8185,0,7673,0,[]
66,30,17,45,15,49,51,85,80,87,82,25,8,54,9,53,48,91,78,89,74,8282,0,7749,0,[]
67,25,14,39,16,48,49,85,79,87,80,25,8,54,9,54,47,90,75,91,75,8626,0,7857,0,[]
68,27,20,38,24,51,50,87,81,84,80,25,9,93,5,54,49,88,78,90,77,8779,0,7950,0,[]
69,19,18,41,37,50,52,88,80,83,78,24,8,92,8,52,49,88,74,92,75,8921,0,8095,0,[]
70,20,14,33,42,47,52,85,78,79,74,25,8,88,16,54,48,88,72,90,74,8986,0,8188,0,[]
71,18,11,31,54,46,51,76,72,75,64,26,10,79,23,51,52,92,68,93,71,9163,0,8376,0,[]
72,21,13,37,61,49,52,68,65,79,66,26,8,71,31,54,49,89,73,92,74,9279,0,8560,0,[]
73,20,9,47,65,52,50,69,65,79,75,26,10,62,39,52,48,88,71,90,72,9441,0,8688,0,[]
74,19,11,53,64,52,49,77,73,79,75,26,9,55,45,55,45,87,78,89,76,9537,0,8837,0,[]
75,18,15,48,57,53,55,83,80,75,71,23,9,52,50,54,50,90,77,89,76,9650,0,8944,0,[]
76,20,16,49,62,52,49,83,82,80,77,22,9,59,44,55,45,89,79,87,77,9766,0,9053,0,[]
77,21,14,46,66,49,48,85,83,85,84,25,10,69,41,56,44,90,79,89,77,9910,0,9123,0,[]
78,16,15,39,64,49,48,84,82,88,83,21,10,73,43,54,48,88,77,91,77,10012,0,9191,0,[]
79,17,14,39,53,49,48,84,81,88,80,23,10,72,41,55,45,90,76,92,77,10112,0,9357,0,[]
80,18,14,32,44,49,49,85,84,85,84,23,8,77,49,55,46,87,76,90,78,10202,0,9446,0,[]
81,19,14,28,36,50,47,85,85,85,84,24,9,79,56,55,45,87,77,89,78,10371,0,9528,0,[]
82,20,13,33,38,53,47,86,82,84,81,24,9,82,57,55,46,89,76,88,75,10531,0,9605,0,[]
83,20,13,38,39,47,50,83,79,80,78,24,8,83,57,56,43,91,75,88,74,10729,0,9854,0,[]
84,20,14,43,41,51,48,77,72,77,68,25,9,80,53,55,48,91,76,90,75,10836,0,9933,0,[]
85,20,13,40,30,50,48,76,70,79,74,26,8,74,43,55,48,88,78,87,75,10956,0,10026,0,[]
86,20,12,47,22,50,46,79,81,82,83,25,9,64,38,57,44,90,81,87,77,11097,0,10147,0,[]
87,21,14,42,15,44,35,86,82,88,85,24,8,55,32,59,42,88,78,86,76,11220,0,10301,0,[]
88,22,13,37,14,37,26,83,85,88,83,26,10,55,31,55,44,86,76,88,75,11312,0,10449,0,[]
89,33,9,34,8,29,19,82,84,89,83,39,5,53,33,54,45,88,74,87,74,11391,0,10564,0,[]
90,46,8,47,6,25,27,83,84,88,84,47,6,53,32,49,50,87,74,87,74,12124,0,10761,0,[]
91,43,8,45,12,31,39,83,86,83,84,47,9,52,27,49,50,86,77,88,77,12368,0,10833,0,"['7:32 OMGCurse(未来守护者) 击杀了 WEPoss(符文法师),获得一血']"
92,33,9,46,23,36,49,83,84,84,83,47,9,59,36,54,47,86,78,89,80,12549,0,10889,0,[]
93,35,13,37,25,39,55,86,83,87,83,47,9,55,47,54,47,88,76,90,77,12698,0,10961,0,[]
94,26,10,28,35,43,54,83,81,81,80,92,4,58,57,90,6,88,74,89,77,12937,0,11033,0,[]
95,17,9,23,46,52,47,81,90,74,78,81,5,61,62,85,12,91,69,93,71,12987,0,11084,0,[]
96,17,9,19,45,54,46,81,90,74,78,69,6,54,67,78,22,89,70,92,71,13142,0,11267,0,[]
97,3,92,21,45,47,49,5,96,5,95,58,7,54,76,69,33,89,71,88,74,13198,0,11379,0,[]
98,4,86,20,50,44,51,9,95,15,91,47,10,54,76,59,40,87,78,89,78,13348,0,11451,0,[]
99,6,73,25,56,44,51,21,94,25,86,38,15,56,75,57,41,86,78,88,80,13397,0,11711,0,[]
100,7,60,24,56,13,91,32,93,33,79,27,15,68,68,56,44,84,80,87,80,13550,0,11849,0,[]
101,9,48,25,56,20,82,44,92,44,74,19,17,76,59,55,55,87,75,89,78,13595,0,11895,0,[]
102,9,35,25,56,28,74,55,90,54,76,20,13,74,55,62,57,87,75,89,78,13650,0,11992,0,[]
103,12,23,7,96,36,66,66,89,59,70,18,13,74,54,69,50,94,7,94,6,13761,0,12048,0,[]
104,11,17,14,92,44,58,76,87,54,64,18,13,77,52,73,52,94,9,93,19,13853,0,12203,0,[]
105,11,17,26,85,47,50,76,90,55,62,18,13,77,52,64,52,94,9,92,30,13955,0,12326,0,[]
106,14,20,35,77,48,51,76,88,58,69,17,12,90,4,54,47,92,23,91,41,14052,0,12430,0,[]
107,14,18,43,69,48,50,77,87,64,78,20,13,82,5,53,46,92,36,90,52,14282,0,12574,0,[]
108,12,20,53,64,48,48,78,86,62,76,18,13,70,6,54,46,91,48,88,63,14381,0,12626,0,[]
109,9,24,48,66,48,51,80,84,73,77,16,17,59,8,51,48,90,61,86,74,14630,0,12691,0,[]
110,10,21,49,65,52,49,82,83,81,84,15,15,47,9,56,44,87,73,86,78,14926,0,12742,0,[]
111,9,22,56,60,56,54,84,80,81,79,15,18,36,11,57,45,89,79,89,79,15009,0,13009,0,[]
112,8,24,61,61,51,50,84,80,86,79,14,20,27,14,55,46,88,71,89,74,15143,0,13074,0,[]
113,8,28,67,68,48,52,76,73,79,74,14,21,25,25,51,47,91,69,90,68,15215,0,13196,0,[]
114,15,38,65,69,49,52,70,68,70,68,21,29,30,35,52,47,92,72,87,79,15266,0,13339,0,[]
115,21,45,64,71,51,51,68,67,67,68,23,33,33,41,53,47,92,72,89,77,15337,0,13544,0,[]
116,13,48,66,67,49,52,73,68,70,67,17,23,38,37,53,48,89,79,87,78,15534,0,13676,0,[]
117,9,36,56,61,50,50,80,76,76,75,16,18,41,28,54,46,90,77,87,77,15620,0,13805,0,['9:41 OMG 击杀了风龙']
118,12,23,55,61,51,50,86,79,85,81,18,14,47,24,54,45,91,77,90,76,15761,0,13955,0,[]
119,8,26,2,96,50,49,85,80,87,82,14,19,46,24,54,46,89,74,88,72,15875,0,14034,0,[]
120,7,31,5,91,49,49,87,81,89,82,8,24,47,22,53,46,88,73,91,74,16038,0,14204,0,[]
121,11,24,13,81,51,48,87,77,89,78,11,14,43,17,55,47,90,71,92,71,16137,0,14282,0,[]
122,12,22,23,72,49,52,91,78,87,78,14,15,43,16,51,46,88,72,93,73,16290,0,14524,0,[]
123,12,22,32,62,53,44,88,79,88,79,11,15,44,16,53,44,88,73,92,74,16434,0,14737,0,[]
124,12,21,30,49,51,47,88,79,86,78,16,13,47,16,56,42,89,71,90,72,16688,0,14948,0,[]
125,14,17,39,44,51,46,80,77,77,72,17,10,51,25,57,41,90,69,91,76,16771,0,15123,0,[]
126,17,23,45,42,49,47,79,81,68,64,17,10,53,33,58,44,88,75,88,77,16943,0,15295,0,[]
127,16,20,46,43,52,45,78,83,65,56,91,5,53,33,59,41,85,81,84,79,17008,0,15479,0,[]
128,15,18,46,44,53,44,78,87,64,58,83,5,55,32,59,40,84,79,84,84,17332,0,15551,0,[]
129,15,17,47,45,58,45,78,88,70,66,70,6,56,33,59,41,83,82,84,82,17446,0,15807,0,[]
130,17,18,44,42,52,44,77,87,70,68,57,7,64,36,59,41,88,76,90,81,17518,0,15858,0,[]
131,2,96,40,31,52,46,76,88,74,74,46,7,66,48,63,40,87,70,90,81,17698,0,15913,0,[]
132,9,95,31,30,52,45,73,85,74,74,33,9,73,42,58,43,87,70,95,5,17770,0,16015,0,[]
133,16,85,34,32,42,41,76,86,3,93,28,12,71,41,56,45,93,13,90,15,17842,0,16248,0,[]
134,17,71,35,32,46,37,82,81,14,79,29,23,68,44,58,44,92,26,84,26,17928,0,16300,0,[]
135,18,57,32,34,53,45,83,82,19,70,26,16,61,40,58,44,91,38,74,29,18027,0,16351,0,[]
136,22,44,31,35,47,45,81,83,18,57,29,23,54,32,90,5,90,51,63,32,18082,0,16406,0,[]
137,29,38,34,39,42,43,81,83,26,50,24,27,43,35,91,5,88,64,51,33,18133,0,16478,0,[]
138,34,47,31,46,43,51,7,94,32,46,32,41,33,41,32,45,88,74,40,38,18183,0,16582,0,[]
139,30,47,32,48,32,47,11,90,37,48,32,38,37,38,35,40,82,83,36,40,18234,0,16675,0,[]
140,32,38,32,40,38,43,23,90,34,40,25,29,41,32,47,41,82,84,44,43,18315,0,16775,0,[]
141,33,39,32,41,42,46,35,90,38,41,19,19,39,33,48,50,79,85,47,45,18390,0,17107,0,[]
142,38,37,27,52,45,51,48,91,44,49,19,12,48,33,53,49,76,79,50,47,18457,0,17364,0,[]
143,23,38,26,59,44,54,60,91,45,57,15,15,51,42,55,56,66,82,54,52,18809,0,17443,0,[]
144,10,32,31,60,46,51,68,90,45,57,15,20,56,54,53,53,73,77,56,60,18995,0,17497,0,[]
145,9,26,42,67,46,52,73,88,47,59,22,25,63,62,55,50,79,73,59,71,19222,0,17720,0,[]
146,18,24,45,65,45,55,77,86,56,68,27,19,63,63,53,50,85,82,67,80,19432,0,17798,0,[]
147,14,19,54,66,56,61,74,90,59,70,19,12,70,64,56,58,79,84,71,82,19562,0,18005,0,[]
148,13,20,56,66,52,56,79,88,57,68,17,14,77,56,53,48,83,83,78,77,19693,0,18082,0,[]
149,14,16,53,68,48,51,79,82,66,78,22,11,83,57,53,44,86,81,86,79,19776,0,18174,0,[]
150,20,14,50,58,49,51,75,75,77,73,25,9,84,59,53,46,88,81,85,78,19950,0,18360,0,[]
151,19,14,49,58,50,49,80,81,77,80,24,8,84,57,50,48,87,80,86,78,20040,0,18513,0,[]
152,17,14,49,58,45,53,87,80,82,84,22,12,84,57,52,48,88,75,89,76,20249,0,18613,0,[]
153,24,12,47,58,43,55,85,84,82,83,26,12,90,6,54,53,87,76,89,79,20602,0,18686,0,[]
154,26,13,44,58,2,96,85,79,78,74,32,7,77,7,48,50,89,74,91,75,20674,0,18800,0,['12:49 OMGCurse(未来守护者) 击杀了 WEPoss(符文法师)']
155,26,10,41,60,14,90,90,74,81,77,32,7,64,8,46,54,90,69,93,71,20889,0,18956,0,[]
156,15,18,41,55,23,81,88,75,86,76,32,7,52,9,46,53,88,67,89,68,20964,0,19134,0,[]
157,17,16,40,51,30,71,85,80,88,82,32,7,43,16,45,53,86,65,80,67,21113,0,19185,0,[]
158,19,15,37,57,37,61,87,81,82,81,32,7,43,16,50,44,88,67,88,70,21500,0,19317,0,[]
159,12,13,37,57,45,54,85,82,84,82,32,7,42,16,51,37,88,75,89,76,21714,0,19459,0,[]
160,12,13,7,95,49,50,77,80,74,78,95,4,44,16,51,37,90,70,88,70,21765,0,19647,0,[]
161,2,96,20,86,48,51,71,88,74,78,29,9,50,25,87,8,89,70,87,70,21819,0,19882,0,[]
162,6,84,31,80,50,48,59,84,4,96,25,7,52,34,77,18,86,66,87,66,21974,0,20116,0,[]
163,15,70,43,78,47,47,62,83,18,88,19,14,53,34,69,29,86,66,85,66,22105,0,20301,0,[]
164,18,56,49,75,37,40,64,83,30,82,18,15,60,34,61,38,85,77,86,76,22177,0,20457,0,[]
165,16,41,48,74,34,38,70,84,39,73,16,16,70,40,54,46,81,82,79,75,22327,0,20664,0,[]
166,9,28,47,69,43,47,76,89,50,67,26,16,73,44,48,46,79,80,78,78,22542,0,20819,0,[]
167,8,30,54,63,49,52,80,88,57,67,29,17,77,49,55,47,76,78,72,78,22621,0,20870,0,[]
168,15,40,58,56,50,49,82,90,64,62,23,11,76,59,55,46,81,80,81,80,22692,0,20922,0,[]
169,21,46,66,55,51,48,84,88,68,63,20,12,74,59,54,47,78,74,79,78,22801,0,21010,0,[]
170,21,40,66,56,55,56,80,88,60,62,19,14,74,62,53,46,76,69,75,68,22895,0,21226,0,[]
171,18,34,66,57,57,56,83,82,62,62,16,17,75,58,62,42,79,75,72,63,23091,0,21353,0,[]
172,10,29,67,60,64,57,81,84,60,63,24,14,72,53,67,47,75,64,77,62,23246,0,21404,0,[]
173,15,21,69,49,66,52,74,87,66,56,25,24,77,51,69,42,83,66,87,66,23297,0,21591,0,[]
174,23,22,67,52,62,51,77,76,72,63,30,19,78,49,62,42,92,73,88,71,23348,0,21680,0,[]
175,25,14,67,61,52,51,80,77,75,64,33,12,77,48,54,46,89,70,86,66,23448,0,21752,0,[]
176,14,15,63,61,50,50,82,81,80,76,22,11,68,40,54,46,88,77,84,65,23761,0,21888,0,[]
177,18,16,62,61,50,50,85,82,84,81,24,10,57,33,55,46,87,76,88,74,24169,0,22115,0,[]
178,11,16,67,63,49,48,86,82,82,79,25,9,48,25,56,44,88,74,89,75,24365,0,22216,0,[]
179,15,20,67,67,53,49,77,73,73,70,30,9,43,24,55,44,90,69,87,68,24416,0,22547,0,[]
180,23,33,64,70,51,48,70,68,67,69,27,16,34,23,57,43,87,68,88,72,24531,0,22598,0,[]
181,21,40,65,69,53,47,70,68,67,69,15,21,45,24,57,43,87,73,88,73,24727,0,22716,0,[]
182,20,37,62,64,45,43,77,75,76,72,12,19,47,24,56,45,88,81,89,82,24798,0,23051,0,['15:6 OMG 击杀了水龙']
183,9,30,47,63,49,47,80,82,80,81,22,22,51,27,49,41,88,79,87,81,25018,0,23174,0,[]
184,8,29,47,64,48,48,82,82,79,80,26,31,43,32,51,41,85,79,88,79,25139,0,23274,0,[]
185,12,34,51,63,50,51,78,86,72,78,27,22,35,24,51,45,89,81,85,79,25252,0,23389,0,[]
186,25,36,42,56,51,50,76,87,76,88,24,11,36,14,53,44,87,72,87,68,25383,0,23465,0,[]
187,17,34,32,49,51,48,81,84,80,83,17,15,29,10,57,46,87,66,84,63,25612,0,23558,0,[]
188,12,25,33,38,49,46,83,82,83,88,17,15,28,10,56,46,83,59,84,58,25899,0,23802,0,[]
189,11,22,30,31,44,44,80,85,80,81,22,12,28,10,59,44,84,62,86,64,26008,0,24085,0,[]
190,11,22,31,27,48,50,77,85,80,81,27,12,92,6,50,41,91,68,91,70,26182,0,24182,0,[]
191,14,20,27,35,51,46,2,96,3,93,23,11,81,10,56,42,89,70,90,70,26311,0,24407,0,[]
192,19,20,26,34,48,47,6,89,12,81,25,10,69,11,54,45,87,68,90,67,26386,0,24462,0,[]
193,17,16,27,36,38,40,9,75,21,73,24,9,57,11,54,46,87,68,90,67,26546,0,24623,0,[]
194,20,23,26,34,29,36,9,59,32,61,18,12,45,13,55,44,93,6,93,9,26602,0,24785,0,[]
195,31,37,29,34,31,37,13,49,42,54,17,8,43,17,95,4,88,15,85,19,26754,0,24906,0,[]
196,42,44,35,47,42,43,26,51,45,44,17,8,42,16,88,15,79,23,75,27,26870,0,25031,0,[]
197,53,48,37,49,51,47,41,51,53,48,17,15,42,16,81,22,70,31,66,37,27012,0,25102,0,[]
198,55,49,49,50,53,45,50,46,55,49,11,21,50,23,71,30,60,39,66,45,27153,0,25196,0,[]
199,57,47,54,42,58,44,52,47,60,50,11,21,55,31,61,38,61,38,67,42,27884,0,25382,0,[]
200,54,52,49,35,57,40,44,46,55,42,11,18,54,31,62,37,63,37,64,39,27955,1,25673,0,"['16:37 OMG 击破了防御塔,获得一塔']"
201,65,63,44,35,51,46,34,39,44,37,11,14,55,32,62,39,61,38,61,40,28009,1,25887,0,[]
202,74,74,41,43,49,51,21,38,35,38,11,14,65,36,70,48,58,40,55,45,28059,1,25998,0,[]
203,79,84,44,43,49,50,10,32,32,27,92,5,72,42,79,53,59,45,56,45,28256,1,26050,0,[]
204,64,84,34,43,52,48,5,27,30,33,86,6,74,44,85,64,56,48,55,45,28441,1,26252,0,[]
205,55,83,31,43,40,55,12,21,27,31,74,6,77,53,87,77,51,46,53,46,28640,1,26479,0,[]
206,53,86,24,31,40,55,15,18,17,22,62,7,75,62,86,80,51,41,57,41,28811,1,26639,0,[]
207,53,88,19,21,5,96,19,17,20,16,49,8,73,65,79,75,51,32,57,41,28882,1,26691,0,[]
208,61,94,19,17,20,93,25,8,27,9,40,10,72,71,68,81,50,26,93,4,28975,1,26742,0,[]
209,58,93,23,29,25,80,24,8,25,14,45,15,68,81,61,88,56,33,83,11,29025,1,26793,0,[]
210,57,94,21,22,34,84,24,9,25,8,42,16,56,94,55,93,55,43,75,21,29680,2,27674,0,['17:29 OMG 击破了防御塔']
211,58,94,29,19,45,89,26,11,25,11,42,9,62,89,59,91,51,51,67,31,29778,2,27885,0,['17:33 WExiye(解脱者) 击杀了 OMGCurse(未来守护者)']
212,58,94,39,16,59,85,24,13,19,17,49,8,69,85,65,90,48,53,59,40,29946,2,28038,0,[]
213,58,94,37,21,71,85,27,22,26,30,48,7,72,92,67,92,43,56,50,50,30112,2,28087,0,[]
214,58,94,41,35,77,90,28,33,35,39,44,7,79,92,71,83,48,55,51,49,30620,2,28227,0,['17:50 OMGicon(荒漠屠夫) 击杀了 WEbeishang(永恒梦魇)']
215,58,94,37,39,70,91,36,39,42,44,47,7,79,92,76,72,58,47,58,43,30864,2,28384,0,[]
216,58,94,31,47,78,87,43,46,46,50,39,8,79,92,79,67,59,41,62,40,31002,2,28439,0,[]
217,58,94,25,57,84,82,48,53,45,52,28,10,79,92,79,67,55,45,59,45,31300,2,28490,0,[]
218,58,94,29,60,87,73,41,59,45,52,21,12,79,92,95,4,52,48,66,54,31350,2,28675,0,[]
219,2,96,31,59,92,68,45,67,11,94,20,12,79,92,93,70,59,49,70,65,31422,2,28747,0,[]
220,88,65,44,58,87,64,49,68,24,88,16,17,79,92,85,64,66,58,79,64,31983,2,28798,0,[]
221,80,69,53,61,83,66,57,62,33,78,9,27,79,92,85,64,77,63,80,67,32047,2,28853,0,['18:21 OMGicon(荒漠屠夫) 击杀了 WExiye(解脱者)']
222,78,73,66,63,78,71,69,66,43,69,9,25,90,13,85,64,78,75,83,69,32587,2,28904,0,['18:30 OMGCurse(未来守护者) 击杀了 WEMystic(虚空之女)']
223,86,79,75,58,82,78,67,65,55,63,9,24,81,23,85,64,78,76,86,64,32858,2,29161,0,[]
224,88,77,84,51,86,77,61,61,52,51,8,26,71,30,85,64,78,76,92,54,33110,2,29212,0,[]
225,91,71,83,56,86,77,53,50,53,47,7,26,60,35,85,64,78,76,93,49,33303,2,29263,0,[]
226,89,64,79,51,3,94,59,42,62,39,7,26,59,33,85,64,78,76,93,49,33976,3,29318,0,['18:49 OMGCurse(未来守护者) 击破了防御塔']
227,91,54,76,45,5,79,62,40,66,39,8,27,66,27,85,64,78,76,93,7,34139,3,29869,0,[]
228,87,48,80,48,7,66,64,36,66,33,8,28,71,27,85,64,78,76,86,17,34189,3,29963,1,['18:58 WE 击破了防御塔']
229,87,48,88,46,8,53,64,36,68,40,10,29,77,30,93,17,93,6,82,28,34790,3,30042,1,[]
230,87,48,87,49,8,37,68,43,74,44,10,28,87,38,92,30,86,17,88,38,35434,5,30093,1,"['19:6 OMG 击破了防御塔', '19:10 OMGCurse(未来守护者) 击破了防御塔']"
231,87,62,85,51,8,27,66,47,74,44,18,17,77,35,90,40,77,24,76,33,35572,5,30396,1,[]
232,87,62,2,96,9,30,66,47,2,95,28,16,76,34,90,49,73,31,74,32,35643,5,30447,1,[]
233,87,71,7,96,19,31,11,91,10,92,38,14,80,47,88,64,65,39,80,42,35694,5,30499,1,[]
234,81,84,7,96,16,16,21,82,22,86,77,74,76,60,85,77,59,45,80,46,35768,5,30641,1,[]
235,73,92,14,93,26,10,33,79,33,80,76,90,74,91,77,86,56,46,74,49,35875,5,31476,1,['19:35 WEbeishang(永恒梦魇) 击杀了 OMGCurse(未来守护者)']
236,73,92,26,85,25,11,47,75,45,72,81,91,78,85,78,88,60,50,65,56,36039,5,31531,1,[]
237,73,92,36,76,32,20,43,69,38,62,79,88,71,78,75,76,65,58,61,61,36235,5,31615,1,[]
238,73,92,45,66,40,30,42,58,42,56,81,90,71,70,68,66,59,59,57,57,36524,5,31668,1,[]
239,73,92,47,64,49,40,47,50,49,59,95,4,62,61,58,59,54,52,53,52,36712,5,31725,1,[]
240,73,92,48,57,47,51,47,49,49,52,91,5,67,53,62,57,53,45,56,46,36799,5,31818,1,[]
241,73,92,57,61,55,55,54,55,58,56,77,11,76,46,74,52,56,41,57,45,36912,5,31972,1,[]
242,73,92,65,63,65,64,58,60,70,62,65,11,72,42,77,48,56,41,57,42,36963,5,32138,1,[]
