,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
93,10,18,23,37,31,71,79,89,77,86,18,16,60,36,55,43,84,82,71,67,11223,0,11842,0,[]
94,14,18,19,26,39,62,77,88,78,87,15,19,70,42,55,43,85,83,78,63,11400,0,11914,0,[]
95,16,16,11,17,40,53,79,87,72,84,8,17,73,42,93,8,85,81,87,67,11934,0,12085,0,[]
96,12,13,13,15,45,48,71,82,70,79,8,17,75,45,88,14,85,80,85,78,12027,0,12261,0,['7:57 V5Ben4(狂战士) 击杀了 LGDLies(机械先驱)']
97,21,11,22,11,47,50,79,88,77,87,8,17,76,55,80,21,83,81,82,81,12166,0,12330,0,[]
98,18,11,17,9,45,51,77,89,80,90,8,17,70,65,72,29,82,83,84,85,12293,0,12465,0,[]
99,14,11,17,9,47,55,78,88,76,90,8,17,72,64,63,36,82,84,81,85,12339,0,12552,0,[]
100,8,15,7,95,54,66,78,85,78,87,91,4,70,67,60,44,79,81,78,78,12495,0,12660,0,[]
101,8,15,11,95,57,66,79,85,78,83,79,5,70,66,58,45,73,71,72,71,12550,0,12743,0,[]
102,3,93,24,93,48,58,77,90,75,89,67,6,68,66,62,52,72,67,71,67,12614,0,12892,0,[]
103,4,88,36,92,47,49,75,93,80,91,55,8,72,64,57,49,74,70,72,69,12721,0,12987,0,['8:33 LGD 击杀了土龙']
104,5,76,48,90,45,49,78,90,81,91,44,9,78,56,54,47,81,81,80,77,12805,0,13079,0,[]
105,7,62,55,84,51,48,76,89,79,91,29,10,82,56,55,47,82,85,81,83,13008,0,13209,0,[]
106,8,51,56,83,49,58,77,91,79,91,20,11,81,56,57,46,81,84,79,85,13205,0,13635,0,[]
107,10,40,57,84,52,56,75,91,76,89,17,11,73,54,67,50,81,88,81,87,13440,0,13814,0,[]
108,9,29,50,79,55,57,78,90,77,88,20,13,73,55,70,50,85,86,83,83,13562,0,13965,0,[]
109,8,26,47,68,50,49,75,92,76,89,27,21,73,62,61,49,86,85,81,83,13739,0,14037,0,[]
110,10,25,57,63,45,52,77,88,79,90,17,22,67,64,53,50,82,86,81,86,13888,0,14192,0,[]
111,9,26,58,62,50,59,78,86,79,87,14,20,61,64,52,52,85,82,77,78,14092,0,14310,0,[]
112,5,30,56,64,52,60,78,79,75,76,8,22,62,61,58,55,86,75,73,69,14156,0,14403,0,[]
113,9,30,64,62,60,61,72,70,71,66,9,21,66,52,56,43,86,76,78,63,14251,0,14467,0,[]
114,10,29,68,62,54,52,72,70,71,65,10,21,67,48,51,45,89,73,87,66,14435,0,14567,0,[]
115,10,22,64,57,53,54,78,79,77,75,18,14,67,48,51,47,88,83,86,77,14520,0,14660,0,[]
116,10,21,55,62,50,50,81,84,82,83,14,14,83,8,49,47,86,84,89,80,14687,0,14728,0,[]
117,14,21,47,64,43,53,79,86,80,83,13,13,73,14,51,46,89,80,88,78,14885,0,14989,0,[]
118,11,20,45,66,46,58,73,85,74,86,15,12,63,22,54,46,87,77,85,77,14998,0,15082,0,[]
119,9,26,37,61,39,52,73,85,74,86,10,15,49,23,49,51,88,72,87,67,15091,0,15161,0,[]
120,9,30,44,53,41,51,3,94,4,92,10,17,42,17,52,48,89,66,87,67,15156,0,15242,0,[]
121,8,32,47,50,45,53,6,86,8,84,11,12,41,16,53,48,89,66,95,8,15222,0,15399,0,[]
122,2,96,41,45,46,53,9,75,13,74,12,12,44,16,52,49,94,4,92,11,15406,0,15643,0,[]
123,11,94,31,46,34,49,10,64,17,64,17,15,48,19,54,47,86,5,82,10,15455,0,15774,0,[]
124,24,93,25,47,30,49,10,53,19,52,16,15,51,31,53,41,75,6,70,11,15503,0,15857,0,[]
125,35,91,23,47,27,50,9,42,22,42,16,14,52,36,52,48,66,10,59,11,15653,0,16000,0,[]
126,46,91,25,37,40,51,5,35,21,38,16,14,49,34,52,48,55,9,48,12,15743,0,16117,0,[]
127,58,90,37,41,43,54,7,30,32,38,93,12,39,29,50,51,44,9,38,16,15932,0,16196,0,[]
128,69,88,43,42,46,50,11,24,41,43,92,24,30,22,58,42,36,16,29,20,16087,0,16247,0,[]
129,79,84,33,35,52,45,12,22,32,35,91,36,19,24,63,38,27,22,20,26,16278,0,16297,0,[]
130,82,82,32,31,44,48,11,32,31,34,90,48,18,24,64,38,19,17,19,24,16371,0,16411,0,[]
131,74,74,30,32,37,38,20,34,34,30,90,60,18,25,57,41,18,18,20,26,16455,0,16536,0,[]
132,68,67,30,33,32,34,27,34,32,33,90,69,26,24,51,47,24,22,24,29,16506,0,16643,0,[]
133,56,62,32,33,27,36,27,34,29,35,84,66,23,28,50,46,24,27,22,28,16657,0,16693,0,[]
134,47,56,29,34,30,38,24,35,27,32,75,62,27,32,42,41,26,30,24,29,16708,0,16744,0,[]
135,42,45,30,34,27,35,23,32,27,33,64,59,25,25,37,36,25,26,23,27,16758,0,16795,0,[]
136,35,41,22,24,25,26,19,22,19,24,71,67,32,17,43,25,19,17,19,16,16864,0,16849,0,[]
137,37,50,18,24,29,34,15,17,15,18,80,75,34,18,52,28,22,13,23,12,17013,0,16956,0,[]
138,38,62,27,31,38,43,14,18,14,17,82,84,95,4,60,36,20,10,20,11,17063,0,17063,0,[]
139,45,73,30,29,44,51,13,17,15,18,81,85,93,8,57,42,16,10,20,11,17228,0,17162,0,[]
140,51,83,25,38,46,50,13,18,16,17,81,83,86,23,56,44,16,11,19,10,17420,0,17339,0,[]
141,62,87,17,43,45,50,15,17,17,18,80,83,81,34,54,46,18,11,21,10,17644,0,17556,0,[]
142,73,90,14,44,43,46,14,15,17,17,76,79,75,43,57,42,21,9,22,11,17837,0,17833,0,[]
143,68,91,23,41,47,49,18,21,23,22,71,78,74,43,56,44,24,12,26,16,18001,0,18041,0,[]
144,70,90,25,30,45,53,26,22,28,21,76,80,77,48,53,48,24,14,29,17,18103,0,18152,0,[]
145,72,84,23,28,44,51,19,20,21,21,80,84,84,57,54,49,19,10,22,13,18244,0,18289,0,[]
146,69,79,28,20,51,50,13,14,16,16,80,82,82,57,60,43,25,10,26,12,18421,0,18442,0,[]
147,74,87,25,14,52,48,15,13,20,12,84,81,85,64,59,36,29,9,30,11,18526,0,18518,0,[]
148,73,89,31,15,47,37,23,7,18,9,88,70,80,54,55,31,29,9,26,10,18990,0,18618,0,[]
149,68,88,26,23,41,39,21,9,21,13,90,68,71,48,51,26,29,8,25,9,19090,0,18694,0,[]
150,74,86,30,35,48,47,11,20,17,18,88,74,62,38,58,34,24,8,24,12,19164,0,18803,0,[]
151,78,87,29,37,51,49,11,17,13,19,83,80,53,29,59,41,17,13,18,14,19373,0,18879,0,[]
152,76,88,28,37,44,44,11,17,14,17,81,82,48,25,55,45,16,11,20,12,19528,0,19014,0,[]
153,73,87,28,37,44,44,10,29,10,24,82,81,49,23,58,44,15,12,15,15,19600,0,19374,0,[]
154,76,89,4,96,4,95,12,34,7,32,86,75,42,19,61,43,15,11,15,11,19672,0,19435,0,[]
155,73,89,6,96,15,88,12,34,7,32,86,75,43,16,61,43,15,11,15,11,19764,0,19576,0,[]
156,71,89,19,94,25,78,1,97,9,94,89,4,44,17,93,9,94,8,93,6,19819,0,19690,0,[]
157,2,96,33,91,34,68,8,94,20,88,76,6,47,17,88,15,94,18,92,13,19870,0,19741,0,[]
158,3,91,43,82,43,59,21,93,29,82,64,7,51,28,80,23,93,30,92,25,19941,0,19792,0,[]
159,6,78,50,74,51,51,34,93,38,75,51,9,53,33,71,31,92,42,91,37,20115,0,19955,0,[]
160,9,66,50,75,50,48,47,92,47,69,39,10,56,33,61,38,91,54,90,50,20266,0,20005,0,[]
161,11,54,58,70,57,57,59,90,56,64,26,11,59,37,54,44,89,67,88,62,20321,0,20169,0,[]
162,11,41,61,61,53,54,72,87,65,57,18,16,59,47,52,46,88,78,78,65,20413,0,20522,0,[]
163,11,29,53,53,50,52,81,85,59,57,15,18,64,53,53,45,85,78,73,64,20583,0,20677,0,[]
