,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,IGTheShy, ,igning, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
76,8,42,20,49,20,82,85,79,75,71,20,37,90,13,21,47,89,75,90,77,10183,0,9484,0,[]
77,5,32,19,51,28,74,85,83,79,75,19,33,81,22,21,47,87,78,89,81,10297,0,9565,0,[]
78,8,27,30,49,36,66,78,86,79,75,14,21,72,30,91,5,87,78,86,80,10375,0,9624,0,[]
79,7,29,30,38,43,57,76,87,6,96,10,23,68,40,84,13,88,70,87,70,10531,0,9675,0,[]
80,8,24,28,35,52,49,80,82,13,85,9,20,73,45,75,20,88,70,80,66,10757,0,9742,0,[]
81,12,23,26,34,43,43,84,83,19,76,12,16,74,44,68,30,94,9,82,66,10842,0,9876,0,[]
82,10,21,25,37,40,39,84,83,31,70,14,15,80,54,60,39,93,17,87,72,10953,0,9994,0,[]
83,10,20,23,45,31,45,88,78,40,67,17,9,84,56,58,46,92,27,91,72,11004,0,10066,0,[]
84,11,22,21,48,25,50,86,83,50,67,13,15,82,55,54,45,91,40,93,71,11254,0,10245,0,[]
85,10,24,19,45,22,50,84,88,58,69,13,16,75,44,51,49,91,51,92,72,11304,0,10351,0,[]
86,12,19,18,45,33,49,84,88,57,73,17,13,65,38,50,48,89,62,88,81,11454,0,10437,0,[]
87,14,17,21,52,43,52,8,96,61,77,21,12,54,31,51,49,87,72,87,85,11695,0,10603,0,[]
88,17,16,21,52,42,56,13,95,61,77,20,14,47,26,50,45,88,79,87,85,11745,0,10695,0,[]
89,11,25,4,94,41,56,24,94,11,95,13,18,45,24,44,37,86,78,94,5,11907,0,10767,0,[]
90,14,34,10,82,46,51,35,93,22,94,18,11,46,23,43,34,87,79,88,16,11979,0,10932,0,[]
91,22,37,15,71,45,52,47,92,35,93,24,13,53,32,49,42,86,78,79,24,12029,0,11093,0,[]
92,23,31,21,59,45,52,57,89,49,92,24,12,51,35,50,47,86,81,70,32,12126,0,11306,0,[]
93,23,22,26,59,44,50,68,89,60,89,24,12,58,34,51,47,87,81,66,43,12303,0,11541,0,[]
94,19,17,34,62,46,55,77,91,73,89,26,11,67,42,50,50,86,81,66,54,12391,0,11669,0,[]
95,21,13,43,69,47,52,79,87,81,86,25,8,73,54,57,55,85,81,64,62,12644,0,11824,0,[]
96,10,17,47,69,46,50,75,88,75,87,22,11,73,54,68,55,83,82,64,69,12695,0,11947,0,[]
97,6,26,47,68,47,50,75,88,74,86,26,16,74,61,75,52,80,87,63,67,12915,0,12102,0,[]
98,6,26,47,74,47,48,77,87,76,89,17,16,78,72,71,50,83,87,74,65,13021,0,12201,0,[]
99,7,25,44,69,45,53,75,89,73,88,15,18,79,75,60,49,81,86,79,76,13086,0,12385,0,[]
100,10,24,48,68,52,61,75,90,74,88,18,16,72,67,56,44,80,86,82,87,13250,0,12499,0,[]
101,12,20,56,63,55,59,71,91,72,89,18,16,62,62,53,52,78,86,78,87,13530,0,12589,0,[]
102,8,18,52,60,53,62,69,89,72,88,95,4,55,63,56,57,74,78,75,76,13627,0,12641,0,[]
103,14,15,49,60,52,62,69,80,68,80,49,53,50,61,51,60,73,73,68,67,13735,0,12716,0,[]
104,20,13,39,66,56,68,60,73,61,74,54,65,46,53,55,67,63,69,57,67,13796,0,13247,0,[]
105,21,10,35,60,57,70,67,79,69,80,58,75,49,50,49,67,68,68,59,75,13927,0,13371,0,['8:42 IGTheShy(机械公敌) 击杀了 DMOTwila(未来守护者)']
106,18,12,31,50,57,70,73,86,75,87,51,62,47,52,43,68,77,72,70,68,14096,0,13453,0,[]
107,16,10,33,43,57,70,79,86,77,86,44,50,41,55,40,60,84,81,79,75,14318,0,13608,0,[]
108,16,10,33,42,57,70,80,84,80,78,41,37,39,55,40,56,84,80,82,78,14368,0,13821,0,[]
109,2,96,33,42,8,92,82,83,81,82,38,24,39,56,41,56,86,80,89,79,14449,0,14033,0,[]
110,2,96,33,42,18,85,85,84,86,86,27,14,42,55,43,49,86,77,90,77,14542,0,14170,0,[]
111,4,86,34,42,26,75,88,80,86,79,24,10,42,44,43,49,90,70,90,70,14660,0,14242,0,[]
112,5,74,33,41,33,66,84,78,81,77,22,10,41,31,91,5,92,73,91,72,14710,0,14419,0,[]
113,6,62,30,33,40,59,89,72,90,74,20,15,41,33,81,13,91,68,93,67,14908,0,14500,0,[]
114,8,51,34,38,47,50,88,73,91,74,20,27,46,23,74,22,93,70,93,68,15154,0,14579,0,[]
115,9,39,34,38,49,49,87,77,86,77,18,24,44,17,67,33,91,73,92,72,15295,0,14728,0,[]
116,9,29,2,96,48,53,84,84,84,82,11,25,42,17,59,41,88,79,89,78,15350,0,14946,0,[]
117,9,26,5,94,52,61,83,84,84,87,13,21,43,18,55,43,86,80,88,80,15422,0,15130,0,[]
118,6,28,14,89,43,53,85,84,84,87,11,23,43,18,48,42,87,76,89,77,15582,0,15225,0,[]
119,7,28,19,78,45,55,81,84,84,87,8,18,43,18,48,48,85,77,88,78,15675,0,15291,0,[]
120,10,33,29,68,45,52,81,89,84,87,10,21,92,11,50,47,87,77,89,78,15759,0,15363,0,[]
121,19,36,36,58,44,51,81,88,3,93,16,10,87,22,49,48,87,78,86,75,15804,0,15506,0,[]
122,26,34,38,49,46,53,79,89,12,82,18,13,81,33,52,48,86,78,86,78,15981,0,15652,0,[]
123,19,25,32,41,44,52,80,86,23,73,14,14,80,45,51,46,86,77,87,78,16069,0,15812,0,[]
124,15,18,29,34,44,51,81,85,32,61,15,13,83,55,50,48,85,79,87,79,16204,0,15897,0,[]
125,15,18,30,32,41,51,78,88,32,48,17,13,83,57,52,47,85,80,86,80,16288,0,16274,0,[]
126,14,21,26,34,46,51,75,89,32,47,14,14,75,59,51,48,85,82,86,82,16406,0,16402,0,[]
127,11,26,27,34,49,49,79,87,30,38,12,20,66,62,54,46,82,79,83,79,16567,0,16473,0,[]
128,11,26,26,37,46,50,75,87,29,33,10,22,54,61,52,48,83,82,83,84,16718,0,16701,0,[]
129,10,25,27,34,37,49,71,89,31,37,11,24,56,57,54,53,82,85,81,84,16890,0,16845,0,[]
130,11,22,21,24,33,43,68,91,24,28,13,17,63,57,55,58,82,89,79,81,17081,0,16897,0,[]
131,18,13,22,13,30,33,68,91,26,13,24,8,71,49,55,58,82,89,79,81,17184,0,16948,0,[]
132,25,9,26,7,27,32,69,90,26,11,30,6,74,44,95,4,93,9,93,7,17748,0,17031,0,['10:59 DMOChanghong(海洋之灾) 击杀了 IGTheShy(机械公敌)']
133,11,13,16,14,24,31,71,87,18,14,30,6,72,42,25,10,92,21,93,16,17799,0,17152,0,[]
134,7,22,8,24,33,38,71,87,10,24,30,6,61,36,17,14,91,32,87,25,17850,0,17286,0,[]
135,10,26,10,33,42,45,5,96,10,36,30,6,53,35,19,14,90,43,81,35,17972,0,17399,0,[]
136,10,28,16,42,43,52,9,96,10,36,30,6,51,35,20,24,89,54,80,47,18118,0,17523,0,[]
137,7,32,19,50,41,53,22,94,5,95,30,6,41,39,31,22,88,64,75,58,18255,0,17573,0,[]
138,7,32,22,56,7,93,35,93,17,88,95,4,51,46,41,31,86,75,76,70,18337,0,17647,0,[]
139,3,93,25,59,17,86,41,90,30,81,84,5,55,53,48,39,83,83,81,81,18456,0,17782,0,[]
140,4,89,30,59,25,77,53,90,41,77,71,6,63,62,50,48,83,85,82,84,18507,0,17961,0,[]
141,5,75,30,59,32,67,65,89,57,74,57,8,67,69,52,60,82,85,81,83,18603,0,18246,0,[]
142,6,64,7,94,39,58,73,90,54,77,43,10,66,70,52,64,76,78,74,73,18827,0,18295,0,[]
143,8,52,17,92,44,53,70,89,56,84,29,12,65,71,53,57,70,68,67,69,18923,0,18450,0,[]
144,9,40,30,89,45,50,69,90,69,90,19,19,67,66,50,52,74,70,68,67,19190,0,18574,0,['11:57 IG 击杀了风龙']
145,11,28,43,88,45,51,77,88,76,88,18,13,69,62,50,51,82,79,77,73,19264,0,18728,0,[]
146,15,19,54,85,46,51,80,86,84,88,18,15,74,68,54,57,85,82,84,82,19628,0,18935,0,[]
