,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
83,23,12,71,65,63,60,81,66,73,69,25,7,95,4,79,75,87,70,75,68,11928,0,11202,0,[]
84,21,9,13,91,52,53,81,66,3,96,27,8,82,5,79,75,86,78,94,6,12028,0,11314,0,[]
85,23,11,26,88,49,52,5,96,10,94,27,6,74,10,90,7,83,84,92,17,12099,0,11428,0,[]
86,17,14,39,88,49,49,18,95,23,90,25,9,61,11,80,15,84,83,83,23,12296,0,11500,0,[]
87,14,14,48,78,48,46,29,94,38,89,21,14,49,11,73,24,82,83,74,29,12407,0,11692,0,[]
88,12,15,51,75,45,43,40,93,52,90,20,14,43,18,65,33,85,77,67,37,12492,0,11835,0,[]
89,15,15,52,76,45,43,51,93,66,90,18,12,43,17,57,40,86,76,65,46,12643,0,12044,0,[]
90,20,12,57,82,9,92,64,93,71,90,25,9,46,16,56,44,95,4,65,52,12853,0,12183,0,[]
91,22,10,58,83,18,85,71,93,72,92,29,8,47,22,54,44,94,9,76,50,13092,0,12329,0,[]
92,20,11,59,84,27,76,72,89,73,88,27,8,44,23,53,46,93,20,76,58,13243,0,12446,0,[]
93,18,9,62,83,35,67,74,89,74,87,26,8,45,23,49,43,92,31,72,64,13397,0,12598,0,[]
94,18,15,66,82,40,58,75,90,73,83,28,8,39,25,40,39,91,42,81,66,13539,0,12697,0,[]
95,23,22,75,75,45,57,77,86,75,75,26,10,30,32,34,36,90,53,89,60,13617,0,12789,0,[]
96,22,22,72,69,46,50,78,85,78,74,23,12,22,24,33,36,87,63,88,63,13785,0,12840,0,[]
97,23,29,67,66,49,50,84,81,71,65,19,20,22,28,26,31,87,68,87,68,13856,0,13402,0,[]
98,25,31,67,71,57,56,82,82,71,65,19,24,24,37,34,35,89,77,89,77,13927,0,13484,0,['8:6 BLGMeteor(狂战士) 击杀了 V5Windy(万花通灵)']
99,25,31,66,71,65,64,81,81,66,69,16,19,24,46,44,38,88,79,88,77,14021,0,13653,0,[]
100,25,31,66,71,66,68,82,81,67,69,16,15,23,46,55,43,89,77,89,77,14071,0,13926,0,[]
101,25,31,67,70,63,62,83,83,67,68,14,18,23,47,54,45,88,70,88,70,14249,0,14077,0,[]
102,3,92,69,67,54,55,86,81,72,65,9,27,22,53,50,47,90,72,90,72,14354,0,14295,0,['8:28 V5 击杀了土龙']
103,4,78,75,57,49,52,82,83,67,51,8,27,25,56,51,46,88,75,87,77,14463,0,14496,0,[]
104,6,66,75,52,49,50,74,87,77,53,10,25,20,49,54,45,84,82,84,82,14607,0,14686,0,[]
105,7,53,71,53,57,55,77,88,76,67,11,24,15,40,52,47,85,83,86,83,14657,0,14928,0,[]
106,10,42,74,53,68,55,78,90,78,80,9,26,14,36,52,50,87,79,89,77,14875,0,15141,0,[]
107,5,43,76,57,63,58,81,90,78,87,9,30,11,37,46,52,87,68,87,66,14954,0,15193,0,[]
108,4,45,76,59,51,54,83,86,79,87,9,36,9,36,48,48,83,62,83,62,15176,0,15449,0,[]
109,5,38,75,62,46,48,86,82,82,84,8,30,8,30,43,44,84,64,82,65,15444,0,15660,0,[]
110,8,29,80,56,50,52,89,80,86,77,15,22,14,22,50,47,83,65,80,65,15558,0,15711,0,[]
111,11,23,79,64,57,56,87,75,87,74,25,24,24,29,50,49,90,64,90,64,15613,0,15780,0,[]
112,11,20,83,66,66,55,89,69,91,68,29,23,28,36,60,50,89,55,89,55,15937,0,15832,0,[]
113,11,27,83,59,61,57,89,69,89,63,29,23,31,39,50,50,93,54,93,54,16009,0,15988,0,[]
114,16,35,83,58,50,53,89,71,87,66,85,4,41,44,46,50,93,56,94,53,16336,0,16099,0,[]
115,17,34,84,62,41,55,88,73,86,64,73,6,44,50,44,53,94,63,94,63,16428,0,16193,0,[]
116,17,22,93,67,45,50,91,73,92,66,62,7,53,53,51,50,93,68,93,69,17452,0,16284,0,[]
117,14,16,91,78,50,55,92,76,86,63,50,8,63,62,59,59,93,68,94,68,17586,0,16786,0,"['9:41 V5Ben4(德邦总管) 击杀了 BLGJinjiao(战争女神)', '9:44 V5y4(圣枪游侠) 击杀了 BLGXinMo(魔法猫咪)']"
118,15,20,82,87,55,53,91,77,80,53,38,9,75,62,71,62,93,68,94,68,17655,0,16836,0,['9:46 BLGXinMo(魔法猫咪) 击杀了 V5y4(圣枪游侠)']
119,24,29,69,90,51,48,91,77,67,50,26,8,83,63,77,52,93,68,94,68,17708,0,16916,0,[]
120,26,36,69,90,52,46,91,77,53,49,26,8,81,55,75,44,93,68,94,7,17990,0,17041,0,[]
121,17,33,3,96,53,43,91,77,49,47,17,15,75,44,63,41,95,11,90,12,18048,0,17150,0,[]
122,11,28,11,91,52,47,12,95,39,54,15,17,74,43,57,43,94,24,81,21,18098,0,17333,0,[]
123,11,29,23,84,49,49,21,89,39,54,12,16,66,38,55,45,92,37,72,30,18144,0,17643,0,[]
124,10,23,35,77,51,48,33,89,7,95,16,16,56,32,58,41,91,49,67,41,18237,0,17694,0,[]
125,10,20,45,65,50,48,45,91,8,95,20,26,52,36,55,48,89,62,66,47,18369,0,17917,0,[]
126,8,26,47,63,46,52,58,90,19,88,24,24,42,38,54,48,87,75,63,52,18530,0,18035,0,[]
127,8,27,46,64,47,54,70,88,31,80,24,14,41,46,53,47,86,79,60,51,18671,0,18107,0,[]
128,8,17,52,62,44,57,78,86,40,72,15,17,43,46,50,51,87,78,55,50,18831,0,18228,0,[]
129,12,19,62,57,49,54,79,84,52,64,16,13,41,34,55,44,87,78,68,50,18975,0,18363,0,[]
130,11,19,68,60,57,56,82,88,65,62,17,15,34,35,54,45,88,73,78,56,19103,0,18442,0,[]
131,8,25,77,62,52,52,83,82,70,50,15,18,31,30,54,45,89,67,84,64,19185,0,18517,0,[]
132,8,28,77,62,51,53,89,76,80,55,13,22,29,33,51,46,91,70,91,70,19334,0,18619,0,[]
133,6,35,84,65,53,53,87,77,84,64,13,21,29,33,53,49,93,70,93,70,19471,0,18752,0,[]
134,12,36,86,65,60,56,87,77,87,65,8,18,29,33,55,42,91,74,91,74,19564,0,18867,0,[]
135,5,31,92,72,67,60,89,74,91,72,8,17,30,34,59,38,93,72,93,72,20084,0,19024,0,['11:15 V5y4(圣枪游侠) 击杀了 BLGJinjiao(战争女神)']
136,88,61,92,77,88,75,87,79,89,72,89,71,30,34,91,71,92,71,93,72,20149,0,19701,0,[]
137,86,66,91,79,89,79,84,79,87,75,88,73,30,33,90,73,92,71,90,73,20210,0,19853,0,['11:23 BLGKuro(天启者) 击杀了 V5Max(深海泰坦)']
138,79,64,86,77,88,84,89,77,87,75,84,66,23,28,90,66,92,71,90,66,20260,0,19927,0,[]
139,68,64,89,78,82,78,88,80,87,75,78,63,15,21,92,72,92,71,86,66,20374,0,19978,0,[]
140,59,60,84,78,80,75,85,80,87,75,78,64,13,22,90,74,91,11,87,68,20531,0,20108,0,[]
141,51,52,78,76,80,75,76,86,5,96,81,66,14,19,87,78,82,19,87,78,20627,0,20347,0,[]
142,47,50,69,78,14,92,74,86,16,89,89,71,12,24,88,69,72,28,87,65,20756,0,20824,0,[]
143,51,47,57,82,26,89,2,96,27,86,87,70,8,30,84,65,63,37,86,65,20838,0,20874,0,[]
144,49,47,56,83,38,90,3,92,40,88,91,79,8,30,84,65,57,46,95,4,21021,0,21863,1,"['11:59 BLG 击破了防御塔,获得一塔']"
145,49,47,55,82,50,90,5,29,49,78,82,84,12,20,90,6,56,42,86,10,21135,0,21986,1,[]
146,43,57,62,82,62,90,10,28,63,77,80,86,15,11,83,14,57,46,78,18,21343,0,22107,1,[]
147,42,58,72,77,74,88,8,32,77,79,81,88,15,11,73,23,52,43,66,26,21483,0,22165,1,[]
148,2,96,84,81,87,84,9,33,86,84,86,84,94,4,65,35,43,34,55,22,22187,0,22222,1,[]
149,3,95,84,87,86,81,12,34,82,80,87,85,88,6,52,46,33,22,40,23,22238,0,22287,1,['12:22 V5Ben4(德邦总管) 击杀了 BLGADD(海洋之灾)']
150,5,86,84,87,88,75,22,39,79,75,87,85,74,7,49,48,26,16,28,23,22289,0,22429,1,[]
151,6,74,88,81,85,79,30,50,74,65,87,85,60,8,50,50,17,12,18,22,22449,0,22512,1,[]
152,7,62,81,77,87,75,39,54,82,66,87,85,46,11,43,45,19,15,15,19,22541,0,22669,1,[]
153,6,50,71,68,91,70,42,59,90,68,87,85,42,18,46,49,12,24,9,19,22780,0,22790,1,[]
