,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGHope, ,EDGMeiko, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
34,18,13,52,84,44,54,67,89,70,94,26,11,75,57,48,50,74,88,74,88,0,0,0,0,[]
35,19,11,52,84,41,56,67,92,65,93,26,10,75,58,48,51,75,88,73,85,0,0,0,0,[]
36,19,11,50,79,42,55,69,91,69,90,29,10,74,69,48,52,78,86,74,86,0,0,0,0,[]
37,23,13,50,77,41,55,70,91,68,89,33,11,69,79,47,53,74,88,76,88,0,0,0,0,[]
38,23,13,49,78,42,55,71,92,67,90,29,9,68,80,46,54,74,87,75,88,0,0,0,0,[]
39,24,12,43,79,39,58,69,92,68,93,26,6,64,83,44,56,73,88,75,89,0,0,0,0,[]
40,24,12,53,84,38,55,69,94,70,94,27,6,66,91,44,56,68,90,71,91,0,0,0,0,[]
41,26,11,62,87,39,55,66,91,72,94,27,6,64,91,46,54,63,92,71,86,0,0,0,0,[]
42,27,18,67,83,44,54,66,88,69,91,27,6,68,81,45,53,62,84,68,81,0,0,0,0,[]
43,28,20,70,84,40,55,70,84,74,88,27,10,71,80,47,54,70,84,71,77,0,0,0,0,"['3:33 WEMystic(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË EDGJiejie(ËÀÍöËÌ³ªÕß),»ñµÃÒ»Ñª', '3:33 EDGJiejie(ËÀÍöËÌ³ªÕß) »÷É±ÁË WEbeishang(ÁÝ¶¬Ö®Å­)']"
44,75,88,70,84,43,54,75,90,76,93,23,9,71,80,47,53,76,91,78,82,0,0,0,0,['3:37 WEMystic(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË EDGMeiko(¾ÆÍ°)']
45,74,89,70,84,40,57,76,91,2,96,22,9,93,5,44,55,77,91,86,77,0,0,0,0,"['3:42 WEMystic(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË EDGHope(¼²·ç½£ºÀ)', '3:42 EDGJinoo(Íò»¨Í¨Áé) »÷É±ÁË WEMystic(Ê¥Ç¹ÓÎÏÀ)']"
46,74,89,4,91,39,58,76,91,8,94,19,10,79,7,46,55,77,91,88,79,0,0,0,0,[]
47,74,87,11,83,40,55,9,95,21,90,16,15,67,8,44,55,94,9,95,4,0,0,0,0,[]
48,73,86,19,76,36,58,20,93,32,89,11,24,58,12,48,52,93,20,93,10,0,0,0,0,[]
49,73,86,27,68,36,58,32,92,41,90,12,23,51,19,50,51,92,31,92,21,0,0,0,0,[]
50,3,88,32,59,3,96,43,92,53,87,10,24,42,26,50,51,90,42,92,32,0,0,0,0,[]
51,5,76,30,48,47,55,55,91,63,83,10,23,41,36,50,49,90,53,91,43,0,0,0,0,[]
52,6,65,33,43,42,54,66,90,71,78,13,22,31,37,48,49,88,64,90,53,0,0,0,0,[]
53,6,53,30,39,41,54,77,86,79,80,22,30,24,32,52,45,86,75,89,64,0,0,0,0,[]
54,7,41,24,38,43,54,81,87,79,85,20,28,26,25,54,43,83,81,86,74,0,0,0,0,[]
55,7,31,20,45,43,54,82,84,81,84,20,28,36,23,95,4,87,79,86,78,0,0,0,0,[]
56,7,26,18,44,42,54,84,84,84,83,90,4,43,18,95,5,87,79,87,79,0,0,0,0,[]
57,9,24,19,46,47,50,87,82,88,83,75,6,44,16,56,44,86,76,86,76,0,0,0,0,[]
58,9,23,23,56,43,53,87,80,88,80,63,7,48,18,49,50,89,75,89,75,0,0,0,0,[]
59,15,22,27,60,44,53,83,79,83,80,45,8,52,28,53,54,86,75,87,74,0,0,0,0,[]
60,22,22,28,60,45,51,78,76,74,78,33,9,52,35,51,50,93,74,92,72,0,0,0,0,[]
61,21,13,36,63,47,50,78,76,70,79,27,10,54,32,53,48,88,74,86,75,0,0,0,0,[]
62,20,10,46,67,52,50,79,79,74,78,25,8,57,33,53,47,89,74,89,74,0,0,0,0,[]
63,19,12,56,63,47,50,87,80,85,78,28,9,65,41,52,47,90,74,90,74,0,0,0,0,[]
64,18,18,64,60,47,53,85,82,86,82,26,7,73,43,56,49,87,75,91,77,0,0,0,0,[]
65,28,22,70,65,43,56,79,82,78,84,26,8,72,43,51,49,85,78,83,81,0,0,0,0,[]
66,39,24,69,64,46,51,79,85,75,87,27,7,68,44,52,48,84,79,84,79,0,0,0,0,[]
67,49,25,62,62,46,51,80,89,73,86,24,13,66,55,51,48,85,78,85,78,0,0,0,0,[]
68,48,34,57,67,47,54,75,89,73,86,18,17,63,60,52,48,85,82,85,82,0,0,0,0,[]
69,36,37,48,67,47,52,78,88,77,86,18,17,64,59,53,48,86,81,86,81,0,0,0,0,[]
70,24,37,47,64,48,53,78,89,76,89,14,17,74,62,53,47,81,83,81,83,0,0,0,0,[]
71,15,35,47,73,47,50,74,89,74,88,14,14,75,66,53,46,80,83,81,78,0,0,0,0,[]
72,10,26,51,83,48,53,71,91,68,91,15,10,73,75,53,48,75,88,73,75,0,0,0,0,[]
73,10,26,60,85,50,51,70,94,68,92,15,10,68,83,54,46,74,88,71,83,0,0,0,0,[]
74,12,23,59,88,52,48,70,92,69,93,12,13,68,80,52,46,73,87,75,88,0,0,0,0,[]
75,8,18,56,88,49,49,69,93,67,92,16,9,64,83,54,46,72,87,72,87,0,0,0,0,[]
76,11,17,58,91,51,59,70,94,68,93,20,9,64,89,56,55,70,88,70,88,0,0,0,0,[]
77,19,13,61,94,57,68,71,93,69,94,67,91,69,91,64,60,71,86,73,90,0,0,0,0,[]
78,25,10,68,90,64,77,65,88,65,92,72,86,75,89,70,66,73,89,73,86,0,0,0,0,['6:29 EDGMeiko(¾ÆÍ°) »÷É±ÁË WEPoss(¿ñ±©Ö®ÐÄ)']
79,25,10,62,87,58,73,64,91,62,92,72,86,78,80,66,62,75,88,74,87,0,0,0,0,[]
80,21,11,60,85,52,62,64,92,62,93,72,86,76,69,57,56,75,87,75,89,0,0,0,0,[]
81,20,10,61,85,45,54,3,96,3,96,95,4,81,58,51,48,76,87,73,87,0,0,0,0,[]
82,24,9,60,89,46,50,7,94,6,95,79,5,83,58,53,49,74,88,71,86,0,0,0,0,[]
83,28,9,66,92,42,55,16,94,15,94,66,6,82,57,49,52,72,90,71,89,0,0,0,0,[]
84,32,9,67,94,45,51,28,93,27,93,50,8,80,56,51,51,77,87,77,87,0,0,0,0,[]
85,25,9,67,93,47,53,40,93,39,91,38,9,95,4,50,50,87,82,87,82,0,0,0,0,[]
86,18,12,67,93,45,54,53,92,53,90,26,10,83,10,48,51,89,82,89,82,0,0,0,0,[]
87,18,14,3,93,41,56,65,90,64,89,24,10,74,16,50,52,95,4,95,4,0,0,0,0,[]
88,14,18,6,89,40,58,77,86,76,86,28,8,64,21,47,51,94,10,94,9,0,0,0,0,[]
89,14,18,12,78,37,56,85,82,83,83,25,9,51,25,45,54,92,23,92,23,0,0,0,0,[]
90,4,91,17,68,43,53,85,79,81,79,25,10,47,24,49,50,91,36,91,36,0,0,0,0,[]
91,4,87,18,56,49,51,88,75,85,78,19,18,45,23,51,48,90,48,90,48,0,0,0,0,[]
92,6,75,20,48,49,49,90,73,87,76,12,22,44,22,57,40,89,61,89,61,0,0,0,0,[]
93,7,64,18,47,48,51,86,78,86,77,13,19,43,18,58,42,87,72,87,72,0,0,0,0,[]
94,8,53,18,46,2,96,84,78,85,77,12,20,42,17,54,45,88,74,87,77,0,0,0,0,[]
95,9,40,17,44,13,90,71,78,74,78,8,26,43,17,52,49,85,81,83,78,0,0,0,0,[]
96,8,33,23,38,21,82,67,82,69,80,9,25,47,23,50,50,88,80,83,79,0,0,0,0,[]
97,8,26,20,27,29,72,73,74,73,74,14,20,53,31,50,51,87,76,86,77,0,0,0,0,[]
98,14,21,20,27,35,63,71,82,71,83,26,15,53,35,52,49,84,81,85,78,0,0,0,0,[]
99,12,19,26,34,40,56,71,81,69,81,26,17,57,34,52,49,82,81,74,77,0,0,0,0,[]
100,16,19,26,35,49,55,70,81,70,81,19,11,66,41,89,5,76,78,76,78,0,0,0,0,[]
101,24,24,31,45,60,57,68,91,68,90,19,12,67,53,77,18,68,83,69,80,0,0,0,0,[]
102,28,20,31,56,51,56,68,93,67,93,22,11,60,59,65,34,72,88,71,84,0,0,0,0,[]
103,28,20,39,65,49,49,70,94,68,92,23,10,57,66,54,47,73,88,76,91,0,0,0,0,[]
104,24,22,45,69,44,55,69,93,63,92,19,15,59,69,49,53,74,88,74,88,0,0,0,0,[]
105,19,20,48,75,44,55,67,93,60,91,20,14,65,71,48,54,73,91,71,87,0,0,0,0,[]
106,14,18,48,80,44,56,68,92,66,92,20,14,67,70,52,52,74,91,72,89,0,0,0,0,[]
107,14,17,50,81,41,54,71,91,69,91,19,12,66,70,48,53,76,91,76,91,0,0,0,0,[]
108,14,17,57,84,43,53,69,90,68,89,21,12,67,69,49,52,74,92,72,88,0,0,0,0,[]
109,18,13,68,82,43,55,67,90,65,88,24,11,65,70,50,55,77,89,77,89,0,0,0,0,[]
110,18,12,65,82,46,52,66,91,64,88,27,11,72,64,66,56,80,87,81,86,0,0,0,0,['9:6 WE »÷É±ÁËË®Áú']
111,17,13,64,88,43,43,4,96,3,96,25,11,74,54,78,51,80,89,77,86,0,0,0,0,[]
112,20,14,68,92,42,32,9,96,5,95,28,10,79,52,70,50,81,89,81,89,0,0,0,0,[]
113,25,11,69,91,38,36,22,95,14,94,30,7,73,44,59,50,87,85,87,85,0,0,0,0,[]
114,24,9,63,87,34,39,35,95,26,93,29,8,75,44,50,51,87,85,87,85,0,0,0,0,[]
115,24,12,57,85,42,47,48,93,37,93,30,7,75,44,52,50,94,9,94,8,0,0,0,0,[]
116,17,14,53,85,45,50,61,92,52,91,24,10,75,44,60,44,94,10,94,10,0,0,0,0,[]
117,17,14,55,85,43,51,73,88,63,89,23,11,94,7,60,44,93,24,93,24,0,0,0,0,[]
118,18,20,56,85,46,54,82,87,75,87,20,11,87,20,92,5,91,37,91,37,0,0,0,0,[]
119,20,22,2,96,49,50,86,81,85,82,23,10,81,31,82,13,90,50,90,50,0,0,0,0,[]
120,20,22,8,86,51,48,87,80,87,81,21,8,81,43,75,21,89,63,89,63,0,0,0,0,[]
121,17,21,17,77,52,48,79,78,78,74,16,9,81,55,69,30,88,73,88,73,0,0,0,0,[]
122,14,16,25,70,44,51,74,86,70,79,15,10,82,57,62,38,89,78,89,78,0,0,0,0,[]
123,16,17,32,61,44,51,81,90,71,85,16,10,77,56,53,46,85,79,81,78,0,0,0,0,[]
124,12,15,28,59,37,50,82,87,80,91,21,11,81,66,53,46,83,80,83,80,0,0,0,0,[]
125,11,13,30,52,30,45,80,85,83,87,19,11,79,75,47,52,86,78,86,78,0,0,0,0,[]
126,17,9,33,40,40,51,78,84,79,85,27,9,74,74,48,52,86,83,86,83,0,0,0,0,[]
127,17,9,43,41,42,54,77,88,71,87,21,13,64,76,48,46,85,79,85,79,0,0,0,0,[]
128,23,12,48,46,48,49,70,81,68,79,28,12,57,67,52,41,83,81,83,80,0,0,0,0,[]
129,20,12,42,41,52,42,69,82,68,80,34,7,58,57,61,39,83,80,83,80,0,0,0,0,[]
130,28,10,42,34,55,32,74,88,71,83,43,6,54,46,56,43,81,82,81,82,0,0,0,0,[]
131,32,8,39,38,51,37,67,88,68,81,46,6,52,45,54,48,82,85,82,85,0,0,0,0,[]
132,29,9,30,36,44,37,70,91,63,75,95,4,48,54,50,52,77,87,77,87,0,0,0,0,[]
133,25,10,27,34,43,46,68,91,62,89,87,5,54,63,56,60,77,87,77,87,0,0,0,0,[]
134,21,13,32,33,41,54,58,90,54,86,73,6,59,73,59,70,77,90,71,85,0,0,0,0,[]
135,20,16,31,31,44,45,53,89,54,83,60,7,62,85,66,77,69,89,71,86,0,0,0,0,[]
136,19,18,30,33,49,49,51,94,52,94,44,7,69,91,70,84,69,91,71,89,0,0,0,0,[]
137,29,20,29,33,51,47,51,94,52,94,32,8,70,92,71,82,69,91,70,89,0,0,0,0,[]
138,28,20,29,33,52,46,56,89,6,94,27,10,66,90,73,72,66,91,66,91,0,0,0,1,"['11:28 WEMystic(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
139,23,22,30,33,52,44,57,92,14,86,24,13,71,81,68,63,69,90,69,90,0,0,0,1,[]
140,15,17,30,33,49,40,61,91,21,77,36,13,70,80,65,53,73,91,73,91,0,0,0,1,[]
141,16,14,30,34,55,41,60,92,29,68,34,12,95,4,58,46,73,91,73,91,0,0,0,1,[]
142,20,13,30,33,44,39,58,91,31,57,28,9,80,6,57,44,87,5,87,5,0,0,0,1,[]
143,24,12,24,27,43,47,57,92,32,45,28,10,68,7,50,44,74,7,74,7,0,0,0,1,[]
144,20,13,23,37,45,51,59,91,42,42,28,10,56,9,52,50,62,10,62,10,0,0,0,1,[]
145,10,14,18,44,47,50,68,91,45,42,25,8,45,12,55,47,53,19,53,19,0,0,0,1,[]
146,10,14,19,45,42,55,68,91,34,38,29,10,43,17,54,48,49,19,49,19,0,0,0,1,[]
147,5,96,19,45,37,59,5,91,32,29,29,10,42,17,55,47,38,14,38,15,0,0,0,1,[]
148,13,95,10,93,37,59,13,79,22,38,94,11,36,17,95,4,27,12,28,17,0,0,0,1,[]
149,29,92,22,86,11,91,17,66,18,34,88,25,30,21,82,12,24,11,24,11,0,0,0,1,[]
150,43,91,28,74,22,82,19,50,17,33,89,41,26,22,74,22,20,14,20,14,0,0,0,1,[]
151,56,90,36,66,33,70,15,39,12,34,88,56,21,26,66,32,19,14,19,14,0,0,0,1,[]
152,68,88,44,56,42,59,10,27,10,26,87,69,25,26,57,40,20,15,20,15,0,0,0,1,[]
153,78,85,46,55,50,51,7,19,7,21,84,80,34,24,55,47,16,18,16,18,0,0,0,1,[]
154,80,79,54,49,53,47,11,18,11,21,87,72,42,33,60,44,23,28,23,28,0,0,0,1,[]
155,73,69,47,52,55,52,11,27,10,26,82,60,50,43,57,47,33,37,33,37,0,0,0,1,[]
156,78,74,51,63,52,60,16,18,13,22,85,65,56,43,55,48,41,44,41,44,0,0,0,1,[]
157,86,79,47,66,46,53,19,13,19,14,91,73,57,42,52,44,40,32,40,32,0,0,0,1,[]
158,84,80,55,67,50,52,19,12,19,14,90,72,55,32,47,36,33,22,33,22,0,0,0,1,[]
159,83,80,63,61,51,54,15,20,15,21,88,76,53,36,49,39,27,11,27,11,0,0,0,1,[]
160,86,77,64,60,57,55,22,29,23,29,88,73,48,34,51,44,24,9,24,9,0,0,0,1,[]
161,89,70,67,55,57,54,30,37,29,37,93,60,37,37,44,39,26,14,26,14,0,0,0,1,[]
162,90,66,73,63,51,49,23,37,23,41,88,57,27,35,50,43,25,25,25,25,0,0,0,1,[]
163,88,65,79,56,50,55,21,48,21,48,92,59,24,32,50,48,17,22,20,25,0,0,0,1,[]
164,90,66,82,63,54,55,22,48,22,48,92,54,17,22,53,44,14,17,17,19,0,0,0,1,[]
165,89,66,76,62,55,55,22,46,18,44,92,59,11,22,59,47,11,21,10,20,0,0,0,1,[]
166,89,66,72,65,45,47,14,36,14,33,92,59,7,29,52,45,9,28,7,27,0,0,0,1,[]
167,82,65,64,62,34,39,7,32,7,32,88,66,14,35,44,39,9,28,10,28,0,0,0,1,[]
168,74,62,55,58,42,44,6,27,6,26,89,71,27,36,49,41,8,22,8,22,0,0,0,1,[]
169,74,61,64,63,48,49,5,37,6,34,90,72,38,42,51,46,10,22,10,22,0,0,0,1,[]
170,65,64,66,66,51,55,5,44,6,36,86,80,48,49,53,49,11,19,14,13,0,0,0,1,[]
171,60,58,67,66,52,43,5,38,6,34,87,79,53,44,50,41,8,26,11,13,0,0,0,1,[]
172,50,49,66,67,50,35,9,29,7,29,84,83,59,41,44,33,8,22,9,18,0,0,0,1,[]
173,51,46,69,66,41,32,11,33,10,34,72,87,58,34,43,24,13,21,13,21,0,0,0,1,['14:24 EDG »÷É±ÁËË®Áú']
174,49,52,74,59,45,38,11,30,10,34,68,90,58,34,43,24,22,29,22,29,0,0,0,1,[]
175,50,65,74,61,50,46,11,26,17,31,67,92,94,5,95,4,33,35,33,35,0,0,0,1,[]
176,48,76,63,64,44,53,12,22,17,31,79,89,89,14,95,4,41,45,41,45,0,0,0,1,[]
177,54,87,50,65,42,60,15,13,12,25,88,83,80,23,45,57,43,56,42,54,0,0,0,1,['14:45 WEMystic(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË EDGScout(°µÒá½£Ä§)']
178,64,90,46,70,42,60,14,14,14,17,88,83,71,31,46,52,43,47,43,47,0,0,0,1,[]
179,61,90,46,71,42,60,21,9,16,14,91,11,64,40,45,53,44,47,44,47,0,0,0,1,[]
180,62,90,39,64,42,60,29,9,15,11,80,19,72,44,45,54,44,53,45,55,0,1,0,1,['14:58 EDGHope(¼²·ç½£ºÀ) »÷ÆÆÁË·ÀÓùËþ']
181,68,82,39,59,42,60,32,9,15,11,69,13,72,42,43,53,41,54,42,55,0,1,0,1,[]
182,77,81,38,59,42,60,40,16,4,95,56,9,67,47,50,52,43,54,45,53,0,1,0,1,[]
183,78,87,30,59,42,60,38,17,9,92,46,9,74,54,61,50,53,47,53,47,0,1,0,1,[]
184,76,87,29,59,42,60,36,17,20,83,45,9,74,50,61,50,52,47,52,47,0,1,0,1,[]
185,81,81,23,52,4,91,31,18,28,74,43,8,65,56,95,10,48,51,48,51,0,1,0,1,[]
186,77,78,21,50,13,80,20,26,34,64,46,11,62,61,92,31,48,54,48,54,0,1,0,1,[]
187,64,77,31,48,24,71,22,30,40,57,37,15,56,67,90,51,57,48,58,49,0,1,0,1,[]
188,55,76,30,40,35,62,23,35,45,53,28,18,55,56,89,68,58,48,58,49,0,1,0,1,[]
189,60,76,22,40,39,55,23,35,46,52,21,12,55,46,89,78,95,4,94,7,0,1,0,1,[]
190,71,83,18,44,48,57,9,92,57,57,24,9,53,34,83,78,86,9,86,9,0,1,0,1,[]
191,70,81,24,51,51,48,19,84,62,62,36,12,54,33,74,77,76,19,76,19,0,1,0,1,[]
192,73,75,32,59,51,48,28,74,55,65,30,20,51,26,79,74,67,28,67,28,0,1,0,1,[]
193,71,85,41,65,39,43,37,65,60,75,41,31,53,29,80,75,58,40,60,38,0,1,0,1,[]
194,70,89,46,70,27,36,42,55,58,70,41,32,53,29,77,86,59,37,59,37,0,1,0,1,[]
195,66,92,50,81,19,25,40,58,50,61,41,31,59,36,76,89,56,32,56,32,0,1,0,1,[]
196,58,92,52,84,10,24,40,58,40,55,94,4,54,47,76,74,54,41,54,41,0,1,0,1,[]
197,58,92,51,83,8,17,41,56,40,54,77,6,58,55,72,64,48,48,48,48,0,1,0,1,[]
198,6,94,46,73,18,10,40,57,41,56,65,7,62,61,64,60,49,49,55,57,0,1,0,1,[]
199,18,85,39,63,22,10,38,56,41,57,49,10,59,67,69,64,46,55,47,55,0,1,0,1,[]
200,28,75,36,60,22,10,43,55,42,55,37,15,56,61,78,74,54,58,54,58,0,1,0,1,[]
201,39,74,36,60,20,13,38,58,37,58,36,10,50,59,82,82,45,56,45,56,0,1,0,1,[]
202,44,68,5,95,20,13,40,57,40,62,38,9,53,65,79,77,52,52,52,52,0,1,0,1,[]
203,44,69,11,91,5,93,40,57,40,58,46,14,53,62,71,68,48,52,48,52,0,1,0,1,[]
204,43,69,21,82,7,81,37,58,37,57,51,29,46,58,58,62,45,52,45,52,0,1,0,1,[]
205,46,62,29,73,20,73,40,57,40,59,48,40,46,55,49,55,43,52,43,52,0,1,0,1,[]
206,46,62,38,64,30,64,38,59,39,61,46,46,46,55,48,53,44,53,44,53,0,1,0,1,[]
207,45,62,42,58,31,51,38,59,38,56,42,45,54,57,52,56,51,50,49,48,0,1,0,1,[]
208,45,62,43,59,33,43,40,57,41,57,35,42,52,57,51,54,47,52,47,52,0,1,0,1,[]
209,51,63,40,52,35,42,35,40,42,51,36,42,48,50,47,46,45,44,45,44,0,1,0,1,[]
210,44,52,35,47,34,41,34,39,33,46,38,37,41,40,41,42,37,37,38,38,0,1,0,1,[]
211,39,44,34,47,31,45,34,38,32,45,39,37,35,41,34,39,37,40,40,39,0,1,0,1,"['17:31 WEMystic(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË EDGHope(¼²·ç½£ºÀ)', '17:33 EDGJiejie(ËÀÍöËÌ³ªÕß) »÷É±ÁË WEPoss(¿ñ±©Ö®ÐÄ)']"
212,34,43,32,44,34,39,34,38,35,49,39,37,39,37,31,40,37,41,37,41,0,1,0,1,[]
213,33,47,32,46,35,37,34,38,37,49,39,37,33,36,29,37,37,41,29,37,0,1,0,1,"['17:41 EDGJiejie(ËÀÍöËÌ³ªÕß) »÷É±ÁË WEMystic(Ê¥Ç¹ÓÎÏÀ)', '17:42 WExiye(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË EDGJiejie(ËÀÍöËÌ³ªÕß)']"
214,30,46,32,46,37,43,34,38,33,48,39,37,31,36,33,43,37,41,33,43,0,1,0,1,['17:50 WEMissing(Ä§·¨Ã¨ßä) »÷É±ÁË EDGMeiko(¾ÆÍ°)']
215,22,46,32,46,44,48,34,38,33,48,39,37,26,37,25,50,37,41,25,50,0,1,0,1,[]
216,22,42,32,46,49,49,34,38,33,48,39,37,24,38,23,43,37,41,23,43,0,1,0,1,['17:59 WEMissing(Ä§·¨Ã¨ßä) »÷É±ÁË EDGJinoo(Íò»¨Í¨Áé)']
217,22,42,32,46,55,58,7,94,33,48,39,37,24,36,24,33,37,41,24,36,0,1,0,1,[]
218,22,42,32,46,57,71,18,85,33,48,93,7,95,4,16,22,37,41,95,3,0,1,0,1,[]
219,22,42,32,46,58,84,21,74,33,48,89,22,91,12,10,23,94,5,91,11,0,1,0,1,[]
220,22,42,32,46,63,90,18,61,6,94,89,37,85,23,7,26,82,13,82,13,0,1,0,1,[]
221,22,42,7,87,63,91,13,48,17,85,89,50,80,35,7,26,72,23,72,23,0,1,0,1,[]
222,22,42,13,75,70,90,10,36,22,74,89,66,74,43,8,18,64,32,64,32,0,1,0,2,['18:26 WExiye(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷ÆÆÁË·ÀÓùËþ']
223,22,42,17,64,16,12,10,24,32,64,90,73,71,41,17,18,54,41,54,41,0,1,0,2,[]
224,3,94,19,51,19,17,18,17,31,52,90,72,58,41,18,17,43,36,43,36,0,1,0,2,[]
225,22,13,23,40,20,19,19,18,34,40,29,15,49,46,18,22,43,43,43,44,0,1,0,2,['18:43 EDGHope(¼²·ç½£ºÀ) »÷É±ÁË WExiye(Ó¢ÓÂÍ¶µ¯ÊÖ)']
226,35,16,30,40,29,20,25,26,32,44,41,15,47,56,18,22,43,54,44,50,0,1,0,2,[]
227,39,15,31,49,36,25,32,37,38,49,55,21,46,63,18,22,43,57,43,57,0,1,0,3,['18:52 WEMystic(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
228,36,13,32,59,40,29,42,46,38,50,58,33,46,63,18,22,42,54,42,54,0,1,0,3,[]
229,42,12,43,58,48,41,46,54,44,55,53,44,48,59,18,22,47,56,47,53,0,1,0,3,['19:5 EDGHope(¼²·ç½£ºÀ) »÷É±ÁË WEMystic(Ê¥Ç¹ÓÎÏÀ)']
230,49,22,45,57,50,48,49,53,49,53,52,51,52,55,18,22,47,56,53,55,0,1,0,3,['19:6 WEbeishang(ÁÝ¶¬Ö®Å­) »÷É±ÁË EDGHope(¼²·ç½£ºÀ)']
231,55,32,48,56,52,56,49,53,53,56,62,42,61,57,18,22,47,56,61,57,0,1,0,3,[]
232,48,40,58,62,61,61,49,53,59,57,62,42,68,57,18,22,47,56,67,57,0,1,0,3,[]
233,54,47,66,66,67,66,49,53,67,62,94,4,65,56,90,13,47,56,65,56,0,1,0,3,[]
234,48,48,68,70,67,71,49,53,70,65,87,16,57,48,81,21,47,56,57,48,0,1,0,3,[]
