,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,SNBiubiu, ,SNH4cker, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
85,13,20,56,74,44,51,73,89,73,89,18,14,52,66,50,49,72,78,72,77,11211,0,10796,0,[]
86,15,18,56,68,45,52,79,89,81,90,18,12,62,61,53,51,80,83,81,82,11394,0,10913,0,[]
87,12,17,45,65,46,52,77,88,77,91,20,14,66,62,50,47,82,87,83,87,11555,0,10989,0,[]
88,13,20,48,75,45,51,74,90,74,89,16,13,57,64,51,47,82,88,78,85,11647,0,11105,0,[]
89,11,23,54,83,44,52,78,87,80,89,16,13,55,67,48,48,83,82,83,85,11778,0,11454,0,[]
90,8,24,54,85,45,51,76,87,75,88,12,12,56,78,49,49,81,84,80,90,11956,0,11583,0,[]
91,11,28,55,85,47,51,77,87,79,88,7,18,56,68,48,48,82,85,84,87,12307,0,11712,0,[]
92,10,30,55,84,45,52,74,88,76,90,8,19,54,61,52,50,78,85,82,82,12431,0,11789,0,[]
93,11,27,46,80,46,51,77,87,74,87,8,19,65,57,63,50,83,85,84,85,12510,0,11884,0,[]
94,11,21,40,71,43,51,76,91,76,88,14,14,75,54,72,52,83,84,83,84,12624,0,11978,0,[]
95,12,19,34,62,46,51,77,89,77,89,18,14,78,55,76,52,86,86,81,84,12697,0,12192,0,[]
96,10,20,24,57,48,49,69,90,72,91,18,15,82,56,71,50,77,90,78,86,12797,0,12295,0,[]
97,11,19,24,56,47,48,73,91,73,92,17,14,81,56,60,49,79,87,78,86,12992,0,12498,0,[]
98,12,19,21,52,46,50,72,92,74,92,25,15,75,58,52,50,81,88,78,87,13110,0,12635,0,[]
99,13,19,22,48,38,50,69,91,70,92,18,13,73,70,49,51,78,90,76,87,13200,0,12768,0,[]
100,13,18,22,48,27,50,65,89,69,94,17,11,68,80,51,61,75,87,77,88,13272,0,12853,0,[]
101,13,17,23,48,26,50,61,93,64,94,20,11,64,84,57,71,72,86,75,88,13450,0,12997,0,[]
102,20,13,24,39,37,50,53,94,58,94,27,9,64,92,58,74,68,89,69,91,13503,0,13233,0,[]
103,22,11,35,37,45,51,61,93,64,93,25,7,71,92,58,74,72,89,70,91,13677,0,13469,0,[]
104,19,13,47,27,48,49,68,89,68,92,25,8,79,89,92,4,75,90,76,89,13883,0,13598,0,[]
105,21,13,46,24,43,41,65,91,67,92,38,6,83,89,83,10,78,90,76,87,14049,0,13672,0,[]
106,25,11,48,24,41,31,68,91,68,92,40,9,83,89,75,19,76,90,76,87,14383,0,13753,0,[]
107,24,9,51,31,41,31,69,92,71,92,34,12,84,8,68,29,77,89,78,81,14511,0,13847,0,[]
108,20,11,48,32,4,95,70,90,71,91,27,11,74,14,60,38,77,79,73,72,14835,0,13969,0,[]
109,19,14,43,36,13,89,74,89,76,90,25,11,65,19,55,44,83,85,67,65,14896,0,14063,0,[]
110,15,17,32,38,21,81,75,91,82,91,22,10,56,22,54,47,81,83,76,74,14991,0,14180,0,[]
111,16,17,23,41,30,73,76,88,78,90,19,11,52,29,50,50,83,86,83,83,15107,0,14318,0,[]
112,14,21,16,44,37,63,76,89,76,90,19,11,42,32,43,44,82,87,82,84,15171,0,14463,0,[]
113,11,33,17,45,43,57,72,90,74,91,16,15,41,30,46,46,80,86,82,84,15336,0,14579,0,[]
114,11,33,17,45,46,54,74,90,75,91,10,24,42,18,52,47,80,83,82,83,15471,0,14748,0,[]
115,12,34,17,45,47,53,73,91,77,91,12,19,43,17,52,47,79,85,83,87,15593,0,14876,0,[]
116,8,26,8,87,48,53,72,90,74,91,11,21,43,16,50,45,79,87,81,86,15688,0,15152,0,[]
117,10,25,13,76,51,63,73,90,76,91,11,16,32,17,48,48,80,84,82,86,15739,0,15324,0,[]
118,8,26,19,65,47,53,75,89,76,90,16,20,27,22,42,38,81,88,81,84,15831,0,15420,0,[]
119,5,31,32,65,47,54,75,90,76,90,9,27,21,29,45,35,80,84,79,82,15903,0,15500,0,[]
120,6,29,46,64,48,53,75,88,79,86,11,24,30,35,50,46,75,75,73,72,16126,0,15614,0,[]
121,8,30,46,64,46,54,81,84,86,82,12,21,39,43,47,52,74,68,72,65,16254,0,15691,0,[]
122,10,30,54,63,49,57,83,83,85,82,12,20,45,51,50,51,74,67,73,66,16519,0,15892,0,[]
123,10,23,49,53,46,64,85,82,88,84,14,15,49,65,50,52,53,66,53,65,17106,0,16515,0,['10:15 VGYoudang(德玛西亚皇子) 击杀了 SNMaple(解脱者)']
124,10,25,41,55,45,65,84,83,88,84,11,18,53,63,50,52,55,63,53,63,17158,0,16606,0,['10:17 SNH4cker(虚空遁地兽) 击杀了 VGIan(符文法师)']
125,7,27,43,55,45,65,2,96,5,95,18,24,64,57,50,52,66,63,65,63,17273,0,16656,0,[]
126,8,28,35,49,45,65,5,88,7,90,24,32,77,50,50,52,79,64,76,72,17428,0,16709,0,[]
127,9,29,32,39,45,65,10,79,11,79,19,24,72,44,50,52,88,67,86,77,17479,0,16910,0,[]
128,9,29,32,32,45,65,16,69,17,68,17,22,71,41,50,52,88,73,86,77,17529,0,17088,0,[]
129,2,96,32,32,45,65,17,59,18,56,15,11,71,41,87,7,86,79,86,79,17580,0,17168,0,[]
130,12,95,31,33,8,95,18,49,22,44,15,11,90,6,79,15,86,79,80,75,17633,0,17235,0,[]
131,26,94,31,33,14,89,24,40,29,37,94,4,75,13,72,25,87,79,80,75,17686,0,17289,0,[]
132,38,93,33,32,22,81,28,35,33,35,83,8,64,22,64,34,95,4,92,10,17836,0,17341,0,[]
133,51,92,30,33,29,72,24,30,32,30,70,10,58,32,55,42,92,12,83,18,17887,0,17406,0,[]
134,62,88,23,41,36,63,17,22,25,29,58,10,67,42,49,51,86,21,72,24,17964,0,17543,0,[]
135,68,84,22,53,44,54,12,21,16,22,46,11,73,45,54,47,76,18,60,24,18168,0,17596,0,[]
136,72,91,25,58,47,49,13,22,16,13,39,11,74,49,47,38,65,11,49,18,18363,0,17691,0,[]
137,74,91,29,58,44,53,16,18,21,21,28,9,81,55,41,30,52,9,37,15,18428,0,17785,0,[]
138,75,91,31,46,46,52,15,16,19,18,33,11,80,55,48,39,39,11,29,16,18597,0,17923,0,[]
139,77,87,25,32,47,49,16,13,17,14,45,16,75,58,54,46,26,12,28,16,18838,0,17975,0,[]
140,81,84,19,24,43,51,14,14,15,14,52,26,66,59,54,47,21,13,24,15,19082,0,18161,0,[]
141,84,83,26,30,32,46,16,13,19,18,60,35,66,46,53,48,23,10,24,9,19269,0,18533,0,[]
142,78,74,5,96,40,44,22,23,27,22,71,41,52,35,53,44,24,12,27,16,19319,0,18732,0,[]
143,79,74,19,86,35,43,27,23,29,21,80,49,47,34,45,38,27,13,31,18,19430,0,18832,0,[]
144,88,74,32,80,32,44,24,28,25,25,88,58,38,27,38,28,27,19,30,22,19481,0,19029,0,[]
145,91,73,47,77,40,51,17,23,21,28,89,68,35,24,46,34,25,15,25,15,19710,0,19105,0,[]
146,86,79,51,75,47,53,12,18,14,19,80,66,41,35,51,45,18,12,17,9,19823,0,19216,0,[]
147,84,80,52,74,46,54,11,20,12,21,88,70,41,44,51,47,14,13,18,14,20032,0,19440,0,[]
148,86,78,49,67,49,54,11,21,12,21,88,72,35,39,53,47,14,14,18,15,20167,0,19614,0,[]
149,90,75,57,64,48,55,9,22,11,22,91,70,41,40,52,46,18,22,18,20,20274,0,19712,0,[]
150,86,78,46,58,49,54,11,28,11,33,87,68,41,45,47,48,22,25,26,33,20413,0,19785,0,[]
151,84,82,36,49,42,54,11,32,11,33,83,66,32,36,51,47,19,21,22,31,20487,0,19953,0,[]
152,84,82,36,49,42,54,11,32,11,33,83,66,32,36,51,47,19,21,22,31,20600,0,20138,0,['12:40 SN 获胜']
