,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,blue_economics,blue_towers,red_economics,red_towers,captions
78,14,34,65,70,52,53,69,68,70,68,17,33,6,32,46,47,92,72,90,70,0,0,0,0,[]
79,21,29,67,70,46,46,69,68,66,68,25,25,6,32,42,41,88,68,89,67,0,0,0,0,[]
80,15,21,68,61,47,51,76,76,74,71,29,19,93,8,49,44,86,76,87,74,0,0,0,0,[]
81,12,19,68,64,46,51,81,84,79,76,29,19,87,20,51,46,87,78,90,80,0,0,0,0,[]
82,12,19,61,62,40,57,85,83,83,80,91,5,82,31,48,51,89,76,88,73,0,0,0,0,[]
83,3,94,57,68,38,60,85,81,89,82,86,5,80,43,45,53,88,76,88,74,0,0,0,0,[]
84,5,81,52,75,2,96,84,82,88,82,75,6,72,49,47,53,88,74,87,68,0,0,0,0,[]
85,6,70,51,75,7,94,86,81,84,80,64,7,64,59,47,52,90,75,87,73,0,0,0,0,[]
86,7,59,52,76,16,86,85,83,86,82,53,8,61,60,47,54,88,76,87,74,0,0,0,0,[]
87,8,46,55,76,24,77,87,80,88,81,44,13,69,50,52,50,89,74,89,73,0,0,0,0,[]
88,10,34,55,76,32,67,80,75,85,77,35,16,79,52,52,50,90,69,89,70,0,0,0,0,[]
89,12,24,9,94,39,59,82,78,83,81,24,14,77,52,92,5,89,70,90,72,0,0,0,0,[]
90,12,17,14,83,44,53,82,78,89,81,18,12,78,52,85,10,90,70,88,66,0,0,0,0,[]
91,14,14,15,71,44,52,87,75,89,81,19,11,83,56,78,19,89,66,88,65,0,0,0,0,[]
92,15,18,18,59,44,50,87,78,85,77,20,12,81,55,69,29,80,65,95,4,0,0,0,0,[]
93,17,13,23,48,41,43,88,79,81,76,22,11,75,45,61,38,89,69,87,14,0,0,0,0,[]
94,18,16,24,45,31,44,91,74,80,76,22,10,74,43,57,43,91,69,77,20,0,0,0,0,[]
95,18,17,26,46,29,44,92,74,89,81,23,11,66,39,54,45,90,69,68,31,0,0,0,0,[]
96,9,17,25,37,33,48,92,74,89,81,18,11,55,32,50,46,91,68,66,45,0,0,0,0,[]
97,15,10,36,40,44,51,87,77,89,81,18,9,51,35,50,47,93,66,63,53,0,0,0,0,[]
98,18,11,44,44,48,50,86,79,89,81,25,11,45,37,51,44,89,69,62,50,0,0,0,0,[]
99,22,11,44,51,43,52,90,74,85,79,26,9,43,46,45,49,90,70,51,48,0,0,0,0,[]
100,20,12,40,57,39,55,91,73,77,73,27,10,42,53,43,52,91,69,43,53,0,0,0,0,[]
101,22,22,40,57,42,58,91,74,71,68,26,9,42,41,46,51,91,69,51,49,0,0,0,0,[]
102,28,31,40,57,43,52,86,77,62,59,26,12,34,36,49,50,92,66,59,50,0,0,0,0,[]
103,34,37,40,57,43,48,88,76,54,56,20,15,41,33,51,43,88,64,56,43,0,0,0,0,[]
104,34,38,8,86,45,53,85,80,61,61,16,17,45,23,49,48,86,65,64,51,0,0,0,0,[]
105,24,34,14,75,44,52,85,80,69,67,16,17,47,24,50,48,88,68,78,51,0,0,0,0,[]
106,18,24,18,61,43,45,90,74,77,74,12,16,46,16,57,41,93,69,86,65,0,0,0,0,[]
107,11,23,23,55,47,51,91,75,86,77,15,16,43,15,54,47,90,69,88,69,0,0,0,0,[]
108,10,24,23,55,47,49,90,78,88,76,19,24,45,15,54,50,91,69,89,70,0,0,0,0,[]
109,11,24,20,49,44,51,89,76,87,77,18,21,44,15,48,48,91,69,88,69,0,0,0,0,[]
110,11,20,15,44,46,52,89,77,87,77,15,17,94,4,52,48,90,68,85,66,0,0,0,0,[]
111,14,21,17,45,48,49,90,75,85,77,17,15,89,15,56,44,92,68,86,66,0,0,0,0,[]
112,13,21,24,39,50,54,88,78,77,73,16,15,80,23,58,47,92,68,90,70,0,0,0,0,[]
113,12,19,34,40,55,57,88,82,68,67,16,15,80,36,49,43,90,69,88,66,0,0,0,0,[]
114,14,18,44,43,48,51,89,82,58,63,18,15,80,48,55,46,93,65,86,66,0,0,0,0,[]
115,11,19,46,50,48,48,87,79,57,55,17,14,76,59,56,47,93,65,95,4,0,0,0,0,[]
116,14,15,52,60,50,53,82,82,55,59,19,13,73,63,58,47,94,6,87,16,0,0,0,0,[]
117,14,15,62,60,56,57,80,84,63,61,20,12,83,66,58,42,95,11,80,27,0,0,0,0,[]
118,20,13,61,58,57,55,80,84,62,57,22,10,92,71,57,43,94,24,80,42,0,0,0,0,[]
119,27,10,63,51,54,53,6,95,57,55,28,9,89,78,58,42,93,34,76,53,0,0,0,0,[]
120,21,10,63,53,49,50,11,95,57,54,27,8,80,76,57,45,92,44,75,59,0,0,0,0,[]
121,23,11,64,57,48,51,21,90,61,57,29,8,78,72,53,44,90,54,75,62,0,0,0,0,[]
122,19,11,62,57,50,51,29,85,65,57,28,10,73,63,57,44,86,63,72,63,0,0,0,0,[]
123,20,14,54,58,53,55,36,77,56,57,24,9,65,57,59,49,77,63,61,62,0,0,0,0,[]
124,23,12,61,57,60,58,44,69,66,60,26,7,69,61,59,45,73,63,69,64,0,0,0,0,[]
125,27,10,67,58,62,60,56,64,66,60,30,6,66,59,66,54,70,62,65,60,0,0,0,0,[]
126,25,10,67,61,62,60,65,59,60,60,29,6,71,62,66,54,68,56,65,57,0,0,0,0,[]
127,22,10,67,54,62,51,63,52,56,54,28,8,71,62,60,50,68,52,59,45,0,0,0,0,[]
128,20,10,65,57,56,50,55,49,54,48,27,10,71,62,57,47,68,52,66,41,0,0,0,0,[]
129,17,10,55,63,55,45,56,46,51,52,29,8,71,62,57,47,68,52,70,34,0,0,0,0,[]
130,21,9,46,65,54,45,58,57,49,54,27,10,94,6,57,47,68,52,71,34,0,0,0,0,[]
131,17,10,47,66,53,47,67,65,49,54,30,11,89,17,57,47,95,4,95,4,0,0,0,0,[]
132,17,9,47,68,51,50,77,75,7,94,31,11,83,28,57,47,90,70,93,7,0,0,0,0,[]
133,19,12,2,96,49,50,83,82,13,87,95,4,80,40,57,47,87,74,87,19,0,0,0,0,[]
134,18,14,5,91,47,51,81,84,22,79,95,4,80,51,61,41,87,76,81,32,0,0,0,0,[]
135,9,22,10,83,2,96,74,87,28,69,17,15,82,56,57,48,90,71,80,47,0,0,0,0,[]
136,6,32,15,72,8,93,74,87,33,59,15,19,78,51,50,48,91,71,76,60,0,0,0,0,[]
137,6,32,18,60,16,84,4,94,39,56,11,24,68,50,55,55,88,73,74,61,0,0,0,0,[]
138,4,96,23,51,26,75,5,88,44,53,17,22,63,60,53,51,87,73,73,63,0,0,0,0,[]
139,16,95,31,44,35,67,5,75,43,52,13,18,59,63,50,54,83,80,65,69,0,0,0,0,[]
140,28,94,39,37,41,56,6,62,43,52,12,18,55,58,51,55,83,81,59,58,0,0,0,0,[]
141,40,92,38,28,42,53,7,49,35,48,16,16,51,47,50,45,82,81,53,49,0,0,0,0,[]
142,53,92,32,34,36,48,8,36,33,42,15,21,52,44,51,45,81,82,52,42,0,0,0,0,[]
143,65,91,32,31,41,53,9,28,28,33,15,19,62,52,52,49,77,85,62,52,0,0,0,0,[]
144,68,92,32,30,43,53,11,30,29,32,25,13,67,61,51,53,75,89,60,62,0,0,0,0,[]
145,70,92,32,31,45,52,13,19,28,32,36,13,66,69,52,49,77,88,48,68,0,0,0,0,[]
146,66,91,32,32,43,53,13,17,28,32,38,15,66,70,52,52,81,89,53,77,0,0,0,0,[]
147,63,93,30,31,35,48,22,11,28,32,39,15,65,70,61,61,76,89,67,79,0,0,0,0,[]
148,58,93,28,31,30,38,24,7,25,28,29,9,68,67,59,59,73,92,71,91,0,0,0,0,[]
149,67,92,27,21,34,38,22,10,30,18,30,9,57,65,54,57,75,92,76,87,0,0,0,0,[]
150,62,92,29,19,42,46,24,12,36,15,42,6,54,76,51,50,76,87,77,79,0,0,0,0,[]
151,63,94,42,18,43,52,23,13,41,15,46,12,53,76,61,50,81,84,77,79,0,0,0,0,[]
152,73,89,39,17,41,44,26,10,33,16,47,7,59,83,65,58,83,87,86,6,0,0,0,0,[]
153,62,89,49,18,41,35,31,9,40,15,46,6,60,83,70,68,78,89,72,10,0,0,0,0,[]
154,59,92,53,27,45,43,38,10,51,19,47,7,63,84,59,60,73,92,59,13,0,1,0,0,[]
155,70,92,54,18,52,44,42,11,55,17,49,5,69,82,55,51,74,93,55,11,0,1,0,0,[]
156,66,93,58,11,47,35,48,8,60,10,53,6,69,80,52,44,79,86,54,7,0,1,0,0,[]
157,58,7,51,7,51,25,49,6,55,7,52,8,69,80,59,36,80,83,51,10,0,1,0,0,[]
158,63,9,53,7,55,17,51,5,52,7,64,10,83,5,60,25,82,82,53,6,0,1,0,0,[]
159,54,9,56,6,59,10,50,8,52,7,64,10,70,7,62,13,81,84,52,9,0,1,0,0,[]
160,55,10,48,11,54,6,53,7,52,7,64,10,62,10,61,6,74,87,52,9,0,2,0,0,[]
161,47,12,48,15,44,6,46,11,52,7,64,10,62,20,56,9,72,89,52,9,0,2,0,0,[]
162,38,15,43,24,41,6,39,15,52,7,64,10,56,31,56,10,73,89,52,9,0,2,0,0,[]
163,38,15,41,34,29,8,70,91,11,95,64,10,53,33,53,8,78,86,89,14,0,2,0,0,[]
164,3,95,32,38,29,8,75,89,22,93,64,10,56,30,47,9,84,86,77,23,0,2,0,0,[]
165,4,90,24,36,2,95,77,90,33,90,92,4,53,21,44,11,83,84,66,32,0,2,0,0,[]
166,11,81,23,45,6,92,71,91,42,84,78,6,48,25,47,16,87,76,56,39,0,2,0,0,[]
167,17,71,23,47,15,84,71,91,51,76,64,7,50,26,47,16,89,72,48,41,0,2,0,0,[]
168,18,59,19,46,24,77,5,97,44,69,51,7,58,33,85,9,87,66,53,50,0,2,0,0,[]
169,23,56,15,44,34,69,11,96,54,67,43,8,69,40,76,20,87,66,55,48,0,2,0,0,[]
170,20,50,15,44,40,59,25,95,54,68,33,10,74,44,68,30,94,7,59,48,0,2,0,0,[]
171,23,38,16,45,45,53,38,94,47,73,24,12,79,51,66,41,92,13,59,45,0,2,0,0,[]
172,20,27,3,96,41,51,52,93,55,77,27,9,77,53,74,49,89,26,64,53,0,2,0,0,[]
173,16,21,8,94,33,44,65,91,53,84,37,14,77,52,73,49,89,38,66,48,0,2,0,0,[]
174,16,22,21,86,42,46,78,87,64,82,48,19,82,55,62,51,89,50,66,48,0,2,0,0,[]
175,18,23,31,80,46,50,80,83,71,78,51,27,82,56,54,46,88,62,93,8,0,2,0,0,[]
176,20,20,40,71,42,51,82,85,70,80,55,32,76,53,55,48,87,74,86,22,0,2,0,0,[]
177,15,16,47,65,37,49,85,84,73,85,42,32,75,66,54,46,88,75,81,36,0,2,0,0,[]
178,16,18,51,66,44,58,76,86,75,87,47,22,78,73,51,48,88,72,78,52,0,2,0,0,[]
179,18,24,60,72,44,54,77,88,75,87,45,9,78,73,54,50,88,72,76,66,0,2,0,0,[]
180,25,23,69,81,46,52,88,85,86,87,44,8,79,74,53,48,87,76,79,75,0,2,0,0,[]
181,28,12,77,88,45,54,88,82,85,81,43,7,79,75,57,48,85,80,79,75,0,2,0,0,[]
182,36,8,79,76,43,55,83,79,81,78,46,8,86,75,66,57,79,77,79,75,0,2,0,0,[]
183,43,11,83,79,79,77,84,80,79,76,54,8,83,66,60,56,79,77,82,78,0,2,0,0,[]
184,42,19,86,76,75,66,88,76,74,67,46,11,74,59,54,47,79,77,79,81,0,2,0,0,[]
185,40,26,91,70,73,63,90,68,79,62,44,11,74,49,51,45,79,77,79,81,0,2,0,0,[]
186,46,37,84,65,63,58,89,66,77,62,45,12,63,53,53,51,79,77,79,81,0,3,0,0,[]
187,53,48,78,54,55,51,88,54,67,60,41,16,59,45,55,45,79,77,79,81,0,3,0,0,[]
188,47,49,80,51,47,52,91,48,66,54,37,17,60,45,57,40,95,10,94,5,0,3,0,0,[]
189,41,53,79,61,47,54,91,58,62,60,28,15,67,46,67,43,93,22,90,20,0,3,0,0,[]
190,32,44,79,61,45,55,90,65,56,67,21,9,67,48,63,41,92,33,80,32,0,3,0,0,[]
191,24,37,7,94,48,50,90,65,56,67,24,11,67,48,57,50,92,47,87,39,0,3,0,0,[]
192,13,35,24,89,45,51,11,92,4,95,27,10,92,5,53,50,88,49,91,49,0,3,0,0,[]
193,12,22,37,89,39,50,20,83,15,89,27,10,86,17,53,48,88,59,83,51,0,3,0,0,[]
194,12,19,49,88,32,42,29,72,22,80,89,4,76,26,52,45,89,68,87,58,0,3,0,0,[]
195,12,19,55,83,32,37,37,62,31,72,75,5,67,35,52,45,88,71,78,65,0,3,0,0,[]
196,4,96,57,83,27,35,40,58,39,64,58,6,53,34,83,12,86,65,76,59,0,3,0,0,[]
197,16,95,55,83,27,34,46,51,46,53,44,7,56,33,72,23,80,55,78,52,0,3,0,0,[]
198,28,94,52,77,27,34,45,54,48,52,38,8,56,44,64,34,71,50,66,49,0,3,0,0,[]
199,40,93,57,67,4,95,49,59,54,60,26,10,53,48,55,43,60,49,55,47,0,3,0,0,[]
200,52,91,54,58,10,84,48,55,54,61,23,12,65,53,57,47,60,51,57,48,0,3,0,0,[]
201,64,90,56,59,20,75,51,59,57,62,21,12,65,53,61,52,61,52,66,55,0,3,0,0,[]
202,76,87,58,58,30,66,57,58,55,61,28,16,65,54,55,52,60,51,65,56,0,3,0,0,[]
203,77,79,59,62,41,59,52,61,56,62,37,26,64,57,50,50,54,49,65,57,0,3,0,0,[]
204,71,69,57,55,51,53,50,52,57,57,46,37,66,56,55,42,56,46,66,54,0,3,0,0,[]
205,85,66,63,60,58,55,56,55,62,60,50,47,62,52,58,46,55,45,66,41,0,3,0,0,[]
206,89,73,58,59,59,60,54,61,60,61,59,49,60,44,52,50,51,48,55,49,0,3,0,0,[]
207,80,77,54,57,55,58,49,60,50,59,73,50,70,41,49,47,46,50,42,44,0,3,0,0,[]
208,71,69,55,57,56,56,48,58,55,58,86,51,72,41,37,38,52,43,28,44,0,3,0,0,[]
209,71,67,63,64,51,53,51,51,51,52,92,53,62,36,25,29,53,42,41,37,0,3,0,0,[]
210,73,70,68,69,50,50,55,51,52,50,86,52,50,34,15,22,54,41,47,36,0,3,0,0,[]
211,70,66,66,67,53,45,58,47,58,48,73,49,50,41,18,23,57,39,59,36,0,3,0,0,[]
212,66,55,66,65,49,50,53,49,61,49,66,45,40,38,20,25,58,40,56,41,0,3,0,0,[]
213,73,49,66,53,56,50,55,55,54,53,71,41,38,37,19,24,58,39,58,38,0,3,0,0,[]
214,69,42,68,48,67,49,53,52,52,48,61,38,41,32,28,23,62,40,58,39,0,3,0,0,[]
215,66,48,67,46,66,48,55,48,54,46,63,38,41,32,41,26,61,39,60,36,0,3,0,0,[]
216,66,44,65,45,68,44,57,46,51,41,64,37,91,6,55,31,59,37,59,36,0,3,0,0,[]
217,60,43,66,45,72,41,59,44,57,43,67,35,81,14,64,33,66,33,62,34,0,4,0,0,[]
218,52,48,64,57,78,52,55,56,50,54,68,34,72,25,58,33,62,34,61,36,0,4,0,0,[]
219,40,51,55,66,84,64,50,61,47,56,69,34,61,24,64,31,62,34,63,33,0,4,0,0,[]
220,31,45,49,73,89,74,50,60,47,56,95,5,47,17,64,31,56,40,63,33,0,4,0,0,[]
221,23,44,46,73,91,69,47,53,4,97,93,19,42,16,87,6,50,46,87,8,0,4,0,0,[]
222,15,40,46,63,91,65,49,52,4,95,93,33,40,16,72,7,53,43,76,20,0,4,0,0,[]
223,11,29,44,68,90,69,41,54,11,91,93,47,48,20,57,9,55,40,67,31,0,4,0,0,[]
224,10,20,33,60,91,73,41,54,20,80,91,59,41,30,42,10,59,38,61,37,0,4,0,0,[]
225,11,18,23,56,2,96,9,93,30,70,88,68,43,41,28,12,63,31,59,35,0,4,0,0,[]
226,11,23,21,53,7,89,19,84,35,59,88,64,38,40,21,12,63,31,47,35,0,4,0,0,[]
227,11,23,16,44,13,76,27,74,41,54,83,60,34,38,35,12,94,3,49,44,0,4,0,0,[]
228,12,95,15,44,17,64,36,64,39,50,84,62,33,38,29,12,88,6,40,37,0,4,0,0,[]
229,25,94,20,46,19,52,46,54,35,47,87,66,42,36,19,17,78,16,38,30,0,4,0,0,[]
230,37,93,24,45,22,43,45,51,33,43,84,79,52,35,17,15,70,27,38,30,0,4,0,0,[]
231,50,91,23,42,18,34,45,45,36,40,85,78,51,30,22,12,61,37,90,13,0,4,0,0,[]
232,64,91,23,42,9,31,52,46,44,42,89,65,51,25,29,8,57,33,78,23,0,4,0,0,[]
233,69,89,7,94,12,23,52,47,44,42,81,56,57,33,29,8,58,34,66,33,0,4,0,0,[]
234,79,84,15,89,18,16,54,55,54,45,77,52,67,42,90,12,66,43,62,40,0,4,0,0,[]
235,86,79,26,82,18,13,59,57,55,54,81,51,68,46,84,23,74,47,66,47,0,4,0,0,[]
236,87,77,32,74,20,13,51,53,55,55,91,55,61,39,79,35,67,40,64,38,0,4,0,0,[]
237,80,84,36,63,23,24,53,52,54,50,93,54,59,36,75,35,66,34,65,34,0,4,0,0,[]
238,74,72,44,54,31,34,55,44,63,50,91,54,55,32,64,34,61,39,64,40,0,4,0,0,[]
239,71,63,50,42,43,39,55,47,57,47,92,53,55,32,53,29,62,35,62,37,0,4,0,0,[]
240,78,64,55,40,53,46,57,43,55,43,83,49,84,11,54,21,63,35,64,39,0,4,0,0,[]
241,88,67,57,44,66,49,63,50,61,50,75,43,75,21,57,23,65,33,66,35,0,4,0,0,[]
242,79,64,65,53,66,55,66,58,66,60,78,47,70,30,54,11,61,37,57,33,0,4,0,0,[]
243,68,60,62,50,57,57,62,60,66,55,90,51,82,36,46,9,60,42,62,36,0,4,0,0,[]
244,66,48,56,49,49,48,53,50,66,48,92,53,72,34,49,7,58,39,55,32,0,4,0,0,[]
245,79,53,43,44,43,42,52,49,66,48,87,51,69,35,49,10,58,38,48,35,0,4,0,0,[]
246,75,65,35,39,34,36,48,51,66,55,87,49,58,33,57,15,58,39,50,35,0,4,0,0,[]
247,80,76,34,36,23,27,48,51,66,55,77,46,48,33,57,29,59,40,58,37,0,4,0,0,[]
248,85,82,34,40,21,20,5,96,5,92,79,55,43,38,54,41,52,46,50,46,0,4,0,0,[]
249,86,81,33,43,21,12,18,85,18,77,87,66,42,33,46,45,47,51,39,44,0,4,0,0,[]
250,84,81,34,43,22,21,28,74,29,67,88,74,41,40,43,42,46,55,50,46,0,4,0,0,[]
251,2,96,34,40,32,23,38,65,39,58,89,68,41,30,41,34,47,51,53,42,0,4,0,0,[]
252,66,48,44,38,38,27,49,53,50,47,82,57,46,32,41,31,53,41,56,41,0,4,0,0,[]
253,58,34,48,39,40,31,54,43,52,41,76,46,39,29,39,28,51,41,53,30,0,4,0,0,[]
254,49,25,39,26,41,34,48,35,48,34,65,38,47,22,38,25,51,41,51,20,0,4,0,0,[]
255,49,18,48,16,38,27,50,23,50,22,59,33,48,16,27,23,51,41,56,22,0,4,0,0,[]
256,44,23,45,23,26,23,38,23,39,24,54,44,48,15,19,25,51,41,59,34,0,4,0,0,[]
