,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
98,19,13,46,88,31,65,18,94,23,93,25,12,47,27,49,42,86,81,86,85,0,0,0,0,[]
99,16,12,54,83,40,58,28,93,34,92,26,12,51,26,47,52,85,82,82,87,0,0,0,0,[]
100,24,9,53,84,40,58,38,92,45,91,30,9,51,25,48,55,81,85,80,87,0,0,0,0,[]
101,20,11,54,83,38,58,48,92,57,91,30,9,46,16,46,55,74,91,71,89,0,0,0,0,[]
102,17,17,54,83,42,54,62,92,67,92,23,10,34,17,53,54,77,90,77,86,0,0,0,0,[]
103,8,17,53,84,44,54,70,91,71,89,15,10,27,21,52,52,77,80,78,84,0,0,0,0,[]
104,8,17,48,77,40,57,77,87,68,89,14,11,33,23,50,52,82,81,83,83,0,0,0,0,[]
105,8,18,45,66,41,59,78,88,72,89,13,13,43,16,57,50,84,83,84,84,0,0,0,0,[]
106,9,17,46,68,51,59,77,90,76,90,15,16,42,15,57,50,82,84,82,83,0,0,0,0,[]
107,10,20,44,68,54,54,74,91,73,90,22,14,44,15,92,7,80,86,79,86,0,0,0,0,[]
108,9,19,35,62,52,54,74,93,71,90,22,14,44,15,86,17,82,80,78,76,0,0,0,0,[]
109,9,20,31,50,47,53,74,91,72,89,92,4,95,4,75,27,86,87,84,82,0,0,0,0,[]
110,14,18,32,39,41,51,74,90,69,90,80,5,91,17,66,35,84,88,82,86,0,0,0,0,[]
111,13,18,32,39,32,45,74,87,72,90,69,6,84,27,61,40,82,89,81,85,0,0,0,0,[]
112,9,19,30,39,39,51,74,90,72,89,56,7,81,39,56,48,81,86,80,85,0,0,0,0,[]
113,2,96,24,47,33,49,73,90,65,88,44,7,78,51,56,55,82,87,81,87,0,0,0,0,[]
114,4,91,23,47,28,50,73,89,64,82,32,8,71,52,63,57,82,87,83,89,0,0,0,0,[]
115,5,82,20,46,26,50,73,88,57,82,24,10,77,51,65,53,83,86,81,92,0,0,0,0,[]
116,6,71,16,43,35,59,74,87,66,88,17,15,76,45,55,50,83,85,81,91,0,0,0,0,[]
117,7,60,15,44,44,53,74,86,73,89,17,14,77,47,56,56,84,85,82,90,0,0,0,0,[]
118,7,50,21,52,38,58,72,86,74,89,20,14,80,54,53,57,81,84,77,88,0,0,0,0,[]
119,7,39,23,56,43,53,70,88,68,90,30,20,81,55,56,56,87,84,83,89,0,0,0,0,[]
120,8,30,23,55,45,52,73,86,73,90,29,20,75,61,53,50,86,86,81,90,0,0,0,0,[]
121,9,26,24,52,43,53,77,87,74,88,22,13,65,62,45,53,86,84,83,90,0,0,0,0,[]
122,12,18,35,49,41,52,79,86,75,87,14,10,53,62,45,52,85,83,82,90,0,0,0,0,[]
123,11,18,33,48,38,51,74,89,74,87,14,13,51,61,39,51,81,83,77,88,0,0,0,0,[]
124,14,16,23,41,38,51,73,90,71,86,20,14,58,71,30,43,84,84,82,84,0,0,0,0,[]
125,20,14,16,40,38,51,72,89,71,90,26,10,58,76,32,45,82,85,79,86,0,0,0,0,[]
126,20,20,19,34,38,51,69,91,72,92,27,7,69,81,41,45,77,88,77,88,0,0,0,0,[]
127,26,22,26,30,38,51,72,92,73,93,26,9,62,84,46,53,77,87,76,89,0,0,0,0,[]
128,20,19,20,27,2,96,72,93,71,93,22,11,73,87,43,57,77,90,77,89,0,0,0,0,[]
129,18,16,27,31,2,96,63,92,64,91,23,9,71,88,45,56,73,91,72,92,0,0,0,0,[]
130,17,17,32,27,39,64,62,93,63,91,24,12,70,83,46,51,72,89,72,91,0,0,0,0,[]
131,22,27,26,34,40,60,72,89,69,90,23,12,59,71,42,41,76,89,70,80,0,0,0,0,[]
132,17,20,21,38,42,55,68,91,66,90,26,13,51,62,50,46,85,84,73,72,0,0,0,0,[]
133,18,13,21,38,38,58,76,90,59,82,27,21,44,49,43,43,86,75,69,66,0,0,0,0,[]
134,17,14,9,94,39,59,80,84,61,86,21,28,35,40,34,37,90,79,71,70,0,0,0,0,[]
