,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
38,11,30,72,83,43,57,53,90,48,69,20,15,43,16,54,46,90,71,89,67,5273,0,4511,0,[]
39,7,27,73,72,51,51,64,89,58,69,11,23,45,16,55,46,87,74,88,71,5359,0,4655,0,[]
40,9,27,68,63,53,47,74,87,61,61,11,24,48,24,55,41,86,74,88,72,5543,0,4748,0,[]
41,8,27,64,61,53,49,81,83,66,52,14,21,48,27,52,44,87,73,88,74,5594,0,4854,0,[]
42,8,25,65,56,51,48,81,83,68,62,17,23,48,27,52,44,87,75,87,73,5676,0,5009,0,[]
43,8,25,65,56,52,50,81,83,77,73,18,24,52,29,56,44,87,75,83,66,5771,0,5102,0,[]
44,10,22,4,94,50,52,83,81,80,82,23,35,53,35,53,45,86,77,77,59,5822,0,5279,0,[]
45,11,20,7,86,49,52,82,85,81,84,23,37,55,32,54,44,89,80,81,66,5936,0,5350,0,[]
46,11,19,13,76,46,54,81,84,79,84,21,26,60,35,52,46,87,79,87,69,6050,0,5478,0,[]
47,15,19,19,66,42,55,76,89,72,85,19,18,70,41,54,51,82,81,89,79,6118,0,5533,0,[]
48,16,16,28,59,45,55,76,89,72,82,16,10,73,44,54,55,84,80,84,80,6248,0,5711,0,[]
49,16,14,38,65,45,53,77,90,76,87,17,10,76,45,50,48,75,78,77,75,6348,0,5804,0,[]
50,17,14,45,64,44,53,78,89,75,88,16,11,75,52,51,50,82,84,80,82,6513,0,6023,0,[]
51,17,15,47,65,46,53,73,90,74,88,16,12,74,53,52,50,80,87,78,84,6605,0,6236,0,[]
52,17,11,49,65,45,54,74,91,72,90,21,11,79,55,51,47,79,89,77,86,6840,0,6354,0,[]
53,20,11,57,61,46,55,69,91,69,90,25,9,82,56,50,48,80,84,77,79,6947,0,6400,0,[]
54,27,16,58,68,45,56,70,89,73,88,28,8,81,56,47,49,72,78,68,79,7080,0,6540,0,[]
55,36,23,55,76,47,53,69,90,72,87,27,8,75,60,49,47,71,78,72,77,7236,0,6739,0,[]
56,42,32,56,83,47,53,71,88,74,89,25,10,75,63,48,47,81,78,81,77,7430,0,6867,0,[]
57,42,34,55,83,48,53,71,90,71,88,22,9,78,72,51,46,79,79,80,83,7575,0,6942,0,[]
58,34,24,57,83,46,53,71,89,71,88,22,10,78,72,56,43,77,85,78,86,7713,0,6998,0,[]
59,24,22,68,82,46,55,76,89,77,89,22,9,94,4,59,41,81,86,80,85,7830,0,7091,0,[]
60,18,13,74,76,45,52,73,87,71,84,24,11,84,9,59,41,81,77,80,78,7923,0,7177,0,[]
61,17,16,68,78,46,54,77,87,70,81,20,12,73,14,91,6,81,78,81,79,8026,0,7246,0,[]
62,12,13,61,73,46,54,80,88,77,88,18,10,64,21,81,15,83,82,84,88,8099,0,7310,0,[]
63,12,13,59,67,46,51,80,87,85,87,19,11,53,28,73,23,82,81,85,80,8214,0,7382,0,[]
64,15,13,48,67,49,50,81,86,86,86,21,13,44,35,67,32,83,80,87,79,8321,0,7475,0,[]
65,15,17,56,62,49,51,82,86,81,86,18,12,33,37,59,40,86,80,86,79,8428,0,7560,0,[]
66,9,17,64,57,51,51,84,83,82,81,17,12,26,35,52,45,87,76,89,77,8482,0,7651,0,[]
67,8,19,66,67,51,53,85,80,84,78,15,17,24,35,52,46,90,77,88,75,8625,0,7857,0,[]
68,9,23,67,68,52,53,85,80,83,78,11,19,34,40,53,46,90,79,88,75,8785,0,7979,0,[]
69,13,17,66,68,54,52,85,81,84,79,16,16,44,46,56,48,90,76,87,75,8889,0,8197,0,[]
70,12,18,70,65,57,55,85,81,84,78,14,17,52,47,59,48,87,74,89,76,9073,0,8377,0,[]
71,11,21,67,66,65,62,83,86,76,71,12,16,57,55,56,54,84,78,85,79,9127,0,8498,0,[]
72,11,24,67,68,66,63,79,82,68,66,10,20,64,62,64,58,78,74,78,74,9290,0,8562,0,[]
73,10,27,65,70,68,61,73,73,67,68,10,24,66,68,67,60,71,66,70,67,9648,0,9104,0,"['6:5 EDGJiejie(¿ñÕ½Ê¿) »÷É±ÁË DMOMark(»Ãôá)', '6:2 DMO »÷É±ÁË»ðÁú']"
74,10,27,68,78,63,58,76,74,67,68,8,22,63,62,70,61,67,61,65,61,9835,0,9645,0,"['6:7 DMOTwila(Ä§ÉßÖ®Óµ) »÷É±ÁË EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ)', '6:9 EDGJiejie(¿ñÕ½Ê¿) »÷É±ÁË DMOTwila(Ä§ÉßÖ®Óµ)']"
75,11,24,68,78,63,58,82,81,67,68,10,24,54,64,70,61,74,69,72,69,9884,0,9714,0,[]
76,10,28,3,94,63,58,81,87,8,95,12,23,53,55,70,61,81,77,80,76,9934,0,9818,0,[]
77,9,29,9,84,63,58,73,85,19,94,11,25,45,55,89,7,84,78,88,80,10000,0,9908,0,[]
78,10,24,14,74,11,91,74,89,30,92,19,24,44,55,82,16,85,78,85,81,10068,0,10049,0,[]
79,19,24,21,65,20,83,73,90,41,91,27,32,42,56,73,23,80,85,78,87,10118,0,10114,0,[]
80,27,33,33,59,27,74,69,91,52,91,29,38,43,48,65,31,77,90,77,88,10191,0,10207,0,[]
81,21,26,40,55,34,65,71,90,61,86,40,34,44,38,59,40,80,85,80,88,10270,0,10299,0,[]
82,15,17,37,59,40,57,73,87,71,88,36,24,52,35,55,51,83,80,81,88,10414,0,10394,0,[]
83,14,17,27,59,42,54,73,87,76,90,27,17,52,34,56,59,83,80,83,89,10597,0,10527,0,[]
84,16,15,23,56,47,52,76,87,81,91,22,14,50,24,56,57,96,7,95,4,10704,0,10599,0,[]
85,17,15,21,52,49,52,80,83,88,84,21,11,44,16,54,48,94,18,91,13,10943,0,10692,0,[]
86,15,17,23,47,48,52,86,81,86,80,16,10,44,17,54,45,93,29,83,20,11161,0,10852,0,[]
87,14,15,27,47,37,50,86,81,83,79,16,10,41,17,58,42,92,40,81,31,11277,0,11010,0,[]
88,14,14,21,47,27,50,87,85,75,72,20,13,42,17,58,43,91,51,87,40,11465,0,11216,0,[]
89,16,13,17,43,36,49,87,85,66,68,22,13,42,16,52,50,92,63,88,52,11516,0,11267,0,[]
90,16,13,16,42,46,52,7,96,54,67,23,12,95,4,53,48,89,68,89,63,11779,0,11522,0,[]
91,21,12,12,34,49,51,16,95,55,59,26,8,92,10,54,46,87,72,88,72,11914,0,11624,0,[]
92,20,10,9,23,54,54,26,94,56,58,27,9,86,19,54,45,86,76,84,78,12018,0,11768,0,[]
93,22,10,10,14,52,47,37,93,57,65,30,10,82,30,60,39,81,78,77,74,12134,0,11862,0,[]
94,15,10,10,14,53,47,48,91,57,66,27,9,80,42,62,39,79,83,68,79,12185,0,12008,0,[]
95,15,10,6,95,51,50,59,90,59,77,27,8,77,45,61,42,83,80,70,77,12258,0,12131,0,[]
96,3,92,19,88,50,52,69,88,70,85,26,9,76,45,57,46,82,80,73,72,12365,0,12308,0,[]
97,4,80,29,81,49,49,78,88,79,90,24,8,68,50,55,44,83,80,65,64,12462,0,12467,0,[]
98,5,69,39,73,52,54,80,86,78,85,19,13,67,62,54,46,84,79,65,67,12520,0,12746,0,[]
99,6,58,46,67,48,58,79,86,78,85,16,14,69,65,50,48,85,77,71,63,12616,0,12856,0,[]
100,6,46,47,67,46,53,75,89,68,88,17,11,63,63,59,51,80,81,76,71,12751,0,12950,0,[]
101,6,35,47,72,47,52,74,89,68,89,17,10,57,69,56,50,79,83,81,81,12833,0,13066,0,[]
102,8,28,53,76,48,52,71,88,70,88,95,4,57,73,57,50,80,82,73,77,12971,0,13172,0,[]
103,9,23,57,80,49,51,70,89,63,87,89,5,52,77,56,49,76,87,60,77,13189,0,13337,0,[]
104,13,17,59,84,49,59,75,89,73,88,78,6,55,76,52,48,79,84,57,71,13317,0,13469,0,[]
105,13,18,60,84,49,57,76,90,74,89,66,7,56,67,49,50,79,83,59,71,13567,0,13534,0,[]
106,15,16,59,84,43,55,75,89,76,90,55,8,54,62,50,52,81,86,68,78,13650,0,13682,0,[]
107,22,22,60,84,46,53,77,88,78,85,42,9,62,62,52,53,78,84,78,81,13811,0,13826,0,[]
108,27,16,64,82,46,50,77,87,78,88,30,9,71,69,53,49,84,80,81,84,14148,0,13897,0,[]
109,29,18,64,77,48,48,75,88,72,88,27,7,78,75,54,48,84,84,84,87,14291,0,14069,0,[]
110,38,24,54,77,48,51,73,91,72,88,25,8,76,79,55,47,81,89,78,86,14386,0,14236,0,[]
111,47,23,57,72,52,60,71,90,75,92,20,11,74,69,51,49,80,89,78,86,14439,0,14437,0,[]
112,35,29,55,67,50,55,73,91,71,90,20,12,64,62,56,49,78,85,78,86,14533,0,14571,0,[]
113,25,35,54,61,54,55,70,89,70,89,27,16,63,62,59,50,78,75,78,76,14656,0,14622,0,[]
114,18,34,57,67,51,54,74,86,72,86,35,23,62,61,56,49,71,67,71,68,14771,0,14703,0,[]
115,9,28,60,71,50,52,81,85,78,84,44,23,73,67,54,45,79,74,78,73,14878,0,14753,0,[]
116,12,23,69,78,48,54,82,85,82,85,51,21,79,73,53,46,82,77,81,77,14980,0,14905,0,[]
117,11,23,79,82,57,61,85,83,86,76,39,23,79,75,48,49,87,73,87,76,15130,0,15000,0,[]
118,14,19,81,80,67,66,87,83,84,87,35,22,81,79,51,47,85,77,85,79,15197,0,15440,0,[]
119,82,83,81,77,74,75,79,90,76,91,80,88,79,82,83,88,87,82,78,85,15249,0,15983,0,['9:51 EDGJiejie(¿ñÕ½Ê¿) »÷É±ÁË DMOXiaopeng(Ðé¿Õ¶ÝµØÊÞ)']
120,73,90,81,77,73,78,73,93,72,93,76,91,79,87,77,92,79,90,76,90,15300,0,16503,0,"['9:57 EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË DMOMark(»Ãôá)', '10:0 EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË DMOGALA(ÄæÓð)']"
121,71,89,81,77,64,77,73,93,72,93,77,87,80,76,79,89,78,90,78,84,15346,0,16592,0,[]
122,65,89,5,91,58,67,73,93,72,93,76,89,72,69,77,87,74,88,72,83,15399,0,16837,0,[]
123,62,90,10,80,53,57,73,93,5,91,71,86,74,58,73,87,74,89,71,87,15483,0,16924,0,[]
124,57,89,17,69,53,49,5,88,11,80,69,85,74,53,81,90,71,89,69,91,15620,0,17230,0,[]
125,69,91,25,57,51,45,7,78,16,69,95,4,77,51,82,90,78,85,78,85,15819,0,17280,0,[]
126,70,91,22,54,52,44,10,68,18,57,81,6,66,51,93,5,78,85,82,79,15972,0,17333,0,[]
127,75,90,25,51,53,44,10,56,30,46,70,7,59,45,94,6,95,6,82,79,16105,0,17427,0,[]
128,80,86,33,43,53,46,11,44,32,43,59,8,59,42,74,21,94,17,93,9,16381,0,17499,0,[]
129,82,85,45,38,45,43,11,32,41,39,45,9,56,33,63,36,88,26,90,6,16453,0,17560,0,[]
130,81,80,56,33,49,47,14,22,57,33,34,11,57,33,55,44,89,38,78,14,17409,0,17641,0,[]
131,81,80,54,32,51,46,16,18,48,34,23,13,58,33,55,41,89,51,66,20,17559,0,17750,0,['10:52 DMOXiaopeng(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË EDGJiejie(¿ñÕ½Ê¿)']
132,7,95,45,33,48,47,16,17,40,30,18,12,58,33,55,48,88,62,54,21,17659,0,17845,0,[]
133,15,95,34,35,45,48,16,14,31,22,27,17,58,33,53,44,87,73,51,26,17824,0,17959,0,[]
134,27,94,33,31,37,43,15,12,28,24,28,18,58,33,51,48,82,81,47,33,17988,0,18101,0,[]
135,38,93,34,33,34,36,18,17,27,30,24,14,58,33,46,40,82,81,41,31,18054,0,18276,0,[]
136,49,91,31,33,29,35,23,28,34,29,20,14,95,4,36,37,77,87,39,40,18137,0,18413,0,[]
137,61,90,28,32,28,35,26,35,30,33,20,19,84,9,39,30,70,89,35,38,18188,0,18625,0,[]
138,69,91,28,33,25,33,26,32,27,34,23,24,73,14,34,36,73,86,37,38,18269,0,18676,0,[]
139,71,88,29,32,28,36,24,30,26,34,29,21,63,23,38,39,79,85,35,38,18420,0,18770,0,[]
140,71,88,24,39,22,44,16,21,20,28,24,14,49,25,32,38,82,86,31,39,18493,0,18865,0,[]
141,74,89,16,43,21,47,13,16,13,20,18,15,47,25,38,41,81,86,28,33,18646,0,19252,0,[]
142,75,89,15,42,2,96,9,18,10,17,10,17,34,23,33,36,81,82,19,24,18885,0,19407,0,[]
143,79,86,14,36,8,93,8,27,7,28,15,15,22,25,31,33,87,72,15,18,18942,0,19580,0,[]
144,79,85,2,96,16,84,9,35,6,33,13,22,24,29,35,36,83,62,19,23,19066,0,19625,0,[]
145,84,82,14,91,25,76,8,33,6,32,10,23,34,39,44,44,82,62,28,33,19123,0,19876,0,[]
146,85,80,24,83,32,67,6,34,7,33,12,23,44,47,48,51,82,67,40,43,19300,0,20010,0,[]
147,79,74,34,77,39,59,8,30,8,33,18,18,49,54,43,53,88,72,52,52,19461,0,20143,0,[]
148,75,74,48,74,39,65,8,30,8,33,18,18,63,62,53,56,88,70,64,64,19565,0,20241,0,[]
149,84,80,45,67,39,64,8,29,11,92,84,6,65,69,64,64,87,66,67,68,19681,0,20292,0,[]
150,77,72,44,67,45,54,8,29,23,84,72,7,66,70,64,64,84,66,67,69,19836,0,20443,0,[]
151,78,76,35,62,46,52,5,95,36,76,68,15,71,69,66,55,79,72,74,72,19903,0,20495,0,['12:32 EDG »÷É±ÁËË®Áú']
152,75,89,30,51,47,49,8,85,37,64,59,23,74,69,58,46,82,82,82,83,19954,0,20713,0,[]
153,73,90,24,45,40,40,9,73,31,52,47,16,67,60,56,41,80,84,84,88,20049,0,20810,0,[]
154,77,87,24,41,29,45,10,61,35,39,35,16,67,48,51,42,86,76,84,88,20264,0,20876,0,[]
155,76,91,22,31,37,42,11,49,38,38,23,13,72,42,47,36,86,76,86,86,20345,0,21046,0,[]
156,84,88,20,26,46,47,11,38,41,32,14,16,69,40,58,34,91,4,88,84,20501,0,21134,0,[]
157,86,84,19,24,45,45,11,26,36,36,17,9,58,34,55,44,82,5,90,80,20622,0,21253,0,[]
158,86,82,18,23,40,34,14,20,25,27,15,11,51,24,54,46,70,6,89,71,20864,0,21408,0,[]
159,85,81,29,19,35,24,15,16,30,18,15,11,43,15,59,38,58,7,84,66,21099,0,21459,0,[]
160,89,75,22,11,29,17,23,12,25,14,15,11,32,10,53,28,46,8,90,68,21515,0,21552,0,[]
161,84,78,28,9,29,12,27,10,24,10,17,9,35,9,47,17,35,8,91,71,21567,0,21708,0,[]
162,90,75,21,10,24,11,22,9,22,13,17,9,30,6,36,16,30,10,92,71,21660,0,21909,0,[]
163,89,77,17,10,18,12,16,12,17,16,20,11,23,10,23,13,25,12,90,71,21712,0,22485,0,[]
164,87,77,10,19,18,12,9,20,8,23,11,21,22,13,15,20,18,18,92,67,21779,0,22632,0,['13:36 EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË DMOTwila(Ä§ÉßÖ®Óµ)']
165,90,72,11,32,18,12,8,29,6,26,12,19,21,22,16,22,15,20,92,67,22007,0,22722,0,[]
166,89,76,18,34,18,12,9,27,8,31,20,26,33,23,24,30,22,28,91,69,22106,0,22800,0,[]
167,83,78,17,44,18,12,10,31,17,42,20,26,41,31,34,38,24,29,91,71,22152,0,22913,0,[]
168,82,78,23,55,18,12,15,39,25,50,94,10,50,34,44,47,29,19,89,74,22220,0,23153,0,[]
169,87,78,27,59,18,12,20,50,25,50,93,22,48,35,49,49,25,15,93,66,22418,0,23266,0,[]
170,87,77,32,57,5,94,26,52,27,59,92,35,41,35,52,47,17,14,93,66,22498,0,23381,0,[]
171,83,78,32,59,11,83,17,44,32,54,91,50,43,25,95,4,16,15,91,4,22564,0,23471,0,[]
172,83,78,40,58,21,75,12,34,32,53,90,62,47,16,88,8,25,15,80,10,22650,0,23543,0,[]
173,8,94,43,68,30,67,8,30,32,53,91,72,43,18,77,19,36,17,66,11,22751,0,23757,0,[]
174,21,93,48,74,39,59,12,34,5,89,85,77,43,15,69,28,40,16,54,17,22804,0,23848,0,[]
175,34,93,54,78,46,51,15,38,13,77,85,87,33,12,61,37,30,11,42,25,22977,0,23898,0,[]
176,48,91,57,82,46,52,15,38,19,64,81,85,28,17,54,45,19,14,37,26,23362,0,24146,0,[]
177,61,90,56,83,42,54,11,34,22,52,81,83,24,24,56,44,17,16,24,23,23470,0,24363,0,[]
178,69,92,55,82,40,54,9,31,32,46,77,71,25,32,51,48,16,17,15,18,23646,0,24760,0,[]
179,72,90,55,82,40,53,8,29,29,38,76,59,25,31,48,49,19,23,22,25,23911,0,24815,0,[]
180,78,87,6,94,43,54,5,32,19,45,84,57,19,25,49,48,11,25,15,21,23983,0,25022,0,[]
181,86,80,12,86,45,53,5,32,20,50,83,58,18,24,52,47,11,21,12,19,24104,0,25161,0,[]
182,87,77,11,74,39,52,4,91,17,45,83,58,12,24,45,39,8,21,11,21,24211,0,25299,0,[]
183,80,76,19,67,44,52,4,86,25,50,86,64,7,29,43,34,6,26,8,29,24263,0,25351,0,[]
184,80,76,32,66,52,54,14,79,39,50,90,71,7,29,47,38,6,27,9,29,24314,0,25486,0,[]
185,86,76,44,67,53,50,24,72,53,58,87,62,11,25,48,38,7,26,17,22,24513,0,26186,0,[]
186,87,74,48,66,54,51,30,67,66,55,89,53,20,25,55,41,10,26,27,32,24710,0,26327,1,"['15:29 EDG »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
187,88,74,59,61,62,57,30,60,74,57,89,53,20,25,55,45,11,25,39,42,24845,0,26526,1,[]
188,88,75,73,56,70,50,20,53,77,61,95,4,94,5,51,45,11,25,50,46,25035,0,26827,1,[]
189,90,71,75,57,77,52,10,46,67,62,92,15,86,14,46,41,11,27,49,49,25186,0,26898,1,[]
190,90,70,82,66,73,63,9,49,53,61,92,28,75,21,48,42,12,35,46,39,25303,0,26979,1,[]
191,90,67,77,62,61,61,8,51,40,54,91,41,69,32,48,43,20,31,36,39,25942,0,27082,1,[]
192,90,65,65,60,52,54,10,51,33,47,84,50,69,41,50,45,13,22,42,39,26149,1,27276,1,['15:58 DMO »÷ÆÆÁË·ÀÓùËþ']
193,87,65,58,55,50,54,17,49,33,47,80,51,74,44,61,43,11,23,55,42,26279,1,27495,1,[]
194,77,61,74,55,54,58,8,47,33,47,90,54,70,41,59,41,15,20,60,42,26360,1,27631,1,[]
195,76,58,74,56,55,58,7,45,3,95,87,51,68,40,53,42,18,17,60,42,26414,1,27681,1,[]
196,73,63,61,62,54,57,7,46,12,82,89,48,69,35,48,40,18,17,90,12,26571,1,27818,1,[]
197,73,63,49,59,52,51,9,48,24,73,89,48,58,39,47,41,93,5,81,22,26685,1,27891,1,[]
198,5,92,39,53,52,52,9,48,36,65,87,48,58,35,50,46,83,14,70,32,26748,1,28005,1,[]
199,8,85,40,52,51,59,8,94,40,53,87,48,49,34,50,46,73,22,59,41,26814,1,28626,1,[]
200,18,77,38,48,49,58,18,85,35,48,90,5,52,35,48,42,64,31,52,46,26870,1,28809,1,[]
201,28,68,35,49,49,58,26,76,45,58,78,10,49,35,48,42,58,38,52,50,26916,1,28854,1,[]
202,32,58,25,56,11,95,35,67,55,62,72,22,50,32,90,4,53,44,55,47,27001,1,28908,1,[]
203,41,66,28,59,24,94,42,57,49,59,65,33,49,43,71,6,47,51,46,51,27124,1,29049,1,[]
204,39,58,41,57,38,90,44,52,43,53,59,46,53,51,49,10,50,44,54,49,27283,1,29134,1,[]
205,51,55,56,61,48,88,48,54,54,57,65,51,61,51,39,16,51,31,62,58,27398,1,29280,1,[]
206,50,50,61,59,60,88,50,55,58,58,66,49,57,46,25,22,52,31,63,50,27512,1,29535,1,[]
207,48,52,59,59,72,87,49,54,59,57,67,47,54,44,14,21,58,39,55,43,27563,1,29608,1,[]
208,42,51,56,56,82,82,47,54,55,57,67,47,42,39,11,35,52,42,51,43,27685,1,29659,1,[]
209,33,47,54,56,81,82,49,52,46,52,60,49,33,43,10,43,52,43,55,44,27780,1,29905,1,[]
210,23,50,65,64,81,77,48,54,46,53,60,50,41,36,11,50,49,46,53,47,27957,1,30390,1,[]
211,14,50,63,68,84,79,46,55,45,53,59,50,34,36,11,51,49,47,52,50,28169,1,30679,1,[]
212,9,49,64,71,81,77,38,58,41,59,72,50,27,36,18,45,47,48,45,46,28234,1,30856,1,[]
213,15,48,64,70,71,70,43,58,39,65,85,52,23,35,22,43,35,43,33,43,28386,1,31024,1,[]
214,9,48,55,66,63,62,31,57,32,59,90,54,21,46,22,44,36,43,35,43,28439,1,31189,1,['17:48 DMO »÷É±ÁË·çÁú']
215,10,46,46,56,53,53,34,59,41,52,91,55,20,50,23,42,43,39,46,39,28714,1,31450,1,[]
216,14,48,43,44,51,48,45,51,47,45,86,53,24,39,29,37,54,41,57,42,28859,1,31503,1,[]
217,28,50,50,46,55,48,55,46,54,48,74,49,36,38,39,36,58,40,61,41,28910,1,31639,1,[]
218,41,51,47,45,51,48,53,50,54,48,66,50,47,38,50,40,55,41,56,41,28984,1,31732,1,[]
219,43,54,43,48,43,45,47,51,42,53,67,56,55,32,53,31,59,37,51,42,29037,1,31818,1,[]
220,38,60,46,63,45,50,47,54,32,44,70,61,66,39,57,40,59,37,54,47,29191,1,31874,1,[]
221,40,59,49,65,48,51,48,50,43,43,81,66,76,45,56,41,91,7,65,53,29404,1,31926,1,[]
222,42,56,49,54,48,48,51,50,47,51,87,73,64,41,56,44,80,15,58,45,29555,1,32008,1,[]
223,50,47,56,48,52,45,56,47,57,48,84,83,60,42,57,40,71,25,60,41,29651,1,32241,1,[]
224,54,48,52,47,51,47,53,50,53,47,84,84,59,45,61,40,64,35,59,44,29703,1,32445,1,[]
225,56,61,54,58,40,54,46,57,49,60,81,81,58,48,54,32,69,40,61,42,29757,1,32528,1,[]
226,59,75,57,71,35,58,49,60,49,60,78,72,52,49,56,40,63,41,57,45,29807,1,32698,1,[]
227,66,89,55,82,35,58,40,58,5,95,70,68,56,56,49,50,52,48,53,53,30043,1,32911,1,[]
228,72,91,50,81,11,91,35,61,18,85,58,68,48,55,42,54,44,49,45,55,30178,1,32967,1,[]
229,78,86,44,69,14,80,32,66,28,72,52,66,40,57,42,54,40,53,42,57,30252,1,33519,1,[]
230,82,84,43,67,17,67,37,60,39,61,59,61,44,55,43,49,44,49,49,53,30388,1,33600,2,['19:8 EDGiBoy(Ðé¿ÕÖ®Å®) »÷ÆÆÁË·ÀÓùËþ']
231,83,78,56,67,16,54,43,56,44,57,72,63,50,46,47,36,49,50,54,51,30440,1,33662,2,[]
232,74,68,56,56,9,43,42,56,47,58,80,52,55,49,52,34,49,47,95,4,30533,1,33815,2,[]
