,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
115,21,11,72,68,46,52,87,76,79,74,32,9,77,48,51,46,93,62,91,61,0,0,0,0,[]
116,16,14,71,66,47,51,83,80,73,67,27,12,72,44,52,46,94,6,93,57,0,0,0,0,[]
117,15,17,69,66,51,62,78,75,73,68,22,12,69,41,50,47,94,9,93,57,0,0,0,0,[]
118,12,15,69,66,50,65,75,73,74,69,23,11,59,35,47,56,94,17,93,8,0,0,0,0,[]
119,17,9,70,65,50,65,75,73,75,73,30,9,53,34,50,53,93,28,90,14,0,0,0,0,['9:55 DMO 击杀了土龙']
120,17,9,67,64,6,94,5,93,2,96,27,10,47,36,50,48,92,39,85,25,0,0,0,0,[]
121,2,96,70,67,9,92,4,88,3,92,26,14,37,40,48,49,91,50,88,36,0,0,0,0,[]
122,11,93,70,67,17,82,5,77,8,85,23,14,31,34,50,45,89,60,89,48,0,0,0,0,[]
123,22,88,5,89,25,75,7,67,15,78,15,16,25,26,50,44,88,71,89,61,0,0,0,0,[]
124,35,89,11,78,33,67,8,56,18,67,18,15,32,18,95,4,85,80,87,72,0,0,0,0,[]
125,49,90,16,68,39,59,8,44,16,68,22,12,41,18,90,8,86,83,81,77,0,0,0,0,[]
126,62,89,22,58,45,53,8,34,22,58,22,12,42,18,77,19,87,85,80,77,0,0,0,0,[]
127,70,89,24,52,46,51,9,28,24,52,91,6,42,17,70,28,80,87,80,84,0,0,0,0,[]
128,72,88,32,50,45,46,11,23,32,50,76,10,37,17,63,36,77,86,78,81,0,0,0,0,[]
129,69,92,34,39,39,40,12,23,34,39,64,10,33,21,58,41,72,88,73,88,0,0,0,0,[]
130,66,93,30,33,41,36,13,21,41,36,59,9,40,29,56,46,66,88,66,89,0,0,0,0,[]
131,75,93,33,31,44,46,19,23,36,36,76,91,48,24,54,50,69,89,68,91,0,0,0,0,[]
132,72,93,29,33,46,50,21,22,32,35,75,90,56,32,54,48,73,87,71,85,0,0,0,0,['10:58 DMOChanghong(机械公敌) 击杀了 SNSwordArt(光辉女郎)']
133,70,94,26,34,45,49,22,12,26,33,77,89,63,40,53,48,75,87,71,85,0,0,0,0,['11:1 SNSmlz(皮城女警) 击杀了 DMOChanghong(机械公敌)']
134,70,94,27,33,41,44,19,9,20,27,73,86,61,49,51,51,73,87,71,85,0,0,0,0,[]
135,70,94,29,34,33,39,24,8,19,17,71,91,66,55,55,58,71,89,95,4,0,0,0,0,[]
136,70,94,23,26,41,45,25,8,25,10,71,91,58,63,55,58,70,89,91,6,0,0,0,0,[]
137,70,94,20,15,46,48,25,9,26,10,71,91,48,65,53,51,71,90,82,13,0,0,0,0,[]
138,70,94,22,13,44,48,24,10,26,13,74,91,47,65,52,51,73,90,74,23,0,0,0,0,[]
139,10,95,27,16,43,52,23,11,30,20,79,89,50,62,53,49,78,88,66,32,0,0,0,0,[]
140,23,93,34,16,40,54,27,10,34,16,76,88,47,54,50,51,75,87,58,42,0,1,0,0,"['11:36 DMO 击破了防御塔,获得一塔']"
141,36,92,36,24,37,58,27,11,41,18,79,90,45,58,45,57,72,88,51,52,0,1,0,0,[]
142,49,91,41,29,36,58,38,10,36,17,79,90,44,57,44,58,70,88,56,61,0,1,0,0,[]
143,57,85,48,22,40,55,44,9,32,20,90,4,53,64,50,53,69,89,57,68,0,1,0,0,[]
144,69,85,46,13,41,54,49,8,42,23,74,6,58,74,50,52,69,91,59,76,0,1,0,1,['11:58 SN 击破了防御塔']
145,71,90,51,11,42,56,50,8,47,17,61,9,61,86,51,54,69,89,66,83,0,1,0,1,[]
146,71,86,58,11,46,50,56,8,58,11,65,8,70,87,59,60,66,88,70,81,0,2,0,1,"['12:6 DMO 击破了防御塔', '12:9 SNSmlz(皮城女警) 击杀了 DMOChanghong(机械公敌)']"
147,71,86,66,10,41,39,66,7,66,10,71,11,68,80,59,60,70,88,70,80,0,2,0,1,[]
148,71,86,64,8,42,39,65,7,64,8,68,11,68,80,90,4,70,88,94,4,0,2,0,1,[]
149,71,86,55,12,46,49,57,8,55,12,66,8,95,4,82,9,94,5,79,7,0,2,0,1,[]
150,71,86,45,13,46,49,46,9,47,7,63,8,90,15,72,23,93,9,73,18,0,2,0,1,[]
151,71,86,41,23,45,49,41,10,46,6,66,7,81,24,66,33,87,17,68,28,0,2,0,1,[]
152,5,96,31,32,40,51,41,10,2,96,60,8,69,26,57,41,77,25,64,33,0,2,0,1,[]
153,15,90,24,40,40,51,8,96,6,95,53,9,57,22,54,44,69,35,62,24,0,2,0,1,[]
154,17,76,18,44,5,94,19,95,15,90,47,9,51,22,51,50,73,42,55,21,0,2,0,1,[]
155,17,63,20,45,12,81,31,94,25,85,45,7,46,24,53,49,71,41,50,24,0,2,0,1,[]
156,20,49,19,47,19,71,43,93,34,79,41,15,47,26,51,51,68,40,52,29,0,2,0,1,[]
157,22,40,18,50,31,66,54,91,46,79,29,19,53,33,52,53,67,46,56,32,0,2,0,1,[]
