,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
145,91,68,64,56,64,57,92,75,86,76,66,54,57,33,86,77,52,8,80,22,0,1,0,0,[]
146,85,65,65,56,63,57,3,92,3,95,57,42,47,26,86,77,40,9,72,30,0,1,0,0,[]
147,79,63,57,56,53,50,5,80,9,85,59,37,46,24,94,19,28,12,60,39,0,1,0,0,[]
148,76,53,51,59,51,49,9,69,18,76,60,35,39,26,92,37,19,15,56,41,0,1,0,0,[]
149,73,50,58,57,53,47,11,55,28,68,94,5,34,36,89,47,17,14,57,40,0,1,0,0,[]
150,66,46,55,50,55,46,11,43,38,60,91,7,44,39,82,51,25,15,58,40,0,1,0,0,[]
151,67,48,61,49,55,49,11,30,48,53,80,20,56,44,72,49,36,17,61,43,0,1,0,0,[]
152,59,47,55,47,56,46,14,19,54,44,73,28,58,40,72,48,34,12,61,42,0,1,0,0,[]
153,53,46,51,49,52,47,17,17,50,44,65,35,58,45,62,42,43,19,58,45,0,1,0,0,[]
154,48,56,44,50,42,43,27,22,43,42,57,43,63,41,68,45,37,13,58,37,0,1,0,0,[]
155,48,56,41,36,41,39,28,12,41,31,60,49,69,49,77,56,31,10,52,32,0,1,0,0,[]
156,4,96,41,28,45,45,26,13,47,23,71,48,72,53,87,66,39,7,53,30,0,1,0,0,[]
157,19,94,38,13,49,47,22,13,45,12,69,48,74,49,87,78,48,6,56,23,0,1,0,0,[]
158,32,93,32,17,45,44,22,9,37,12,62,41,64,50,84,81,55,6,52,20,0,1,0,0,[]
159,44,91,27,13,45,44,24,11,33,10,57,41,64,50,84,82,55,6,58,30,0,1,0,0,[]
160,60,91,27,8,3,92,30,9,29,8,56,43,93,8,73,78,91,6,56,41,0,1,0,0,[]
161,71,92,27,8,16,78,31,9,29,8,50,50,88,17,71,79,79,7,49,50,0,1,0,0,[]
162,71,89,27,12,33,63,27,9,29,8,48,51,82,29,78,76,66,7,49,50,0,1,0,0,[]
163,69,88,28,23,44,52,31,8,28,9,53,46,80,42,81,85,55,9,56,47,0,1,0,0,[]
164,63,90,39,29,49,49,32,8,28,8,57,39,83,56,81,87,46,11,58,40,0,1,0,0,[]
165,73,91,49,35,50,49,32,8,29,8,59,44,82,55,87,85,46,13,60,39,0,1,0,0,[]
166,68,82,48,35,51,46,32,8,37,14,59,41,78,51,87,85,48,9,60,39,0,2,0,0,['13:50 JDG »÷ÆÆÁË·ÀÓùËþ']
167,71,85,46,36,50,47,41,9,48,18,57,43,73,44,93,9,51,9,91,5,0,2,0,0,[]
168,77,86,43,45,48,47,42,9,51,19,56,46,72,42,79,20,53,6,79,7,0,2,0,0,[]
169,85,86,52,55,56,56,34,16,44,23,56,44,68,40,66,31,48,6,69,11,0,2,0,0,[]
170,85,83,64,62,66,55,26,24,43,34,59,39,57,34,73,42,47,7,57,15,0,2,0,0,[]
171,77,72,71,67,54,49,26,34,46,45,56,41,55,32,86,51,46,5,54,21,0,2,0,0,[]
172,69,66,67,69,43,51,24,42,49,51,59,41,52,26,93,53,44,9,47,26,0,2,0,0,[]
173,65,69,67,70,51,47,17,44,52,48,57,43,47,17,92,57,44,7,48,23,0,2,0,0,[]
174,65,68,67,70,48,46,16,41,51,49,59,42,43,18,90,51,40,8,57,33,0,2,0,0,[]
175,72,70,64,70,46,46,23,44,50,52,57,44,42,17,77,49,32,9,55,43,0,2,0,0,[]
176,82,78,64,70,32,44,23,40,48,57,57,44,42,17,78,53,23,12,54,44,0,2,0,0,[]
177,85,83,62,70,33,43,23,33,48,57,59,40,49,21,84,64,22,12,59,36,0,2,0,0,['14:43 JDG »÷É±ÁËÍÁÁú']
178,77,86,62,70,44,49,17,22,7,89,59,41,56,32,92,62,30,11,59,35,0,2,0,0,[]
179,65,88,4,95,48,51,19,12,15,82,56,44,56,43,92,61,32,11,95,4,0,2,0,0,[]
180,56,81,18,85,46,51,21,11,24,73,55,45,59,45,91,65,41,7,84,11,0,2,0,0,[]
181,57,82,28,75,48,47,24,10,34,65,56,45,62,41,89,63,41,7,72,18,0,2,0,0,[]
182,57,82,41,76,49,46,18,18,44,57,57,42,58,40,87,76,90,5,66,29,0,2,0,0,[]
183,58,83,49,73,49,46,19,23,55,57,59,40,59,35,87,77,86,6,55,31,0,2,0,0,[]
184,67,89,47,73,50,49,19,23,66,55,60,40,59,35,79,64,74,7,52,29,0,2,0,0,[]
185,72,90,47,66,48,50,10,92,62,57,56,45,86,9,77,52,63,8,51,27,0,2,0,0,[]
186,76,87,49,65,47,50,20,83,51,51,55,44,76,18,87,53,51,7,51,28,0,2,0,0,[]
187,81,84,46,56,50,45,29,73,49,50,57,44,69,29,72,49,44,7,56,33,0,2,0,0,[]
188,84,85,48,48,55,49,38,64,55,48,57,41,58,41,66,46,49,17,58,42,0,2,0,0,[]
189,83,80,59,56,47,45,48,55,49,46,55,43,58,38,75,50,51,30,56,41,0,2,0,0,[]
190,76,68,66,50,45,39,49,46,50,43,58,41,58,34,87,55,45,32,54,41,0,2,0,0,[]
191,78,61,66,46,45,36,52,48,51,45,62,42,54,32,90,61,53,32,58,39,0,2,0,0,[]
192,77,70,66,48,52,43,55,48,54,42,60,41,58,39,80,56,59,36,59,40,0,2,0,0,[]
193,74,69,66,45,50,46,52,48,51,44,57,40,59,40,62,50,56,40,52,44,0,2,0,0,['16:4 JDGLvMao(Êï¹âÅ®Éñ) »÷É±ÁË V5Max(À×öªÅØÏø)']
194,66,58,64,40,57,40,60,42,61,42,62,34,65,35,58,34,65,34,52,44,0,3,0,0,['16:10 JDGimp(¸´³ðÖ®Ã¬) »÷ÆÆÁË·ÀÓùËþ']
195,67,45,65,40,57,34,60,37,58,33,65,31,64,31,52,27,66,31,52,44,0,3,0,0,[]
196,61,38,58,31,51,25,59,37,57,23,65,26,63,25,51,21,68,28,52,44,0,3,0,0,[]
197,62,37,54,21,50,22,52,27,50,20,63,23,60,24,51,22,66,27,52,44,0,3,0,0,['16:24 JDGYagao(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË V5Mole(µ¶·æÖ®Ó°)']
198,59,35,50,17,46,13,47,15,46,12,66,26,67,37,51,22,67,33,85,9,0,3,0,0,[]
199,53,34,51,21,50,7,54,9,51,10,64,15,61,39,51,22,64,36,73,12,0,3,0,0,[]
200,51,34,44,24,48,8,47,11,50,11,59,11,67,40,51,22,65,36,61,11,0,4,0,0,['16:40 JDGYagao(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷ÆÆÁË·ÀÓùËþ']
201,47,35,41,37,32,7,43,15,38,11,60,9,74,43,51,22,66,37,56,12,0,4,0,0,[]
202,47,35,48,48,27,6,43,15,35,11,61,9,74,45,51,22,67,36,54,21,0,4,0,0,[]
203,4,96,58,57,27,6,8,93,2,96,93,4,79,54,51,22,67,36,43,16,0,4,0,0,[]
204,19,94,72,66,4,89,18,85,10,92,91,4,82,56,94,4,91,6,31,18,0,4,0,0,[]
205,32,93,68,63,10,78,27,75,18,82,81,8,76,57,82,18,77,10,29,21,0,4,0,0,[]
206,47,91,64,58,17,66,36,66,28,74,75,17,75,58,81,31,67,9,28,24,0,4,0,0,[]
207,58,90,68,53,18,53,45,57,37,65,69,27,75,47,82,46,64,8,39,27,0,4,0,0,[]
