,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,blue_economics,blue_towers,red_economics,red_towers,captions
178,7,96,53,85,36,49,12,21,44,43,89,44,18,9,66,55,57,44,63,61,0,1,0,1,[]
179,15,91,53,85,24,47,11,33,40,36,88,54,18,13,57,59,91,7,59,58,0,1,0,1,[]
180,26,88,50,76,20,49,17,44,35,39,91,64,18,12,49,51,88,14,64,62,0,1,0,1,[]
181,38,89,48,77,31,54,22,54,35,39,90,67,13,17,53,48,79,24,76,70,0,1,0,1,[]
182,49,91,46,79,38,58,21,55,9,92,87,75,13,17,55,57,69,34,79,74,0,1,0,1,[]
183,62,90,46,79,42,59,15,50,18,84,86,78,24,11,57,69,60,44,70,79,0,1,0,1,[]
184,63,91,2,96,44,68,7,41,27,79,81,84,36,13,50,78,52,54,62,84,0,1,0,1,[]
185,59,93,18,86,39,62,9,45,37,76,71,87,41,16,57,91,48,57,61,90,0,1,0,1,[]
186,58,94,31,80,43,54,10,34,41,71,61,88,42,17,61,89,49,58,61,88,0,1,0,1,['15:27 RWWeiYan(ÁÝ¶¬Ö®Å­) »÷É±ÁË OMGCurse(·ûÎÄ·¨Ê¦)']
187,58,94,41,71,44,52,13,22,39,60,62,86,42,17,67,83,53,52,65,83,0,1,0,1,[]
188,58,94,53,66,49,47,13,17,44,51,67,90,42,16,64,88,57,46,70,89,0,1,0,1,[]
189,58,94,59,61,51,41,18,21,41,40,66,91,44,14,69,90,61,40,69,80,0,1,0,2,['15:45 RW »÷ÆÆÁË·ÀÓùËþ']
190,58,94,56,55,50,47,20,15,39,28,56,91,35,9,67,80,60,42,67,80,0,1,0,2,[]
191,58,94,49,43,49,46,24,11,36,15,52,90,27,9,58,71,55,46,58,72,0,1,0,2,[]
192,2,96,50,45,48,46,32,16,39,10,52,84,37,6,56,59,55,46,55,57,0,1,0,2,[]
193,15,95,44,37,44,44,37,11,42,8,55,76,48,6,52,54,53,49,53,53,0,1,0,2,[]
194,33,94,36,37,36,41,34,10,36,11,56,65,56,6,54,63,55,45,55,62,0,1,0,2,[]
195,44,92,32,31,38,42,26,10,24,12,54,76,57,6,47,71,52,55,47,72,0,1,0,2,[]
196,46,92,39,29,43,51,23,10,24,12,52,86,93,4,42,84,50,54,44,83,0,2,0,2,['16:16 OMGKane(Õ½ÕùÅ®Éñ) »÷ÆÆÁË·ÀÓùËþ']
197,39,94,42,41,48,50,2,96,7,96,43,93,81,5,42,91,55,55,41,92,0,2,0,2,[]
198,40,90,50,48,51,51,14,95,19,95,50,94,72,10,53,86,62,57,49,92,0,2,0,2,[]
199,46,93,55,49,52,44,26,93,31,94,55,90,70,22,53,77,68,47,57,90,0,2,0,2,[]
200,53,93,66,48,58,46,38,91,40,89,63,83,64,34,57,67,58,39,65,83,0,2,0,2,[]
201,52,94,64,52,50,52,50,89,47,80,69,80,57,32,62,62,60,39,72,77,0,3,0,2,['16:41 OMGicon(É³Ä®»ÊµÛ) »÷ÆÆÁË·ÀÓùËþ']
202,52,94,65,56,57,60,52,90,57,73,69,80,50,21,63,62,63,34,78,73,0,3,0,2,[]
203,63,63,76,61,67,63,59,91,58,63,75,76,52,26,75,67,68,41,79,74,0,3,0,2,[]
204,74,64,81,78,76,70,70,89,69,64,86,77,57,33,81,77,78,50,89,76,0,3,0,2,[]
205,76,62,73,75,76,74,81,83,75,67,87,69,88,73,87,72,82,59,88,69,0,3,0,2,[]
