,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
116,13,78,17,67,44,54,51,90,31,52,65,10,54,32,53,48,83,80,83,80,0,0,0,0,[]
117,17,65,18,56,46,51,62,89,33,43,47,9,51,34,55,46,83,84,78,86,0,0,0,0,[]
118,18,53,27,50,41,51,69,91,30,49,32,9,53,29,51,41,80,86,77,85,0,0,0,0,[]
119,22,42,34,39,43,53,66,93,33,60,25,13,52,27,59,46,74,88,71,87,0,0,0,0,[]
120,22,31,30,30,45,52,57,93,40,69,26,25,49,25,54,48,67,91,66,88,0,0,0,0,[]
121,19,25,30,32,44,51,63,93,46,79,27,19,41,29,53,52,71,90,72,90,0,0,0,0,[]
122,12,24,32,42,41,56,70,91,55,84,19,16,40,24,53,52,77,89,76,87,0,0,0,0,[]
123,7,23,33,43,39,55,73,90,62,85,13,20,41,17,49,53,77,86,78,84,0,0,0,0,[]
124,8,24,33,43,38,58,73,88,70,84,13,19,42,18,53,52,78,86,78,84,0,0,0,0,[]
125,8,25,39,50,44,53,70,91,68,92,16,20,40,16,53,51,76,90,76,90,0,0,0,0,[]
126,12,24,40,51,44,51,70,89,71,86,19,24,40,16,54,50,78,80,79,78,0,0,0,0,[]
127,6,23,43,58,45,51,71,85,70,84,17,18,92,10,56,46,80,77,80,77,0,0,0,0,[]
128,10,23,50,61,45,54,72,85,70,81,18,15,84,19,56,49,82,85,82,85,0,0,0,0,[]
129,12,21,58,68,50,62,78,87,74,86,17,13,75,28,54,53,83,83,83,83,0,0,0,0,[]
130,12,19,52,65,45,67,78,89,77,86,26,15,67,37,56,63,85,80,85,80,0,0,0,0,[]
131,11,27,53,66,40,62,78,87,74,86,34,23,66,49,54,52,82,82,82,82,0,0,0,0,[]
132,15,37,49,65,45,53,77,89,73,85,41,32,66,59,50,47,77,74,77,74,0,0,0,0,[]
133,15,39,50,66,46,55,79,88,73,85,48,41,69,63,49,48,70,68,70,68,0,0,0,0,[]
134,15,38,58,70,40,59,81,84,72,83,54,51,69,67,56,56,70,65,70,65,0,0,0,0,[]
135,13,36,61,74,43,61,81,84,63,76,54,50,66,68,57,67,69,66,66,68,0,0,0,0,[]
136,13,21,67,78,50,68,73,86,67,79,53,48,67,72,59,63,65,72,67,72,0,0,0,0,[]
