,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, , , ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
240,5,92,47,89,20,50,8,93,17,49,24,37,58,58,89,16,31,52,31,52,0,1,0,3,[]
241,10,83,41,80,24,60,14,85,20,44,15,36,52,47,83,28,32,46,31,52,0,1,0,3,[]
242,23,72,40,67,31,64,22,75,18,45,23,26,45,37,80,40,40,43,92,5,0,1,0,3,[]
243,31,61,31,58,37,57,30,64,26,35,31,17,41,30,76,52,51,44,74,14,0,1,0,3,[]
244,33,48,31,48,37,58,39,59,23,45,39,16,43,25,80,55,51,47,62,24,0,1,0,3,[]
245,34,39,31,46,45,52,47,52,22,47,47,16,47,17,81,54,50,50,57,34,0,1,0,3,[]
246,32,45,32,45,43,53,44,54,14,48,47,16,44,15,79,55,53,51,56,43,0,1,0,3,[]
247,39,52,32,44,42,56,40,52,17,49,95,4,44,14,75,62,52,53,60,51,0,1,0,3,[]
248,38,64,31,51,34,59,32,44,30,49,88,19,44,14,74,72,49,41,51,43,0,1,0,3,[]
249,46,67,31,50,34,59,26,33,33,43,81,32,84,9,70,64,47,38,42,32,0,1,0,3,[]
250,47,75,31,51,12,87,23,38,33,43,80,45,71,16,61,58,50,49,47,41,0,1,0,3,[]
251,52,85,31,51,22,75,22,50,8,92,76,57,67,28,54,52,50,53,50,46,0,1,0,3,[]
252,53,84,20,95,31,66,30,57,22,81,74,70,58,37,50,47,54,58,55,59,0,1,0,3,[]
253,50,83,35,94,38,64,34,63,32,71,68,81,50,42,45,36,55,63,54,58,0,1,0,3,[]
254,41,72,48,94,32,61,42,67,40,66,64,89,39,39,35,38,49,55,49,53,0,1,0,3,[]
255,50,65,51,94,28,60,47,66,44,69,63,83,38,41,31,37,48,53,40,44,0,1,0,3,[]
256,49,66,49,92,35,58,45,67,52,76,68,78,36,38,29,36,42,55,36,42,0,1,0,3,[]
257,46,65,48,90,43,58,40,59,41,67,59,72,46,36,18,34,47,50,40,45,0,1,0,3,[]
258,51,62,41,81,40,60,31,58,34,63,56,67,47,36,8,36,53,52,34,39,0,1,0,3,[]
259,51,62,42,68,37,62,38,60,19,64,55,66,51,48,9,37,56,60,45,51,0,1,0,3,[]
260,40,60,46,62,40,61,42,59,11,60,53,62,51,53,14,41,51,54,52,54,0,1,0,3,[]
261,32,58,39,66,40,65,39,55,22,65,65,63,58,46,15,36,49,49,58,50,0,1,0,3,[]
262,22,50,32,59,40,65,33,60,17,63,75,72,67,41,15,36,52,47,58,50,0,1,0,3,[]
263,22,53,39,60,14,89,33,60,10,57,71,79,70,42,92,5,50,54,93,8,0,1,0,3,[]
264,34,59,41,57,24,78,13,90,12,49,76,87,66,52,75,10,52,50,80,23,0,1,0,3,[]
265,37,65,39,62,32,68,23,78,23,55,77,88,62,62,65,19,52,50,69,34,0,1,0,3,[]
266,40,65,41,71,41,59,32,69,35,59,67,80,62,62,58,30,85,12,65,50,0,1,0,3,[]
267,45,58,39,75,45,58,41,60,40,52,59,70,60,62,55,41,76,25,58,62,0,1,0,3,[]
268,44,55,42,88,46,52,45,57,42,56,54,67,57,59,50,41,66,34,55,56,0,1,0,3,[]
269,45,57,41,84,46,50,46,57,43,47,51,62,56,57,43,39,57,44,51,62,0,1,0,3,[]
270,42,60,40,70,36,49,39,55,37,48,46,55,45,50,40,44,45,50,41,51,0,1,0,3,[]
271,35,61,37,62,36,49,35,58,38,50,41,56,44,51,40,54,40,52,38,55,0,1,0,3,"['22:32 EDGiBoy(战争女神) 击杀了 V5y4(探险家)', '22:33 EDGScout(刀锋舞者) 击杀了 V5Windy(未来守护者)']"
272,38,59,32,60,36,49,39,59,38,50,44,49,47,49,35,48,44,50,36,49,0,1,0,3,[]
273,47,52,31,51,36,49,45,53,38,50,38,42,40,41,29,38,37,40,31,39,0,1,0,3,[]
274,43,53,32,49,36,49,41,55,38,50,32,44,29,34,32,29,32,33,26,30,0,1,0,3,[]
275,45,40,32,43,36,49,40,44,38,50,31,38,30,30,32,32,32,33,33,38,0,1,0,3,[]
276,41,32,34,41,36,49,35,38,38,50,28,37,30,31,32,32,30,32,30,33,0,1,0,3,[]
277,42,37,41,32,36,49,37,41,38,50,35,41,30,30,35,30,33,33,35,36,0,1,0,3,[]
278,41,42,41,39,36,49,36,42,38,50,37,41,33,35,32,34,32,35,36,42,0,1,0,3,['23:8 EDG 击杀了大龙']
279,43,48,41,45,2,96,39,49,5,91,36,42,39,40,38,43,39,40,38,43,0,1,0,3,[]
280,48,52,50,46,43,46,46,49,17,77,40,37,44,37,43,38,41,38,41,38,0,1,0,3,[]
281,48,39,47,35,41,36,46,43,27,67,43,24,41,30,41,26,41,26,41,27,0,1,0,3,[]
282,52,27,57,28,41,29,40,32,31,55,54,21,33,22,47,17,47,22,34,21,0,1,0,3,[]
283,55,31,57,26,45,22,41,26,31,39,60,23,27,13,47,8,45,12,95,4,0,1,0,3,['23:31 EDGJinoo(猩红收割者) 击杀了 V5Mole(万花通灵)']
284,50,43,57,26,47,25,41,34,19,36,92,8,95,4,47,6,50,8,94,4,0,1,0,3,[]
285,50,50,57,26,49,39,43,42,8,33,84,22,87,16,90,13,51,8,87,16,0,1,0,3,[]
286,52,61,57,26,55,45,45,53,9,29,80,35,76,26,79,24,42,10,74,28,0,1,0,3,[]
287,57,68,57,26,51,47,43,54,15,17,80,48,68,35,70,33,28,11,63,38,0,1,0,3,[]
288,56,83,57,26,47,51,2,96,12,20,74,61,66,47,60,41,20,10,55,44,0,1,0,3,[]
289,55,83,57,26,41,58,10,92,7,18,68,67,66,59,54,47,20,11,53,46,0,1,0,3,[]
290,55,80,57,26,46,71,21,79,6,25,68,68,66,66,45,38,22,9,47,54,0,1,0,3,[]
291,55,80,5,94,44,70,31,70,6,34,70,69,67,67,51,35,84,10,54,64,0,1,0,3,[]
292,4,96,22,90,42,68,41,67,7,36,69,80,56,63,46,34,73,23,56,74,0,1,0,3,['24:16 EDG 击杀了风龙']
293,10,94,36,90,42,67,44,68,13,47,60,86,54,54,42,35,62,33,55,81,0,1,0,3,[]
294,25,85,49,91,42,59,42,67,18,45,60,86,50,51,31,38,52,44,56,81,0,1,0,3,[]
295,36,76,53,87,38,62,35,59,18,49,55,86,47,56,32,44,54,56,53,87,0,1,0,3,[]
296,47,81,53,88,38,64,38,65,20,64,53,87,46,57,31,51,43,57,53,89,0,1,0,3,['24:40 EDGJinoo(猩红收割者) 击杀了 V5Mole(万花通灵)']
297,41,77,53,88,33,65,33,68,31,71,65,89,40,61,35,59,38,62,49,82,0,1,0,3,[]
298,39,75,53,88,37,63,30,64,32,68,55,91,41,60,37,62,38,58,44,69,0,1,0,3,[]
299,37,74,53,88,31,67,32,66,31,69,52,90,39,58,31,60,36,61,33,61,0,1,0,3,['24:54 EDGScout(刀锋舞者) 击杀了 V5y4(探险家)']
300,32,69,53,88,31,67,29,68,29,71,46,91,37,59,37,59,37,58,40,60,0,1,0,3,[]
301,25,76,53,88,31,67,22,75,26,75,48,91,32,64,31,68,35,65,32,70,0,1,0,3,[]
302,27,84,53,88,31,67,14,85,27,89,44,91,28,69,27,69,29,69,29,69,0,1,0,5,"['25:7 EDGiBoy(战争女神) 击破了防御塔', '25:9 EDGJinoo(猩红收割者) 击破了防御塔']"
303,27,85,53,88,31,67,6,95,15,94,36,90,26,74,22,75,23,72,24,76,0,1,0,5,[]
304,27,85,53,88,31,67,21,90,6,95,35,93,25,77,23,79,24,77,26,81,0,1,0,6,['25:18 EDGiBoy(战争女神) 击破了防御塔']
305,24,88,7,95,31,67,25,89,23,89,30,90,28,74,26,78,28,77,29,82,0,1,0,6,[]
306,17,92,22,93,31,67,19,89,21,95,26,92,32,77,27,90,29,86,25,92,0,1,0,6,[]
307,4,96,19,89,31,67,23,89,7,96,32,92,35,87,35,92,37,88,35,89,0,1,0,7,['25:33 EDGiBoy(战争女神) 击破了防御塔']
308,3,96,28,90,8,90,29,90,9,93,43,92,39,87,47,92,40,86,41,85,0,1,0,7,[]
309,11,78,36,92,15,79,31,91,18,84,94,4,90,5,93,7,86,10,91,5,0,1,0,7,[]
310,17,64,39,90,23,73,39,89,23,74,82,11,87,6,85,24,76,25,83,10,0,1,0,7,[]
311,21,54,41,90,31,63,43,81,33,64,68,19,72,15,81,38,67,37,66,20,0,1,0,7,[]
312,22,46,41,85,39,60,51,77,39,59,66,31,61,24,77,52,69,40,52,26,0,1,0,7,[]
313,27,37,42,69,41,60,49,73,39,56,66,45,50,33,74,54,57,45,41,35,0,1,0,7,[]
314,19,44,42,69,40,61,41,65,26,59,64,58,39,39,84,56,48,46,35,41,0,1,0,7,[]
315,15,48,3,93,3,95,36,57,15,50,58,70,38,37,76,57,43,48,34,47,0,1,0,7,[]
316,6,43,16,79,14,78,33,62,7,43,68,80,41,36,66,63,40,55,42,54,0,1,0,7,[]
317,9,52,22,71,25,70,24,72,8,55,63,88,29,32,54,59,37,57,34,59,0,1,0,7,[]
318,15,63,17,64,27,66,16,83,16,64,60,90,22,24,42,57,31,53,29,53,0,1,0,7,[]
319,18,60,22,75,26,71,8,93,25,69,58,84,16,19,36,59,25,50,20,49,0,1,0,7,[]
320,14,63,27,87,26,74,17,92,24,72,56,84,11,24,37,57,19,50,15,44,0,1,0,7,[]
321,11,55,32,90,18,73,32,89,21,81,56,84,10,35,38,58,11,46,20,46,0,1,0,7,[]
322,10,58,36,90,11,65,33,82,11,91,52,89,6,46,37,60,10,47,18,56,0,1,0,7,[]
323,10,62,37,90,9,65,24,72,4,91,50,94,8,51,35,61,10,51,17,54,0,1,0,7,[]
324,17,66,28,86,7,61,18,68,16,78,47,93,13,49,30,69,16,50,20,51,0,1,0,8,['26:57 EDGiBoy(战争女神) 击破了防御塔']
325,25,71,23,75,13,69,24,73,26,78,44,92,24,57,36,76,26,59,29,60,0,1,0,8,[]
326,27,70,23,83,23,71,25,77,24,87,33,92,34,64,34,89,34,66,39,66,0,1,0,8,[]
327,29,84,24,92,23,83,25,87,26,92,34,90,40,70,34,94,43,69,38,74,0,1,0,8,[]
328,27,83,26,87,28,92,27,89,26,89,35,93,39,71,37,88,36,78,35,86,0,1,0,8,[]
329,26,82,24,88,25,94,25,89,22,93,34,93,40,78,31,95,36,88,35,90,0,1,0,8,[]
330,20,87,21,89,20,95,22,89,19,90,25,95,36,89,31,93,29,89,30,89,0,1,0,8,[]
331,18,93,21,85,21,95,23,88,19,90,30,95,33,89,31,94,29,86,29,87,0,1,0,8,[]
332,21,92,19,93,25,92,23,87,21,87,34,90,33,89,34,87,29,86,30,89,0,1,0,8,[]
333,21,90,23,94,27,92,25,94,21,88,33,89,34,86,34,90,29,84,28,83,0,1,0,8,[]
334,20,89,23,93,25,93,24,95,21,87,32,94,33,88,28,77,31,88,30,89,0,1,0,8,[]
335,17,95,17,93,22,95,21,93,18,93,30,92,31,89,24,85,26,87,27,89,0,1,0,8,[]
336,15,88,17,87,21,93,20,88,16,92,33,91,33,89,25,80,31,89,31,90,0,1,0,8,[]
337,7,94,16,77,20,84,13,92,17,81,42,83,43,82,33,69,41,84,42,82,0,1,0,8,[]
338,4,96,9,69,17,82,5,95,15,80,46,72,55,76,35,59,45,79,44,79,0,1,0,8,[]
339,14,84,5,60,19,81,11,83,15,81,51,64,58,63,38,58,45,79,95,4,0,1,0,8,[]
340,24,78,5,59,25,87,22,75,8,87,49,51,68,64,95,4,88,6,82,13,0,1,0,8,[]
341,27,90,6,57,36,90,32,80,4,93,47,37,69,64,77,13,71,16,65,21,0,1,0,8,[]
342,34,84,6,60,43,93,32,72,16,79,49,33,69,64,64,21,59,23,52,31,0,1,0,8,[]
343,32,72,6,60,38,91,32,60,28,69,47,36,88,15,58,33,50,22,38,38,0,1,0,8,[]
344,37,60,8,93,38,91,35,59,38,59,37,39,80,30,53,43,42,15,26,33,0,1,0,8,[]
345,30,59,19,79,10,93,32,58,36,58,32,44,80,44,51,48,36,17,27,34,0,1,0,8,[]
346,23,56,26,68,12,93,25,50,28,52,30,40,77,48,49,53,24,23,34,38,0,1,0,8,[]
347,23,47,31,57,29,93,22,43,26,51,26,37,79,55,47,52,11,25,19,35,0,1,0,8,[]
348,17,43,31,47,42,93,20,37,19,51,34,38,73,61,46,53,12,23,26,31,0,1,0,8,[]
349,15,44,32,61,40,94,22,47,30,54,43,44,59,63,51,65,23,29,25,33,0,1,0,8,[]
350,25,46,29,64,30,94,30,50,34,63,54,53,56,67,50,74,36,37,39,42,0,1,0,8,[]
351,31,52,31,56,30,90,31,57,27,59,64,64,65,65,51,75,44,49,40,51,0,1,0,8,[]
352,33,49,31,51,37,93,31,51,31,56,67,70,66,66,54,77,41,51,39,50,0,1,0,8,[]
353,32,47,34,59,40,93,32,42,33,49,67,68,66,67,54,83,45,53,42,54,0,1,0,8,[]
354,31,57,33,62,39,94,32,49,32,53,63,64,62,64,42,84,41,62,42,60,0,1,0,8,['29:28 EDG 击杀了火龙']
355,20,60,24,67,24,94,28,60,24,59,50,65,51,64,38,90,33,69,31,69,0,1,0,8,[]
356,19,71,19,63,20,83,20,89,22,89,43,55,42,54,40,76,32,60,32,60,0,1,0,8,[]
357,27,70,19,51,18,79,24,77,25,74,36,48,39,53,39,62,32,55,28,51,0,1,0,8,[]
358,33,61,18,54,18,79,31,67,31,63,32,40,32,44,49,60,30,43,25,50,0,1,0,8,[]
359,30,50,24,45,11,95,31,54,32,50,25,36,33,39,47,65,34,39,32,39,0,1,0,8,[]
360,32,47,26,47,21,82,32,47,32,47,34,38,39,39,49,59,40,41,40,40,0,1,0,8,[]
361,32,50,23,48,23,84,32,44,31,54,35,38,40,40,43,55,41,43,44,50,0,1,0,8,[]
362,24,52,23,48,26,73,25,51,28,65,31,46,43,51,32,63,39,55,28,65,0,1,0,8,[]
363,18,60,6,91,25,70,17,58,23,56,24,52,29,59,29,66,26,58,27,59,0,1,0,8,['30:15 EDGiBoy(战争女神) 击杀了 V5Windy(未来守护者)']
364,18,64,17,79,17,68,17,64,23,56,17,57,28,66,19,72,30,60,29,64,0,1,0,8,[]
365,11,65,19,77,17,75,20,72,23,56,14,50,27,69,26,71,27,69,21,73,0,1,0,8,[]
366,13,76,18,81,19,76,17,80,23,56,8,59,26,74,29,78,26,77,27,73,0,1,0,8,[]
367,14,89,17,86,19,82,16,88,23,56,8,65,23,73,26,79,25,74,22,75,0,1,0,8,[]
368,15,84,13,76,15,77,9,92,23,56,9,69,19,70,22,75,20,70,22,74,0,1,0,8,[]
369,9,74,6,73,11,74,5,90,23,56,7,67,21,73,21,76,11,66,11,68,0,1,0,8,[]
370,23,74,3,76,6,75,12,80,23,56,5,71,22,73,20,77,12,69,13,70,0,1,0,9,['30:48 EDGiBoy(战争女神) 击破了防御塔']
371,37,76,8,74,15,78,14,76,23,56,9,66,24,68,35,75,18,74,18,71,0,1,0,9,[]
372,40,86,12,76,15,80,17,79,23,56,18,62,31,62,40,74,25,70,27,69,0,1,0,9,[]
373,29,88,10,72,10,84,20,77,6,89,22,46,31,52,40,69,31,55,31,56,0,1,0,9,[]
374,23,80,6,73,4,95,20,75,9,72,22,48,31,52,40,69,32,41,32,53,0,1,0,9,[]
375,21,75,6,73,12,92,24,71,17,62,24,40,89,5,93,9,34,42,95,4,0,1,0,9,[]
376,27,69,3,93,23,87,26,69,18,54,38,36,81,10,84,27,46,34,88,6,0,1,0,9,[]
377,31,56,6,79,21,86,32,61,22,44,46,38,67,19,80,41,53,29,68,17,0,1,0,9,[]
378,31,52,8,64,18,86,31,48,22,44,37,42,57,28,76,52,53,29,53,23,0,1,0,9,[]
379,31,52,7,55,17,85,29,50,25,57,34,41,45,34,73,54,91,6,41,31,0,1,0,9,[]
380,4,94,7,45,23,83,19,46,34,62,29,35,32,35,71,63,73,17,33,43,0,1,0,9,[]
381,12,78,7,42,28,89,17,53,30,66,22,38,28,38,57,63,60,25,24,50,0,1,0,9,[]
382,17,63,5,45,34,92,19,61,27,67,15,39,32,34,58,68,48,33,20,48,0,1,0,9,[]
383,19,60,6,46,36,93,18,57,18,58,15,39,32,32,52,56,36,36,23,48,0,1,0,9,[]
384,13,49,16,54,37,92,17,54,14,48,14,35,32,32,44,55,32,32,25,37,0,1,0,9,[]
385,11,46,19,51,30,85,11,46,18,46,14,33,31,31,37,50,33,32,32,36,0,1,0,9,[]
386,33,19,19,45,23,75,30,21,18,48,14,36,31,32,39,57,32,33,25,37,0,1,0,9,[]
387,35,29,15,49,19,67,39,28,18,60,15,35,32,32,44,51,35,32,30,34,0,1,0,9,['32:14 EDG 击杀了大龙']
388,42,25,17,61,25,70,39,25,23,73,22,38,36,28,43,48,42,24,41,25,0,1,0,9,['32:19 EDGiBoy(战争女神) 击杀了 V5Ben4(狂野女猎手)']
389,42,25,21,73,30,70,36,10,24,79,95,4,31,42,38,59,30,18,38,11,0,1,0,9,[]
390,42,25,32,80,36,76,39,10,31,88,50,90,31,56,31,67,37,15,31,18,0,1,0,9,['32:28 EDGMeiko(幻翎) 击杀了 V5Max(河流之王)']
391,42,25,32,89,30,84,39,10,33,89,37,90,29,68,26,77,37,14,24,30,0,1,0,9,[]
392,42,25,25,93,25,90,39,10,27,88,25,91,26,72,25,87,39,17,21,46,0,1,0,9,"['32:37 EDGJinoo(猩红收割者) 击杀了 V5Windy(未来守护者)', '32:38 EDGJinoo(猩红收割者) 击杀了 V5y4(探险家)']"
393,42,25,19,94,25,90,39,10,27,88,20,92,19,80,21,92,27,92,18,62,0,1,0,9,['32:43 EDGJinoo(猩红收割者) 击杀了 V5Mole(万花通灵)']
394,42,25,19,94,25,90,39,10,27,88,12,87,13,86,12,87,17,87,14,79,0,1,0,10,['32:50 EDGiBoy(战争女神) 击破了防御塔']
395,42,25,19,94,25,90,39,10,27,88,7,86,11,90,7,88,15,88,7,90,0,1,0,11,['32:52 EDGiBoy(战争女神) 击破了防御塔']
396,42,25,19,94,25,90,39,10,27,88,,0,11,90,,0,15,88,7,90,0,1,0,11,[]
397,42,25,19,94,25,90,39,10,27,88,,0,11,90,,0,15,88,7,90,0,1,0,11,['33:5 EDG 获胜']
