,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
90,8,29,65,68,42,51,69,68,67,70,9,24,22,24,50,48,89,71,87,66,11433,0,11717,0,[]
91,10,32,66,69,49,52,69,68,68,69,11,22,23,32,50,48,84,66,80,65,11483,0,11830,0,[]
92,10,33,67,68,42,57,70,68,70,68,12,21,30,38,51,46,78,65,80,66,11763,0,11906,0,['7:40 OMG 击杀了水龙']
93,7,34,74,63,41,57,75,71,79,74,12,24,22,38,45,45,86,65,83,68,11814,0,11999,0,[]
94,7,32,74,60,48,59,79,79,81,82,8,28,15,34,37,43,82,61,81,57,11970,0,12050,0,[]
95,5,34,74,60,60,61,85,84,87,83,6,37,5,36,42,46,82,58,80,56,12048,0,12720,0,"['7:55 BLGMeteor(德邦总管) 击杀了 OMGCurse(放逐之刃),获得一血']"
96,5,34,75,60,73,63,86,79,87,77,7,30,8,32,46,51,89,61,86,65,12213,0,12855,0,[]
97,5,34,78,51,64,63,89,76,88,75,12,23,14,43,43,54,93,66,88,67,12345,0,12931,0,[]
98,5,34,77,47,53,61,89,78,86,76,11,24,17,44,40,55,91,67,88,70,12439,0,13065,0,[]
99,5,34,75,48,42,56,90,75,89,73,10,24,17,45,39,52,93,69,89,71,12708,0,13272,0,[]
100,2,96,74,48,37,50,91,74,89,75,7,28,24,43,30,49,90,69,90,69,12871,0,13576,0,[]
101,6,28,67,54,43,51,85,78,86,77,16,22,24,42,24,44,91,69,87,67,12956,0,13668,0,[]
102,13,20,58,60,48,49,80,77,81,77,27,21,26,37,29,45,84,63,83,63,13094,0,13823,0,[]
103,16,19,46,65,51,50,88,78,89,78,27,21,27,37,39,40,83,62,83,60,13261,0,13880,0,[]
104,17,15,45,66,51,50,85,81,85,79,95,4,94,6,52,41,85,65,80,66,13520,0,14041,0,[]
105,18,15,44,68,58,57,83,80,85,79,82,4,91,13,58,42,89,73,85,66,13908,0,14154,0,[]
106,19,16,52,64,55,52,81,77,78,74,69,5,85,25,57,46,93,70,90,69,13963,0,14244,0,[]
107,23,27,58,55,53,49,74,68,70,67,57,6,74,29,59,44,92,73,89,70,14035,0,14460,0,[]
108,32,36,58,55,53,50,77,62,78,63,44,7,66,38,58,44,92,72,83,65,14171,0,14538,0,[]
109,32,38,66,55,58,55,74,63,71,63,29,8,66,48,54,45,87,68,82,67,14222,0,14690,0,[]
110,41,43,67,44,66,45,67,58,66,57,27,8,66,44,56,44,83,62,77,58,14273,0,14769,0,[]
111,48,47,66,54,67,45,66,56,67,51,26,9,59,42,59,45,77,55,71,53,14328,0,14873,0,[]
112,56,49,67,60,66,51,66,57,67,55,21,11,60,43,59,45,75,55,66,54,14848,0,14944,0,[]
113,44,45,63,61,56,50,69,63,70,62,19,13,56,33,55,45,81,57,66,53,14899,0,15009,0,['9:21 OMGPenguin(德玛西亚皇子) 击杀了 BLGXinMo(深海泰坦)']
114,33,39,63,61,50,51,76,72,77,71,20,24,53,34,57,44,84,63,66,53,14992,0,15080,0,[]
115,25,37,5,91,51,53,81,80,84,79,25,35,54,32,56,45,85,64,66,53,15098,0,15222,0,[]
116,13,34,12,80,45,50,85,84,87,82,30,39,43,37,51,49,90,71,89,6,15272,0,15466,0,[]
117,11,24,17,70,36,48,85,87,85,87,29,44,41,31,49,47,90,69,77,14,15386,0,15559,0,[]
118,9,25,18,58,38,51,85,87,85,87,23,36,47,22,41,41,90,69,65,21,15436,0,15679,0,[]
119,10,22,26,57,46,53,4,93,3,94,18,25,44,18,38,39,91,72,53,31,15545,0,15834,0,[]
120,7,33,28,59,46,54,5,86,9,82,12,20,43,17,47,39,90,71,42,33,15722,0,15955,0,[]
121,7,34,30,53,47,54,6,75,15,71,10,22,43,16,50,45,90,71,40,26,15901,0,16121,0,[]
122,4,96,34,42,41,52,7,65,18,58,11,20,45,16,53,47,91,5,40,31,15951,0,16234,0,[]
123,17,95,35,41,32,48,8,54,21,47,11,21,45,16,51,49,87,9,48,34,15997,0,16493,0,[]
124,30,94,32,41,36,49,8,43,19,36,12,19,93,4,50,41,78,16,49,35,16053,0,16549,0,[]
125,44,93,32,46,46,54,7,33,10,31,9,17,89,9,52,43,69,20,45,34,16339,0,16594,0,[]
126,56,92,39,49,45,52,9,29,9,27,9,13,78,14,54,47,59,23,35,23,16513,0,16691,0,[]
127,69,90,32,47,41,55,13,23,8,18,11,12,66,20,53,46,46,16,27,20,16564,0,16805,0,[]
128,82,85,30,39,38,56,9,22,9,17,10,15,57,29,50,44,35,12,27,21,16649,0,16855,0,[]
129,83,83,23,39,2,96,11,17,15,21,14,10,45,34,42,39,25,13,27,23,16826,0,16906,0,[]
130,82,83,22,31,12,91,8,19,10,21,14,10,35,39,42,45,17,17,22,14,16898,0,17029,0,[]
131,87,74,21,27,21,82,9,29,11,25,95,13,30,36,45,50,17,13,20,12,16982,0,17167,0,[]
132,90,70,14,41,29,72,11,32,11,30,93,25,19,26,46,50,19,19,19,23,17193,0,17269,0,[]
133,90,68,15,42,37,62,8,25,10,24,91,38,26,30,49,47,18,19,23,29,17442,0,17320,0,[]
134,87,74,15,39,40,56,9,26,11,24,90,53,30,32,49,47,17,19,15,18,17661,0,17427,0,[]
135,81,77,18,46,34,59,10,26,11,24,91,66,26,31,87,7,15,19,12,16,17732,0,17561,0,[]
136,72,69,28,50,32,48,9,27,11,29,90,71,27,31,77,12,16,21,21,26,17815,0,17665,0,[]
137,62,62,39,48,43,51,9,28,18,34,87,70,28,32,68,18,23,28,26,29,17880,0,17716,0,[]
138,54,53,32,41,39,43,15,34,26,35,83,66,29,32,59,26,24,27,25,28,17993,0,17766,0,[]
139,48,48,28,37,31,40,21,40,31,35,83,66,25,31,50,32,23,30,25,31,18086,0,17817,0,[]
140,47,50,30,47,31,48,20,49,31,46,22,45,24,39,40,38,21,47,24,41,18137,0,18318,0,[]
141,50,48,33,49,42,51,13,49,34,49,18,49,26,47,35,42,17,49,23,51,18191,0,18372,0,['11:44 BLGJinjiao(虚空之女) 击杀了 OMGkRYST4L(逆羽)']
142,60,42,32,46,42,44,13,49,32,45,24,39,27,37,44,39,23,40,21,50,18432,0,18423,0,[]
143,56,46,37,43,43,44,13,49,40,42,36,41,33,41,44,39,25,34,25,38,18479,0,18469,0,[]
144,52,47,40,51,51,47,13,49,44,49,42,41,41,41,47,40,29,34,31,36,18597,0,18565,0,[]
145,58,43,37,48,54,47,13,49,48,46,51,41,51,33,51,40,21,26,44,39,18689,0,18678,0,[]
146,65,53,41,52,52,51,5,87,43,51,53,47,49,26,53,45,15,18,47,36,18735,0,18815,0,[]
147,71,65,32,44,40,50,9,76,32,47,46,41,50,27,47,41,14,18,47,36,18791,0,19040,0,[]
148,77,75,33,42,33,43,9,65,34,43,42,45,47,34,44,40,13,15,93,5,18857,0,19128,0,[]
149,84,82,32,41,32,41,9,53,32,46,38,42,52,36,41,43,13,15,78,14,19006,0,19273,0,[]
150,87,74,32,41,35,42,9,39,34,42,37,37,43,37,48,50,86,7,63,20,19080,0,19449,0,[]
151,88,76,24,33,35,48,10,27,31,43,38,37,36,38,47,51,75,12,54,31,19268,0,19504,0,[]
152,88,74,23,43,39,54,11,20,32,47,35,39,31,37,41,45,66,20,41,37,19500,0,19584,0,[]
153,91,70,22,54,40,53,12,21,32,48,42,45,33,43,47,47,55,22,33,43,19579,0,19635,0,[]
154,92,68,31,59,34,49,11,31,32,49,31,46,32,49,40,50,43,16,31,48,19790,0,19686,0,[]
155,91,70,30,58,26,50,16,42,34,59,28,50,28,51,29,50,34,12,28,51,19840,0,20291,0,['12:55 BLGMeteor(德邦总管) 击杀了 OMGicon(符文法师)']
156,91,70,39,56,26,50,17,34,36,57,35,49,32,41,32,46,24,11,31,42,19925,0,20404,0,[]
157,87,73,45,52,26,50,11,31,2,96,44,51,33,29,32,44,19,16,30,32,20018,0,20518,0,[]
158,83,79,41,52,26,50,11,23,6,86,46,50,32,29,88,75,19,16,30,32,20089,0,20712,0,[]
159,84,78,30,50,26,50,11,25,13,77,42,46,33,32,90,76,18,17,28,32,20235,0,20812,0,[]
160,86,77,21,47,26,50,14,35,17,66,39,53,32,32,89,76,19,21,30,32,20300,0,21241,0,[]
161,74,78,26,36,26,50,8,30,19,52,39,52,33,32,87,72,26,30,30,33,20355,0,21296,0,[]
162,60,75,26,37,2,96,8,33,23,41,32,43,32,33,81,66,27,30,30,34,20433,0,21446,0,[]
163,55,63,38,38,24,34,15,33,30,35,31,32,39,38,70,62,25,27,39,37,20484,0,21497,0,[]
164,51,49,34,40,31,39,22,38,37,38,33,37,42,38,59,56,25,28,41,37,20534,0,22016,0,['13:40 BLGADD(凛冬之怒) 击杀了 OMGPenguin(德玛西亚皇子)']
165,48,48,34,40,30,36,28,33,31,33,30,30,48,40,50,48,28,23,41,31,21065,0,22068,0,['13:44 OMGicon(符文法师) 击杀了 BLGADD(凛冬之怒)']
166,50,58,34,40,30,48,26,36,29,34,30,30,60,40,51,50,30,21,47,38,21146,0,22202,0,[]
167,57,68,34,40,26,50,21,29,20,26,30,30,72,43,47,53,22,14,46,36,21201,0,22363,0,[]
168,66,77,34,40,33,59,14,19,15,18,30,30,75,44,47,53,21,13,95,4,21327,0,22510,0,[]
169,78,80,7,96,40,55,18,13,20,14,30,30,75,53,59,50,27,11,86,5,21619,0,22559,0,[]
170,83,83,15,94,37,61,15,17,23,22,30,30,74,57,70,51,23,9,71,7,21754,0,22759,0,[]
171,83,86,25,86,44,67,20,27,25,31,30,30,75,66,75,61,29,9,57,9,21839,0,22856,0,[]
172,84,88,35,78,43,68,23,39,32,32,89,9,77,72,78,72,27,9,43,10,21972,0,22978,0,[]
173,2,96,51,72,40,62,18,44,34,42,84,17,74,69,85,78,22,13,32,17,22023,0,23092,0,[]
174,18,95,53,76,48,53,19,44,25,37,75,26,74,69,90,72,26,17,18,12,22074,0,23203,0,[]
175,32,94,54,76,48,53,16,37,22,32,65,35,93,10,86,78,18,15,14,15,22478,0,23295,0,[]
176,46,93,56,77,39,51,11,28,19,25,56,43,85,20,83,81,13,17,15,16,22533,0,23630,0,[]
177,61,91,54,84,28,50,10,26,23,33,51,48,81,33,83,82,12,15,15,17,22684,0,24031,0,[]
178,72,90,54,83,19,46,6,31,18,34,49,53,80,46,79,76,15,11,21,14,22827,0,24081,0,[]
179,72,90,49,81,20,52,5,30,12,36,45,56,69,50,69,68,15,11,32,22,23376,0,24153,0,[]
180,69,89,40,72,29,59,5,33,16,40,44,56,65,62,63,63,89,5,41,32,23427,0,24938,0,[]
181,57,83,36,62,34,63,5,33,16,40,40,58,67,70,67,70,80,8,49,44,23513,0,24993,1,"['15:4 BLGADD(凛冬之怒) 击破了防御塔,获得一塔']"
182,63,78,34,60,32,63,7,95,8,93,39,59,65,70,67,70,72,17,43,55,23630,0,25143,1,[]
183,69,81,31,60,37,62,16,87,20,85,51,56,69,66,72,69,62,10,56,57,23723,0,25194,1,['15:12 BLG 击杀了风龙']
