,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGTeeen, ,blue_economics,blue_towers,red_economics,red_towers,captions
89,24,13,18,45,46,52,73,88,75,87,28,8,43,15,53,48,81,83,78,82,12053,0,10459,0,[]
90,25,10,24,50,48,52,72,83,69,78,29,8,46,16,54,47,89,80,85,77,12110,0,10561,0,[]
91,15,11,35,49,47,50,78,86,73,84,27,8,46,24,54,47,89,81,89,78,12181,0,10938,0,[]
92,15,11,39,54,48,51,81,85,79,85,24,10,49,26,54,47,86,78,90,80,12305,0,11084,0,[]
93,3,92,39,65,54,55,79,86,79,84,23,8,52,27,60,43,84,79,88,84,12377,0,11198,0,[]
94,4,90,47,73,58,55,78,86,77,85,24,8,53,30,59,48,81,81,85,85,12428,0,11384,0,[]
95,6,76,50,74,58,55,77,87,78,87,23,11,53,33,56,49,81,82,86,87,12479,0,11465,0,[]
96,7,65,52,76,51,53,75,88,78,88,25,9,61,39,55,47,81,84,80,88,12724,0,11516,0,[]
97,8,54,64,78,48,51,76,88,77,92,24,12,66,48,54,47,82,84,84,88,12778,0,11585,0,[]
98,9,43,67,82,46,55,76,87,77,89,23,10,64,58,61,43,84,82,86,87,12853,0,11704,0,[]
99,11,32,58,82,46,55,76,87,73,87,21,13,56,57,56,47,82,83,77,88,12912,0,11856,0,[]
100,14,21,61,83,4,93,70,91,74,88,22,13,59,60,55,48,75,88,78,89,13158,0,12406,0,['8:19 JDGimp(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË LNGDuan(ÕýÒå¾ÞÏñ)']
101,15,16,58,83,12,85,65,91,74,88,22,11,57,71,63,52,80,87,81,87,13238,0,12523,0,[]
102,17,13,59,83,23,80,64,89,74,88,28,10,65,80,57,50,79,88,76,87,13485,0,12576,0,[]
103,21,12,63,87,31,72,65,93,7,96,30,10,71,82,57,50,73,91,74,91,13618,0,12814,0,[]
104,20,10,67,89,40,61,65,94,21,95,27,10,77,85,93,5,76,88,76,89,13746,0,13062,0,[]
105,16,11,68,89,48,50,68,93,33,93,23,9,74,74,85,11,75,87,78,87,13995,0,13126,0,[]
106,23,9,62,86,51,52,69,92,47,92,28,9,68,71,77,19,83,80,87,85,14077,0,13202,0,[]
107,23,9,68,79,60,60,67,92,55,86,29,8,72,66,69,28,85,77,87,85,14395,0,13325,0,[]
108,25,10,68,68,58,56,68,90,67,82,30,7,75,55,61,37,95,5,93,8,14510,0,13431,0,[]
109,23,10,65,64,55,47,70,89,73,73,27,8,75,53,68,46,94,10,92,10,14708,0,13582,0,[]
110,19,12,57,66,53,46,74,88,67,64,26,9,77,48,68,48,93,19,86,18,14791,0,13633,0,[]
111,18,15,57,66,52,53,78,85,73,72,22,9,75,58,59,42,92,30,81,31,15050,0,13751,0,[]
112,16,17,4,94,45,50,75,87,76,79,24,9,72,65,55,49,91,43,80,45,15142,0,13822,0,[]
113,17,17,9,83,45,53,71,87,76,79,23,10,78,56,52,48,90,55,72,50,15193,0,13928,0,[]
114,16,15,14,73,47,52,71,87,4,92,22,10,82,56,53,48,90,66,61,57,15249,0,14042,0,[]
115,12,22,19,62,43,53,7,96,10,81,27,10,81,55,50,50,91,72,57,65,15344,0,14304,0,[]
116,15,17,23,56,42,56,14,95,19,74,27,10,77,47,55,54,85,77,55,65,15533,0,14389,0,[]
117,16,17,24,52,39,52,28,93,28,66,35,14,73,44,56,54,84,79,66,65,15722,0,14493,0,[]
118,20,15,22,47,27,50,37,93,34,61,34,12,76,45,51,51,82,80,67,71,15772,0,14595,0,[]
119,23,12,24,41,21,48,47,91,31,50,30,8,77,48,50,52,82,81,69,71,15983,0,14796,0,[]
120,24,10,29,36,27,50,57,89,34,43,30,8,75,59,53,50,82,84,75,75,16035,0,14958,0,[]
121,23,10,28,33,41,51,65,90,31,51,28,8,66,70,52,51,80,87,80,85,16236,0,15139,0,[]
122,21,11,33,31,44,53,69,90,34,61,31,9,67,69,53,55,79,87,80,86,16529,0,15327,0,[]
123,23,12,30,33,44,51,61,92,43,68,30,8,67,70,62,62,77,90,78,87,16650,0,15550,0,[]
124,25,10,32,32,44,48,56,91,38,76,29,8,67,70,66,65,73,92,71,88,16861,0,15848,0,[]
125,23,11,31,33,43,47,59,93,42,87,27,7,67,69,63,62,73,92,70,90,16912,0,16233,0,['10:25 JDG »÷É±ÁËË®Áú']
126,22,11,31,32,50,49,58,93,53,90,32,6,58,63,55,54,71,90,69,85,17050,0,16316,0,[]
127,20,12,31,32,44,45,62,92,63,91,32,6,50,65,50,51,71,90,70,91,17143,0,16559,0,[]
128,23,13,32,33,44,51,69,92,68,91,30,8,50,66,51,60,73,87,74,88,17370,0,16701,0,[]
129,27,11,32,27,47,58,65,93,65,91,30,6,56,68,57,70,72,90,73,92,17507,0,16943,0,[]
130,26,11,29,19,49,47,59,93,58,91,29,7,62,77,58,72,68,90,69,91,17559,0,16994,0,[]
131,26,10,34,17,50,46,57,92,57,90,37,6,69,89,56,60,67,90,68,91,17772,0,17048,0,[]
132,29,9,40,15,51,45,51,90,52,84,46,6,67,90,54,50,66,90,63,88,18818,0,18020,1,"['10:59 JDGimp(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
133,32,10,40,16,46,36,51,90,47,76,46,6,60,85,50,50,62,88,61,85,18994,1,18222,1,['11:1 LNG »÷ÆÆÁË·ÀÓùËþ']
134,35,13,39,16,47,34,53,91,44,67,91,4,58,82,56,61,64,81,66,82,19163,1,18272,1,[]
135,36,13,41,18,48,34,53,92,40,65,79,6,59,83,54,64,64,81,68,80,19334,1,18433,1,[]
136,2,96,41,18,40,38,52,92,39,63,68,7,64,82,56,54,94,4,68,80,19409,1,18486,1,[]
137,7,94,7,93,32,46,53,93,39,63,57,10,68,81,54,47,85,11,89,6,19474,1,18609,1,[]
138,6,92,20,86,42,52,55,94,14,92,50,7,68,81,52,49,80,22,79,16,19594,1,18788,1,[]
139,6,87,31,80,44,54,56,90,24,86,47,8,83,10,52,51,79,34,73,28,19645,1,18917,1,[]
140,13,74,42,78,46,52,65,90,32,79,47,10,75,19,57,44,80,46,65,39,19859,1,18967,1,[]
141,17,62,53,77,42,53,71,89,46,79,41,12,73,30,59,38,76,57,66,51,19947,1,19020,1,[]
142,19,49,55,76,42,53,73,89,56,74,39,7,68,44,53,48,76,68,63,62,20054,1,19099,1,[]
143,20,45,57,69,7,89,73,91,57,68,44,7,65,56,55,57,72,77,62,62,20197,1,19152,1,[]
144,19,46,56,75,13,81,66,89,57,71,39,8,57,65,57,67,61,75,57,69,20331,1,19661,1,[]
145,21,44,52,72,50,75,57,84,57,71,34,8,57,66,57,63,65,70,57,69,20411,1,19858,1,['12:2 JDGimp(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË LNGDuan(ÕýÒå¾ÞÏñ)']
146,24,31,47,70,42,66,50,82,57,71,39,7,64,57,51,53,75,72,65,65,20470,1,19976,1,[]
147,28,19,46,66,43,55,50,82,57,71,30,8,66,56,55,52,83,80,67,66,20582,1,20098,1,[]
148,36,12,38,64,48,48,2,96,11,92,34,8,73,62,58,56,83,80,57,67,20639,1,20217,1,[]
149,34,17,27,59,49,47,8,95,22,83,39,11,84,56,60,56,80,87,58,59,20720,1,20373,1,[]
150,26,12,29,58,46,49,15,95,32,79,37,10,82,55,52,49,73,90,57,66,20910,1,20589,1,[]
151,29,12,30,53,45,53,26,94,45,80,36,7,79,51,53,49,70,88,65,77,21174,1,20753,1,[]
152,27,18,31,40,50,50,40,92,53,87,39,8,73,43,58,38,63,85,63,83,21224,1,20841,1,[]
153,25,30,33,39,50,49,51,92,54,90,41,8,72,43,56,32,63,85,65,83,21436,1,20976,1,[]
154,35,36,42,46,51,49,53,92,54,90,38,7,67,40,58,42,91,5,65,83,21543,1,21104,1,[]
155,41,34,46,58,49,49,54,93,54,90,40,7,57,34,58,47,83,7,89,5,21664,1,21233,1,[]
156,42,44,50,61,49,49,58,88,52,85,43,7,49,24,52,47,73,14,77,10,21910,1,21390,1,[]
157,41,39,57,68,48,51,65,88,47,74,43,7,46,27,53,46,63,22,66,20,22005,1,21533,1,[]
158,45,32,51,73,42,43,64,83,53,67,95,9,47,25,59,41,50,19,56,30,22055,1,21683,1,[]
159,36,38,51,74,42,44,74,87,61,75,93,21,41,29,57,40,39,17,45,32,22227,1,21734,1,[]
