,IGTheShy, ,IGNing, ,IGForge, ,IGJackeyLove, ,IGBaolan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
100,12,18,18,46,2,96,79,87,69,82,35,16,50,26,56,45,83,80,89,83,0,0,0,0,[]
101,13,18,26,57,8,93,78,87,78,87,25,14,51,27,48,52,84,81,87,85,0,0,0,0,[]
102,14,19,26,59,17,86,76,87,76,87,17,15,52,31,50,52,83,80,84,87,0,0,0,0,[]
103,16,20,34,63,25,77,70,89,70,84,18,13,53,37,50,51,81,85,80,90,0,0,0,0,[]
104,17,17,44,70,33,66,74,89,75,88,18,14,52,36,50,52,81,84,81,91,0,0,0,0,[]
105,17,18,50,80,40,57,73,90,73,90,20,13,52,36,57,48,79,85,80,90,0,0,0,0,[]
106,14,18,57,83,45,55,73,91,73,91,20,13,94,6,53,50,80,85,83,89,0,0,0,0,[]
107,15,19,57,83,52,62,71,91,71,91,16,12,88,18,57,48,78,87,78,85,0,0,0,0,[]
108,16,18,59,85,48,57,69,92,69,92,19,13,82,29,54,47,78,88,76,89,0,0,0,0,[]
109,16,16,60,85,51,48,67,89,67,89,22,12,80,40,55,46,76,88,73,87,0,0,0,0,[]
110,16,17,4,96,51,60,70,91,69,89,19,13,77,51,53,47,77,89,77,88,0,0,0,0,[]
111,16,18,17,95,57,69,69,92,69,92,20,14,74,56,53,46,75,88,77,88,0,0,0,0,[]
112,19,16,29,93,50,62,69,92,69,92,18,15,74,60,55,46,73,91,74,91,0,0,0,0,[]
113,18,19,41,91,41,54,68,91,68,91,20,15,67,69,55,45,79,88,79,87,0,0,0,0,[]
114,15,19,45,81,32,46,68,91,68,91,20,12,68,67,52,48,77,78,78,75,0,0,0,0,[]
115,10,21,45,70,33,43,70,90,70,90,25,16,69,67,50,51,72,70,73,67,0,0,0,0,[]
116,12,20,53,64,37,50,67,92,67,92,18,14,69,67,50,51,72,67,72,69,0,0,0,0,[]
117,16,18,57,55,46,50,71,92,71,92,19,14,69,67,57,48,77,74,76,69,0,0,0,0,['9:45 TES »÷É±ÁË·çÁú']
118,15,18,57,55,49,58,76,90,76,90,18,14,76,57,50,51,84,81,80,81,0,0,0,0,[]
119,14,20,57,54,47,56,75,88,75,88,15,13,81,55,58,46,82,83,81,84,0,0,0,0,[]
120,14,21,55,56,49,51,74,90,74,90,17,15,78,51,55,46,84,81,84,88,0,0,0,0,[]
121,16,17,60,58,49,49,71,91,73,89,18,14,71,40,56,45,80,85,81,91,0,0,0,0,[]
122,11,19,55,64,50,59,74,88,76,90,22,13,69,40,54,48,81,84,84,88,0,0,0,0,[]
123,11,17,67,64,50,59,80,89,82,90,16,13,58,34,58,42,85,81,87,85,0,0,0,0,[]
124,11,17,69,64,56,60,76,88,79,90,15,17,46,33,57,44,85,79,86,85,0,0,0,0,[]
125,15,16,64,63,55,57,75,89,75,88,20,13,35,39,52,45,86,75,87,76,0,0,0,0,[]
126,13,16,52,64,53,47,74,88,73,88,19,15,23,38,53,43,86,75,87,76,0,0,0,0,[]
127,14,14,47,65,48,55,76,87,74,87,19,13,19,33,53,49,86,5,91,5,0,0,0,0,[]
128,13,16,44,67,50,58,78,87,78,87,16,13,19,33,51,46,75,6,77,7,0,0,0,0,[]
129,13,16,36,64,50,58,78,86,79,85,16,13,19,33,48,46,63,7,61,8,0,0,0,0,[]
130,9,21,26,58,7,93,81,84,77,86,13,18,10,21,47,46,51,8,46,11,0,0,0,0,[]
131,10,23,19,48,14,85,77,87,77,86,13,19,16,21,48,49,40,11,33,17,0,0,0,0,['10:53 TESXx(¾ÆÍ°) »÷É±ÁË IGTheShy(ÀëÈºÖ®´Ì)']
132,10,23,15,42,21,75,77,87,6,94,18,15,25,29,48,49,31,18,24,27,0,0,0,0,[]
133,10,23,20,49,30,67,7,95,7,95,18,15,33,30,48,48,22,22,27,38,0,0,0,0,[]
134,10,23,24,57,38,56,10,94,10,94,13,20,31,28,39,41,27,31,28,33,0,0,0,0,[]
135,10,23,25,52,38,52,21,93,21,93,16,22,31,29,31,33,26,31,28,33,0,0,0,0,[]
136,10,23,32,44,33,43,32,92,32,92,19,25,31,29,32,33,26,29,27,32,0,0,0,0,[]
137,6,31,32,41,35,42,43,91,43,91,19,25,31,30,32,32,26,31,28,32,0,0,0,0,[]
138,11,24,37,38,42,44,55,90,55,90,93,9,25,29,26,29,18,23,23,27,0,0,0,0,[]
139,8,27,41,32,49,50,66,88,66,88,89,23,19,24,33,23,12,24,13,21,0,0,0,0,[]
140,10,38,43,32,49,41,77,86,70,84,90,37,15,20,47,26,11,19,13,20,0,0,0,0,[]
141,11,43,55,31,52,33,86,81,73,73,89,50,13,21,57,32,11,20,15,22,0,0,0,0,[]
142,6,46,51,33,52,34,86,77,68,62,87,55,22,29,60,43,7,26,24,29,0,0,0,0,[]
143,5,46,53,34,49,40,91,77,66,50,89,68,32,36,58,44,6,26,34,39,0,0,0,0,[]
144,5,46,56,33,54,44,82,78,66,45,90,73,44,37,62,41,5,27,44,37,0,0,0,0,[]
