,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
38,39,94,8,25,11,22,47,50,69,92,9,25,39,16,12,21,74,88,74,89,4855,0,6090,0,"['3:10 RWHaro(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË RNGXiaohu(ÑÒÈ¸)', '3:10 RNGLangx(µ¶·æÎèÕß) »÷É±ÁË RWHolder(½âÍÑÕß)']"
39,50,93,8,25,8,19,48,50,68,91,7,20,38,16,12,21,74,87,75,89,5394,0,6146,0,['3:14 RWHaro(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË RNGLangx(µ¶·æÎèÕß)']
40,61,93,8,25,10,27,52,46,69,91,7,20,42,16,12,21,82,81,81,84,5488,0,6226,0,[]
41,70,92,2,96,16,34,58,40,73,90,95,4,41,15,87,8,84,79,84,80,5627,0,6300,0,[]
42,72,92,9,22,25,34,55,44,75,88,95,4,42,17,79,18,95,4,95,4,5720,0,6365,0,[]
43,75,88,12,18,32,36,54,44,82,90,88,5,51,27,68,28,94,7,92,8,5943,0,6417,0,[]
44,75,88,12,18,40,36,55,43,82,90,21,13,53,31,59,37,93,15,89,16,6017,0,6484,0,[]
45,74,89,13,19,41,28,52,45,6,93,18,11,51,33,58,42,93,26,87,27,6089,0,6627,0,[]
46,73,90,14,18,44,24,47,47,6,88,23,12,55,32,57,47,92,37,89,38,6217,0,6721,0,[]
47,73,89,20,19,39,31,52,47,16,79,24,10,64,38,58,44,90,48,89,49,6268,0,6793,0,[]
48,76,89,30,22,41,41,47,53,26,72,29,8,66,49,53,47,89,59,88,60,6339,0,6958,0,[]
49,74,88,41,24,45,42,47,48,35,65,25,8,65,61,52,49,87,70,87,70,6404,0,7060,0,[]
50,77,88,43,33,45,42,48,52,41,61,23,10,69,63,52,48,80,76,82,78,6484,0,7223,0,[]
51,76,88,49,40,51,46,53,49,48,55,20,11,72,64,57,46,75,71,74,74,6615,0,7298,0,[]
52,76,88,39,37,43,54,46,52,48,58,21,10,77,58,63,50,78,80,71,80,6812,0,7391,0,[]
53,73,93,29,32,45,64,44,53,55,66,20,12,82,56,63,50,79,90,76,87,6921,0,7486,0,[]
54,72,92,22,24,46,65,46,50,61,74,17,10,81,55,92,5,79,90,77,86,7075,0,7645,0,[]
55,77,88,15,17,48,74,50,50,70,82,16,12,79,52,84,13,83,86,82,83,7182,0,7864,0,[]
56,80,88,11,21,53,84,48,51,79,87,18,16,74,44,75,22,86,84,83,82,7334,0,8025,0,[]
57,81,85,12,21,58,83,48,59,83,85,15,13,77,46,65,31,88,82,84,79,7497,0,8150,0,[]
58,82,83,10,22,59,83,59,62,81,82,16,16,78,48,59,39,86,81,85,79,7585,0,8411,0,[]
59,82,83,8,28,59,83,57,57,83,79,11,23,78,48,56,45,88,75,88,75,7790,0,8462,0,[]
60,89,77,9,26,61,83,50,51,87,78,11,24,93,4,53,45,89,71,91,71,7957,0,8612,0,[]
61,84,79,9,22,72,85,50,50,85,78,17,16,79,5,53,45,88,72,91,73,8047,0,8709,0,[]
62,83,84,11,21,82,90,50,52,83,83,16,15,68,7,53,46,84,78,89,80,8141,0,8831,0,[]
63,84,85,12,19,82,90,48,52,85,87,14,16,57,8,56,46,85,78,89,81,8189,0,8980,0,[]
64,81,86,11,22,80,91,43,57,82,86,15,19,49,16,56,47,85,78,88,84,8304,0,9115,0,[]
65,79,87,10,22,69,94,48,51,80,88,14,18,43,24,54,46,84,79,88,84,8352,0,9228,0,[]
66,76,88,9,24,69,94,47,51,81,90,10,21,41,35,52,49,81,80,85,85,8403,0,9336,0,[]
67,74,89,10,26,3,93,48,53,76,90,8,22,42,44,52,49,79,82,80,91,8562,0,9417,0,[]
68,76,91,9,23,6,86,48,49,77,91,12,20,42,46,53,50,79,85,81,88,8703,0,9513,0,[]
69,74,88,9,25,9,75,45,54,77,87,11,19,45,53,47,55,80,82,83,88,8834,0,10168,0,[]
70,72,89,8,24,11,64,47,53,73,87,9,24,43,46,51,48,78,85,78,91,8907,0,10408,0,['5:46 RNGXiaohu(ÑÒÈ¸) »÷É±ÁË RWHuaTian(»úÐµ¹«µÐ)']
71,73,91,8,28,11,52,47,53,65,89,12,19,38,43,45,52,75,88,77,91,8992,0,10487,0,[]
72,67,91,8,28,20,51,2,96,66,89,14,11,31,48,44,53,76,87,77,91,9140,0,10590,0,[]
73,74,91,10,31,18,51,2,96,74,90,14,11,24,51,45,51,80,85,81,90,9292,0,10782,0,[]
74,73,87,19,34,20,52,44,55,73,86,91,4,32,45,43,43,79,81,84,89,9399,0,10833,0,[]
75,72,89,13,34,23,56,43,54,73,89,80,5,40,37,43,43,80,82,79,89,9508,0,10927,0,[]
76,74,90,11,24,21,53,48,54,72,87,69,7,41,26,90,7,76,86,76,89,9627,0,10978,0,[]
77,68,92,12,19,17,45,53,63,66,94,58,8,42,18,81,15,75,87,77,89,9681,0,11144,0,[]
78,69,92,13,18,17,45,59,74,66,94,47,9,43,17,73,24,74,87,76,90,9852,0,11207,0,[]
79,69,89,15,19,20,44,70,82,4,96,36,10,44,15,62,33,76,87,77,91,9903,0,11258,0,[]
80,72,89,16,15,25,37,67,79,7,94,25,12,45,15,53,43,80,84,81,87,10025,0,11432,0,[]
81,70,90,14,19,28,34,57,69,15,93,17,14,38,17,49,47,77,86,79,88,10108,0,11585,0,[]
82,69,90,11,27,28,36,48,60,27,93,16,15,29,21,47,41,76,91,76,86,10262,0,11691,0,[]
83,69,91,11,31,22,38,44,55,39,92,17,16,24,30,35,38,83,89,78,80,10387,0,11766,0,[]
84,71,89,11,31,15,33,49,53,51,91,24,13,27,31,38,39,83,89,79,75,10453,0,11818,0,[]
85,69,91,3,92,14,34,50,51,63,90,26,11,41,32,50,44,94,7,79,75,10559,0,11890,0,[]
86,69,91,7,79,27,37,48,54,74,88,23,11,51,35,52,48,94,9,93,8,10631,0,12036,0,[]
87,8,96,10,69,35,40,48,50,81,85,22,11,53,33,55,45,94,19,89,16,10794,0,12259,0,[]
88,20,95,10,58,43,44,43,42,80,86,23,11,56,33,57,43,92,30,83,28,10874,0,12423,0,[]
89,30,94,11,46,43,55,42,41,81,87,23,9,66,39,55,49,91,41,80,40,10948,0,12473,0,[]
90,41,92,11,35,46,63,45,50,81,84,24,10,73,43,51,51,90,54,78,51,11102,0,12569,0,[]
91,52,91,12,24,46,66,46,50,83,84,21,8,76,44,54,48,88,65,75,62,11257,0,12717,0,[]
92,62,89,17,16,47,69,47,53,81,87,20,11,75,43,63,50,86,74,78,74,11366,0,12947,0,[]
93,73,89,16,18,48,75,48,53,79,87,21,10,65,39,76,52,84,82,80,82,11545,0,13122,0,[]
94,77,89,16,15,51,77,48,57,79,90,21,10,56,32,78,54,83,88,83,84,11617,0,13324,0,[]
95,76,88,15,16,57,81,57,67,73,88,22,9,49,25,75,48,80,88,81,89,11769,0,13453,0,[]
96,71,91,15,17,59,84,57,64,71,88,23,12,45,23,66,41,75,88,76,86,11905,0,13521,0,[]
97,71,91,12,19,60,85,53,57,70,92,20,14,43,23,55,46,75,87,77,90,12031,0,13684,0,[]
98,72,90,13,19,57,81,47,52,72,89,16,10,43,23,52,47,78,88,85,85,12137,0,13928,0,[]
99,71,90,12,21,57,81,47,52,72,90,16,16,40,29,59,51,77,86,78,84,12335,0,14113,0,[]
100,71,93,10,25,3,92,47,53,66,91,15,18,41,31,65,57,78,85,76,86,12478,0,14194,0,[]
101,71,93,11,23,10,82,47,54,66,91,19,24,35,23,56,49,77,74,73,78,12679,0,14248,0,[]
102,68,93,7,30,15,70,46,54,2,96,19,18,30,20,52,48,75,67,68,78,12743,0,14362,0,[]
103,68,92,10,26,17,58,45,53,16,94,16,9,30,20,52,49,78,77,69,78,12836,0,14436,0,[]
104,68,89,13,36,22,48,46,52,28,93,16,10,91,13,52,46,82,81,69,81,12884,0,14619,0,[]
105,68,92,11,25,21,45,45,52,40,92,18,15,86,22,58,50,80,82,78,81,13001,0,14708,0,[]
106,72,91,12,19,16,42,45,51,54,92,17,13,81,33,66,60,79,83,77,88,13243,0,14865,0,[]
107,69,92,13,18,10,32,48,47,66,91,17,13,80,44,72,70,78,83,75,87,13345,0,14952,0,[]
108,67,94,14,13,6,20,50,47,68,91,20,13,76,57,68,80,71,88,73,89,13751,0,15005,0,[]
109,69,92,18,17,11,12,52,45,68,90,23,11,72,67,69,85,75,88,72,87,13850,0,15577,0,[]
110,67,92,19,12,11,12,48,53,67,93,24,13,66,69,68,83,64,89,72,87,13987,0,15735,0,['9:9 RNGUzi(Ðé¿ÕÖ®Å®) »÷É±ÁË RWKillua(ÕýÒå¾ÞÏñ)']
111,72,93,20,12,11,15,47,54,67,93,28,9,65,70,73,85,62,87,62,84,14056,0,15806,0,[]
112,73,93,26,11,21,22,54,65,67,93,36,6,65,71,75,90,69,91,67,93,14110,0,15882,0,[]
113,66,94,30,8,30,18,62,75,6,95,47,6,66,70,74,91,66,90,63,91,14203,0,16467,0,['9:25 RNGMing(¶éÂäÌìÊ¹) »÷É±ÁË RWZWuJi(ÄæÓð)']
114,66,94,32,7,39,16,70,83,20,93,45,10,67,71,71,82,73,86,70,88,15426,0,16541,0,['9:29 RNG »÷É±ÁË·çÁú']
115,66,94,33,9,36,16,72,86,31,92,48,18,70,81,73,85,74,87,67,84,15590,0,17085,0,"['9:31 RWHuaTian(»úÐµ¹«µÐ) »÷É±ÁË RNGUzi(Ðé¿ÕÖ®Å®)', '9:33 RWHuaTian(»úÐµ¹«µÐ) »÷É±ÁË RNGMing(¶éÂäÌìÊ¹)', '9:35 RNGXiaohu(ÑÒÈ¸) »÷É±ÁË RWHuaTian(»úÐµ¹«µÐ)']"
116,66,94,30,8,37,14,72,86,43,91,51,29,72,70,80,84,74,87,67,84,15681,0,17158,0,[]
117,10,95,30,8,41,18,72,86,55,90,48,39,65,61,78,84,74,87,67,84,15735,0,17274,0,[]
118,20,94,30,8,41,33,72,86,66,91,49,51,60,59,71,88,89,6,94,4,15966,0,17632,0,[]
119,30,94,29,8,47,35,72,86,68,91,45,56,51,64,73,89,75,7,81,5,16027,0,17705,0,[]
120,41,93,29,8,47,35,72,86,69,91,46,55,56,55,74,88,61,8,68,6,16195,0,17813,0,[]
121,52,92,22,12,42,42,8,93,66,88,42,56,51,44,78,88,48,10,55,7,16245,0,17989,0,[]
122,62,90,21,11,42,45,16,83,55,84,44,50,44,34,83,86,37,15,44,13,16404,0,18119,0,[]
123,71,86,20,11,43,44,24,73,48,76,44,44,39,31,85,84,29,11,39,17,16530,0,18287,0,[]
124,71,90,10,16,43,37,33,64,50,66,51,34,46,34,89,83,30,10,31,20,16637,0,18416,0,[]
125,70,92,8,17,34,42,40,56,47,58,55,32,52,28,89,83,28,11,22,28,16882,0,18571,0,[]
126,70,90,2,96,26,51,43,52,44,51,55,32,52,29,89,7,24,13,17,23,16936,0,18625,0,[]
127,73,87,8,91,21,52,47,51,37,50,94,9,93,5,80,17,16,18,11,14,17155,0,18696,0,[]
128,74,87,16,90,20,49,39,51,25,50,94,15,80,13,68,27,16,18,13,13,17221,0,18769,0,[]
129,75,89,20,80,16,43,26,50,17,45,92,28,68,19,59,38,14,16,12,21,17376,0,18951,0,[]
130,76,89,19,71,16,37,33,43,15,35,91,41,58,27,53,45,9,20,9,24,17452,0,19006,0,[]
131,75,89,18,64,15,32,28,36,10,31,90,54,47,32,50,47,10,22,10,26,17561,0,19125,0,[]
132,79,85,17,17,14,18,20,25,11,28,88,66,35,37,41,44,19,15,14,18,17931,0,19219,0,[]
133,73,87,22,14,14,19,15,19,20,14,85,79,35,38,41,45,29,12,14,19,18254,0,19315,0,['11:4 RWHuaTian(»úÐµ¹«µÐ) »÷É±ÁË RNGMing(¶éÂäÌìÊ¹)']
134,62,87,23,13,23,28,21,28,20,14,83,83,32,40,40,33,41,15,14,19,18372,0,19416,0,[]
135,53,84,25,14,31,31,28,36,24,26,82,86,41,35,41,36,34,11,14,19,18421,0,19560,0,[]
136,46,75,27,8,30,33,31,35,29,35,79,81,36,37,38,36,32,8,95,4,18636,0,19649,0,[]
137,40,66,27,20,26,35,31,37,31,38,26,34,33,37,34,40,26,8,84,5,18690,0,20828,0,[]
138,32,59,23,30,21,35,29,35,27,37,24,37,26,37,28,38,21,14,71,7,18740,0,20879,0,"['11:28 RNGLangx(µ¶·æÎèÕß) »÷É±ÁË RWHuaTian(»úÐµ¹«µÐ)', '11:29 RNGLangx(µ¶·æÎèÕß) »÷É±ÁË RWKillua(ÕýÒå¾ÞÏñ)']"
139,28,50,17,23,11,33,29,35,27,37,20,27,16,33,16,35,18,20,59,10,18791,0,20933,0,[]
140,21,46,11,29,5,29,29,35,27,37,13,21,14,34,13,35,13,20,46,12,18843,0,21048,0,[]
141,15,39,12,34,5,33,29,35,2,96,15,17,11,35,13,34,12,18,35,17,19537,0,21180,0,[]
142,19,35,16,34,15,38,29,35,8,85,17,22,22,38,11,26,17,23,26,25,20037,0,21231,0,['11:48 RWHolder(½âÍÑÕß) »÷É±ÁË RNGXiaohu(ÑÒÈ¸)']
143,22,42,17,33,20,44,29,35,17,74,25,32,24,44,11,26,24,31,23,36,20128,0,21283,0,['11:53 RWHaro(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË RNGKarsa(ÁÝ¶¬Ö®Å­)']
144,23,51,8,29,23,55,13,90,29,66,36,38,24,44,11,26,34,37,33,40,20299,0,21354,0,[]
145,29,59,13,22,33,59,27,90,41,58,30,33,24,44,11,26,45,47,43,46,20350,0,21476,0,[]
146,40,58,13,19,41,66,40,89,41,59,26,23,24,44,11,26,45,49,45,56,20467,0,21580,0,[]
147,39,58,15,17,45,68,53,89,43,56,28,20,94,5,11,26,44,45,50,48,20729,0,21661,0,[]
148,42,56,11,25,46,71,67,89,47,57,26,12,88,17,92,5,44,45,46,39,20857,0,21760,0,[]
149,44,53,14,35,55,81,78,86,48,53,28,9,82,29,80,15,89,6,46,38,20987,0,21874,0,[]
150,47,51,12,34,58,83,79,79,47,53,22,12,74,41,70,26,84,15,95,5,21254,0,21927,0,[]
151,46,53,11,24,57,82,86,78,51,63,13,14,72,41,58,38,88,28,88,15,21400,0,22143,0,[]
152,42,58,12,20,58,82,88,76,57,66,16,13,61,39,60,42,76,33,78,23,21511,0,22261,0,[]
153,42,58,13,19,51,73,78,79,50,65,18,14,53,33,73,43,62,34,67,29,21583,0,22313,0,[]
154,5,90,12,19,50,72,69,79,38,63,23,13,40,32,86,53,49,34,57,38,21718,0,22364,0,[]
155,13,81,11,26,49,74,69,81,37,57,26,16,32,31,89,67,48,42,52,49,21898,0,22507,0,[]
156,22,73,12,24,55,76,77,90,32,46,27,14,32,32,88,68,48,48,50,50,21950,0,22594,0,[]
157,31,66,16,16,68,78,84,89,29,44,29,19,31,32,82,58,47,49,47,47,22001,0,22775,0,[]
158,39,58,17,14,79,73,85,88,33,47,23,13,32,31,78,50,41,41,38,43,22393,0,22927,0,[]
159,44,56,11,24,77,69,83,84,40,52,24,12,33,31,74,49,49,33,33,36,22824,0,23020,0,[]
160,42,56,12,34,72,68,81,79,47,54,29,9,32,31,82,59,51,25,33,35,23023,0,23216,0,[]
161,43,55,21,38,72,67,72,69,48,51,23,11,31,33,90,69,49,25,35,36,23077,0,23635,0,[]
162,49,51,27,35,79,63,78,63,55,54,17,17,37,36,91,65,58,33,47,41,23292,0,23696,0,[]
163,54,56,22,38,71,63,79,75,60,56,13,20,45,40,88,53,55,43,50,46,23373,0,23797,0,[]
164,56,61,13,34,70,63,84,82,66,56,13,20,47,37,76,47,51,45,50,46,23487,0,24091,0,[]
165,46,67,11,26,2,96,78,78,55,62,8,17,50,35,62,50,47,48,51,48,23622,0,24483,0,[]
166,39,61,11,29,5,91,70,67,48,66,8,17,50,44,47,50,44,49,46,51,23676,0,24537,0,[]
167,37,57,11,29,15,79,69,66,46,67,94,4,54,55,46,54,47,50,53,54,23752,0,24665,0,[]
168,39,58,2,94,17,66,80,76,2,96,89,4,54,58,50,55,44,52,44,52,23823,0,24745,0,[]
169,37,57,3,96,18,53,85,79,11,83,76,6,61,62,59,59,51,54,46,53,24021,0,24796,0,[]
170,41,55,3,96,23,53,85,80,22,73,71,17,55,68,59,63,63,61,55,59,24201,0,24847,0,[]
171,39,61,10,91,20,49,76,87,34,64,67,29,65,74,72,70,73,63,63,62,24255,0,24923,0,[]
172,43,53,21,88,23,43,76,87,43,54,59,39,66,71,84,78,67,61,61,61,24303,0,25034,0,[]
173,43,55,19,76,19,44,6,95,44,53,50,44,63,63,80,76,54,56,51,55,24513,0,25108,0,[]
174,42,54,18,63,15,41,15,88,43,53,51,52,53,58,68,67,49,55,52,54,24653,0,25246,0,[]
175,41,54,20,49,23,38,24,78,41,57,50,50,65,61,69,64,48,53,47,55,24702,0,25431,0,[]
176,42,53,23,36,34,38,34,74,42,57,47,39,66,68,71,63,54,57,57,56,24916,0,25486,0,[]
177,39,55,21,24,32,33,47,80,42,53,51,27,67,68,73,70,64,63,57,56,25181,0,25641,0,[]
178,36,58,17,14,33,26,62,77,44,47,46,16,74,63,79,74,65,56,89,7,25338,0,25746,0,['14:47 RNG »÷É±ÁËÍÁÁú']
179,37,56,26,11,31,18,70,80,41,35,46,13,84,58,82,81,56,50,82,18,25410,0,25942,0,[]
180,39,58,29,8,42,15,77,87,37,16,45,13,84,57,85,77,49,53,73,28,25611,0,26163,0,[]
181,39,56,30,8,41,15,80,85,32,17,53,8,84,62,87,85,49,54,64,37,26392,0,26250,0,[]
182,36,59,28,15,42,16,84,84,36,25,48,9,87,73,87,85,43,58,54,46,26548,1,26337,0,"['15:7 RWHolder(½âÍÑÕß) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
183,35,63,37,26,37,26,73,90,39,37,53,8,81,82,82,83,41,58,48,52,26599,1,27029,0,[]
184,38,59,49,25,43,36,70,91,39,43,49,8,72,77,74,77,51,59,51,61,26692,1,27169,1,['15:16 RNG »÷ÆÆÁË·ÀÓùËþ']
185,38,60,48,32,32,38,65,91,35,39,48,9,70,79,75,88,49,55,56,59,26743,1,27292,1,[]
186,43,67,44,35,32,45,59,85,35,39,47,6,70,79,76,89,49,53,51,56,26857,1,27443,1,[]
187,43,68,39,28,31,51,55,84,5,93,39,7,88,7,79,86,47,53,54,57,27050,1,27773,1,[]
188,37,65,30,20,32,41,52,87,14,84,27,8,77,18,74,87,48,58,57,68,27131,1,27888,1,[]
189,33,65,34,16,33,28,50,94,25,71,23,9,70,29,71,89,54,61,61,77,27332,1,28068,1,[]
190,31,67,28,9,32,12,50,94,35,60,30,7,68,40,67,88,54,61,71,85,27384,1,28186,1,[]
191,31,67,33,8,34,8,51,94,41,52,36,8,72,43,59,92,84,7,69,89,28333,1,28877,2,['15:55 RNGMing(¶éÂäÌìÊ¹) »÷ÆÆÁË·ÀÓùËþ']
192,9,93,33,10,38,11,51,94,32,44,41,8,75,44,66,91,75,14,62,84,28383,1,28996,2,['15:58 RWHolder(½âÍÑÕß) »÷É±ÁË RNGLangx(µ¶·æÎèÕß)']
193,17,85,21,14,29,19,49,93,32,44,41,8,67,44,66,91,69,27,62,84,28483,1,29048,2,[]
194,25,76,15,19,31,31,50,94,43,52,41,8,66,48,95,4,62,37,90,6,28548,1,29099,2,[]
195,32,67,25,12,32,38,48,93,44,52,41,8,66,48,91,6,53,48,79,15,28723,1,29184,2,[]
196,40,58,36,12,42,35,52,91,39,54,41,8,84,8,86,4,50,50,70,26,28856,1,29254,2,[]
197,45,52,41,9,48,35,55,91,45,49,41,8,73,14,69,5,51,51,60,36,29121,1,29324,2,[]
198,45,51,44,10,41,39,50,83,46,50,41,8,63,23,53,7,49,55,53,46,29300,1,29595,2,[]
199,43,56,37,15,37,43,45,71,41,55,95,8,53,21,49,10,49,52,47,46,29372,1,29751,2,[]
200,43,56,33,16,30,38,38,62,40,56,93,22,41,18,38,13,50,44,49,43,29646,1,29808,2,[]
201,39,53,22,22,27,36,42,56,46,55,92,35,30,18,30,18,44,34,42,33,29698,1,29896,2,[]
202,43,48,19,24,22,51,43,46,46,46,91,49,32,22,44,14,47,38,44,36,29808,1,30021,2,[]
203,43,55,19,24,25,58,46,54,44,53,89,62,41,31,51,10,50,47,49,46,29877,1,30122,2,[]
204,41,57,4,97,27,59,50,61,40,55,86,75,50,35,40,15,48,48,49,46,30010,1,30340,2,[]
205,43,57,3,92,39,66,51,62,42,55,79,88,38,37,28,12,52,48,42,44,30180,1,30511,2,[]
206,38,62,8,90,43,77,38,59,40,60,80,84,28,32,23,12,45,40,41,40,30234,1,30675,2,[]
207,35,59,22,90,57,82,25,58,37,59,74,72,21,29,19,16,49,47,43,45,30285,1,30731,2,[]
208,37,59,35,90,62,85,24,51,39,63,64,63,20,38,11,26,41,51,40,51,30335,1,30818,2,[]
209,41,57,48,91,62,85,31,51,44,56,56,54,14,33,9,30,32,45,45,47,30484,1,30933,2,[]
210,38,60,59,90,60,82,32,58,37,57,53,49,14,41,9,34,42,45,44,49,30536,1,31212,2,[]
211,41,57,71,88,70,79,38,59,42,59,52,50,15,40,10,33,46,48,41,45,30590,1,31505,2,[]
212,39,62,78,87,70,79,28,65,40,59,66,50,16,35,10,32,45,48,41,45,30877,1,31570,2,[]
213,39,60,81,81,70,79,15,63,40,60,79,52,18,35,11,26,43,45,86,9,31150,1,32122,3,['17:44 RNG »÷ÆÆÁË·ÀÓùËþ']
214,38,65,84,78,79,72,10,53,39,65,82,59,18,35,14,36,95,4,78,19,31201,1,32173,3,[]
215,47,68,79,72,83,64,6,50,51,65,90,59,13,43,12,37,91,5,69,29,31283,1,32225,3,[]
216,36,63,87,75,84,64,5,50,58,56,93,66,7,48,7,45,83,14,79,39,31393,1,32806,3,[]
217,33,61,90,74,87,66,6,50,68,64,90,73,6,44,13,48,84,27,85,51,31493,1,32885,3,['18:3 RNGXiaohu(ÑÒÈ¸) »÷É±ÁË RWHuaTian(»úÐµ¹«µÐ)']
218,39,62,88,76,83,67,6,50,75,70,87,77,14,48,29,50,89,40,87,59,31585,1,33351,3,[]
219,45,70,87,76,76,75,6,50,83,79,86,81,13,48,43,56,89,54,87,72,31636,1,33464,3,['18:11 RNGLangx(µ¶·æÎèÕß) »÷É±ÁË RWHolder(½âÍÑÕß)']
220,54,76,87,76,64,77,6,50,69,79,84,79,8,51,55,68,83,61,78,77,31685,1,33628,3,[]
221,54,76,87,76,60,82,6,50,65,79,70,79,8,54,67,71,81,66,67,79,31738,1,33847,3,[]
222,48,78,87,76,55,82,6,50,68,79,68,78,11,50,67,69,74,57,69,78,31893,1,34339,3,['18:29 RNGLangx(µ¶·æÎèÕß) »÷É±ÁË RWKillua(ÕýÒå¾ÞÏñ)']
223,41,72,87,76,54,83,6,50,68,79,79,81,22,47,76,57,71,62,70,68,32022,1,34442,3,[]
224,43,69,87,76,54,84,3,94,68,79,80,87,22,47,78,52,61,57,57,59,32176,1,34785,3,[]
225,42,67,87,76,53,84,13,91,68,79,75,88,90,5,80,50,49,52,46,55,32319,1,34943,3,[]
