,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
79,11,14,78,81,76,74,82,85,82,85,24,13,83,60,53,53,87,68,84,85,0,0,0,0,['6:34 RNGUzi(探险家) 击杀了 V5Max(战争之王)']
80,8,19,73,70,72,66,80,81,82,81,26,16,83,62,56,55,83,65,84,85,0,0,0,0,[]
81,8,19,75,67,63,63,82,79,87,81,26,16,83,62,62,51,88,69,84,85,0,0,0,0,[]
82,3,93,72,68,58,63,83,80,79,75,90,6,77,65,68,61,88,71,92,8,0,0,0,0,[]
83,4,80,71,64,68,64,79,74,74,67,89,15,70,65,75,63,81,66,87,20,0,0,0,0,[]
84,6,69,70,68,67,65,74,75,70,68,76,67,70,65,76,69,78,70,81,31,0,0,0,0,['6:56 RNGXiaohu(机械公敌) 击杀了 V5Ben4(虚空遁地兽)']
85,72,69,78,72,76,74,74,78,78,72,79,79,70,65,81,78,78,77,81,43,0,0,0,0,['7:3 V5Aliez(青钢影) 击杀了 RNGUzi(探险家)']
86,82,79,77,86,77,76,74,78,81,82,87,74,95,4,88,73,79,81,86,53,0,0,0,0,['7:8 RNGXiaohu(机械公敌) 击杀了 V5y4(圣枪游侠)']
87,88,79,66,83,74,67,74,78,89,81,88,68,79,10,82,66,79,81,84,64,0,0,0,0,[]
88,86,80,56,82,68,64,7,94,88,82,89,72,69,18,88,67,79,81,83,69,0,0,0,0,[]
89,78,85,55,84,56,57,19,93,84,88,89,74,58,23,85,65,94,8,88,71,0,0,0,0,[]
90,76,86,56,82,50,50,29,93,76,86,88,77,43,19,95,4,92,21,85,78,0,0,0,0,[]
91,2,96,55,83,48,50,40,92,3,96,87,67,44,15,92,9,91,32,88,77,0,0,0,0,[]
92,5,91,55,83,46,52,52,90,14,95,87,67,45,15,83,18,91,43,89,82,0,0,0,0,[]
93,6,77,6,95,46,52,63,89,24,94,91,4,45,16,70,31,89,54,88,79,0,0,0,0,[]
94,7,63,18,88,3,96,74,87,35,93,88,5,48,20,60,39,88,65,81,77,0,0,0,0,[]
