,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
82,74,61,75,60,37,75,76,61,75,59,95,4,72,63,69,61,76,54,74,59,0,0,0,0,[]
83,72,65,79,66,48,67,74,62,72,65,75,65,71,65,68,63,76,55,74,59,0,0,0,0,[]
84,73,67,78,66,60,63,76,62,69,63,70,65,67,67,72,63,76,58,74,59,0,0,0,0,[]
85,73,67,75,59,68,64,76,60,66,62,67,61,75,66,74,57,75,54,92,10,0,0,0,0,[]
86,73,67,77,51,73,62,79,56,66,62,64,53,77,56,74,56,80,52,87,20,0,0,0,0,[]
87,3,95,75,49,79,50,80,56,66,62,57,45,80,48,74,56,84,51,81,31,0,0,0,0,[]
88,5,83,75,49,70,48,80,56,5,96,57,41,80,45,74,56,91,47,80,42,0,0,0,0,[]
89,6,72,75,49,57,50,80,56,17,94,56,35,80,45,93,8,93,57,78,51,0,0,0,0,[]
90,8,59,5,95,49,51,14,95,28,93,95,4,80,45,88,15,91,68,76,59,0,0,0,0,[]
91,9,47,14,86,51,51,25,94,40,92,91,5,87,9,79,23,87,78,75,65,0,0,0,0,[]
92,10,36,26,88,55,56,36,93,52,91,84,5,76,15,70,33,85,82,79,76,0,0,0,0,[]
93,12,24,37,89,57,56,47,91,64,89,72,6,65,21,61,40,84,83,83,83,0,0,0,0,[]
94,16,15,49,88,57,56,58,90,74,89,59,7,51,23,54,46,87,83,80,81,0,0,0,0,[]
95,17,15,55,83,4,93,70,89,70,90,47,7,47,26,44,50,88,82,76,72,0,0,0,0,[]
96,19,24,54,83,10,84,78,86,81,86,35,8,48,26,51,49,95,4,68,64,0,0,0,0,[]
97,25,33,56,82,19,76,86,79,87,78,24,9,45,16,51,48,94,10,63,61,0,0,0,0,[]
98,25,35,50,78,28,67,87,80,82,78,24,9,43,17,51,48,94,19,69,62,0,0,0,0,[]
99,23,26,51,75,37,60,83,78,74,69,24,10,44,15,50,42,93,30,79,64,0,0,0,0,[]
100,19,18,50,74,48,52,77,71,70,65,25,10,45,16,53,42,92,41,88,67,0,0,0,0,[]
101,21,13,54,76,58,58,75,64,76,61,25,10,48,18,57,48,91,52,91,70,0,0,0,0,[]
102,17,15,57,67,62,62,74,62,75,60,23,12,52,30,61,52,91,63,91,72,0,0,0,0,[]
103,12,18,63,61,54,57,75,71,77,69,18,15,53,35,52,47,88,74,88,76,0,0,0,0,[]
104,13,17,73,55,49,53,80,81,81,80,20,13,54,32,53,46,87,80,89,81,0,0,0,0,[]
105,12,17,73,57,50,53,80,84,83,87,19,14,65,39,55,45,87,82,87,83,0,0,0,0,[]
106,10,20,74,58,59,58,81,82,87,82,13,16,75,44,55,44,88,80,90,80,0,0,0,0,[]
107,9,24,76,56,73,63,88,80,89,82,17,21,78,53,59,48,89,78,88,77,0,0,0,0,[]
108,11,25,70,64,77,70,84,82,83,81,21,28,77,52,50,46,88,73,89,72,0,0,0,0,[]
109,9,25,59,63,65,64,86,81,86,81,23,36,82,56,50,48,91,73,92,72,0,0,0,0,[]
110,9,21,48,65,52,61,84,83,82,82,19,36,83,56,51,47,88,74,89,70,0,0,0,0,[]
111,12,18,45,64,46,54,87,84,80,82,17,22,84,65,63,52,87,77,90,77,0,0,0,0,[]
112,10,20,40,65,42,52,82,89,84,88,14,21,75,62,64,60,89,77,90,75,0,0,0,0,[]
113,10,21,31,58,32,46,82,90,84,88,14,18,62,61,60,57,89,74,87,71,0,0,0,0,[]
114,10,22,26,48,33,36,82,89,83,89,14,21,57,56,53,54,87,68,85,66,0,0,0,0,[]
115,11,21,26,48,29,45,85,84,84,88,15,18,53,65,50,53,87,76,79,66,0,0,0,0,[]
116,11,20,24,44,36,49,84,86,83,84,16,19,60,75,52,53,86,79,86,67,0,0,0,0,[]
117,11,20,24,44,38,56,80,88,76,87,15,19,69,80,57,64,85,82,85,78,0,0,0,0,[]
118,9,23,5,95,36,50,74,89,69,88,13,21,71,76,57,68,80,80,80,75,0,0,0,0,[]
119,9,23,15,87,31,41,75,90,74,90,18,22,74,65,64,58,83,87,80,82,0,0,0,0,[]
120,10,24,17,76,25,33,66,91,66,91,23,26,77,53,59,50,78,88,81,90,0,0,0,0,[]
121,13,21,19,64,25,34,63,92,64,93,26,16,74,43,51,49,76,88,78,88,0,0,0,0,[]
122,11,19,23,56,32,44,70,90,70,91,20,8,73,44,49,51,80,87,78,86,0,0,0,0,[]
123,13,16,25,52,39,52,74,91,72,90,14,10,73,44,56,50,81,80,78,81,0,0,0,0,[]
124,13,16,32,42,45,55,71,94,71,91,14,10,91,5,56,50,81,80,78,81,0,0,0,0,[]
125,15,16,30,33,42,46,72,93,67,92,14,12,80,7,93,9,94,6,92,8,0,0,0,0,[]
126,16,21,25,33,44,49,71,93,66,94,20,11,71,14,84,17,93,18,92,12,0,0,0,0,[]
127,23,30,29,34,47,51,2,96,2,96,21,10,62,23,73,24,92,30,92,25,0,0,0,0,[]
128,26,33,31,37,38,43,8,87,10,85,21,11,50,22,65,33,91,43,91,37,0,0,0,0,[]
129,27,34,29,36,33,38,19,81,20,75,21,10,39,25,57,41,89,55,89,50,0,0,0,0,[]
130,24,31,28,36,31,37,29,73,32,66,21,12,42,33,56,33,85,65,87,55,0,0,0,0,[]
