,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
203,15,15,59,83,55,67,14,89,13,87,57,7,75,49,91,49,47,50,47,52,0,1,0,0,[]
204,4,88,59,83,58,70,22,81,20,77,44,8,66,55,92,53,47,51,49,53,0,1,0,0,[]
205,6,76,5,95,58,69,30,71,29,71,29,9,61,62,89,64,52,56,49,58,0,1,0,0,[]
206,8,64,18,88,66,79,38,61,38,62,20,12,60,62,88,74,57,58,60,61,0,1,0,0,[]
207,8,51,26,78,74,86,41,57,42,56,26,16,68,66,85,77,49,52,55,56,0,1,0,0,[]
208,10,39,34,68,78,89,42,58,43,58,25,23,65,64,75,72,52,49,52,50,0,1,0,0,[]
209,7,30,38,63,76,90,41,58,42,57,30,36,53,58,64,64,50,48,48,49,0,1,0,0,[]
210,8,25,37,60,68,88,37,60,41,61,32,46,52,62,54,58,45,49,47,52,0,1,0,0,[]
211,18,23,38,58,55,84,37,61,40,59,32,53,46,57,47,54,44,49,46,54,0,1,0,0,[]
212,26,32,37,61,46,73,36,66,39,60,37,62,41,59,42,58,40,55,41,61,0,1,0,0,[]
213,34,42,33,65,38,63,39,61,36,60,37,62,47,54,49,58,42,55,44,58,0,1,0,0,"['17:41 WExiye(元素女皇) 击杀了 BLGXinMo(弗雷尔卓德之心)', '17:45 BLGJinjiao(惩戒之箭) 击杀了 WEPoss(狂暴之心)']"
214,47,49,40,59,45,56,44,57,36,60,36,62,51,47,55,54,52,52,51,51,0,1,0,0,[]
215,53,47,46,50,48,54,47,51,36,60,36,62,50,46,54,50,54,49,54,46,0,1,0,0,[]
216,52,46,44,47,46,51,45,49,36,60,36,62,47,47,45,49,53,49,58,45,0,1,0,0,[]
217,48,40,44,45,44,47,45,50,36,60,36,62,44,44,45,48,49,46,52,46,0,1,0,0,"['18:1 BLGMeteor(狂战士) 击杀了 WExiye(元素女皇)', '18:1 WExiye(元素女皇) 击杀了 BLGJinjiao(惩戒之箭)', '18:4 WEbeishang(凛冬之怒) 击杀了 BLGMeteor(狂战士)', '18:5 WEMystic(寒冰射手) 击杀了 BLGADD(铁铠冥魂)']"
218,48,40,44,45,46,46,45,50,36,60,36,62,45,44,45,48,44,47,50,45,0,1,0,0,[]
219,48,40,44,45,48,46,45,50,7,90,36,62,46,51,45,48,42,53,49,50,0,1,0,0,['18:12 WEbeishang(凛冬之怒) 击杀了 BLGKuro(机械公敌)']
220,48,40,44,45,48,46,45,50,17,82,36,62,40,57,45,48,40,58,40,56,0,1,0,1,['18:20 WEbeishang(凛冬之怒) 击破了防御塔']
221,48,40,44,45,48,46,45,50,27,74,95,4,46,64,45,48,38,58,40,60,0,1,0,1,[]
222,48,40,44,45,48,46,45,50,37,67,79,5,47,64,45,48,45,55,50,55,0,1,0,1,[]
223,48,40,44,45,48,46,4,96,38,63,63,7,57,63,45,48,51,50,51,56,0,1,0,1,[]
224,48,40,44,45,48,46,14,89,41,66,50,9,69,63,92,11,51,50,95,4,0,1,0,1,[]
225,6,95,7,94,48,46,21,80,42,66,34,10,70,64,88,26,91,7,95,4,0,1,0,1,[]
226,16,88,16,89,48,46,29,71,45,66,20,12,70,64,89,40,91,6,90,12,0,1,0,1,[]
227,27,82,29,83,10,93,34,66,48,65,16,17,90,13,89,54,83,16,81,22,0,1,0,1,[]
228,37,74,39,75,22,87,41,61,49,58,11,24,84,24,89,68,76,27,75,27,0,1,0,1,[]
229,47,67,51,68,33,78,44,57,49,53,13,23,79,35,87,67,69,40,70,41,0,1,0,1,[]
230,56,62,57,66,43,70,54,56,59,56,15,22,80,47,87,72,58,45,58,45,0,1,0,1,[]
231,66,66,67,65,55,64,64,62,66,58,8,26,68,50,88,71,55,47,61,52,0,1,0,1,[]
232,67,68,65,71,66,62,67,66,66,61,8,26,66,56,79,67,62,51,55,50,0,1,0,1,[]
233,67,65,66,65,70,67,64,64,64,63,8,26,62,58,76,74,67,56,61,59,0,1,0,1,['19:24 BLG 击杀了土龙']
234,59,57,56,62,59,62,58,60,59,58,8,27,57,55,67,66,59,51,54,57,0,1,0,1,[]
235,57,67,50,65,56,67,53,67,53,65,57,62,54,62,61,64,55,58,56,61,0,1,0,2,['19:31 WE 击破了防御塔']
236,55,62,57,60,58,61,55,63,56,62,57,64,61,59,61,63,58,58,60,59,0,1,0,2,['19:37 BLGKuro(机械公敌) 击杀了 WEPoss(狂暴之心)']
237,60,60,56,59,62,62,56,63,58,67,57,64,66,64,54,65,64,58,63,61,0,1,0,2,"['19:45 BLGJinjiao(惩戒之箭) 击杀了 WExiye(元素女皇)', '19:45 WExiye(元素女皇) 击杀了 BLGXinMo(弗雷尔卓德之心)']"
