,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
82,12,17,51,74,39,55,79,85,8,95,19,11,60,36,93,5,80,76,86,76,0,0,0,0,[]
83,14,16,54,76,48,59,80,86,14,94,17,10,52,35,84,13,87,78,86,75,0,0,0,0,[]
84,12,17,54,76,47,55,82,85,26,93,17,13,53,33,77,24,89,76,86,76,0,0,0,0,[]
85,15,16,57,69,46,54,80,87,38,92,17,11,53,31,68,33,89,77,85,77,0,0,0,0,[]
86,8,17,47,64,49,51,80,86,50,91,17,13,51,27,60,43,88,77,85,77,0,0,0,0,[]
87,12,16,45,51,48,51,80,86,62,90,15,12,53,29,53,46,88,77,85,78,0,0,0,0,[]
88,12,13,43,43,41,45,80,87,71,85,18,12,58,33,59,42,85,79,85,79,0,0,0,0,[]
89,14,13,33,36,31,38,84,85,80,85,21,10,56,32,56,41,85,78,85,78,0,0,0,0,[]
90,16,13,22,39,31,40,83,82,81,81,25,8,65,40,57,45,89,78,89,78,0,0,0,0,[]
91,20,12,15,42,39,50,82,82,80,78,26,8,66,51,51,45,88,79,88,79,0,0,0,0,[]
92,21,10,15,42,47,49,82,84,80,83,27,10,65,62,55,46,83,78,86,78,0,0,0,0,[]
93,21,11,25,37,46,51,79,87,80,86,24,11,62,70,55,52,82,80,82,80,0,0,0,0,[]
94,24,12,37,42,44,54,77,87,78,88,28,8,68,67,55,58,82,81,82,81,0,0,0,0,[]
95,24,11,42,44,47,49,74,88,71,86,28,8,69,67,57,64,82,82,82,82,0,0,0,0,[]
96,21,12,41,55,46,50,71,90,64,88,25,8,69,67,64,64,75,73,74,77,0,0,0,0,[]
97,21,12,46,64,48,53,72,90,71,87,25,9,69,67,56,54,73,74,72,77,0,0,0,0,[]
98,18,13,57,68,46,52,73,91,72,88,32,10,68,67,53,49,69,65,72,70,0,0,0,0,[]
99,18,12,51,62,46,50,75,91,73,88,30,9,69,61,52,49,75,70,75,70,0,0,0,0,['8:11 TES »÷É±ÁË»ðÁú']
100,24,12,47,54,51,47,76,91,72,89,25,9,67,53,55,49,78,81,78,81,0,0,0,0,[]
101,25,10,44,45,48,46,73,90,72,89,26,7,75,44,61,50,80,86,80,86,0,0,0,0,[]
102,24,10,44,35,45,50,74,89,73,91,28,8,75,44,53,49,79,87,80,88,0,0,0,0,[]
103,23,12,42,33,46,50,75,88,74,91,31,7,77,50,53,49,81,87,81,87,0,0,0,0,[]
104,24,12,33,38,48,47,79,89,78,88,95,4,77,54,56,49,82,83,82,83,0,0,0,0,[]
