,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
134,79,85,59,62,42,58,26,78,31,54,87,80,95,4,57,39,15,15,22,14,0,0,0,0,[]
135,79,85,60,72,42,58,33,69,39,65,88,83,92,12,57,38,11,20,17,21,0,0,0,0,[]
136,79,87,57,67,2,96,40,61,53,65,88,84,86,22,93,6,8,26,17,23,0,0,0,0,[]
137,82,84,64,58,6,82,47,52,63,59,86,77,81,34,82,18,8,27,24,29,0,0,0,0,[]
138,82,83,66,57,8,70,48,51,65,56,85,78,71,34,74,27,9,27,31,34,0,0,0,0,[]
139,76,87,54,53,8,57,54,52,55,54,82,81,58,33,66,35,10,22,31,36,0,0,0,0,[]
140,66,84,56,48,8,45,57,48,56,47,86,81,48,35,59,39,11,19,30,33,0,0,0,0,[]
141,56,81,58,55,13,35,59,56,54,55,85,82,49,34,58,41,11,20,25,28,0,0,0,0,[]
142,53,86,65,64,8,30,54,53,62,62,84,83,41,36,48,40,11,24,26,31,0,0,0,0,[]
143,57,89,66,68,6,32,52,50,55,55,87,85,31,34,49,43,9,27,27,33,0,0,0,0,[]
144,69,91,65,70,5,37,49,52,56,57,87,85,29,34,51,44,10,28,27,31,0,0,0,0,[]
145,73,89,64,71,8,26,57,59,66,66,95,9,29,33,49,47,12,23,27,33,0,0,0,0,[]
146,80,87,66,70,12,22,66,65,68,68,93,23,30,33,49,44,18,19,25,32,0,0,0,0,[]
147,82,86,67,70,8,23,65,65,68,67,91,35,29,35,43,43,15,20,27,35,0,0,0,0,[]
148,82,86,68,65,7,30,56,58,72,63,89,47,34,39,40,42,11,24,23,42,0,0,0,0,[]
149,6,94,62,63,6,41,52,55,59,59,89,59,28,37,48,49,10,22,24,50,0,0,0,0,[]
150,10,93,62,63,9,46,47,53,54,58,89,72,23,36,50,44,10,22,21,47,0,0,0,0,[]
151,24,90,6,87,10,39,42,59,54,58,80,83,20,38,49,47,11,22,19,37,0,0,0,0,[]
152,37,90,12,76,7,39,42,60,6,84,79,84,22,40,40,41,11,25,16,33,0,0,0,0,[]
153,50,91,19,67,7,46,2,96,16,75,73,89,24,44,28,38,8,27,16,41,0,0,0,0,[]
154,62,92,30,63,5,44,5,95,29,69,75,90,23,42,24,39,9,27,18,44,0,0,0,1,[]
155,72,89,27,59,6,40,40,57,32,57,78,80,18,44,38,39,8,34,23,43,0,0,0,1,[]
156,63,87,28,59,6,45,48,54,31,54,67,79,24,39,47,45,11,29,24,37,0,0,0,1,[]
157,55,83,31,57,6,41,49,55,34,47,56,76,36,37,50,48,13,22,24,37,0,0,0,1,[]
158,53,85,37,61,7,40,44,50,35,40,65,78,46,33,53,47,13,22,93,5,0,0,0,1,[]
159,53,87,43,69,6,35,42,45,38,37,76,80,49,26,59,45,93,5,87,8,0,0,0,1,[]
160,56,84,52,76,7,34,45,51,27,34,83,82,50,26,57,45,91,6,78,16,0,0,0,1,[]
161,62,88,52,76,5,34,46,52,29,37,83,85,47,24,54,47,83,8,67,18,0,0,0,1,[]
162,74,89,50,74,9,30,45,50,42,44,81,87,41,16,54,49,68,10,58,27,0,0,0,1,[]
163,71,89,49,74,14,19,47,56,36,40,77,89,41,17,55,47,56,9,50,26,0,0,0,1,[]
164,68,92,47,66,12,18,51,62,30,40,76,87,43,16,61,41,41,10,38,23,0,0,0,1,[]
165,72,89,46,65,13,16,46,51,30,40,87,82,43,16,61,41,28,12,28,17,0,0,0,1,[]
166,72,90,39,65,8,17,44,44,30,40,88,83,43,16,94,8,22,11,22,13,0,0,0,1,[]
167,67,90,40,56,8,17,50,48,6,94,88,83,95,5,81,19,20,11,29,18,0,0,0,1,[]
168,67,90,50,60,6,90,48,49,19,85,94,16,92,15,72,28,12,17,24,25,0,0,0,1,[]
169,75,88,62,62,9,76,54,55,29,74,93,30,83,23,63,37,14,18,33,22,0,0,0,1,[]
