,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
93,44,54,15,94,23,26,2,96,42,57,23,11,55,32,57,44,88,73,89,75,0,0,0,0,[]
94,2,96,26,89,20,16,11,95,2,96,22,10,52,26,57,45,90,78,88,78,0,0,0,0,[]
95,13,90,38,88,18,15,22,95,8,95,21,11,52,27,52,49,87,77,86,77,0,0,0,0,[]
96,22,80,46,79,16,13,32,94,20,88,23,11,53,28,47,51,87,76,86,75,0,0,0,0,[]
97,29,70,48,74,18,15,43,93,32,80,21,11,52,26,50,49,87,76,87,74,0,0,0,0,[]
98,37,60,47,72,17,16,54,92,42,70,18,10,42,19,51,48,95,4,81,77,0,0,0,0,[]
99,42,54,54,77,15,18,65,91,53,76,17,13,40,16,95,4,78,87,79,74,0,0,0,0,[]
100,51,59,60,77,10,19,70,90,65,79,16,15,40,15,89,8,79,89,83,81,0,0,0,0,[]
101,51,65,70,78,12,18,72,90,72,87,16,14,38,14,80,15,79,89,81,87,0,0,0,0,[]
102,50,66,70,79,13,18,73,90,71,76,19,15,37,15,72,24,80,85,84,83,0,0,0,0,[]
103,48,57,81,79,7,19,77,88,80,79,19,19,37,15,65,34,86,80,89,77,0,0,0,0,[]
104,47,51,82,78,11,17,84,81,83,79,16,17,91,13,58,43,88,73,88,73,0,0,0,0,[]
105,44,52,78,74,7,20,82,80,81,78,9,22,82,20,46,52,89,74,88,72,0,0,0,0,[]
106,42,56,74,63,5,31,78,72,75,66,8,24,72,26,50,52,90,72,84,64,0,0,0,0,[]
107,42,54,74,62,5,31,71,64,78,61,13,18,66,39,56,48,90,72,93,70,0,0,0,0,[]
108,49,58,62,62,5,31,66,59,65,60,8,28,66,50,59,50,88,72,88,70,0,0,0,0,[]
109,45,53,51,59,8,29,71,68,58,57,9,25,63,41,57,46,84,78,86,75,0,0,0,0,[]
110,47,52,44,49,8,29,77,74,60,60,10,25,69,41,54,46,81,82,83,83,0,0,0,0,[]
111,46,48,36,41,8,29,72,77,71,69,10,27,74,44,56,46,80,83,79,80,0,0,0,0,[]
112,35,41,29,37,8,29,71,87,70,79,8,23,77,49,50,51,78,84,81,78,0,0,0,0,[]
113,37,49,26,36,3,94,70,91,70,90,12,13,76,60,55,56,78,83,78,73,0,0,0,0,[]
114,42,55,23,45,4,80,70,89,74,90,12,13,75,62,51,52,75,75,70,67,0,0,0,0,[]
115,40,52,21,50,5,69,63,86,69,88,95,4,65,69,48,51,68,65,68,67,0,0,0,0,[]
116,41,53,31,57,6,54,68,80,67,82,88,4,65,69,43,53,64,64,69,68,0,0,0,0,[]
117,40,54,40,65,8,43,71,77,73,74,77,5,65,68,56,49,69,66,67,68,0,0,0,0,[]
118,43,54,51,65,10,29,74,72,74,71,66,7,65,68,59,49,71,65,71,65,0,0,0,0,[]
119,52,65,52,65,11,20,74,70,70,67,55,8,68,66,66,58,73,63,74,64,0,0,0,0,[]
120,64,62,66,60,11,21,71,65,72,67,44,9,64,71,65,60,73,63,73,63,0,0,0,0,[]
