,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, , , ,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
138,60,84,20,37,76,92,72,89,47,53,78,84,27,13,50,41,51,49,77,87,0,0,0,0,[]
139,70,84,21,29,77,88,73,88,46,52,78,85,26,25,41,38,54,52,79,83,0,0,0,0,[]
140,78,83,17,20,81,81,81,85,47,55,84,78,26,17,44,49,50,53,77,71,0,0,0,0,[]
141,82,82,15,17,86,75,84,80,40,58,87,70,21,13,46,55,49,54,75,60,0,0,0,0,[]
142,79,71,20,23,85,78,80,78,35,63,83,68,21,12,40,58,43,56,80,51,0,0,0,0,[]
143,89,61,23,23,87,75,84,78,40,56,91,59,28,10,50,61,51,52,89,54,0,0,0,0,[]
144,90,69,25,15,90,74,82,78,49,55,90,52,27,9,62,62,64,53,89,48,0,0,0,0,['11:57 V5Ben4(暗裔剑魔) 击杀了 RWZWuJi(惩戒之箭)']
145,91,70,20,13,89,73,85,79,50,54,90,52,29,9,73,63,64,53,89,48,0,0,0,0,[]
146,91,71,19,12,91,72,89,82,49,49,90,52,25,10,78,63,57,50,95,4,0,0,0,0,[]
147,88,70,23,10,90,74,85,80,52,47,90,52,29,9,87,67,58,45,92,10,0,0,0,0,[]
148,91,68,22,12,89,70,88,73,57,43,95,5,29,6,93,67,61,41,92,23,0,0,0,0,[]
149,85,77,21,9,82,81,84,79,67,42,90,68,19,11,92,68,60,42,91,36,0,0,0,0,[]
150,72,77,6,26,83,89,80,87,52,45,90,70,12,21,83,61,59,41,89,49,0,0,0,0,[]
151,72,78,5,33,85,87,83,89,51,46,87,70,10,25,83,56,62,38,88,65,0,0,0,0,[]
152,82,80,5,33,84,84,85,87,51,47,86,76,19,24,83,56,68,35,89,77,0,0,0,0,[]
153,75,87,5,28,79,88,79,89,46,52,83,81,17,23,76,56,61,41,86,83,0,0,0,0,[]
154,62,83,5,32,68,91,67,91,49,49,80,85,9,18,69,63,61,43,79,84,0,0,0,0,[]
155,53,77,5,32,65,93,60,91,42,54,74,87,7,19,58,63,65,41,68,84,0,0,0,0,[]
156,57,78,2,96,65,94,63,89,42,55,75,87,7,19,57,72,65,41,62,77,0,0,0,0,[]
157,63,86,80,77,74,88,76,86,51,62,81,81,10,21,57,71,92,8,61,74,0,0,0,0,[]
158,71,84,83,79,79,86,78,82,45,68,82,81,12,22,58,63,92,8,57,65,0,0,0,0,['13:8 V5Mole(符文法师) 击杀了 RWZWuJi(惩戒之箭)']
159,73,73,82,78,84,81,75,74,44,68,82,81,10,25,59,59,86,15,61,60,0,0,0,0,[]
160,67,68,72,69,89,73,75,62,2,96,82,81,7,28,48,51,77,24,52,52,0,0,0,0,[]
161,67,70,66,66,88,70,76,62,6,85,82,81,6,28,50,47,67,33,45,49,0,0,0,0,[]
162,64,71,56,58,89,72,66,64,9,69,82,81,7,28,43,39,58,41,35,41,0,0,0,0,[]
163,63,70,49,53,91,74,55,57,10,57,82,81,7,29,32,36,52,46,28,35,0,0,0,0,[]
164,60,74,42,51,89,77,43,52,15,49,93,14,5,29,26,35,51,43,27,35,0,0,0,0,['13:37 V5 击杀了水龙']
165,57,69,32,45,91,74,32,46,23,40,88,24,8,30,27,33,52,43,30,34,0,0,0,0,[]
166,54,64,28,38,91,76,28,37,19,35,76,28,10,32,25,29,43,37,23,28,0,1,0,0,"['13:47 V5y4(寒冰射手) 击破了防御塔,获得一塔']"
167,46,55,39,44,91,76,30,38,11,31,64,34,16,22,27,32,41,35,23,29,0,1,0,0,[]
168,41,51,46,50,3,92,33,42,10,30,54,41,25,30,24,31,47,41,24,29,0,1,0,0,[]
169,32,44,40,50,4,90,34,39,18,34,51,44,27,32,26,33,41,33,24,30,0,1,0,0,[]
170,27,33,32,43,10,81,24,36,23,35,47,39,26,30,24,29,35,24,21,28,0,1,0,0,[]
171,29,35,31,35,15,70,27,35,20,29,40,29,29,23,20,20,28,23,24,22,0,1,0,0,[]
172,30,34,40,44,26,66,37,38,15,19,41,25,29,21,25,13,39,23,27,13,0,1,0,0,[]
173,30,34,43,45,36,60,41,35,19,13,37,23,29,21,36,13,50,25,25,13,0,1,0,0,[]
174,23,32,38,43,46,53,34,37,20,15,28,15,93,8,43,16,59,36,25,12,0,1,0,0,[]
175,19,33,35,39,47,48,34,38,20,19,27,11,93,21,46,15,54,46,28,12,0,1,0,0,[]
176,15,39,35,39,46,50,30,35,17,12,28,17,93,34,46,15,56,46,28,17,0,1,0,0,[]
177,15,43,6,95,38,50,29,35,14,14,24,11,92,47,47,22,56,44,22,9,0,1,0,0,[]
178,18,46,18,94,32,41,28,34,12,24,23,9,91,60,49,26,58,35,21,9,0,1,0,0,[]
179,23,55,31,93,21,38,21,38,13,35,22,10,90,71,52,28,58,34,25,6,0,1,0,0,[]
180,27,59,43,91,12,34,21,38,18,46,31,11,91,69,51,34,53,46,25,6,0,1,0,0,[]
181,33,63,54,86,8,24,2,96,27,51,31,11,88,75,53,33,49,50,90,6,0,1,0,0,[]
182,44,67,58,84,10,22,4,93,39,54,30,11,83,84,57,33,57,47,79,6,0,1,0,0,[]
183,45,66,62,86,10,22,8,84,42,54,22,13,76,78,57,33,57,47,66,7,0,1,0,0,[]
184,46,73,68,90,10,22,10,71,51,49,21,14,77,77,91,7,93,7,53,8,0,1,0,0,[]
185,46,73,74,88,9,22,8,58,48,50,21,13,74,71,90,7,89,14,40,10,0,1,0,0,[]
