,LNGFlandre, ,LNGSofM, ,LNGFenfen, ,LNGAsura, ,LNGDuan, ,VGChelizi, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
144,17,16,50,66,52,48,55,91,8,94,74,88,43,14,27,7,52,34,49,33,0,0,0,0,[]
145,16,16,57,69,51,47,68,91,20,87,74,89,93,6,28,6,58,38,50,32,0,0,0,0,[]
146,17,15,70,65,57,47,71,90,35,88,83,83,83,7,35,8,57,41,59,36,0,0,0,0,[]
147,14,18,68,68,56,59,73,92,46,81,89,82,71,7,27,9,55,45,53,48,0,0,0,0,[]
148,14,18,68,69,50,61,72,92,60,77,88,83,68,16,24,10,58,47,59,44,0,0,0,0,[]
149,3,90,70,68,49,52,78,84,73,76,88,83,60,25,95,4,58,46,59,44,0,0,0,0,[]
150,5,78,75,63,49,52,81,78,75,63,92,4,59,36,92,9,95,5,95,7,0,0,0,0,[]
151,6,67,79,63,48,55,83,78,79,64,80,5,53,45,82,20,95,17,93,18,0,0,0,0,[]
152,7,53,83,60,52,60,83,78,84,61,65,7,49,41,73,27,94,30,93,33,0,0,0,0,[]
153,9,42,83,61,3,96,84,78,83,65,53,8,49,32,62,36,93,45,93,45,0,0,0,0,[]
154,11,31,83,63,11,90,89,73,84,65,41,10,48,27,53,44,93,58,93,58,0,0,0,0,[]
155,13,19,92,61,17,80,90,67,93,61,29,12,52,28,50,49,94,60,94,60,0,0,0,0,[]
156,15,18,90,59,25,72,92,61,92,59,18,13,48,34,50,49,93,57,90,49,0,0,0,0,[]
157,15,18,80,66,34,65,88,65,86,64,17,13,50,44,48,53,93,57,78,50,0,0,0,0,[]
158,15,16,70,63,40,60,79,65,78,65,22,13,41,56,44,54,93,57,68,50,0,0,0,0,[]
159,15,16,57,60,43,56,89,69,62,60,22,11,50,45,50,47,93,57,60,50,0,0,0,0,[]
160,17,17,48,62,42,58,93,73,57,57,21,12,53,34,59,47,93,57,58,49,0,0,0,0,[]
161,18,14,38,65,49,51,93,73,53,63,28,9,59,35,56,48,93,57,63,51,0,0,0,0,[]
