,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
83,7,31,83,80,50,59,85,84,87,83,23,28,64,78,60,60,86,78,87,84,0,0,0,0,[]
84,7,30,80,86,53,64,81,84,88,84,24,31,55,76,60,62,87,77,86,86,0,0,0,0,"['6:56 BLGJinjiao(逆羽) 击杀了 LNGDuan(深海泰坦),获得一血']"
85,8,26,69,88,47,55,86,82,87,81,16,20,52,76,52,53,87,75,86,86,0,0,0,0,[]
86,8,25,59,84,45,55,85,84,85,82,12,18,51,73,49,52,87,74,94,7,0,0,0,0,[]
87,9,22,54,83,45,54,84,82,86,81,12,18,57,64,49,50,89,75,93,18,0,0,0,0,[]
88,8,23,50,81,44,54,81,80,90,79,10,23,69,62,49,51,92,73,91,32,0,0,0,0,[]
89,7,29,47,73,42,54,81,80,87,85,16,22,66,65,48,51,92,71,90,43,0,0,0,0,[]
90,11,33,56,74,45,54,8,95,2,96,24,31,68,65,46,54,89,75,89,55,0,0,0,0,[]
91,16,34,58,70,43,54,19,94,9,95,26,35,67,66,46,52,80,76,87,66,0,0,0,0,[]
92,15,34,57,67,46,53,30,93,21,89,18,23,68,67,51,51,76,72,85,77,0,0,0,0,[]
93,17,34,60,63,53,57,40,91,30,81,15,16,68,67,57,50,71,67,76,72,0,0,0,0,[]
94,11,29,59,63,60,60,51,89,40,71,18,22,68,68,66,55,67,64,69,67,0,0,0,0,[]
95,7,29,48,59,51,56,61,88,51,68,23,29,74,62,63,52,72,63,75,67,0,0,0,0,['7:51 LNG 击杀了水龙']
96,6,27,39,53,48,50,72,87,61,73,24,42,74,62,53,49,72,63,65,61,0,0,0,0,[]
97,11,33,29,50,46,50,81,86,71,78,29,45,91,4,51,49,93,10,57,63,0,0,0,0,[]
98,20,36,22,48,40,44,83,85,80,79,33,43,79,6,48,51,92,21,57,68,0,0,0,0,[]
