,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
128,20,14,79,56,49,58,87,81,78,72,59,7,39,38,47,48,88,74,88,71,15601,0,16774,0,[]
129,23,24,76,57,45,54,85,80,82,78,47,8,41,37,47,48,89,78,88,74,15757,0,16867,0,[]
130,23,35,75,65,44,54,77,85,77,79,35,9,48,40,53,47,84,81,84,79,15849,0,16969,0,[]
131,22,31,79,74,49,59,79,83,79,74,25,7,57,46,59,51,88,79,89,79,15904,0,17125,0,[]
132,19,25,80,75,49,54,84,87,80,75,28,11,66,54,64,53,87,76,89,74,15997,0,17207,0,[]
133,14,21,73,75,47,51,80,87,72,77,25,13,67,62,66,55,78,77,81,78,16111,0,17258,0,[]
134,11,20,63,76,49,60,81,88,66,79,16,17,77,61,58,46,80,81,79,76,16162,0,17365,0,[]
135,10,19,61,65,57,67,78,87,60,72,12,14,79,51,56,42,82,82,85,81,16256,0,17524,0,[]
136,9,23,62,60,56,58,78,87,67,78,12,18,75,44,55,43,82,81,83,79,16312,0,17672,0,[]
137,9,22,59,69,57,67,77,86,70,79,12,17,76,46,51,45,79,74,79,73,16398,0,17838,0,[]
138,8,25,67,78,63,76,78,85,72,77,10,24,68,52,56,49,69,68,73,64,16463,0,17889,0,[]
139,8,27,69,78,66,77,82,82,79,74,11,20,63,62,52,53,73,65,74,63,16514,0,18008,0,[]
140,8,25,57,77,56,76,80,84,75,76,11,20,58,63,48,53,80,65,64,57,16670,0,18242,0,[]
141,5,25,54,83,46,79,84,85,69,78,11,22,50,67,48,53,87,69,56,66,16898,0,18447,0,[]
142,10,23,56,83,33,74,85,87,68,79,19,26,44,68,57,60,88,78,57,68,17192,0,18622,0,[]
143,9,28,57,75,36,64,85,87,68,79,23,30,47,65,56,59,86,77,55,63,17257,0,18859,0,[]
144,11,32,47,79,43,53,7,96,6,96,23,38,48,65,54,58,80,76,64,63,17347,0,18906,0,[]
145,11,32,35,75,41,54,16,94,18,94,29,38,57,65,53,58,82,83,74,70,17461,0,19034,0,[]
146,5,89,32,63,37,50,27,93,29,91,32,44,56,59,47,54,82,83,80,79,17519,0,19229,0,[]
147,13,77,42,67,38,51,38,92,35,81,26,30,57,68,56,60,75,78,73,77,17576,0,19290,0,[]
148,21,72,46,73,39,65,51,89,41,78,19,21,57,74,56,68,62,77,61,76,17627,0,19362,0,[]
149,33,74,48,75,47,69,51,83,50,81,13,18,55,76,56,68,57,73,56,76,17678,0,19477,0,[]
150,41,75,50,77,44,68,52,84,50,81,10,26,57,67,52,61,57,64,55,67,17830,0,19570,0,[]
151,38,64,44,69,42,59,63,84,53,84,11,24,55,56,47,51,68,65,63,63,17906,0,19794,0,[]
152,27,57,34,61,44,55,73,86,65,83,7,28,53,44,56,50,77,73,74,69,18062,0,20005,0,[]
153,19,48,28,51,41,52,81,87,73,86,8,29,52,35,58,50,83,81,82,78,18134,0,20143,0,[]
154,15,37,26,48,30,52,80,85,80,88,7,28,52,35,95,4,82,80,89,82,18328,0,20438,0,[]
155,9,27,21,47,29,52,80,90,78,87,7,23,48,27,84,11,80,83,85,84,18464,0,20519,0,[]
156,15,21,16,44,36,58,83,90,79,86,15,15,47,26,76,20,84,82,88,83,18519,0,20575,0,[]
157,23,22,17,44,45,53,83,89,82,90,15,12,47,25,68,30,81,81,83,82,18740,0,20769,0,[]
158,15,20,22,41,47,53,78,84,85,89,13,16,44,16,59,40,85,82,88,82,18950,0,20904,0,[]
159,13,20,21,30,42,52,79,84,83,88,15,14,34,12,56,46,83,79,89,82,19071,0,21094,0,[]
160,16,15,18,17,32,45,80,87,80,91,16,13,24,11,57,42,85,81,88,82,19218,0,21167,0,[]
161,14,21,22,22,27,35,81,81,85,88,18,18,21,21,15,18,89,78,88,77,20293,0,21305,0,[]
162,19,17,19,19,21,24,81,78,86,87,19,18,20,19,19,17,90,76,89,75,20445,0,21836,0,"['13:27 JDGZoom(解脱者) 击杀了 EDGJiejie(德玛西亚皇子)', '13:29 JDGYagao(未来守护者) 击杀了 EDGJinoo(刀锋舞者)', '13:29 EDGScout(离群之刺) 击杀了 JDGFlawless(虚空遁地兽)']"
