,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEJiumeng, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
93,13,16,28,59,49,49,82,85,84,88,19,15,41,16,55,47,87,78,88,82,0,0,0,0,[]
94,18,14,5,96,46,53,82,85,87,86,20,9,35,13,51,44,87,77,89,81,0,0,0,0,[]
95,15,20,20,94,42,56,80,85,79,89,15,15,26,12,54,51,87,79,87,85,0,0,0,0,[]
96,12,19,31,91,43,53,79,87,71,83,16,16,23,13,50,49,84,78,85,78,0,0,0,0,[]
97,12,23,41,88,44,56,76,90,76,89,15,19,14,10,51,53,83,82,85,85,0,0,0,0,[]
98,9,23,47,79,43,54,78,86,79,85,13,19,10,13,49,50,84,85,84,83,0,0,0,0,[]
99,8,24,52,75,45,54,79,89,77,87,13,19,11,19,52,52,84,83,84,83,0,0,0,0,[]
100,7,29,55,76,45,55,79,89,77,87,17,22,18,23,50,49,84,83,84,81,0,0,0,0,[]
101,11,32,66,77,52,50,78,85,79,84,26,31,29,22,55,44,85,81,90,81,0,0,0,0,[]
102,18,33,72,77,47,53,79,77,80,78,36,40,38,27,50,49,88,78,87,82,0,0,0,0,[]
103,23,33,73,68,46,55,84,82,86,84,42,45,42,32,51,49,88,75,90,79,0,0,0,0,[]
104,18,24,74,61,46,54,84,85,83,87,42,45,48,34,50,50,87,79,90,81,0,0,0,0,[]
105,17,17,64,63,46,59,79,87,78,86,46,56,49,43,47,58,86,80,87,85,0,0,0,0,[]
106,16,14,53,65,46,59,80,86,80,89,42,44,55,54,48,58,88,84,87,85,0,0,0,0,[]
107,17,15,42,67,46,59,78,85,79,89,38,29,49,66,42,59,87,83,87,83,0,0,0,0,[]
108,17,15,39,63,46,59,78,86,68,89,30,19,40,65,41,65,87,82,84,86,0,0,0,0,[]
109,5,85,40,60,3,96,79,86,57,85,25,7,39,63,40,65,83,82,86,84,0,0,0,0,[]
110,6,74,47,59,15,90,72,88,50,78,22,10,48,67,40,65,83,81,86,86,0,0,0,0,[]
111,7,61,49,66,35,76,66,79,57,70,19,12,52,63,40,65,80,81,80,83,0,0,0,0,[]
112,9,50,48,65,47,67,60,71,56,60,21,11,56,58,40,65,80,81,74,73,0,0,0,0,[]
113,10,37,46,64,48,57,62,82,54,57,22,10,57,56,40,65,78,83,76,75,0,0,0,0,[]
114,11,26,47,73,49,50,67,90,53,55,22,10,57,56,95,4,72,89,77,85,0,0,0,0,[]
115,10,27,56,83,50,50,67,91,50,59,86,5,57,56,85,12,72,89,68,91,0,0,0,0,[]
116,9,27,65,88,58,56,62,91,57,69,73,6,93,10,79,22,66,88,64,90,0,0,0,0,[]
117,9,25,63,86,66,67,62,91,65,77,60,7,87,20,70,31,66,88,63,83,0,0,0,0,[]
118,11,25,65,83,69,82,62,91,69,84,47,11,81,31,61,39,66,88,68,83,0,0,0,0,[]
119,9,24,59,83,71,86,2,96,70,88,35,16,80,43,56,45,66,88,69,84,0,0,0,0,[]
120,11,23,57,83,79,84,11,91,66,90,24,23,77,54,50,48,94,10,69,84,0,0,0,0,[]
121,16,20,59,83,86,78,21,81,66,90,20,26,73,64,50,47,93,21,69,84,0,0,0,0,[]
122,14,19,54,83,86,78,28,73,5,94,20,23,70,67,50,51,92,32,69,84,0,0,0,0,[]
123,13,19,54,83,84,79,34,64,9,92,16,15,71,66,60,60,91,42,94,6,0,0,0,0,[]
124,11,19,3,95,77,86,39,58,20,86,16,17,75,66,66,57,90,53,88,17,0,0,0,0,[]
125,11,21,3,93,77,86,39,55,31,80,16,16,74,55,72,52,90,64,83,28,0,0,0,0,[]
126,10,27,5,87,4,93,38,56,40,72,13,19,76,54,75,52,89,69,81,40,0,0,0,0,[]
127,11,27,9,75,10,84,3,96,51,68,11,21,82,56,63,50,91,71,78,52,0,0,0,0,[]
128,10,27,10,63,19,74,17,95,58,70,10,21,80,54,49,50,89,74,74,60,0,0,0,0,[]
129,11,26,11,50,27,68,29,94,64,77,10,21,78,51,49,52,87,76,76,71,0,0,0,0,[]
130,8,28,15,43,36,61,41,92,73,85,17,19,73,44,46,51,87,74,79,75,0,0,0,0,[]
131,11,29,17,45,31,56,53,91,81,89,20,22,72,42,49,52,87,74,88,77,0,0,0,0,[]
132,19,34,23,48,28,50,65,89,88,83,11,17,61,36,47,52,88,74,90,78,0,0,0,0,[]
133,11,31,22,53,37,50,76,86,81,89,11,21,53,36,44,49,85,79,88,85,0,0,0,0,[]
134,10,25,26,59,40,57,74,87,71,84,11,19,53,33,45,54,83,79,86,85,0,0,0,0,[]
135,8,26,33,62,44,55,80,84,80,88,16,19,43,33,53,50,88,80,87,84,0,0,0,0,[]
136,9,29,43,69,51,62,81,85,83,86,22,31,38,37,50,42,88,79,85,78,0,0,0,0,[]
137,11,32,53,76,50,59,78,87,83,89,20,35,37,42,50,47,84,80,86,80,0,0,0,0,[]
138,8,28,65,77,47,54,80,85,82,84,18,21,38,38,49,49,85,78,88,81,0,0,0,0,[]
139,6,31,71,78,44,53,79,87,84,88,13,21,34,30,48,47,85,79,88,80,0,0,0,0,[]
140,8,24,71,81,49,53,80,84,81,85,14,20,33,28,51,46,88,80,88,84,0,0,0,0,[]
141,10,27,71,78,54,54,79,86,82,85,14,21,31,30,52,44,86,82,82,80,0,0,0,0,[]
142,8,30,75,75,62,62,80,81,82,85,24,29,34,30,45,40,89,79,87,78,0,0,0,0,[]
143,7,28,67,69,53,56,81,86,80,86,31,31,34,29,48,41,86,82,84,80,0,0,0,0,[]
144,7,31,65,71,48,53,72,83,72,82,25,29,34,31,48,48,84,80,83,80,0,0,0,0,[]
145,13,22,65,70,49,54,67,73,70,75,18,19,31,32,48,48,83,82,81,81,0,0,0,0,[]
146,11,20,66,66,49,52,68,69,70,79,16,15,31,34,50,46,81,81,79,76,0,0,0,0,[]
147,10,21,54,64,56,60,66,74,73,85,15,17,90,5,46,39,82,80,81,79,0,0,0,0,[]
148,9,23,48,66,48,54,70,84,72,90,16,13,78,12,43,38,82,79,82,81,0,0,0,0,[]
149,9,29,47,66,48,53,69,91,73,91,7,18,67,18,49,43,84,78,79,82,0,0,0,0,[]
150,8,32,50,59,47,55,71,90,71,92,7,19,57,23,49,47,94,7,87,85,0,0,0,0,[]
151,10,27,53,63,45,52,77,88,80,90,10,20,48,24,50,47,93,19,88,83,0,0,0,0,[]
152,9,21,56,75,48,52,82,83,86,84,15,17,45,23,46,41,92,30,90,81,0,0,0,0,[]
153,11,23,58,83,48,55,86,84,89,82,15,16,42,18,46,40,91,42,91,77,0,0,0,0,[]
154,10,23,56,84,48,56,90,75,87,81,17,11,41,18,93,4,90,54,93,70,0,0,0,0,[]
155,10,33,58,83,48,57,91,75,85,88,17,9,42,16,82,12,89,65,93,70,0,0,0,0,[]
156,10,29,59,83,49,52,84,83,85,87,94,4,40,17,73,22,87,73,91,75,0,0,0,0,[]
157,10,29,59,83,45,55,78,87,84,88,81,5,30,19,65,33,86,81,88,84,0,0,0,0,[]
158,11,24,8,95,40,58,79,87,80,89,67,7,25,29,58,42,84,81,88,82,0,0,0,0,[]
159,11,20,21,90,40,58,74,89,65,88,54,8,30,38,55,45,83,81,86,86,0,0,0,0,[]
160,12,16,33,87,8,86,74,88,65,88,41,9,28,36,47,52,80,83,84,86,0,0,0,0,[]
161,11,19,44,83,19,75,68,90,5,96,27,12,20,26,46,51,76,87,76,90,0,0,0,0,[]
162,9,28,57,84,30,67,68,93,18,95,18,12,19,24,44,51,74,91,73,88,0,0,0,0,[]
163,8,30,57,84,39,59,72,91,32,93,15,16,19,24,36,42,77,89,77,88,0,0,0,0,[]
164,5,43,51,73,40,55,72,90,45,91,14,19,16,21,26,33,80,85,80,82,0,0,0,0,[]
165,5,49,48,73,33,49,74,90,56,85,11,23,8,23,17,23,82,82,80,76,0,0,0,0,[]
166,5,49,41,67,44,52,71,87,68,80,7,27,6,28,18,22,86,80,80,76,0,0,0,0,[]
167,5,89,45,57,53,47,68,78,73,71,9,23,7,28,31,22,87,74,91,11,0,0,0,0,[]
168,6,74,55,47,55,47,60,73,69,61,7,28,7,29,45,27,87,70,83,20,0,0,0,0,[]
169,7,61,58,44,57,46,60,73,68,49,7,30,9,31,56,32,86,77,75,27,0,0,0,1,[]
170,10,47,58,48,55,47,2,96,66,50,18,34,19,35,56,43,83,81,62,43,0,0,0,1,[]
171,8,47,54,56,54,51,6,95,66,55,28,38,29,38,53,42,84,81,59,46,0,0,0,1,[]
172,7,46,57,59,53,55,71,90,65,56,38,43,41,45,49,49,78,75,60,51,0,0,0,1,[]
173,6,45,47,64,53,63,71,88,56,62,45,47,47,55,46,54,69,67,56,54,0,0,0,1,[]
174,10,47,42,67,40,60,65,79,46,65,45,54,45,56,46,55,70,68,58,58,0,0,0,1,[]
175,18,46,41,60,38,58,53,76,47,64,45,48,54,63,57,60,79,74,65,61,0,0,0,1,[]
176,11,33,28,58,39,57,63,77,47,72,37,41,56,67,54,57,84,81,65,71,0,0,0,1,[]
177,9,23,24,56,40,59,71,83,55,76,27,31,56,67,54,57,83,82,72,69,0,0,0,1,[]
178,11,32,18,46,38,49,76,88,55,76,27,19,95,7,91,7,83,83,80,78,0,0,0,1,[]
179,21,38,14,41,44,53,73,90,55,76,22,12,91,13,80,17,81,81,78,80,0,0,0,1,[]
180,21,30,19,35,48,50,70,92,14,92,22,12,85,24,69,29,78,81,78,79,0,0,0,1,[]
181,18,24,22,37,42,53,73,91,25,85,26,10,80,36,60,39,80,85,84,87,0,0,0,1,[]
182,15,18,24,32,42,53,74,90,36,77,29,8,74,44,55,45,81,85,82,89,0,0,0,1,[]
183,18,18,35,38,35,48,72,90,51,83,29,10,78,49,56,57,80,85,80,89,0,0,0,1,[]
184,24,13,41,45,40,51,70,89,63,87,28,10,76,60,56,65,76,87,77,89,0,0,0,1,[]
185,26,12,46,42,47,52,68,91,69,89,31,7,71,68,53,54,73,86,75,89,0,0,0,1,[]
186,25,12,46,42,47,51,64,90,64,93,33,6,60,62,53,51,74,87,74,86,0,0,0,1,[]
187,17,15,46,42,47,52,56,85,56,85,33,6,54,59,52,51,75,87,75,88,0,0,0,1,[]
188,16,15,46,42,55,50,51,85,49,81,89,4,56,60,60,51,74,87,71,87,0,0,0,1,[]
189,17,13,51,52,52,54,50,80,49,77,76,6,54,55,61,57,73,90,70,91,0,0,0,1,[]
190,19,16,45,54,44,53,47,72,42,67,54,61,49,55,49,59,73,90,68,80,0,0,0,1,[]
191,46,57,51,54,50,53,50,66,45,58,63,59,58,57,64,57,73,90,61,76,0,0,0,1,[]
192,52,50,55,56,50,49,51,53,51,52,66,48,68,54,67,43,72,88,71,76,0,0,0,2,[]
193,56,48,59,44,54,43,57,47,55,50,62,41,73,53,59,39,73,88,69,65,0,0,0,2,[]
194,50,47,52,51,47,48,52,52,50,49,61,37,76,52,67,41,77,90,72,63,0,1,0,2,[]
195,37,40,51,64,36,49,47,65,39,50,52,27,79,51,70,48,77,90,73,62,0,1,0,2,[]
196,33,38,45,65,20,49,48,78,39,50,43,15,83,56,62,39,93,8,95,4,0,1,0,2,[]
197,25,37,45,66,19,47,49,90,4,95,31,12,81,55,55,45,91,11,93,9,0,1,0,2,[]
198,25,37,45,66,23,52,53,90,16,89,19,14,81,55,49,51,82,20,84,19,0,1,0,2,[]
199,5,92,5,96,31,57,63,90,28,83,13,17,90,6,52,50,72,28,74,28,0,1,0,2,[]
200,6,82,17,88,38,58,70,89,39,76,13,19,86,8,56,46,60,33,65,36,0,1,0,2,[]
201,7,67,29,81,35,60,70,90,50,79,18,21,76,17,56,46,50,33,55,44,0,1,0,2,[]
202,7,53,40,77,35,60,69,91,62,77,32,23,69,28,93,10,47,34,49,41,0,1,0,2,[]
203,8,43,54,77,4,91,62,92,55,75,41,31,62,38,92,27,47,39,49,43,0,1,0,2,[]
204,6,42,57,66,15,81,62,92,58,63,44,42,60,49,90,44,49,48,50,50,0,1,0,2,[]
205,14,48,61,62,32,65,8,94,60,63,45,42,65,56,88,61,48,49,51,48,0,1,0,2,[]
206,27,51,53,66,39,57,19,86,50,65,55,48,61,61,89,75,55,54,62,52,0,1,0,2,[]
207,42,53,56,61,51,54,31,80,56,60,63,52,65,57,87,75,58,50,57,47,0,1,0,2,[]
208,51,56,60,61,54,54,41,71,60,58,66,50,66,49,84,64,59,45,54,46,0,1,0,2,[]
