,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
85,21,9,21,46,8,86,48,92,33,93,89,74,24,8,21,9,56,44,61,24,0,0,0,0,[]
86,16,10,23,36,16,78,59,90,44,92,87,73,30,6,29,9,51,47,48,24,0,0,0,0,[]
87,16,10,26,25,24,71,69,88,55,91,86,79,30,6,39,15,48,43,43,24,0,0,0,0,[]
88,3,94,36,23,32,63,80,86,67,88,84,80,88,4,48,20,43,34,40,30,0,0,0,0,[]
89,4,82,27,24,38,58,79,87,78,87,88,75,83,5,47,25,41,31,41,31,0,0,0,0,[]
90,5,70,24,34,40,55,78,88,77,88,84,79,70,6,49,27,42,33,41,31,0,0,0,0,[]
91,7,58,19,44,42,56,74,91,75,89,80,88,58,7,52,28,50,41,81,90,0,0,0,0,[]
92,12,48,18,45,42,55,73,90,75,91,80,86,46,8,52,34,52,47,80,89,0,0,0,0,[]
93,11,40,22,47,37,57,73,89,75,92,79,88,33,10,53,33,52,47,80,90,0,0,0,0,[]
94,11,28,21,48,30,54,73,91,75,92,78,88,21,14,53,33,52,47,81,91,0,0,0,0,[]
95,14,17,29,51,32,49,73,88,74,90,81,87,18,14,62,37,52,42,81,90,0,0,0,0,[]
96,13,18,39,51,42,51,80,88,83,89,86,77,16,14,66,47,53,43,89,82,0,0,0,0,[]
97,19,25,42,51,45,47,78,80,83,85,88,74,25,15,65,58,52,45,89,82,0,0,0,0,[]
98,22,30,42,55,49,47,82,81,84,83,88,72,27,22,68,63,55,43,89,75,0,0,0,0,[]
99,19,22,49,58,47,48,83,80,80,76,88,70,24,14,67,56,55,47,89,74,0,0,0,0,[]
100,13,20,54,56,49,52,83,81,75,71,90,71,15,18,72,45,58,45,90,76,0,0,0,0,[]
101,16,18,63,57,52,49,83,78,67,63,91,71,16,17,73,44,55,45,91,73,0,0,0,0,[]
102,8,22,57,54,51,51,85,78,75,71,90,72,21,13,75,44,57,48,92,75,0,0,0,0,[]
103,8,19,53,63,48,50,89,76,83,78,89,71,21,13,80,53,54,44,93,73,0,0,0,0,[]
104,9,21,46,65,50,52,90,77,90,77,91,70,91,4,81,55,53,46,93,69,0,0,0,0,[]
105,10,22,46,69,56,57,87,80,84,78,92,67,79,5,77,55,60,41,88,70,0,0,0,0,[]
106,9,23,49,75,53,50,90,77,87,75,90,69,64,7,70,63,56,41,88,68,0,0,0,0,[]
107,11,22,53,76,47,53,90,75,88,75,93,68,52,8,63,61,58,46,88,68,0,0,0,0,[]
108,9,22,57,82,47,50,90,76,88,78,91,70,39,10,59,57,52,48,87,69,0,0,0,0,[]
109,11,25,60,83,45,51,87,79,87,77,90,66,27,12,54,61,52,50,84,65,0,0,0,0,[]
110,11,21,62,83,46,51,84,80,86,78,81,65,16,18,63,57,58,50,75,62,0,0,0,0,[]
111,13,21,65,77,48,51,83,78,85,78,84,65,13,19,64,57,59,51,69,62,0,0,0,0,[]
112,12,22,63,71,46,57,78,74,77,72,91,69,16,16,95,4,93,5,76,57,0,0,0,0,[]
113,11,21,67,72,54,64,70,68,71,68,92,71,17,19,89,13,92,8,83,62,0,0,0,0,[]
114,10,23,65,72,59,68,69,68,67,69,91,68,15,20,80,20,86,18,90,70,0,0,0,0,[]
115,10,23,65,72,54,64,75,74,73,71,90,70,11,20,68,20,77,26,90,80,0,0,0,0,[]
116,14,19,65,72,49,50,80,82,80,80,92,77,16,15,58,23,68,34,89,82,0,0,0,0,[]
117,13,17,8,86,47,51,80,84,82,83,90,81,19,14,47,22,58,41,89,81,0,0,0,0,[]
118,14,17,13,74,40,50,81,81,84,86,87,75,19,15,36,22,48,47,90,77,0,0,0,0,[]
119,16,19,17,62,44,53,82,78,83,88,90,71,20,23,27,22,50,47,90,74,0,0,0,0,[]
120,19,23,20,49,46,51,81,81,2,96,91,71,19,23,26,22,49,43,88,72,0,0,0,0,[]
121,13,22,21,37,47,51,2,96,12,94,91,71,15,22,15,21,51,44,91,74,0,0,0,0,[]
122,10,33,19,21,47,47,2,96,23,93,86,79,20,15,17,17,54,46,88,82,0,0,0,0,[]
123,10,33,23,12,46,47,19,15,33,89,84,82,29,11,28,10,47,47,84,84,0,0,0,0,[]
124,8,96,19,18,39,55,20,15,36,78,77,87,29,11,38,7,50,48,78,86,0,0,0,0,[]
125,15,95,20,26,39,59,25,10,40,68,77,85,29,11,45,12,43,54,78,86,0,0,0,0,[]
126,26,94,32,31,42,56,25,10,41,61,77,85,29,11,42,15,48,53,92,4,0,0,0,0,[]
127,39,93,31,32,43,53,25,10,43,54,86,5,29,11,34,17,50,50,81,5,0,0,0,0,[]
128,45,92,26,24,44,48,19,12,44,44,74,6,21,14,25,14,52,44,70,6,0,0,0,0,[]
129,24,12,35,16,41,40,25,12,39,27,62,7,30,6,35,8,51,48,56,8,0,0,0,0,[]
130,34,11,41,7,40,28,24,13,31,20,50,8,31,6,44,6,58,38,41,6,0,0,0,0,[]
131,36,15,39,8,32,20,31,16,35,16,41,11,39,9,46,10,53,28,38,12,0,0,0,0,[]
132,32,20,39,8,25,25,24,22,29,21,30,9,32,7,45,13,50,32,31,11,0,0,0,0,[]
133,40,30,39,8,31,34,15,17,20,18,20,11,32,7,45,14,49,42,22,13,0,0,0,0,[]
134,46,39,39,8,40,43,15,18,13,16,18,11,94,11,47,8,48,52,26,17,0,0,0,0,[]
135,53,47,2,96,54,50,16,16,17,16,20,10,92,24,47,6,55,50,22,13,0,0,0,0,[]
136,56,49,11,83,57,48,20,18,22,21,24,9,89,36,95,4,58,45,24,12,0,0,0,0,[]
137,60,57,15,71,53,50,24,23,26,22,26,11,89,49,92,9,59,41,22,14,0,0,0,0,[]
138,65,61,20,59,52,50,19,15,20,20,27,14,89,65,85,20,59,42,28,18,0,0,0,0,[]
139,70,68,26,58,51,50,25,22,28,22,34,17,90,75,81,30,56,42,27,15,0,0,0,0,[]
140,74,64,36,63,46,47,18,19,30,22,32,11,89,76,80,42,56,44,35,12,0,0,0,0,[]
141,79,74,46,64,41,45,16,18,22,21,33,11,90,76,75,52,52,47,31,18,0,0,0,0,[]
142,86,77,52,66,41,45,18,17,23,22,29,17,91,75,74,54,64,51,30,22,0,0,0,0,[]
143,83,79,60,75,7,88,20,16,26,22,27,12,86,78,74,57,73,53,27,14,0,0,0,0,[]
144,87,76,74,77,15,79,23,11,25,16,28,8,91,74,77,69,75,63,27,7,0,0,0,0,[]
145,85,86,70,80,25,71,22,13,21,12,30,10,83,84,81,83,78,73,32,8,0,0,0,0,[]
146,83,89,77,89,34,63,25,14,26,14,34,9,82,90,82,90,79,85,37,13,0,0,0,0,[]
147,86,86,81,91,43,55,25,11,25,9,31,6,86,84,82,90,86,87,35,12,0,0,0,0,[]
148,86,86,71,91,49,49,26,13,26,11,29,6,81,84,82,90,79,86,30,8,0,0,0,0,[]
149,86,86,73,90,52,46,27,15,25,13,29,8,79,75,82,90,76,75,27,9,0,0,0,0,[]
150,86,86,78,81,56,48,23,12,24,12,36,6,77,70,82,90,70,65,35,9,0,0,0,0,[]
151,86,86,77,73,58,47,23,13,22,12,39,8,73,55,94,4,67,53,32,9,0,0,0,0,[]
152,86,86,68,78,57,47,23,13,24,14,29,6,66,55,78,5,61,49,28,10,0,0,0,0,[]
153,7,95,57,81,49,49,22,10,23,10,28,6,67,53,68,9,56,44,29,10,0,0,0,0,[]
154,19,94,54,84,45,52,24,10,24,9,28,6,67,53,59,12,60,42,31,11,0,0,0,0,[]
155,28,87,53,84,45,52,21,13,25,15,34,6,94,14,51,21,53,45,34,12,0,0,0,0,[]
156,39,88,47,76,47,49,30,16,32,17,36,6,92,27,46,24,54,47,39,14,0,0,0,0,[]
157,51,88,51,65,47,50,23,14,29,21,95,4,91,40,44,23,48,52,36,15,0,0,0,0,[]
158,62,88,50,54,48,51,16,18,30,22,95,4,90,53,41,25,50,53,34,18,0,0,0,0,[]
159,75,87,44,45,50,46,18,18,21,20,95,4,89,66,36,24,50,54,28,15,0,0,0,0,[]
160,84,82,44,34,55,45,20,20,23,24,22,11,88,78,47,23,50,54,21,10,0,0,0,0,[]
161,83,81,53,29,55,45,22,26,29,32,24,11,86,79,53,30,50,54,25,11,0,0,0,0,[]
162,86,78,53,33,53,32,19,24,31,33,28,12,89,76,56,32,50,54,31,9,0,0,0,0,[]
163,85,80,45,34,50,40,16,20,32,28,39,14,92,67,56,32,50,54,32,8,0,0,0,0,[]
164,82,80,33,30,55,43,14,15,27,31,37,15,89,76,56,32,50,54,95,4,0,0,0,0,[]
165,86,77,29,33,55,43,15,15,27,20,37,15,92,72,56,32,93,7,86,5,0,0,0,0,[]
166,91,73,29,33,49,50,22,11,24,12,38,15,91,72,94,8,85,15,73,6,0,0,0,0,[]
