,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHwQ, ,RWHuanggai, ,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,blue_economics,blue_towers,red_economics,red_towers,captions
119,65,78,22,12,56,67,57,69,57,69,95,4,54,65,65,57,77,78,64,76,0,0,0,0,['9:52 RWHaro(德玛西亚皇子) 击杀了 OMGY1han(虚空遁地兽)']
120,71,84,4,85,57,70,57,69,62,75,89,4,54,65,65,57,76,79,76,76,0,0,0,0,[]
121,74,88,5,73,49,66,50,59,72,86,83,5,54,65,95,5,81,82,83,85,0,0,0,0,[]
122,75,87,7,61,44,67,49,53,76,90,71,6,91,7,95,5,83,82,85,88,0,0,0,0,[]
123,77,87,9,50,51,68,46,51,78,92,58,7,75,18,53,47,82,83,85,88,0,0,0,0,[]
124,79,88,10,38,60,74,48,57,85,87,46,9,64,22,53,47,84,82,89,84,0,0,0,0,[]
125,81,84,11,26,71,78,58,62,86,84,34,10,55,31,49,51,86,83,88,82,0,0,0,0,[]
126,83,80,14,18,82,80,52,61,88,85,23,12,51,35,51,51,91,78,88,76,0,0,0,0,[]
127,83,84,9,18,85,83,45,57,87,84,17,14,51,34,48,54,89,75,91,77,0,0,0,0,[]
128,86,82,9,23,82,81,44,55,87,85,13,15,40,31,48,49,88,73,88,74,0,0,0,0,[]
129,82,85,8,23,78,75,39,58,87,85,14,16,34,30,45,49,87,75,88,73,0,0,0,0,[]
130,73,88,7,28,69,79,34,59,5,94,11,24,35,29,44,52,87,73,88,73,0,0,0,0,[]
131,73,88,5,30,69,79,39,61,5,92,10,26,33,30,44,52,87,75,90,81,0,0,0,0,[]
132,3,92,8,33,4,92,44,56,10,82,11,25,35,30,45,48,84,81,82,87,0,0,0,0,[]
133,5,81,19,35,11,78,42,56,10,67,11,25,35,30,44,50,80,87,81,86,0,0,0,0,[]
134,6,70,29,34,17,67,39,54,18,56,17,23,34,29,40,44,82,87,84,89,0,0,0,0,[]
135,8,59,33,29,18,56,32,45,22,43,27,31,32,30,32,35,83,87,84,89,0,0,0,0,[]
136,11,49,33,31,22,44,32,36,30,33,31,32,30,30,35,28,95,4,93,4,0,0,0,0,[]
137,20,45,25,32,31,33,32,34,32,31,33,32,33,33,33,29,95,12,87,7,0,0,0,0,['11:22 RWHuanggai(深海泰坦) 击杀了 OMGY1han(虚空遁地兽)']
138,24,36,29,23,34,30,35,32,34,28,36,28,33,33,40,32,93,24,74,13,0,0,0,0,[]
139,33,31,36,24,33,28,33,32,31,29,38,25,33,33,45,35,92,36,63,22,0,0,0,0,['11:33 RWHaro(德玛西亚皇子) 击杀了 OMGCurse(亡灵战神)']
140,24,27,24,22,26,29,32,44,24,26,30,22,33,33,47,41,90,47,54,32,0,0,0,0,[]
141,16,19,19,24,27,22,40,51,34,17,30,22,92,7,49,48,89,59,48,40,0,0,0,0,[]
142,14,15,19,24,37,17,40,55,21,14,30,22,78,22,44,53,87,71,48,51,0,0,0,0,[]
143,21,13,7,95,41,18,40,56,22,13,30,22,70,33,48,53,83,80,46,55,0,0,0,0,[]
144,26,10,19,88,41,16,39,61,28,8,30,22,61,40,47,56,79,84,48,54,0,0,0,0,[]
145,27,10,26,77,40,17,33,59,27,9,95,4,51,48,47,55,78,88,46,57,0,0,0,0,[]
146,26,10,34,69,30,18,27,59,29,19,48,53,42,57,36,59,73,90,40,59,0,0,0,0,[]
147,24,11,37,59,25,28,34,59,38,28,41,52,39,54,44,56,73,91,43,57,0,0,0,0,[]
148,25,10,37,56,32,37,38,61,42,40,40,55,45,54,42,57,73,91,45,55,0,0,0,0,[]
149,25,10,36,59,32,41,34,62,43,51,34,61,45,55,46,59,73,91,47,57,0,0,0,0,['12:25 OMGCurse(亡灵战神) 击杀了 RWHwQ(机械先驱)']
150,25,9,31,57,31,55,34,62,34,59,30,57,39,54,40,59,73,91,40,59,0,0,0,0,[]
151,21,13,29,60,30,59,34,62,30,59,31,59,32,59,35,60,74,90,30,60,0,0,0,0,[]
152,21,22,23,57,41,57,34,62,31,59,32,59,29,60,33,60,76,87,29,60,0,0,0,0,['12:40 OMGY1han(虚空遁地兽) 击杀了 RWHuanggai(深海泰坦)']
153,27,32,30,59,37,49,34,62,31,59,40,56,38,58,42,55,70,89,40,57,0,0,0,0,[]
154,35,39,40,59,25,52,34,62,31,59,48,55,44,58,52,55,70,89,47,58,0,0,0,1,"['12:48 OMGY1han(虚空遁地兽) 击破了防御塔,获得一塔']"
155,43,47,41,59,23,56,2,96,31,59,59,57,51,64,61,57,71,85,60,59,0,0,0,2,['12:54 OMGKane(逆羽) 击破了防御塔']
156,46,49,40,65,21,55,8,85,31,59,64,61,63,69,67,61,73,74,65,59,0,0,0,2,[]
157,43,53,47,74,19,48,13,74,11,91,66,68,64,71,68,67,68,64,63,52,0,0,0,2,[]
158,41,56,53,84,15,43,17,62,18,79,67,69,65,70,68,66,64,52,55,53,0,0,0,2,[]
159,41,56,57,82,16,44,19,50,28,69,69,68,65,70,69,65,57,47,59,46,0,0,0,2,['13:15 OMG 击杀了水龙']
160,6,90,57,83,20,47,20,45,38,59,73,76,72,58,74,57,54,48,52,47,0,0,0,2,[]
161,13,81,63,88,18,48,22,42,37,58,78,83,77,56,77,55,46,52,47,50,0,0,0,2,[]
162,22,73,61,85,18,48,21,38,35,58,75,88,81,55,79,53,49,48,51,46,0,0,0,2,[]
163,32,66,57,83,7,93,20,27,39,58,76,88,81,56,79,53,50,45,51,46,0,0,0,2,[]
164,38,59,55,84,7,93,18,17,41,57,76,88,76,48,88,7,95,4,92,4,0,0,0,2,[]
165,47,52,59,92,19,86,13,16,49,50,82,84,73,42,76,12,92,9,78,5,0,0,0,2,[]
166,50,55,57,92,30,81,13,20,44,45,82,84,73,41,68,20,87,16,63,6,0,0,0,2,[]
167,51,49,61,91,40,72,13,18,51,48,95,4,73,41,66,32,28,10,50,8,0,0,0,2,[]
168,49,52,64,91,47,65,8,16,46,47,92,16,94,4,58,41,27,16,37,12,0,0,0,2,[]
169,54,57,76,87,46,66,8,18,44,46,91,29,82,17,57,40,21,14,26,15,0,0,0,2,[]
170,46,54,81,86,49,60,9,21,42,51,90,41,69,26,57,41,16,15,20,15,0,0,0,2,[]
171,35,49,84,88,40,53,10,24,29,50,89,54,57,29,48,39,24,22,26,18,0,0,0,2,[]
172,23,50,84,88,30,49,14,36,22,44,90,67,52,33,44,35,23,29,23,30,0,0,0,2,[]
173,21,44,2,96,30,48,20,44,24,39,91,71,49,34,39,39,31,33,33,38,0,0,0,2,[]
174,30,39,2,96,36,41,30,38,34,37,86,77,41,38,40,35,36,37,37,40,0,0,0,2,[]
175,35,37,42,37,41,40,38,40,33,37,76,72,45,38,40,34,40,36,41,35,0,0,0,2,['14:32 OMGKane(逆羽) 击杀了 RWHuanggai(深海泰坦)']
176,40,36,45,34,45,35,43,38,33,37,66,64,47,40,49,33,48,33,42,35,0,0,0,2,"['14:36 RWHwQ(机械先驱) 击杀了 OMGHudie(堕落天使)', '14:40 RWHwQ(机械先驱) 击杀了 OMGKane(逆羽)']"
177,49,33,53,32,56,33,51,34,33,37,51,43,50,40,56,33,48,33,42,35,0,0,0,2,[]
178,47,36,51,27,51,33,46,36,33,37,52,41,57,38,56,33,48,33,42,35,0,0,0,2,['14:47 RWHwQ(机械先驱) 击杀了 OMGicon(天启者)']
179,50,43,40,24,50,43,45,45,3,95,54,48,55,31,56,33,48,33,42,35,0,0,0,2,[]
180,50,47,28,22,54,48,53,49,17,88,58,44,47,23,56,33,48,33,42,35,0,0,0,2,[]
181,57,46,18,18,60,44,58,47,26,77,57,43,51,27,56,33,48,33,93,4,0,0,0,2,[]
182,54,50,16,15,54,47,55,50,36,66,56,46,51,29,56,33,48,33,86,7,0,0,0,2,[]
183,45,57,15,15,54,55,49,55,44,55,54,42,53,27,56,33,85,9,72,7,0,0,0,2,[]
184,44,58,7,24,58,67,39,61,46,56,54,43,43,19,95,4,74,16,58,9,0,0,0,2,[]
185,2,96,5,29,51,73,39,61,48,59,50,48,40,17,88,16,62,11,50,20,0,0,0,2,[]
186,6,90,5,29,51,73,2,96,56,65,49,49,40,16,77,25,49,9,41,29,0,0,0,2,[]
187,13,81,4,94,50,74,4,85,53,66,49,51,37,18,65,33,36,9,38,37,0,0,0,2,[]
188,22,74,15,94,50,74,9,74,43,67,52,51,30,22,55,42,24,10,40,41,0,0,0,2,[]
189,32,67,27,93,5,92,10,61,37,59,47,47,26,24,45,45,19,14,36,42,0,0,0,2,[]
190,36,63,31,88,9,84,9,49,34,61,36,40,23,36,32,39,14,21,23,37,0,0,0,2,[]
191,30,64,26,74,13,74,9,43,23,65,27,37,15,35,27,37,9,28,15,35,0,0,0,2,[]
192,33,62,20,64,10,61,11,39,17,54,17,34,14,36,22,38,10,29,14,36,0,0,0,2,[]
193,23,55,16,52,8,49,5,44,10,44,9,40,6,41,12,35,9,32,9,42,0,0,0,2,[]
194,12,49,9,48,5,45,7,47,8,46,6,43,8,40,7,41,9,37,8,42,0,0,0,2,['16:6 OMGY1han(虚空遁地兽) 击杀了 RWHwQ(机械先驱)']
195,10,47,6,46,9,49,7,47,10,46,10,39,10,38,6,39,10,37,8,39,0,0,0,2,[]
196,10,41,5,36,7,40,7,47,10,40,11,35,15,33,13,36,17,34,14,36,0,0,0,2,[]
197,5,36,8,29,6,39,7,47,8,41,13,36,16,35,15,35,13,35,16,34,0,0,0,2,[]
198,12,35,14,34,11,39,7,47,13,36,18,35,22,39,19,37,21,38,19,39,0,0,0,2,[]
199,9,38,8,33,10,41,7,47,13,36,11,36,15,33,14,34,14,35,18,34,0,0,0,2,['16:33 OMGY1han(虚空遁地兽) 击杀了 RWHuanggai(深海泰坦)']
200,5,50,5,29,10,49,3,95,13,36,7,47,8,42,7,45,9,42,10,41,0,0,0,2,[]
201,5,53,5,29,21,53,8,83,13,36,6,43,10,35,9,43,9,39,10,36,0,0,0,2,['16:42 OMGicon(天启者) 击杀了 RWZWuJi(战争女神)']
202,5,53,13,22,25,56,13,78,13,36,8,27,15,32,10,30,10,28,11,27,0,0,0,2,[]
203,5,53,20,26,32,61,24,73,13,36,16,22,20,25,14,22,16,22,15,21,0,0,0,2,[]
204,5,53,23,34,42,67,37,76,13,36,22,29,24,31,22,28,22,29,21,26,0,0,0,2,['17:0 OMGKane(逆羽) 击杀了 RWHolder(凛冬之怒)']
205,5,53,23,34,51,65,42,88,11,91,22,28,24,24,25,30,15,20,15,20,0,0,0,2,[]
206,5,53,23,34,50,65,51,91,23,80,95,4,24,24,25,30,12,23,12,23,0,0,0,2,[]
207,3,89,23,34,59,63,60,91,33,69,93,8,91,7,92,12,10,30,9,28,0,0,0,2,[]
208,5,78,23,34,73,66,65,91,46,67,92,21,79,21,82,22,11,25,9,25,0,0,0,3,['17:16 OMGKane(逆羽) 击破了防御塔']
209,5,66,23,34,72,70,77,86,58,60,91,34,67,26,71,30,11,25,9,25,0,0,0,3,[]
210,5,54,23,34,75,61,86,78,70,62,90,47,56,30,61,38,89,6,95,4,0,0,0,3,[]
211,7,45,9,92,83,63,86,78,78,62,89,60,52,35,51,46,80,15,85,10,0,0,0,3,[]
212,9,46,21,88,83,62,82,79,83,64,89,73,58,34,49,48,71,25,75,21,0,0,0,3,[]
213,17,54,33,89,82,64,71,78,72,65,88,75,69,41,56,46,62,34,68,33,0,0,0,3,[]
214,22,64,42,83,73,73,62,83,69,77,89,77,70,42,56,45,56,45,57,43,0,0,0,3,[]
215,33,64,34,74,66,82,53,85,55,76,84,78,66,49,54,51,54,53,54,58,0,0,0,3,[]
216,36,61,32,63,53,85,56,88,45,71,78,73,65,57,56,60,54,58,58,63,0,0,0,3,[]
217,39,60,30,51,54,85,61,85,38,61,80,80,72,68,54,62,52,56,56,58,0,0,0,3,[]
218,36,61,32,39,50,81,61,87,40,67,83,83,61,63,50,54,45,54,52,57,0,0,0,3,[]
219,35,63,33,38,49,74,59,91,41,67,75,87,63,71,55,52,53,54,56,58,0,0,0,3,[]
220,2,96,21,38,48,66,53,94,38,59,63,83,65,72,59,61,54,57,59,68,0,0,0,3,[]
221,8,87,17,31,38,64,52,93,37,61,57,82,66,70,66,65,47,52,54,58,0,0,0,3,[]
222,17,78,8,40,31,55,49,93,35,61,69,84,66,71,65,64,48,53,53,58,0,0,0,3,[]
223,26,69,8,36,22,46,50,90,34,59,73,87,60,63,55,66,56,63,51,66,0,0,0,3,['18:32 OMG 击杀了风龙']
224,33,66,10,26,20,47,41,91,31,52,70,90,47,69,45,70,56,74,48,75,0,0,0,3,[]
225,32,66,11,23,19,48,37,94,32,61,63,90,44,81,45,80,54,84,48,82,0,0,0,3,[]
226,31,69,12,22,15,44,34,91,31,67,52,92,41,85,43,83,52,91,42,83,0,0,0,3,[]
227,36,66,21,14,17,45,32,94,40,65,47,91,45,80,50,82,49,91,52,87,0,0,0,3,[]
228,31,71,27,9,18,58,32,92,33,69,44,90,40,82,46,79,49,90,46,88,0,0,0,3,[]
229,31,75,25,9,24,68,29,93,27,77,34,92,41,82,37,89,40,94,39,90,0,1,0,4,"['19:3 OMGKane(逆羽) 击破了防御塔', '19:3 RWHolder(凛冬之怒) 击破了防御塔']"
230,27,85,22,10,25,82,28,92,25,88,32,94,32,91,29,94,31,92,31,94,0,1,0,4,['19:8 OMGKane(逆羽) 击杀了 RWHwQ(机械先驱)']
231,27,88,2,96,25,86,28,92,26,92,29,92,33,91,32,92,32,91,30,94,0,1,0,4,[]
232,27,87,12,94,25,88,28,92,29,93,32,92,34,93,33,93,36,92,33,94,0,1,0,4,[]
233,30,90,25,93,30,93,28,92,31,93,33,93,32,94,34,92,35,94,33,94,0,1,0,4,['19:24 OMGKane(逆羽) 击杀了 RWHuanggai(深海泰坦)']
234,25,90,25,95,23,93,28,92,31,93,29,90,33,93,34,92,37,93,31,94,0,1,0,4,['19:26 RWZWuJi(战争女神) 击杀了 OMGCurse(亡灵战神)']
235,29,89,32,93,26,92,28,92,31,93,23,93,39,87,41,85,43,90,41,91,0,1,0,5,['19:31 OMGCurse(亡灵战神) 击破了防御塔']
