,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
105,73,86,14,18,5,95,48,56,73,84,20,15,51,35,54,47,80,82,85,81,14151,0,13243,0,[]
106,76,87,16,16,14,90,45,55,73,83,23,11,49,35,51,46,82,79,89,83,14362,0,13495,0,[]
107,73,89,23,11,22,79,44,53,75,88,28,8,38,37,50,49,85,78,89,83,14592,0,13588,0,[]
108,74,87,23,12,31,69,44,53,78,88,31,7,32,43,48,51,85,78,86,10,14742,0,13752,0,[]
109,81,83,19,15,32,59,43,54,86,84,27,9,31,39,47,52,94,15,73,17,14814,0,13894,0,[]
110,84,82,19,16,26,51,41,56,85,82,26,7,34,37,43,48,93,26,60,25,15068,0,14064,0,[]
111,84,85,16,22,19,50,44,55,87,84,24,10,29,37,34,41,93,37,49,34,15251,0,14154,0,[]
112,77,90,11,30,22,56,44,49,87,84,21,12,36,38,31,38,93,48,47,38,15301,0,14225,0,[]
113,77,90,11,27,26,59,47,51,6,94,24,10,33,43,32,45,93,60,48,42,15452,0,14311,0,[]
114,4,95,10,16,33,62,48,52,17,86,25,16,38,48,35,48,91,69,48,43,15544,0,14390,0,[]
115,9,96,16,13,41,58,46,55,26,77,25,27,46,55,46,55,86,76,48,54,15594,0,15028,0,[]
116,20,95,18,14,40,59,45,55,43,57,36,40,52,51,49,51,82,82,51,54,15790,0,15139,0,['9:37 FPXDoinb(刀锋舞者) 击杀了 RWHuaTian(未来守护者)']
117,30,94,21,14,44,54,45,55,45,57,39,26,60,59,55,56,82,82,57,62,15911,0,15261,0,[]
118,41,92,26,16,41,59,45,55,39,65,33,10,66,66,57,58,77,79,59,63,15960,0,15311,0,[]
119,52,90,27,12,37,50,45,55,41,75,28,10,72,64,49,52,73,71,69,66,16011,0,15383,0,[]
120,62,91,23,11,34,40,45,55,42,70,27,7,67,68,50,51,70,68,66,64,16076,0,15539,0,[]
121,70,91,23,13,32,28,3,96,44,71,24,9,68,68,50,52,70,68,66,66,16144,0,15783,0,[]
122,70,89,18,13,33,31,15,88,51,78,29,6,70,66,54,50,77,73,70,68,16195,0,15833,0,['10:6 FPX 击杀了水龙']
123,74,90,18,14,29,29,23,79,51,83,31,6,70,66,54,50,79,83,79,79,16326,0,15900,0,[]
124,67,91,20,12,30,30,31,71,51,82,32,6,85,6,92,4,81,83,84,84,16419,0,15993,0,[]
125,74,89,24,10,29,29,39,61,62,86,30,7,73,7,89,7,82,83,83,87,16867,0,16256,0,[]
126,72,93,19,12,31,32,45,52,71,89,28,8,61,8,80,14,78,85,83,86,17114,0,16421,0,[]
