,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
84,82,79,8,26,74,60,58,61,75,73,14,20,24,41,95,4,90,75,88,76,0,0,0,0,[]
85,77,78,9,25,75,59,67,62,2,96,13,23,23,43,45,47,89,75,87,75,0,0,0,0,[]
86,80,78,8,24,73,67,65,63,2,96,12,22,24,44,37,43,88,77,89,80,0,0,0,0,[]
87,83,82,6,31,70,78,55,62,84,81,10,22,24,44,30,44,87,77,88,75,0,0,0,0,[]
88,86,82,4,42,61,83,48,55,89,82,10,23,19,35,37,43,90,77,88,75,0,0,0,0,[]
89,86,82,5,41,55,82,49,53,88,82,11,26,15,36,46,47,87,75,89,76,0,0,0,0,[]
90,86,78,7,31,55,83,45,54,90,79,12,25,17,33,48,48,89,72,92,75,0,0,0,0,[]
91,84,79,5,29,56,83,41,57,87,81,12,22,24,35,47,53,87,72,91,75,0,0,0,0,[]
92,82,83,8,24,58,83,41,55,84,85,16,18,33,30,47,49,87,79,90,81,0,0,0,0,[]
93,80,83,9,22,2,96,40,61,81,84,14,19,41,18,44,51,88,79,89,81,0,0,0,0,[]
94,82,84,11,22,6,94,38,62,83,84,16,16,42,17,45,51,88,77,88,78,0,0,0,0,[]
95,82,84,8,28,9,84,36,62,85,87,17,22,43,17,42,56,88,80,87,77,0,0,0,0,[]
96,83,83,7,30,14,73,40,59,86,86,22,32,42,17,45,52,89,83,91,79,0,0,0,0,[]
97,82,80,8,25,25,70,40,58,83,85,24,39,43,16,47,51,89,82,88,78,0,0,0,0,[]
98,80,81,8,22,32,61,39,59,83,84,23,41,43,16,45,52,88,79,90,78,0,0,0,0,[]
99,81,81,11,20,39,60,44,58,82,85,22,30,95,5,44,51,88,78,89,82,0,0,0,0,[]
100,81,82,11,19,44,56,40,57,83,84,17,22,87,17,48,50,88,77,89,79,0,0,0,0,[]
101,82,82,8,27,41,61,37,63,83,86,21,12,79,24,46,56,88,78,89,80,0,0,0,0,[]
102,82,82,8,27,45,66,37,63,82,85,25,14,71,32,51,53,87,79,88,83,0,0,0,0,[]
103,79,81,3,93,47,65,6,95,80,86,28,12,66,41,48,56,86,85,82,79,0,0,0,0,[]
104,79,83,5,81,47,70,15,84,83,88,24,12,66,52,51,54,87,81,84,79,0,0,0,0,[]
105,79,83,8,69,51,74,29,67,83,86,24,12,63,60,50,49,86,78,84,79,0,0,0,0,[]
106,80,85,10,57,52,73,39,58,83,88,23,10,61,60,44,53,86,80,81,77,0,0,0,0,[]
107,79,87,11,42,57,70,39,57,82,89,21,11,69,62,46,51,85,81,81,78,0,0,0,0,[]
108,73,84,11,29,59,63,46,53,74,86,23,10,76,56,59,50,81,81,86,83,0,0,0,0,[]
109,73,85,17,22,61,62,48,53,77,88,20,14,69,62,65,57,76,74,82,79,0,0,0,0,[]
110,76,87,14,21,55,62,45,51,72,85,14,20,63,60,62,52,74,77,75,77,0,0,0,0,[]
111,77,90,9,25,60,62,38,42,76,88,10,24,66,52,55,45,79,82,81,82,0,0,0,0,[]
112,77,89,9,31,59,63,28,32,75,88,11,20,60,62,53,52,78,79,77,76,0,0,0,0,[]
113,77,87,9,31,51,72,14,19,68,82,10,23,52,71,54,63,60,70,59,70,0,0,0,0,[]
114,79,84,9,28,48,78,12,24,58,83,11,23,51,77,47,72,55,76,54,76,0,0,0,0,[]
115,84,81,11,20,48,78,17,21,62,86,11,23,60,74,50,61,64,77,60,77,0,0,0,0,[]
116,77,86,12,23,48,78,19,24,72,86,11,23,69,78,52,51,72,78,70,78,0,0,0,0,[]
117,81,83,14,18,48,78,2,96,79,83,11,23,77,70,47,46,80,75,78,75,0,0,0,0,[]
118,80,87,12,18,5,89,11,91,79,83,11,23,79,81,44,55,80,79,78,81,0,0,0,0,[]
119,79,85,18,17,11,79,21,82,76,87,11,23,79,80,49,60,85,78,83,82,0,0,0,0,[]
120,79,83,28,8,19,72,28,74,81,89,90,5,77,70,46,56,89,75,89,77,0,0,0,0,[]
121,81,85,27,9,18,61,35,66,82,91,78,6,76,59,49,55,88,80,89,81,0,0,0,0,[]
122,77,87,22,11,21,51,41,58,81,91,66,7,83,56,46,52,85,81,86,81,0,0,0,0,[]
123,77,87,23,11,31,47,41,56,4,96,55,9,83,56,48,52,83,82,85,82,0,0,0,0,[]
124,78,88,18,14,32,39,44,53,8,95,43,9,79,51,54,44,83,83,84,82,0,0,0,0,[]
125,77,86,14,18,28,35,46,52,17,90,31,9,73,44,49,42,83,84,87,84,0,0,0,0,[]
126,71,89,14,18,33,31,47,52,23,81,27,8,73,44,51,46,82,81,85,88,0,0,0,0,[]
127,72,89,2,96,29,33,45,51,27,71,21,14,73,44,53,47,82,81,85,88,0,0,0,0,[]
128,74,86,16,18,30,34,36,49,32,60,29,21,91,6,54,45,95,7,89,4,0,0,0,0,[]
129,75,87,17,15,29,34,32,41,30,50,26,15,82,10,55,41,92,14,82,8,0,0,0,0,[]
130,77,87,16,17,30,32,29,37,34,40,23,12,72,15,55,41,92,25,75,18,0,0,0,0,[]
131,79,87,15,21,35,38,37,42,41,35,23,11,63,22,94,5,91,35,68,28,0,0,0,0,[]
132,73,87,12,23,24,39,46,46,43,43,22,10,52,29,89,13,90,46,63,37,0,0,0,0,[]
133,75,87,14,21,16,43,48,49,49,50,21,11,51,34,78,25,90,57,67,46,0,0,0,0,[]
134,75,87,13,19,14,42,43,45,48,60,18,12,48,34,66,35,89,67,64,58,0,0,0,0,[]
135,3,93,13,20,15,36,43,45,56,66,18,15,42,34,56,42,89,74,69,63,0,0,0,0,[]
136,7,96,14,18,11,33,5,92,57,63,16,13,42,32,55,50,89,73,66,70,0,0,0,0,[]
137,20,95,15,18,6,22,14,80,57,67,14,17,48,27,54,55,87,77,77,71,0,0,0,0,[]
138,31,93,10,25,8,17,23,72,57,69,19,16,50,26,52,52,80,78,78,77,0,0,0,0,[]
139,42,92,9,24,8,17,24,72,63,78,20,19,58,34,51,52,79,87,78,87,0,0,0,0,[]
140,52,91,10,23,8,17,32,64,70,85,17,20,58,45,51,51,79,84,79,85,0,0,0,0,[]
141,65,91,10,25,8,17,40,56,70,91,14,20,56,55,48,56,75,75,75,77,0,0,0,0,[]
142,71,90,12,20,11,21,40,52,72,91,10,20,60,63,58,61,69,66,70,68,0,0,0,0,[]
143,74,90,19,15,16,14,47,48,69,90,10,20,65,70,52,55,69,67,67,69,0,0,0,0,[]
144,67,89,25,11,22,10,45,52,60,85,10,20,64,71,52,51,70,68,69,68,0,0,0,0,[]
145,60,84,28,9,27,8,41,53,58,83,10,20,64,65,49,52,78,75,78,75,0,0,0,0,[]
146,59,85,26,10,22,10,42,52,59,84,10,20,59,63,56,60,84,83,82,83,0,1,0,0,[]
147,59,85,37,13,17,10,31,51,59,84,10,20,57,72,57,69,78,87,82,89,0,1,0,0,[]
148,57,89,48,18,17,10,28,59,60,91,10,20,50,66,54,64,72,89,71,92,0,1,0,0,[]
149,54,94,46,23,4,94,30,59,53,94,84,5,46,64,56,59,73,90,71,92,0,1,0,0,[]
150,59,92,46,23,5,92,41,54,58,92,72,7,54,65,51,50,73,90,71,92,0,1,0,0,[]
151,74,91,5,90,17,84,43,53,74,91,60,8,66,57,45,54,77,88,78,90,0,1,0,0,[]
152,71,92,11,80,21,75,41,55,70,92,46,12,73,53,57,56,79,87,79,89,0,1,0,0,[]
153,66,92,22,85,30,69,40,61,67,93,43,18,73,54,68,55,75,91,76,90,0,1,0,0,[]
154,67,93,35,89,42,68,40,66,69,93,41,18,72,63,59,61,74,89,75,88,0,1,0,0,[]
155,69,91,39,88,52,76,42,58,67,91,42,8,66,63,54,54,78,87,77,88,0,1,0,0,[]
156,62,85,33,78,57,68,45,52,64,82,33,11,66,64,53,52,79,85,84,87,0,1,0,0,[]
157,70,85,32,65,57,63,42,54,73,84,22,13,59,63,52,54,75,76,76,79,0,1,0,0,[]
158,63,87,39,65,59,67,44,53,66,79,18,13,57,67,56,60,58,70,58,70,0,1,0,0,[]
159,70,85,31,56,59,67,41,54,72,85,19,14,54,58,51,56,66,71,68,78,0,1,0,0,[]
160,77,90,21,50,59,67,35,58,81,90,31,12,56,66,56,65,75,74,79,81,0,1,0,0,[]
161,73,89,15,38,59,67,35,58,75,91,29,20,56,74,56,56,82,82,79,89,0,1,0,0,[]
162,75,89,9,29,59,67,7,94,76,89,26,30,63,77,52,52,83,86,82,91,0,1,0,0,[]
163,71,91,11,21,59,67,16,84,73,92,35,38,67,80,49,58,80,87,82,88,0,1,0,0,[]
164,61,94,16,18,10,95,33,66,64,94,36,38,67,80,56,60,79,87,83,88,0,1,0,0,[]
165,65,93,15,18,24,94,39,61,63,93,48,35,94,6,56,60,87,85,84,88,0,1,0,0,[]
166,71,91,10,22,36,89,44,55,72,90,53,34,89,17,92,8,87,85,95,4,0,1,0,0,[]
167,67,89,10,22,43,82,49,49,66,88,53,33,82,29,84,17,95,4,92,10,0,1,0,0,[]
168,61,90,6,90,50,77,50,48,60,85,50,23,80,41,75,26,94,9,85,21,0,1,0,0,[]
169,61,90,11,78,51,76,48,40,60,85,44,12,74,44,66,35,91,69,81,32,0,1,0,0,[]
170,4,95,17,66,43,69,40,36,7,94,30,9,76,45,57,42,84,78,80,45,0,1,0,0,[]
171,17,94,19,52,33,61,30,49,8,95,41,7,80,54,57,48,82,80,76,57,0,1,0,0,[]
172,29,93,22,43,22,54,24,50,17,92,44,8,80,55,58,49,77,86,66,63,0,1,0,0,[]
173,38,93,20,35,15,44,20,49,30,89,42,7,80,55,58,49,74,91,56,65,0,1,0,0,[]
174,50,92,26,23,14,43,41,55,41,84,41,7,72,63,52,52,73,91,61,75,0,1,0,0,[]
175,55,88,25,16,23,39,43,53,51,77,30,9,58,63,51,53,79,87,71,83,0,1,0,0,[]
176,55,90,25,12,34,39,44,51,52,77,39,11,57,73,56,62,79,90,79,86,0,1,0,0,[]
177,48,82,28,12,41,30,43,42,46,79,44,10,55,76,57,73,72,91,72,85,0,1,0,0,[]
178,41,77,42,10,46,22,43,45,40,72,48,6,57,65,57,68,70,83,69,78,0,1,0,1,[]
179,43,89,45,8,52,17,46,50,39,64,56,7,54,52,55,56,70,80,69,78,0,1,0,1,[]
180,51,94,44,11,46,13,44,51,44,54,50,9,50,40,50,52,70,80,88,4,0,1,0,1,[]
181,52,94,36,14,46,24,43,53,44,44,50,10,53,33,53,50,84,5,78,12,0,1,0,1,[]
182,52,94,31,20,39,26,40,63,39,37,51,10,59,35,51,51,73,8,71,22,0,1,0,1,[]
183,48,94,28,22,32,39,43,68,39,40,95,4,55,47,54,43,70,20,65,33,0,1,0,1,[]
184,56,92,24,26,29,50,38,62,34,43,85,7,54,58,55,52,67,31,55,42,0,1,0,1,[]
185,59,93,32,36,22,55,41,55,34,43,74,7,48,49,49,54,60,41,50,44,0,1,0,1,[]
186,56,90,32,45,25,57,39,55,10,91,62,8,41,43,47,54,51,49,48,50,0,1,0,1,[]
187,51,83,33,59,36,58,39,60,19,81,50,9,30,36,43,53,42,53,42,45,0,1,0,1,[]
188,54,87,37,59,39,64,39,58,29,74,39,15,27,33,45,51,51,49,39,43,0,1,0,1,[]
189,53,85,24,57,47,71,37,62,41,71,32,9,29,34,46,52,56,54,50,48,0,1,0,1,[]
190,53,84,17,45,54,76,37,62,51,68,31,10,29,34,50,53,66,61,58,57,0,1,0,1,[]
191,52,85,12,33,54,76,7,93,48,67,34,17,93,5,54,58,74,70,66,66,0,1,0,1,[]
192,52,85,12,22,3,91,7,93,44,68,42,19,92,9,53,56,80,80,69,68,0,1,0,1,[]
193,6,95,14,17,13,82,18,93,39,64,43,17,86,17,51,52,82,85,77,75,0,1,0,1,[]
194,40,58,18,19,25,77,31,92,41,58,42,15,76,26,49,52,80,83,78,84,0,1,0,1,[]
195,40,58,30,20,37,74,45,91,42,58,38,15,66,38,52,55,75,75,74,73,0,1,0,1,[]
196,39,58,25,26,49,65,56,91,40,61,40,15,66,51,57,55,65,65,63,63,0,1,0,1,[]
197,40,56,28,22,50,66,68,90,44,58,43,10,60,60,50,54,57,61,55,57,0,1,0,1,[]
198,42,54,25,29,39,65,80,85,41,57,50,22,54,58,50,52,51,55,51,52,0,1,0,1,[]
199,36,59,24,28,36,58,83,84,40,58,52,27,52,56,42,53,48,55,54,56,0,1,0,1,[]
200,38,56,19,17,35,58,82,82,39,59,51,26,43,58,43,54,45,57,49,55,0,1,0,1,[]
201,37,59,22,13,40,62,71,88,40,60,51,25,52,54,57,55,48,54,51,53,0,1,0,1,[]
202,41,56,20,15,48,66,60,85,42,57,53,33,51,53,55,56,57,56,48,51,0,1,0,1,[]
203,43,53,20,15,52,62,57,72,43,56,52,30,47,49,54,61,55,58,50,51,0,1,0,1,[]
204,45,52,3,93,54,62,54,64,45,54,49,22,53,51,54,51,52,51,52,50,0,1,0,1,[]
205,46,53,10,86,50,59,48,55,48,51,44,12,64,57,62,50,60,51,58,50,0,1,0,1,[]
206,54,61,23,82,56,61,54,61,55,57,29,9,72,44,66,48,66,56,65,57,0,1,0,1,[]
207,62,63,35,77,66,66,57,60,62,60,24,10,73,44,66,48,61,49,60,51,0,1,0,1,[]
208,63,68,42,68,64,69,66,66,66,69,24,10,73,48,95,4,51,45,48,49,0,1,0,1,[]
209,63,68,31,60,67,67,74,71,62,68,95,5,58,50,57,42,49,50,46,48,0,1,0,1,[]
210,54,64,39,59,55,63,82,78,53,64,93,17,46,54,48,49,44,49,47,53,0,1,0,1,[]
211,44,58,39,56,52,60,86,79,45,58,92,30,44,48,44,50,40,44,46,48,0,1,0,1,[]
212,44,58,33,60,65,62,89,75,47,57,91,42,43,44,36,40,35,39,48,41,0,1,0,1,[]
213,46,58,22,65,75,57,89,73,59,61,91,55,43,44,26,32,35,39,48,41,0,1,0,1,[]
214,49,58,9,63,74,57,90,74,67,53,90,67,89,16,18,24,93,9,93,6,0,1,0,1,[]
215,48,56,5,51,75,59,77,74,61,59,92,71,83,27,11,20,85,18,87,17,0,1,0,1,[]
216,47,54,5,46,74,59,77,78,50,53,84,63,80,39,19,24,76,26,77,25,0,1,0,1,[]
217,53,56,8,43,75,64,82,81,59,58,83,60,77,52,12,23,62,39,62,39,0,1,0,1,[]
218,57,55,6,33,68,63,83,79,68,63,84,62,77,55,14,21,57,45,58,46,0,1,0,1,[]
219,55,58,7,30,68,64,73,77,67,64,92,73,71,63,18,24,54,47,57,48,0,1,0,1,[]
220,55,57,8,25,55,64,61,83,56,66,88,75,65,57,27,31,53,44,66,48,0,1,0,1,[]
221,53,56,8,25,45,64,60,84,56,67,89,84,65,52,37,39,49,48,68,50,0,1,0,1,[]
222,44,58,8,17,41,66,57,84,4,95,88,84,61,58,44,49,48,48,64,57,0,1,0,1,[]
223,36,58,17,15,40,57,54,85,6,95,83,85,55,58,45,57,42,52,53,57,0,1,0,1,[]
224,37,59,18,15,37,62,54,85,14,86,80,86,46,57,42,53,45,54,46,58,0,1,0,1,[]
225,34,62,20,12,32,64,2,96,23,78,71,81,44,46,42,43,47,50,49,49,0,1,0,1,[]
226,38,59,17,16,32,64,8,95,31,68,77,73,42,44,41,32,51,48,55,56,0,1,0,1,[]
227,36,57,29,9,5,95,14,95,37,60,77,78,42,45,47,22,47,51,49,52,0,1,0,1,[]
228,42,55,37,9,14,90,29,84,42,55,78,76,41,37,42,15,54,47,57,50,0,1,0,1,[]
