,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
74,31,56,49,50,72,92,71,90,16,13,20,11,54,31,55,46,79,86,71,91,0,0,0,0,['6:6 FPXCrisp(深海泰坦) 击杀了 V5Max(牛头酋长)']
75,32,44,50,49,71,90,71,90,15,14,23,12,52,36,54,45,77,85,71,91,0,0,0,0,[]
76,40,37,51,45,69,91,5,91,19,16,24,10,50,35,56,46,78,80,85,10,0,0,0,0,[]
77,36,37,50,47,69,91,14,80,27,22,23,12,47,38,52,47,78,83,73,17,0,0,0,0,[]
78,31,36,50,51,69,91,25,70,20,20,29,21,39,38,48,43,74,88,62,25,0,0,0,0,[]
79,23,40,50,49,63,94,31,58,17,20,27,21,41,39,50,44,74,88,51,33,0,0,0,0,[]
80,19,45,45,53,64,93,35,60,15,16,20,14,34,43,48,50,78,86,39,40,0,0,0,0,[]
81,17,46,48,51,67,92,36,50,12,18,14,15,30,51,48,51,73,90,31,47,0,0,0,0,[]
82,21,50,46,53,69,91,37,56,13,19,19,15,32,45,40,44,75,92,36,43,0,0,0,0,[]
83,24,56,39,50,71,91,36,59,11,23,19,25,39,38,30,39,77,89,49,48,0,0,0,0,[]
84,23,55,44,52,63,87,46,67,11,33,25,25,41,31,32,39,81,83,58,55,0,0,0,0,[]
85,23,54,45,52,62,85,52,62,8,22,26,16,41,30,44,39,82,86,68,65,0,0,0,0,[]
86,22,53,46,52,68,88,61,74,8,17,16,15,42,18,50,49,84,84,77,76,0,0,0,0,[]
87,22,46,44,53,70,91,71,83,8,17,16,14,41,16,49,50,83,84,80,84,0,0,0,0,[]
88,22,46,45,52,72,91,71,90,11,20,14,13,40,16,51,50,82,90,77,84,0,0,0,0,[]
89,21,48,46,52,69,90,70,91,11,20,15,11,43,16,49,50,79,80,71,77,0,0,0,0,[]
90,23,55,46,53,69,91,69,91,9,24,13,12,48,21,50,51,73,70,59,74,0,0,0,0,[]
91,32,61,45,55,69,92,70,89,6,24,7,18,41,29,45,53,69,61,51,65,0,0,0,0,[]
92,42,60,44,54,69,92,59,85,9,26,7,18,40,40,48,54,71,66,55,65,0,0,0,0,[]
93,44,58,41,56,6,96,57,74,9,27,11,20,44,50,47,53,78,75,51,56,0,0,0,0,[]
94,44,56,42,54,12,91,50,62,8,25,19,25,44,54,44,54,83,83,46,54,0,0,0,0,['7:49 FPXTian(凛冬之怒) 击杀了 V5Windy(荒漠屠夫)']
95,41,57,42,54,21,86,42,58,6,27,24,36,46,55,45,54,81,85,46,54,0,0,0,0,[]
96,41,54,42,54,27,81,43,58,5,29,21,48,47,55,47,53,80,82,45,54,0,0,0,0,[]
97,42,55,42,54,30,70,43,57,5,29,30,53,46,55,46,53,80,82,48,52,0,0,0,0,[]
98,48,51,42,54,39,61,51,50,10,19,35,49,50,50,53,48,94,8,51,48,0,0,0,0,[]
99,50,51,2,96,49,50,46,49,14,14,49,50,51,46,51,45,91,17,49,49,0,0,0,0,[]
100,47,42,45,44,45,45,44,49,13,16,45,44,58,37,60,37,86,26,48,42,0,0,0,0,['8:17 V5y4(虚空之女) 击杀了 FPXCrisp(深海泰坦)']
101,47,40,47,40,46,40,48,45,12,13,51,41,53,33,61,37,88,37,48,42,0,0,0,0,[]
102,52,47,52,44,50,46,46,44,12,13,55,41,52,33,94,4,89,48,48,42,0,0,0,0,['8:26 V5Ben4(蜘蛛女皇) 击杀了 FPXGimGoon(解脱者)']
103,46,52,52,43,54,49,45,44,3,95,55,41,47,25,89,7,88,61,83,12,0,0,0,0,[]
104,43,55,52,51,56,59,49,58,4,93,55,41,44,23,79,18,87,72,74,24,0,0,0,0,[]
105,43,55,55,51,59,70,56,67,7,82,55,41,44,23,72,28,82,81,64,34,0,0,0,0,[]
106,6,95,55,52,66,78,56,67,9,70,85,5,44,23,62,37,84,83,58,44,0,0,0,0,[]
107,15,91,55,61,73,85,6,95,10,59,72,6,95,4,57,42,84,82,62,52,0,0,0,0,[]
108,28,89,46,54,78,89,13,92,11,46,60,7,92,10,56,44,84,83,63,60,0,0,0,0,[]
109,40,87,44,52,79,90,26,85,11,35,47,8,86,21,52,47,81,83,69,63,0,0,0,0,[]
110,48,78,46,50,80,90,37,76,18,30,34,10,81,31,53,47,83,82,78,74,0,0,0,0,[]
111,52,76,45,51,76,91,49,80,11,31,22,12,80,42,63,53,83,86,81,84,0,0,0,0,[]
