,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
164,4,96,39,42,42,47,11,24,31,31,83,18,41,26,52,47,16,12,18,15,0,0,0,1,[]
165,17,94,29,34,36,40,13,20,27,30,75,26,46,23,54,41,16,13,20,15,0,0,0,1,[]
166,29,94,20,25,26,30,13,21,22,22,66,34,48,22,48,40,15,16,20,14,0,0,0,1,[]
167,42,94,27,21,28,20,14,21,29,20,56,40,40,17,49,47,24,14,28,15,0,0,0,1,[]
168,54,94,27,23,25,24,18,22,24,24,50,44,30,18,42,39,26,15,26,15,0,0,0,1,[]
169,64,91,29,33,28,35,14,17,21,21,48,50,31,22,41,36,24,14,27,19,0,0,0,1,[]
170,73,88,33,37,34,48,10,22,19,25,44,54,36,24,36,24,15,14,19,15,0,0,0,1,[]
171,74,89,38,41,42,53,9,28,23,36,46,49,25,23,24,25,16,16,19,24,0,0,0,1,[]
172,80,80,45,43,45,45,7,30,23,42,56,47,22,29,21,27,11,24,22,32,0,0,0,1,[]
173,79,75,44,51,48,46,5,34,22,42,66,50,25,27,12,24,9,27,16,22,0,0,0,1,[]
174,73,68,48,48,50,47,15,37,23,50,65,50,35,24,22,22,11,25,15,21,0,0,0,1,[]
175,66,58,57,47,55,44,20,48,37,50,61,42,40,29,35,24,17,22,27,23,0,0,0,1,[]
176,66,55,56,48,55,47,30,49,48,49,55,43,48,38,43,34,17,20,37,27,0,0,0,1,[]
177,71,64,58,57,54,54,41,52,53,54,58,42,57,43,53,42,16,18,43,35,0,0,0,1,[]
178,75,62,66,55,58,55,52,56,64,57,60,42,57,43,54,45,20,15,45,39,0,0,0,1,[]
179,65,63,63,63,58,55,62,63,61,60,52,46,51,50,48,52,20,15,52,49,0,0,0,1,[]
180,54,57,51,57,52,57,52,60,52,57,45,53,45,55,44,54,95,4,47,54,0,0,0,1,[]
181,55,58,57,58,55,59,49,60,52,57,48,50,48,54,50,49,53,49,50,52,0,0,0,1,[]
182,54,66,57,61,55,65,50,62,55,62,47,55,50,53,55,51,46,51,50,53,0,0,0,1,[]
183,47,66,47,65,57,73,47,67,48,65,48,60,48,59,56,57,52,54,49,55,0,0,0,1,[]
184,41,66,45,66,56,75,41,66,44,67,49,58,52,60,51,56,50,60,47,56,0,0,0,1,[]
185,33,60,45,70,2,96,35,60,38,61,48,53,63,59,48,53,63,63,56,58,0,0,0,1,[]
186,30,49,47,74,6,94,38,56,39,59,47,52,70,63,53,55,68,65,65,62,0,0,0,1,[]
187,29,37,40,65,17,87,37,57,40,57,57,57,68,66,50,54,69,63,67,65,0,0,0,1,[]
188,20,26,29,60,30,88,38,55,39,55,67,64,70,65,57,49,67,59,72,63,0,0,0,1,[]
189,13,18,24,57,43,90,37,56,36,59,75,73,74,56,70,50,60,49,73,62,0,0,0,1,[]
190,16,18,23,55,53,88,37,57,34,59,78,87,80,54,76,52,51,41,95,4,0,0,0,1,[]
191,25,11,2,96,55,86,4,95,2,96,78,87,82,56,70,50,42,32,85,6,0,0,0,1,[]
192,27,10,8,86,54,87,16,87,14,89,93,4,79,53,58,50,34,23,72,7,0,0,0,1,[]
193,20,11,15,75,55,89,24,77,22,80,86,10,73,42,48,51,27,14,59,8,0,0,0,1,[]
194,11,13,18,63,60,90,31,67,29,70,82,22,66,39,53,47,26,8,46,10,0,0,0,1,[]
195,11,13,18,51,58,93,40,59,39,58,81,34,58,35,53,47,26,10,33,12,0,0,0,1,[]
196,8,19,15,43,62,93,46,52,48,59,80,47,54,32,88,7,36,13,21,10,0,0,0,1,[]
197,9,20,23,40,59,93,47,52,49,58,77,59,54,32,77,18,36,17,20,14,0,0,0,1,[]
198,10,28,34,36,51,83,46,50,47,50,79,76,87,6,67,28,33,18,14,13,0,0,0,1,[]
199,11,27,40,36,56,74,48,50,46,48,83,83,79,15,59,38,25,14,18,20,0,0,0,1,[]
200,9,24,33,35,57,71,39,42,41,39,80,85,68,19,58,42,16,13,16,15,0,0,0,1,[]
201,11,21,28,36,55,85,30,39,32,34,79,77,58,23,59,35,21,13,25,14,0,0,0,1,[]
202,9,23,28,37,59,92,37,48,32,42,71,67,44,24,49,26,31,20,31,21,0,0,0,1,[]
203,9,25,23,46,59,93,46,51,39,50,66,57,41,32,41,29,25,25,34,23,0,0,0,1,[]
204,9,25,24,45,59,93,49,51,49,52,58,48,35,39,37,38,18,24,24,28,0,0,0,1,[]
205,3,93,21,44,62,89,43,52,41,51,53,46,32,42,28,35,15,19,21,29,0,0,0,1,[]
206,5,83,21,40,73,88,41,53,33,47,60,49,34,36,22,27,9,21,12,23,0,0,0,1,[]
207,6,70,24,37,81,83,40,45,34,43,72,50,25,29,30,22,7,26,8,28,0,0,0,1,[]
208,8,57,39,38,76,71,45,46,41,45,82,59,34,23,45,24,8,27,11,25,0,0,0,1,[]
209,10,45,46,38,66,62,53,49,53,45,90,70,47,24,56,32,13,22,18,23,0,0,0,2,[]
210,8,34,53,45,63,51,53,46,54,45,83,60,59,35,58,40,26,22,26,22,0,0,0,2,[]
211,11,29,51,48,57,49,54,51,55,48,77,53,57,41,55,40,44,34,44,37,0,0,0,2,[]
212,11,21,45,48,47,51,43,48,45,50,75,65,57,41,49,39,50,42,51,43,0,0,0,2,[]
213,12,20,43,45,51,62,38,58,38,49,80,77,61,50,40,29,50,45,53,50,0,0,0,2,[]
214,19,25,40,44,49,66,38,58,43,52,84,85,66,48,29,22,46,46,48,47,0,0,0,2,[]
215,21,29,43,43,47,73,2,96,38,50,81,81,60,49,26,11,50,48,49,50,0,0,0,2,[]
216,15,32,41,44,52,84,2,96,41,54,73,90,51,41,27,11,47,48,47,47,0,0,0,2,[]
217,22,34,36,43,60,87,38,57,39,54,73,90,41,40,17,15,45,45,41,44,0,0,0,2,[]
218,24,37,32,45,63,93,42,56,36,48,69,80,42,36,21,14,45,39,41,39,0,0,0,2,[]
219,15,36,32,55,60,93,39,63,33,43,62,85,42,32,23,13,55,42,45,40,0,0,0,2,[]
220,10,37,27,59,55,92,46,67,33,49,66,83,42,32,95,4,55,46,45,40,0,0,0,2,[]
221,10,28,25,59,55,91,43,68,33,49,66,83,93,8,93,5,51,49,91,12,0,0,0,2,[]
222,10,25,25,59,62,93,40,61,3,96,90,4,87,19,89,7,51,52,82,21,0,0,0,2,[]
223,15,16,2,96,71,91,43,53,13,88,78,6,82,30,83,19,54,50,72,30,0,0,0,2,[]
224,14,16,7,93,79,87,39,58,20,77,65,7,80,43,80,33,59,51,64,39,0,0,0,2,[]
225,14,18,16,87,76,90,39,62,30,69,51,8,83,56,81,46,59,51,55,49,0,0,0,2,[]
226,14,18,24,77,67,94,39,64,41,67,38,8,81,55,88,58,85,8,56,46,0,0,0,2,[]
227,4,94,33,69,67,94,44,53,54,67,27,9,78,50,91,69,75,15,57,41,0,0,0,2,[]
228,10,82,45,67,2,96,48,50,62,62,27,14,72,41,87,73,64,21,58,42,0,0,0,2,[]
229,11,70,56,61,2,96,48,50,56,57,38,16,62,37,86,77,58,32,54,46,0,0,0,2,[]
230,11,57,66,55,59,60,55,56,66,58,42,17,52,35,86,76,55,41,53,44,0,0,0,2,[]
231,17,49,70,50,68,61,55,56,72,62,32,12,51,27,88,70,47,36,56,42,0,0,0,2,[]
232,23,40,66,55,73,73,49,51,61,57,19,15,55,32,92,58,53,29,46,41,0,0,0,2,[]
233,30,38,56,54,70,84,53,51,53,50,23,14,65,40,83,51,51,34,53,45,0,0,0,2,[]
234,28,33,47,52,80,83,50,53,50,52,26,23,64,51,76,50,50,43,54,49,0,0,0,2,[]
235,32,39,44,54,86,81,42,56,43,54,28,32,63,58,60,50,49,47,52,54,0,0,0,2,[]
236,34,40,43,57,82,81,40,55,41,57,35,37,53,62,54,52,52,51,47,56,0,0,0,2,[]
237,32,47,40,59,75,78,40,53,42,54,44,43,53,62,62,61,48,55,51,56,0,0,0,2,[]
238,23,46,42,54,62,77,42,55,43,53,54,47,63,63,73,69,54,54,56,62,0,0,0,2,[]
239,23,33,43,54,49,75,42,53,43,56,52,50,65,65,81,77,50,50,53,56,0,0,0,2,[]
240,17,22,40,60,40,66,40,58,41,57,52,51,55,58,84,78,47,51,47,54,0,0,0,2,[]
241,17,17,45,66,41,62,36,58,40,60,51,47,46,57,81,85,41,53,47,55,0,0,0,2,[]
242,17,16,40,65,41,57,41,60,40,66,44,36,50,51,76,79,45,50,49,52,0,0,0,2,[]
243,20,19,46,58,43,56,40,65,50,66,35,24,56,61,70,68,52,50,51,55,0,0,0,2,[]
244,22,31,47,59,43,57,48,67,51,64,27,13,59,62,67,61,52,52,51,52,0,0,0,2,[]
245,29,39,55,67,46,55,40,62,55,67,26,10,56,56,57,55,53,49,52,51,0,0,0,2,[]
246,32,46,50,59,42,56,44,69,57,68,16,17,56,56,57,55,50,52,49,52,0,0,0,2,[]
247,29,50,54,66,41,57,45,70,50,66,14,17,55,62,60,62,57,57,56,60,0,0,0,2,[]
248,32,58,51,67,43,58,46,66,51,65,13,17,62,62,61,62,62,63,58,64,0,0,0,2,[]
249,41,66,53,62,52,62,51,63,54,63,16,16,62,62,64,61,64,62,60,58,0,0,0,2,[]
250,53,68,59,67,55,66,52,64,56,68,95,4,65,63,63,62,60,59,61,61,0,0,0,2,[]
251,60,75,51,62,48,57,47,59,53,65,94,2,66,54,60,58,53,52,54,51,0,0,0,2,[]
252,61,89,49,60,45,54,43,53,45,57,89,14,59,57,53,52,49,49,52,52,0,0,0,2,[]
