,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,TESMoyu, ,TESAKi, ,TESKnight9, ,TESLokeN, ,TESQiuQiu, ,blue_economics,blue_towers,red_economics,red_towers,captions
74,46,57,71,63,3,94,88,77,86,79,18,15,66,42,49,49,88,72,91,74,0,0,0,0,[]
75,56,60,78,56,4,83,87,77,85,78,19,15,73,49,50,50,91,69,91,72,0,0,0,0,[]
76,59,58,76,57,5,70,86,79,80,76,17,15,77,55,62,51,88,68,88,68,0,0,0,0,[]
77,58,59,69,64,7,59,84,78,75,67,16,16,82,58,58,49,89,71,88,67,0,0,0,0,[]
78,50,54,75,58,7,48,88,75,76,57,95,4,84,60,53,48,91,68,93,70,0,0,0,0,[]
79,47,55,81,57,9,36,84,78,77,58,88,5,84,65,51,48,88,69,92,73,0,0,0,0,[]
80,48,54,75,58,9,27,83,79,75,66,77,6,83,67,51,47,87,67,86,65,0,0,0,0,[]
81,48,56,70,63,8,25,85,82,76,70,66,8,82,65,49,50,87,67,84,65,0,0,0,0,[]
82,47,54,68,63,8,25,84,80,77,73,55,8,76,62,56,49,95,4,88,74,0,0,0,0,[]
83,53,61,64,64,8,26,83,84,69,66,45,12,65,61,61,57,84,78,80,76,0,0,0,0,[]
84,64,53,64,58,9,25,79,79,65,57,35,16,66,54,58,56,79,73,76,70,0,0,0,0,"['6:59 SNAngel(卡牌大师) 击杀了 TESAKi(解脱者),获得一血']"
85,55,48,55,53,11,22,80,77,55,53,25,14,66,54,56,47,75,63,77,62,0,0,0,0,[]
86,49,51,54,52,10,16,87,77,56,54,17,17,66,54,56,46,84,66,86,65,0,0,0,0,[]
87,48,53,55,55,13,16,83,79,64,60,20,13,94,7,51,47,87,74,89,75,0,0,0,0,[]
88,40,60,64,61,14,20,83,81,72,68,19,14,89,17,47,48,86,75,88,79,0,0,0,0,[]
89,38,61,70,65,13,19,83,79,79,75,20,13,83,27,42,45,87,75,88,81,0,0,0,0,[]
90,44,58,73,67,12,19,79,83,79,80,18,13,79,37,44,43,85,78,84,82,0,0,0,0,[]
91,49,54,65,64,22,23,79,83,79,79,22,10,75,44,95,4,89,76,87,80,0,0,0,0,[]
92,53,47,57,68,19,16,73,86,71,78,20,10,77,47,87,9,86,82,83,86,0,0,0,0,[]
93,46,54,58,76,16,17,73,86,71,82,18,10,77,52,77,19,84,82,81,88,0,0,0,0,[]
94,42,57,57,82,16,15,2,96,72,83,22,13,81,56,69,29,86,84,86,85,0,0,0,0,[]
95,42,57,55,83,20,24,2,96,72,86,23,10,80,54,60,38,89,81,88,82,0,0,0,0,[]
96,7,93,56,82,28,32,70,90,70,88,27,8,80,53,57,43,89,81,88,82,0,0,0,0,[]
97,11,91,56,80,33,37,75,87,70,83,24,14,76,52,56,45,93,7,92,11,0,0,0,0,[]
98,20,83,56,80,25,31,81,85,76,86,19,14,77,52,55,47,92,18,92,23,0,0,0,0,[]
99,28,73,5,91,17,23,81,84,77,88,19,13,76,56,65,50,91,30,90,35,0,0,0,0,[]
100,35,63,10,81,16,16,82,86,75,87,21,11,75,52,70,50,91,41,88,47,0,0,0,0,[]
101,41,58,15,71,14,18,86,86,74,87,16,12,71,48,63,57,90,52,78,50,0,0,0,0,[]
