,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
235,89,75,37,56,37,23,60,63,46,52,67,42,53,34,38,23,30,9,82,17,0,3,0,0,[]
236,87,74,43,45,37,23,62,60,46,45,56,44,63,37,38,23,24,9,72,29,0,3,0,0,[]
237,84,60,37,38,37,23,50,53,39,38,61,43,74,43,38,23,23,9,59,42,0,3,0,0,[]
238,83,59,34,39,37,23,45,48,43,43,74,44,77,47,95,4,30,8,60,42,0,3,0,0,[]
239,80,66,32,44,37,23,51,49,52,48,86,51,76,52,88,18,30,8,66,49,0,3,0,0,[]
240,72,78,37,43,3,86,44,47,46,51,89,52,76,52,79,28,88,8,67,57,0,3,0,0,[]
241,61,82,44,48,5,72,36,37,41,39,88,62,92,9,67,35,79,18,67,42,0,3,0,0,[]
242,58,83,44,57,6,59,41,31,42,37,84,66,79,16,64,36,69,28,62,37,0,3,0,0,[]
243,58,83,46,65,7,46,41,41,45,48,89,70,64,21,57,34,59,38,54,45,0,3,0,0,[]
244,61,85,51,63,9,33,45,52,48,50,91,63,54,31,50,35,57,40,54,44,0,3,0,0,[]
245,74,87,60,63,14,18,47,52,48,54,91,62,44,37,48,42,55,46,51,43,0,3,0,0,[]
246,85,81,69,63,21,11,41,57,42,55,95,4,42,44,52,46,51,48,49,49,0,3,0,0,[]
247,85,77,65,64,25,12,45,55,46,54,85,10,41,38,44,36,54,45,53,45,0,3,0,0,[]
248,87,72,55,57,19,23,51,52,51,54,88,26,50,33,44,24,62,38,66,41,0,3,0,0,[]
249,89,59,53,46,27,33,55,48,55,48,89,41,61,37,52,17,74,44,68,48,0,3,0,0,[]
250,90,52,58,43,37,42,62,50,57,47,91,51,69,47,53,9,66,43,65,40,0,3,0,0,[]
251,92,51,60,48,48,46,65,53,64,51,93,51,85,52,55,11,69,35,73,43,0,3,0,0,[]
252,94,56,71,49,90,52,72,49,72,49,91,57,93,52,61,24,81,36,85,50,0,3,0,0,['20:58 JDGZoom(°µÒá½£Ä§) »÷É±ÁË TES369(º£ÑóÖ®ÔÖ)']
253,94,56,84,51,92,50,90,54,91,50,93,49,93,46,74,34,92,44,92,47,0,3,0,0,[]
254,94,56,91,48,92,45,93,49,93,50,93,45,90,36,82,46,88,44,91,39,0,3,0,0,['21:10 TESLokeN(»úÐµÏÈÇý) »÷É±ÁË JDGZoom(°µÒá½£Ä§)']
255,94,56,88,59,92,58,90,58,89,58,93,45,87,38,80,38,89,43,90,45,0,3,0,0,[]
256,94,56,79,66,83,65,82,66,81,66,93,45,85,37,66,35,90,45,90,47,0,3,0,0,[]
257,94,56,67,68,72,63,72,64,71,65,93,45,95,4,55,41,89,43,82,50,0,3,0,0,[]
258,94,56,66,70,66,68,67,68,67,66,93,45,84,10,51,47,80,36,69,48,0,3,0,0,[]
259,94,56,66,66,71,69,59,61,56,62,93,45,75,20,57,44,66,34,61,52,0,3,0,0,['21:32 TES »÷É±ÁËÍÁÁú']
260,94,56,55,61,82,78,48,55,43,58,93,45,79,32,67,44,60,38,58,38,0,3,0,0,[]
261,11,83,44,54,85,78,39,58,43,59,93,45,66,34,77,51,60,39,58,38,0,3,0,0,[]
262,24,73,33,49,85,78,39,58,42,59,93,45,53,30,79,48,61,37,93,6,0,3,0,0,[]
263,35,64,20,50,3,95,4,95,2,96,94,16,44,20,81,46,58,34,84,11,0,3,0,0,[]
264,46,54,21,43,13,81,13,88,10,91,93,33,40,16,95,4,47,37,69,19,0,3,0,0,[]
265,51,52,16,44,11,69,21,75,20,78,92,48,37,16,82,13,57,42,57,28,0,3,0,0,[]
266,58,57,19,46,11,56,30,65,28,67,92,58,33,17,66,20,57,39,43,32,0,3,0,0,[]
267,66,60,24,56,11,43,40,57,38,59,90,60,36,24,55,30,58,34,35,24,0,3,0,0,[]
268,76,71,23,54,10,30,48,52,41,51,88,57,44,33,47,39,49,33,26,24,0,3,0,0,[]
269,86,78,28,50,15,21,49,51,50,52,78,47,46,37,45,40,47,35,39,28,0,3,0,0,[]
270,86,79,33,39,20,20,52,50,48,53,76,46,49,43,50,44,50,45,50,44,0,3,0,0,[]
271,87,78,41,44,27,30,51,54,46,55,66,55,52,50,50,49,55,50,52,55,0,3,0,0,[]
272,85,78,52,49,38,37,57,55,56,55,64,57,63,53,60,49,63,53,62,52,0,3,0,0,[]
273,58,48,65,51,50,43,62,50,66,54,68,46,66,43,62,50,67,43,73,48,0,3,0,0,['22:44 TESQiuQiu(ºÓÁ÷Ö®Íõ) »÷É±ÁË JDGYagao(Î´À´ÊØ»¤Õß)']
274,62,37,61,42,57,39,55,42,59,45,63,35,69,31,62,50,66,31,80,41,0,3,0,0,[]
275,56,40,56,33,60,36,50,41,53,42,66,31,67,31,62,50,69,31,72,34,0,3,0,0,[]
276,42,38,44,32,51,27,41,33,41,37,61,39,60,23,62,50,62,41,62,40,0,3,0,0,[]
277,32,33,34,30,41,26,41,33,31,33,60,41,60,23,62,50,61,42,61,42,0,3,0,0,[]
278,34,30,34,30,37,37,33,36,33,32,53,45,58,24,62,50,59,44,56,45,0,3,0,0,[]
279,35,30,35,29,38,36,32,32,35,28,41,38,42,24,62,50,46,40,45,40,0,3,0,0,[]
280,34,36,31,31,36,37,36,36,33,32,39,39,33,27,62,50,37,40,37,37,0,3,0,0,[]
281,38,37,33,31,40,36,40,38,31,34,41,38,26,29,62,50,39,33,37,37,0,3,0,0,"['23:21 TESKnight9(µ¶·æÎèÕß) »÷É±ÁË JDGLvMao(Éîº£Ì©Ì¹)', '23:22 TESKnight9(µ¶·æÎèÕß) »÷É±ÁË JDGZoom(°µÒá½£Ä§)', '23:25 TESKnight9(µ¶·æÎèÕß) »÷É±ÁË JDGimp(¸´³ðÖ®Ã¬)']"
282,32,31,30,31,32,23,28,33,25,26,41,38,26,24,86,5,39,33,37,37,0,3,0,0,['23:30 JDGKanavi(¾ÆÍ°) »÷É±ÁË TESLokeN(»úÐµÏÈÇý)']
283,33,32,31,29,25,22,21,28,25,26,41,38,17,22,65,8,39,33,37,37,0,3,0,0,['23:35 TES »÷É±ÁË´óÁú']
284,22,38,31,37,15,21,19,26,25,26,41,38,10,29,56,16,39,33,37,37,0,3,0,0,[]
285,15,35,28,38,23,13,11,35,25,26,41,38,13,34,51,22,39,33,37,37,0,3,0,0,['23:44 TES369(º£ÑóÖ®ÔÖ) »÷É±ÁË JDGKanavi(¾ÆÍ°)']
286,21,45,33,41,32,9,2,96,25,26,41,38,13,34,50,24,39,33,37,37,0,3,0,0,[]
287,22,47,3,96,43,8,4,95,25,26,41,38,13,34,55,17,39,33,87,7,0,3,0,0,[]
288,22,47,11,92,49,20,16,82,25,26,41,38,13,34,53,8,39,33,69,10,0,3,0,0,[]
289,5,95,24,82,2,96,26,72,25,26,41,38,13,34,49,7,94,4,53,11,0,3,0,0,[]
290,21,87,35,77,20,90,35,63,25,26,93,14,13,34,42,9,83,15,62,13,0,3,0,0,[]
291,29,73,44,67,35,88,46,56,39,58,93,32,13,34,45,7,74,26,66,25,0,3,0,0,[]
292,39,63,48,65,44,81,55,50,53,47,92,47,13,34,46,9,64,34,63,38,0,3,0,0,[]
293,50,53,57,61,52,71,56,43,58,44,91,58,93,9,46,9,65,34,66,35,0,3,0,0,[]
294,60,49,67,56,60,77,64,41,65,40,85,53,81,22,94,5,69,31,69,31,0,3,0,0,[]
295,67,42,68,47,73,78,69,47,67,41,80,44,72,32,91,10,68,29,69,31,0,3,0,0,[]
296,74,44,78,51,85,77,77,44,68,44,80,42,77,36,79,24,63,33,66,33,0,3,0,0,[]
297,76,49,76,47,89,69,79,48,61,49,81,41,81,36,79,38,72,34,71,32,0,3,0,0,[]
298,70,48,75,46,89,58,68,50,58,45,79,41,87,44,85,37,81,38,80,40,0,3,0,0,[]
299,63,51,78,50,92,56,57,46,60,45,84,37,91,46,76,35,73,34,67,34,0,3,0,0,[]
300,60,39,78,47,87,49,62,40,60,41,91,41,90,41,72,34,65,34,66,34,0,3,0,0,[]
301,65,33,71,39,84,49,65,34,66,34,90,48,81,36,75,32,70,27,74,28,0,4,0,0,['25:5 TES369(º£ÑóÖ®ÔÖ) »÷ÆÆÁË·ÀÓùËþ']
302,72,34,79,37,91,52,75,33,69,32,92,38,78,28,76,24,72,23,71,25,0,4,0,0,[]
303,67,36,80,41,85,52,68,35,66,35,92,38,79,30,73,26,72,24,71,27,0,4,0,0,[]
304,71,41,85,50,89,46,66,38,68,40,93,11,76,28,77,30,76,29,76,29,0,4,0,0,[]
305,62,40,87,50,88,47,58,45,67,39,91,29,73,29,70,27,71,29,65,30,0,5,0,0,['25:25 TESKnight9(µ¶·æÎèÕß) »÷ÆÆÁË·ÀÓùËþ']
306,64,39,78,47,90,44,63,38,66,37,90,36,78,26,66,27,68,30,73,28,0,5,0,0,[]
307,69,29,69,36,89,44,67,33,68,34,90,36,81,23,76,27,75,24,72,25,0,5,0,0,[]
308,69,30,73,31,89,37,69,32,68,31,92,33,77,24,77,27,73,22,71,24,0,5,0,0,[]
309,68,29,74,32,87,37,72,30,71,31,92,31,75,23,73,21,76,20,77,19,0,5,0,0,[]
310,76,34,77,33,87,36,72,34,70,33,93,30,74,24,77,23,76,20,86,10,0,5,0,0,[]
311,89,33,87,34,89,31,84,34,82,35,94,26,79,25,80,27,69,26,92,9,0,5,0,0,[]
312,92,27,86,29,91,26,89,31,92,31,90,21,88,20,78,27,81,22,80,21,0,6,0,0,['25:57 TES369(º£ÑóÖ®ÔÖ) »÷ÆÆÁË·ÀÓùËþ']
313,92,29,82,29,91,27,88,29,92,29,89,20,89,20,70,29,88,19,85,20,0,6,0,0,[]
314,83,33,72,31,87,34,84,34,83,34,88,26,80,24,73,25,84,24,85,24,0,6,0,0,[]
315,69,33,69,31,74,34,72,34,73,34,86,27,72,24,70,23,72,24,80,29,0,6,0,0,[]
316,67,31,68,32,62,25,68,32,67,32,76,29,75,26,77,24,73,21,77,27,0,6,0,0,[]
317,59,40,62,32,49,17,59,39,63,35,74,31,75,32,71,23,69,26,73,33,0,6,0,0,[]
318,62,36,67,35,42,10,62,38,61,35,84,35,80,40,62,23,74,28,79,31,0,6,0,0,[]
319,68,30,68,29,53,11,67,32,68,29,89,37,80,47,61,23,78,25,75,26,0,6,0,0,[]
320,62,32,63,34,58,15,64,34,64,31,75,34,66,39,62,23,72,27,72,29,0,7,0,0,['26:36 TESKnight9(µ¶·æÎèÕß) »÷ÆÆÁË·ÀÓùËþ']
321,65,38,63,35,58,28,61,37,61,42,67,36,63,35,58,32,65,30,63,35,0,7,0,0,[]
322,68,35,62,39,64,37,59,40,58,45,70,33,63,35,56,45,70,28,63,35,0,7,0,0,"['26:48 TESLokeN(»úÐµÏÈÇý) »÷É±ÁË JDGKanavi(¾ÆÍ°)', '26:48 TESLokeN(»úÐµÏÈÇý) »÷É±ÁË JDGLvMao(Éîº£Ì©Ì¹)']"
323,74,28,55,46,73,30,57,43,57,44,73,27,63,35,54,47,82,23,63,35,0,7,0,0,"['26:54 TESKnight9(µ¶·æÎèÕß) »÷É±ÁË JDGZoom(°µÒá½£Ä§)', '26:54 TESQiuQiu(ºÓÁ÷Ö®Íõ) »÷É±ÁË JDGYagao(Î´À´ÊØ»¤Õß)']"
324,69,28,63,37,70,24,61,40,59,42,73,27,63,35,54,47,90,12,63,35,0,7,0,0,[]
325,69,28,74,27,67,9,70,31,67,32,73,27,63,35,54,47,91,6,63,35,0,7,0,0,[]
326,78,23,79,24,62,9,78,24,76,24,73,27,63,35,54,47,83,19,63,35,0,8,0,0,['27:8 TES369(º£ÑóÖ®ÔÖ) »÷ÆÆÁË·ÀÓùËþ']
327,80,23,80,20,70,10,81,23,81,23,73,27,63,35,54,47,89,16,63,35,0,8,0,0,[]
328,87,16,87,19,81,15,85,16,84,17,73,27,63,35,54,47,92,12,63,35,0,8,0,0,[]
329,85,11,86,10,85,13,85,13,83,16,73,27,63,35,54,47,87,8,63,35,0,9,0,0,['27:22 TES »÷ÆÆÁË·ÀÓùËþ']
330,85,13,86,8,89,14,85,11,85,13,73,27,63,35,54,47,89,8,90,6,0,10,0,0,"['27:29 TES369(º£ÑóÖ®ÔÖ) »÷ÆÆÁË·ÀÓùËþ', '27:27 TESKnight9(µ¶·æÎèÕß) »÷É±ÁË JDGimp(¸´³ðÖ®Ã¬)']"
331,88,14,85,10,89,9,85,11,83,10,73,27,90,8,54,47,89,8,94,7,0,10,0,0,[]
332,89,13,85,10,89,9,85,11,82,11,73,27,93,6,95,4,89,8,94,6,0,10,0,0,[]
333,89,13,85,10,89,9,85,11,82,11,73,27,93,6,95,4,89,8,94,6,0,10,0,0,['27:45 TES »ñÊ¤']
