,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
170,19,12,34,64,14,80,8,93,7,94,38,60,40,61,35,65,78,85,79,85,21031,0,26367,1,[]
171,19,9,34,64,4,94,15,84,15,83,38,60,44,49,38,61,78,86,78,90,21087,0,26456,2,['14:13 TES 击破了防御塔']
172,17,9,5,95,14,86,23,74,23,73,38,60,34,42,47,59,74,91,73,90,21138,0,26551,2,[]
173,2,96,11,94,32,89,31,67,31,65,91,5,34,40,55,66,71,91,70,89,21231,0,27165,2,[]
174,4,82,26,93,50,91,38,61,39,64,77,6,34,38,57,62,71,89,73,87,21282,0,27363,3,['14:28 TESLokeN(探险家) 击破了防御塔']
175,5,69,39,90,63,91,40,59,40,59,63,8,37,37,54,57,73,88,72,88,21536,0,27512,3,[]
176,6,57,51,89,63,93,37,59,38,58,49,9,40,35,51,52,76,87,77,88,21592,0,27593,3,[]
177,8,44,55,84,70,90,41,57,46,58,35,10,40,35,52,50,79,82,79,83,21785,0,27854,3,[]
178,15,35,55,84,62,92,40,59,50,62,22,13,92,7,58,50,81,69,81,69,21877,0,27950,3,[]
179,12,34,55,83,58,92,44,54,50,58,17,16,91,5,58,50,81,69,81,69,22072,0,28085,3,[]
180,10,24,50,78,57,93,48,52,51,59,21,22,76,10,93,9,94,4,94,5,22298,0,28136,3,[]
181,9,26,56,68,61,86,51,56,57,57,14,18,68,16,86,23,92,6,91,10,22438,0,28189,3,[]
182,10,23,57,68,77,86,60,59,65,56,13,20,69,29,81,36,83,16,83,16,22603,0,28345,3,[]
183,10,26,57,65,77,86,63,62,66,59,15,21,69,41,79,49,73,24,73,24,22759,0,28399,3,[]
184,11,33,68,63,77,85,71,62,73,63,24,29,76,46,77,53,64,32,64,32,22810,0,28650,3,[]
185,13,21,79,64,85,85,80,66,83,66,35,40,76,53,83,60,53,43,53,43,24033,0,28722,3,[]
186,14,17,82,63,88,72,79,65,79,66,45,48,74,62,83,60,47,48,54,51,24085,0,28838,3,['15:27 VGPuff(逆羽) 击杀了 TESKnight9(未来守护者)']
187,15,16,78,63,82,78,72,71,72,70,45,47,68,63,83,60,51,52,59,59,24200,0,28997,3,[]
188,14,15,75,69,88,76,72,77,72,76,41,37,62,61,83,60,58,57,61,63,24451,0,29051,3,[]
189,11,17,68,78,85,78,62,77,60,77,39,24,75,63,83,60,66,63,66,63,24589,0,29102,3,[]
190,11,30,66,77,83,89,50,76,49,75,29,9,83,65,83,60,62,62,62,62,24635,0,29227,3,[]
191,15,39,54,76,74,86,44,70,40,67,25,9,88,67,83,60,62,62,62,62,24742,0,29522,3,[]
192,15,41,44,69,72,85,41,67,29,69,20,15,91,71,83,60,62,62,62,62,24887,0,29607,3,[]
193,15,38,29,61,71,77,32,65,34,63,14,19,81,66,90,12,54,53,54,53,25141,0,29749,3,[]
194,9,28,24,56,83,82,31,66,34,66,14,22,75,59,82,23,42,57,44,56,25470,0,29802,3,[]
195,8,30,21,52,79,85,37,59,38,56,26,22,66,68,80,37,46,53,46,53,25626,0,29867,3,[]
196,10,25,30,52,73,87,34,63,33,62,39,17,66,64,80,52,44,56,44,56,25681,0,29941,3,[]
197,14,17,22,47,73,87,35,62,32,52,40,16,66,64,85,64,47,53,47,53,25732,0,30195,3,[]
198,19,13,21,48,2,96,35,62,36,62,37,17,67,65,85,78,47,52,53,56,25884,0,30372,3,[]
199,15,17,21,47,15,93,39,60,36,59,37,15,66,65,80,84,52,49,66,65,26082,0,30678,3,[]
200,14,17,21,47,36,91,33,65,31,51,26,12,57,67,78,86,56,59,57,67,26376,0,30861,3,['16:36 TES 击杀了风龙']
201,10,17,4,93,41,90,31,67,34,38,19,15,51,77,65,88,57,73,51,77,26431,0,31067,3,[]
