,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,blue_economics,blue_towers,red_economics,red_towers,captions
160,38,50,51,66,60,73,42,55,42,55,77,51,66,41,73,49,46,36,49,40,0,1,0,1,[]
161,2,96,51,74,71,83,44,56,44,56,79,52,57,33,77,54,49,43,54,44,0,1,0,1,[]
162,4,92,52,76,80,86,47,54,47,54,79,52,53,36,80,48,53,49,50,47,0,1,0,1,[]
163,4,87,52,84,80,86,46,53,46,53,91,12,52,32,80,48,50,43,55,47,0,1,0,1,[]
164,5,74,53,84,78,85,47,58,45,54,92,24,47,27,90,6,51,42,55,47,0,1,0,1,[]
165,7,61,53,84,80,84,34,59,34,59,91,37,47,28,80,6,52,45,55,49,0,1,0,1,[]
166,8,48,51,77,73,78,28,59,28,59,91,50,46,16,68,7,50,47,53,52,0,1,0,1,[]
167,12,37,46,65,69,78,35,59,35,59,91,63,42,19,55,7,47,51,46,53,0,1,0,1,[]
168,15,33,47,64,69,78,42,56,42,56,90,67,43,18,42,9,49,48,47,48,0,1,0,1,[]
169,24,32,46,63,13,95,40,58,39,58,92,68,39,17,31,10,48,42,49,44,0,1,0,1,[]
170,17,23,2,96,27,94,41,58,42,55,88,70,30,18,25,8,56,41,49,44,0,1,0,1,[]
171,12,12,8,84,41,92,37,58,35,61,87,76,29,22,24,10,54,42,86,5,0,1,0,1,[]
172,17,9,14,72,56,90,37,57,35,61,87,76,29,22,24,9,53,44,74,12,0,1,0,1,[]
173,18,15,17,60,68,88,41,56,5,91,87,72,90,9,35,12,50,48,63,22,0,1,0,1,[]
174,20,25,21,47,75,90,40,53,12,82,81,69,84,19,41,19,50,49,53,32,0,1,0,1,[]
175,18,14,26,35,74,90,43,55,20,75,82,63,74,28,33,12,50,46,41,31,0,1,0,1,[]
176,17,13,30,38,82,90,41,54,28,67,81,56,67,36,23,10,48,42,40,30,0,1,0,1,[]
177,22,13,24,33,84,84,32,46,32,58,81,56,72,42,31,8,48,42,39,32,0,1,0,1,[]
178,29,18,28,21,84,83,32,46,32,48,94,8,72,42,34,6,91,8,45,23,0,1,0,1,[]
179,26,10,32,16,81,79,43,52,35,38,92,21,60,35,34,7,83,14,41,15,0,1,0,1,[]
180,21,11,24,14,75,70,48,52,39,39,91,35,52,26,31,8,74,23,37,15,0,1,0,1,[]
181,17,14,22,22,67,60,55,46,45,40,91,47,51,28,27,12,66,32,33,18,0,1,0,1,[]
182,20,13,27,19,62,50,57,47,53,45,90,60,52,33,36,13,59,39,45,16,0,1,0,1,[]
183,27,7,27,8,59,47,56,47,52,48,90,69,57,40,31,10,59,39,50,23,0,1,0,1,[]
184,25,8,25,7,58,56,47,50,47,50,90,70,54,30,31,11,57,34,40,15,0,1,0,1,[]
185,21,11,19,15,67,65,48,50,48,50,87,66,48,19,27,10,59,37,36,16,0,1,0,1,[]
186,18,20,19,23,76,75,49,49,49,49,80,56,36,17,30,11,56,43,35,23,0,1,0,1,[]
187,17,21,20,20,80,84,50,47,50,47,66,53,26,16,26,14,59,41,43,35,0,1,0,1,[]
188,14,14,13,14,84,83,40,55,40,55,65,57,28,20,22,13,56,42,41,44,0,1,0,1,[]
189,11,26,11,27,82,84,39,55,39,55,70,61,32,22,24,9,52,41,37,40,0,1,0,1,[]
190,15,37,14,42,75,87,4,96,3,96,78,56,41,31,31,8,50,43,42,40,0,1,0,1,[]
191,23,47,18,45,75,87,14,89,14,89,82,56,42,44,31,10,45,52,45,51,0,1,0,1,[]
192,22,48,22,48,2,96,18,83,18,83,83,58,44,49,32,11,41,53,41,45,0,1,0,1,[]
193,19,47,35,50,13,89,41,58,41,58,88,65,42,38,93,6,41,40,40,36,0,1,0,1,[]
194,26,34,43,47,23,79,47,52,43,47,89,70,53,35,87,17,48,35,41,32,0,1,0,1,[]
195,24,23,36,36,32,70,46,49,46,49,89,68,52,31,78,23,54,32,41,27,0,1,0,1,[]
196,18,14,37,38,42,61,49,48,44,43,88,67,44,24,67,26,58,40,41,27,0,1,0,1,[]
197,23,9,41,37,45,51,51,47,46,44,88,67,40,32,56,29,55,42,41,27,0,1,0,1,[]
198,27,8,50,46,48,46,52,43,50,46,95,4,48,35,47,37,60,39,46,37,0,1,0,1,[]
199,22,10,48,46,46,43,48,48,48,46,92,8,47,36,51,41,56,41,51,42,0,1,0,1,[]
200,23,10,52,48,50,46,48,47,51,47,84,19,56,33,56,42,58,44,52,43,0,1,0,1,[]
201,27,8,46,51,49,48,44,52,49,48,75,27,56,43,53,43,57,46,60,42,0,1,0,1,[]
202,33,10,47,63,46,57,40,58,46,57,67,37,58,39,41,39,61,42,62,41,0,2,0,1,['16:47 V5Windy(½âÍÑÕß) »÷ÆÆÁË·ÀÓùËþ']
203,27,16,47,63,47,52,47,52,47,63,76,46,50,42,50,31,61,42,95,4,0,2,0,1,[]
204,30,18,49,59,48,49,48,50,49,59,66,43,47,37,47,35,93,6,91,6,0,2,0,1,[]
205,39,10,57,57,60,57,56,57,56,57,66,47,41,28,51,26,59,41,85,13,0,2,0,1,[]
206,37,8,69,62,69,66,66,65,66,65,77,50,49,19,47,16,59,35,74,22,0,2,0,1,[]
207,25,10,72,63,77,77,59,61,72,63,76,53,43,18,40,9,48,33,65,33,0,2,0,1,[]
208,20,14,64,64,85,79,48,56,75,68,84,51,42,19,46,8,45,36,55,44,0,2,0,1,[]
209,20,14,58,60,87,69,46,54,65,64,92,60,41,19,48,18,49,46,54,51,0,2,0,1,[]
210,9,93,57,55,89,69,44,52,57,58,92,64,41,19,54,30,51,46,55,46,0,2,0,1,[]
211,16,83,64,62,87,69,46,51,50,55,92,64,94,6,60,41,54,47,58,49,0,2,0,1,[]
212,26,75,71,64,89,67,51,59,55,59,93,59,86,17,56,55,62,50,64,58,0,2,0,1,[]
213,34,65,72,65,88,71,48,65,50,65,91,58,77,26,57,54,61,57,58,60,0,2,0,1,[]
214,45,58,67,66,83,78,39,64,39,64,91,60,68,36,53,52,54,54,54,55,0,2,0,1,[]
215,43,55,70,77,83,78,38,55,38,55,88,57,66,48,50,49,50,52,50,51,0,2,0,1,[]
216,44,55,59,72,2,96,43,54,43,54,91,62,65,57,56,54,52,50,55,56,0,2,0,1,[]
217,50,52,56,68,2,96,45,55,47,58,83,66,63,62,62,62,61,58,63,62,0,2,0,1,[]
218,55,57,52,68,47,59,49,60,49,60,78,65,55,67,61,63,60,60,55,64,0,2,0,1,['18:8 OMGicon(Äº¹âÐÇÁé) »÷É±ÁË V5Ben4(Ã¤É®)']
219,56,57,52,68,53,65,51,62,51,62,66,66,59,72,63,62,66,64,62,63,0,2,0,1,[]
220,52,54,52,68,54,57,50,50,50,50,67,69,65,71,66,54,66,66,63,62,0,2,0,1,[]
221,51,46,52,68,52,49,50,47,50,47,65,63,65,70,66,45,62,61,57,62,0,2,0,1,['18:24 OMG »÷É±ÁËÍÁÁú']
222,48,46,52,68,49,48,44,54,45,50,54,64,59,61,59,42,51,53,50,60,0,2,0,1,[]
223,36,40,52,68,45,57,41,61,41,61,57,72,56,60,59,40,55,47,49,61,0,2,0,1,[]
224,26,33,52,68,39,63,45,71,45,71,62,69,58,63,59,46,55,45,55,58,0,2,0,1,[]
225,18,24,8,94,45,70,45,73,45,73,74,70,67,54,67,48,63,40,64,57,0,2,0,1,[]
226,13,21,21,90,50,81,42,67,46,68,81,81,73,54,72,49,54,43,64,57,0,2,0,1,[]
227,23,13,34,89,60,86,42,57,51,63,83,84,76,46,72,49,49,49,92,4,0,2,0,1,[]
228,30,9,47,88,72,89,45,52,45,55,87,71,73,44,72,49,50,43,81,13,0,2,0,1,[]
229,28,9,56,83,75,90,45,54,38,56,83,60,72,43,89,6,49,34,71,24,0,2,0,1,[]
230,28,18,55,82,76,89,40,59,36,58,82,57,72,43,76,6,55,31,61,33,0,2,0,1,[]
231,24,30,56,83,76,87,40,59,2,96,81,55,88,8,63,7,52,27,50,31,0,2,0,1,[]
232,22,43,49,80,75,88,8,93,7,95,82,56,80,17,52,7,53,29,39,32,0,2,0,1,[]
233,15,42,42,68,78,85,18,85,18,85,85,66,70,27,51,6,54,31,34,22,0,2,0,1,[]
234,15,43,44,64,85,77,26,76,26,76,87,68,60,33,43,10,56,39,35,23,0,2,0,1,[]
235,21,43,46,65,88,75,33,66,33,66,90,67,48,35,34,10,51,48,93,4,0,2,0,1,[]
236,28,37,47,65,87,75,43,57,43,57,93,56,41,32,23,11,55,46,81,12,0,2,0,1,[]
237,35,36,44,51,77,74,44,55,45,52,93,57,47,37,21,12,57,44,66,20,0,2,0,1,[]
238,44,42,46,43,68,63,51,50,47,46,92,65,57,44,29,18,95,4,58,32,0,2,0,1,[]
239,52,45,50,47,63,52,52,47,51,43,90,63,63,41,40,24,87,8,59,41,0,2,0,1,[]
240,58,46,58,46,58,47,56,46,56,46,90,62,59,41,51,27,79,18,57,42,0,2,0,1,[]
241,61,42,56,43,58,42,58,45,57,44,95,4,60,37,57,38,70,27,62,40,0,3,0,1,['20:5 V5y4(ÄæÓð) »÷ÆÆÁË·ÀÓùËþ']
