,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
104,2,96,26,37,3,93,10,91,7,94,21,10,44,15,49,48,89,64,89,71,0,0,0,0,[]
105,6,96,22,30,8,83,20,81,21,90,20,12,45,16,48,42,87,73,86,77,0,0,0,0,[]
106,11,96,14,18,16,70,33,69,35,88,19,14,47,17,95,4,87,75,89,75,0,0,0,0,[]
107,27,94,14,17,18,58,40,59,47,78,19,10,52,28,91,5,88,75,88,76,0,0,0,0,[]
108,40,92,14,16,22,48,37,50,57,71,19,10,52,33,82,19,86,77,88,79,0,0,0,0,[]
109,53,90,13,20,24,47,26,50,58,66,14,13,54,32,68,33,87,79,87,75,0,0,0,0,[]
110,66,88,13,18,15,43,35,49,63,76,15,15,62,36,57,43,84,81,87,71,0,0,0,0,[]
111,76,89,11,20,15,44,42,53,73,86,17,12,73,44,50,52,82,83,83,80,0,0,0,0,[]
112,73,91,11,18,23,55,45,58,72,90,16,13,76,45,50,50,80,88,80,83,0,0,0,0,[]
113,69,92,12,19,24,57,44,57,71,94,16,13,77,48,49,50,75,90,76,87,0,0,0,0,[]
114,71,90,9,25,35,63,46,55,72,91,16,13,77,48,50,49,79,86,81,83,0,0,0,0,[]
115,70,88,10,23,46,65,45,52,71,88,16,12,77,48,53,48,81,87,82,85,0,0,0,0,[]
116,68,91,8,24,46,68,47,55,75,89,11,18,87,9,47,38,84,84,84,79,0,0,0,0,[]
117,66,89,10,24,50,80,49,52,73,88,13,18,77,15,38,27,84,81,85,79,0,0,0,0,[]
118,73,88,10,26,55,83,51,56,73,88,11,20,66,20,28,20,86,79,85,77,0,0,0,0,[]
119,73,87,10,27,55,82,51,52,73,86,11,23,57,28,21,14,87,84,88,84,0,0,0,0,[]
120,74,88,7,29,62,83,49,53,73,87,19,25,47,34,31,21,88,84,87,84,0,0,0,0,[]
121,80,82,8,26,72,76,52,49,72,78,28,34,36,38,39,28,89,82,88,84,0,0,0,0,[]
122,80,83,11,19,76,69,55,56,81,80,31,37,33,39,44,36,89,78,89,77,0,0,0,0,[]
123,83,81,10,19,76,56,56,49,89,83,24,31,43,39,51,41,88,71,88,70,0,0,0,0,[]
124,83,79,11,17,76,57,59,48,88,79,19,20,47,38,55,45,90,71,89,70,0,0,0,0,[]
125,91,75,14,16,83,57,63,52,91,75,17,14,55,43,55,48,92,68,89,71,0,0,0,0,[]
126,91,74,13,20,79,56,59,56,90,75,15,14,65,39,49,48,89,68,89,69,0,0,0,0,[]
127,87,80,13,19,71,62,48,55,87,79,17,14,62,42,51,47,88,71,90,69,0,0,0,0,[]
128,85,81,14,18,75,63,50,55,89,79,16,14,50,40,56,40,88,70,88,69,0,0,0,0,[]
129,86,77,7,23,79,64,63,57,87,76,11,20,41,32,56,40,89,66,86,63,0,0,0,0,[]
