,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
239,49,34,45,23,47,36,51,51,13,87,55,31,53,21,54,32,94,4,48,24,0,2,0,1,[]
240,48,34,52,21,47,37,51,51,26,72,67,29,62,23,81,9,95,6,49,22,0,2,0,1,['19:59 RWHolder(青钢影) 击杀了 LGDRD(河流之王)']
241,50,45,60,24,52,48,13,90,38,60,63,25,61,23,61,24,83,16,49,22,0,2,0,1,[]
242,53,46,59,24,54,47,25,78,50,50,61,24,65,26,58,37,72,25,49,22,0,2,0,1,['20:6 LGDYuuki(英勇投弹手) 击杀了 RWHolder(青钢影)']
243,50,51,59,24,50,53,31,65,53,47,61,24,71,39,60,37,66,35,49,22,0,3,0,1,['20:13 RWZWuJi(皮城女警) 击破了防御塔']
244,41,60,59,24,50,65,27,52,40,44,90,11,70,40,55,31,59,35,49,22,0,3,0,1,[]
245,40,61,59,24,47,64,20,49,35,39,89,28,71,39,46,24,56,43,49,22,0,3,0,1,[]
246,2,96,59,24,46,63,22,54,36,38,90,44,73,41,33,22,54,48,95,4,0,3,0,1,[]
247,38,58,59,24,3,94,17,46,34,36,90,57,77,49,27,22,54,43,83,17,0,3,0,1,[]
248,44,53,59,24,14,80,16,39,41,41,90,70,76,49,24,23,55,44,71,24,0,3,0,1,[]
249,43,48,59,24,17,66,10,28,41,32,89,72,95,4,36,17,61,36,65,34,0,3,0,1,[]
250,41,44,21,95,20,52,14,21,43,36,85,64,89,5,40,15,58,42,58,40,0,3,0,1,[]
251,44,52,37,93,23,39,23,22,42,39,77,52,71,16,43,16,55,47,54,47,0,3,0,1,[]
252,43,53,52,93,36,38,27,21,41,45,78,49,59,23,36,15,51,48,54,44,0,3,0,1,[]
253,44,51,70,91,41,39,24,14,45,43,67,39,47,17,36,16,51,42,56,39,0,3,0,1,[]
254,48,46,79,88,52,42,27,16,47,44,58,38,35,17,39,15,56,40,56,40,0,3,0,1,[]
255,42,40,77,87,42,33,28,18,41,37,53,29,27,16,30,16,57,31,56,31,0,3,0,1,[]
256,39,31,35,17,35,23,28,20,37,23,48,20,28,19,34,17,51,24,46,23,0,3,0,1,['21:18 LGDbadeMan(德玛西亚皇子) 击杀了 RWHuaTian(岩雀)']
257,36,24,30,11,35,16,28,20,32,16,39,14,35,10,28,15,45,15,45,15,0,3,0,1,['21:22 RWHolder(青钢影) 击杀了 LGDYuuki(英勇投弹手)']
258,36,16,40,11,34,17,28,20,37,16,41,12,36,17,28,15,43,15,41,15,0,3,0,1,[]
259,42,16,44,13,39,16,28,20,41,16,46,11,36,19,28,15,46,11,48,10,0,3,0,1,"['21:31 RWZWuJi(皮城女警) 击杀了 LGDbadeMan(德玛西亚皇子)', '21:32 RWHolder(青钢影) 击杀了 LGDLies(狂暴之心)']"
260,34,17,42,25,31,18,28,20,35,17,46,11,36,19,28,15,49,10,52,11,0,3,0,1,[]
261,26,24,41,32,26,29,28,20,26,25,46,11,36,19,28,15,47,10,53,11,0,3,0,1,[]
262,30,31,34,31,33,31,28,20,31,32,46,11,36,19,28,15,39,8,94,5,0,3,0,1,[]
263,33,27,33,31,32,31,28,20,35,29,46,11,36,19,28,15,43,7,86,21,0,3,0,1,[]
264,36,29,32,31,33,31,2,96,36,29,46,11,36,19,28,15,44,7,79,33,0,3,0,1,[]
265,36,28,31,30,34,30,17,86,33,28,46,11,36,19,95,6,93,5,67,37,0,3,0,1,[]
266,32,33,29,32,29,33,28,75,30,31,46,11,89,7,87,23,83,12,66,50,0,3,0,1,['22:7 RW 击杀了大龙']
267,29,36,27,23,26,36,35,64,29,32,94,6,72,17,89,37,73,23,60,58,0,3,0,1,[]
268,8,93,14,20,8,95,30,60,2,96,82,22,60,25,89,51,65,31,56,62,0,3,0,1,[]
269,21,81,11,12,25,90,40,57,3,96,66,25,54,31,90,60,58,34,54,56,0,3,0,1,[]
270,31,71,20,11,38,88,49,47,20,83,53,22,63,37,83,63,59,35,64,57,0,3,0,1,[]
271,39,60,23,11,53,88,49,49,32,70,46,13,69,41,87,70,60,39,64,57,0,3,0,1,[]
272,46,55,22,12,56,83,2,96,43,60,41,11,76,48,85,79,65,36,87,8,0,3,0,1,[]
273,44,55,18,16,57,82,4,97,43,59,46,8,74,44,87,74,63,35,75,20,0,3,0,1,[]
274,45,54,7,87,48,77,4,97,45,58,45,7,68,45,85,64,60,35,66,28,0,3,0,1,[]
275,47,50,11,67,52,66,13,96,46,51,48,7,76,53,78,54,60,40,66,40,0,3,0,1,[]
276,49,51,17,55,57,61,31,91,50,54,42,14,75,44,76,49,56,43,59,40,0,3,0,1,[]
277,51,63,23,38,63,61,45,88,61,59,38,12,70,41,70,40,60,38,60,39,0,3,0,1,[]
278,49,74,20,26,73,65,62,88,65,57,43,11,65,36,60,34,63,33,58,40,0,3,0,1,[]
279,56,75,19,39,76,58,76,87,66,54,36,12,55,32,54,32,63,33,55,31,0,3,0,1,[]
280,67,78,21,38,69,67,79,76,63,57,24,11,56,35,63,37,90,12,60,33,0,3,0,1,[]
281,71,70,39,44,65,70,71,69,67,57,26,10,67,31,66,33,89,28,72,32,0,3,0,1,[]
282,71,67,50,49,67,68,79,65,74,63,40,15,76,35,63,34,78,33,79,35,0,3,0,1,['23:29 RW 击杀了风龙']
283,81,66,55,45,76,59,89,67,79,52,45,15,71,34,62,37,88,39,77,33,0,3,0,1,[]
284,88,56,60,44,82,50,82,59,88,54,47,15,74,34,63,34,90,40,79,35,0,3,0,1,[]
285,90,50,62,41,88,52,80,46,90,50,47,15,87,38,65,34,91,42,88,41,0,3,0,1,[]
286,91,48,59,42,89,45,87,50,88,48,50,22,85,37,64,35,87,36,87,36,0,3,0,1,[]
287,90,44,57,41,91,45,81,49,87,49,59,27,89,34,63,36,88,35,88,35,0,4,0,1,['23:52 RWHuaTian(岩雀) 击破了防御塔']
288,90,35,61,41,86,37,87,42,85,37,70,27,85,30,66,35,87,28,88,27,0,4,0,1,[]
289,92,34,58,34,81,38,89,34,90,36,79,29,81,30,70,32,88,26,87,25,0,4,0,1,[]
290,91,38,61,33,80,40,90,39,88,39,81,31,82,30,68,33,93,29,83,28,0,4,0,1,[]
291,91,40,47,27,81,41,88,41,89,51,82,34,93,29,70,33,92,31,92,30,0,4,0,1,[]
292,92,41,48,27,80,43,88,44,90,44,85,34,90,35,82,36,88,31,86,34,0,4,0,1,[]
293,91,45,50,42,80,47,87,44,90,44,85,30,93,30,85,35,90,34,91,29,0,4,0,1,[]
294,90,43,49,49,73,39,80,48,89,46,81,28,90,33,84,34,89,32,81,29,0,4,0,1,[]
295,89,41,56,44,80,45,70,38,89,47,69,29,77,29,72,31,77,33,71,30,0,4,0,1,[]
296,89,44,58,39,76,45,69,43,89,63,68,32,68,30,63,33,68,32,67,30,0,4,0,1,[]
297,90,37,60,40,80,39,68,46,88,52,72,26,74,29,62,33,67,32,68,26,0,4,0,1,[]
298,92,36,61,39,80,38,81,49,86,37,84,27,83,29,66,31,79,28,80,26,0,4,0,1,[]
299,93,33,61,39,86,36,68,39,91,35,82,25,86,26,73,29,88,25,83,25,0,5,0,1,['24:52 RWZWuJi(皮城女警) 击破了防御塔']
300,92,31,60,37,84,35,68,39,90,34,82,24,80,25,81,28,87,24,85,23,0,5,0,1,[]
301,92,29,66,30,82,35,65,33,90,34,82,23,75,23,87,17,83,24,84,18,0,6,0,1,['25:4 RWHuaTian(岩雀) 击破了防御塔']
302,92,30,70,31,78,33,68,35,87,32,85,24,74,24,93,10,73,24,82,22,0,6,0,1,[]
303,92,32,70,33,89,37,68,34,90,34,90,36,83,30,82,32,76,25,90,36,0,6,0,1,[]
304,93,26,85,37,89,41,73,43,89,38,92,36,90,36,93,37,84,28,92,37,0,6,0,1,['25:20 LGDRD(河流之王) 击杀了 RWHuanggai(光辉女郎)']
305,93,26,92,27,91,34,81,41,89,38,93,35,91,31,93,28,88,29,94,27,0,6,0,1,"['25:22 RWHolder(青钢影) 击杀了 LGDLies(狂暴之心)', '25:23 LGDKramer(暴走萝莉) 击杀了 RWZWuJi(皮城女警)', '25:25 RWHolder(青钢影) 击杀了 LGDYuuki(英勇投弹手)']"
306,93,26,94,26,85,29,87,26,89,38,93,35,94,22,93,28,87,21,89,22,0,6,0,1,[]
307,93,26,91,22,86,27,89,26,89,38,93,35,93,19,93,28,90,16,88,22,0,6,0,1,"['25:31 RWHuaTian(岩雀) 击杀了 LGDRD(河流之王)', '25:32 RWHolder(青钢影) 击杀了 LGDbadeMan(德玛西亚皇子)', '25:32 RWHuaTian(岩雀) 击杀了 LGDKramer(暴走萝莉)']"
308,93,26,91,20,89,21,87,21,89,38,93,35,93,19,93,28,90,16,88,22,0,6,0,1,[]
309,93,26,88,17,88,15,86,19,89,38,93,35,93,19,93,28,90,16,88,22,0,6,0,1,[]
310,93,26,85,12,85,14,85,17,89,38,93,35,93,19,93,28,90,16,88,22,0,7,0,1,['25:48 RWHolder(青钢影) 击破了防御塔']
311,93,26,85,11,85,10,88,17,89,38,93,35,93,19,93,28,90,16,88,22,0,8,0,1,['25:53 RWHuaTian(岩雀) 击破了防御塔']
312,93,26,85,10,86,9,85,14,2,96,93,35,93,19,93,28,90,16,88,22,0,8,0,1,[]
313,93,26,85,10,86,9,85,14,2,96,93,35,93,19,93,28,90,16,88,22,0,8,0,1,[]
314,93,26,85,10,86,9,85,14,2,96,93,35,93,19,93,28,90,16,88,22,0,8,0,1,['26:10 RW 获胜']
