,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
121,22,12,59,83,49,50,79,87,81,91,28,9,78,72,60,43,84,83,85,88,17306,0,14493,0,[]
122,21,11,60,83,48,49,78,86,81,91,29,10,78,72,55,46,84,82,85,88,17533,0,14601,0,[]
123,13,15,65,82,40,50,78,84,81,91,21,12,78,73,54,45,84,83,84,85,17629,0,14905,0,[]
124,11,14,75,76,40,50,77,86,82,90,30,8,79,74,56,47,84,84,87,85,17691,0,15040,0,[]
125,2,96,68,78,5,92,74,87,75,87,28,10,82,65,53,52,86,76,95,4,17919,0,15208,0,[]
126,3,92,59,70,13,81,71,87,73,85,22,10,83,56,50,49,86,65,92,8,17974,0,15347,0,[]
127,5,85,53,60,23,73,79,91,77,84,16,16,79,54,50,50,85,65,86,17,18025,0,15412,0,[]
128,5,72,53,60,32,65,81,83,73,86,14,18,78,54,54,54,89,71,77,25,18124,0,15653,0,[]
129,6,60,52,50,42,58,80,84,73,86,12,20,77,52,56,47,87,74,71,31,18196,0,15704,0,[]
130,7,47,57,45,52,49,84,84,5,95,95,4,74,49,56,44,90,71,57,45,18711,0,16205,0,['10:50 DMOMark(正义巨像) 击杀了 LNGSofM(虚空遁地兽)']
131,8,35,57,45,47,52,83,89,17,89,80,5,67,45,59,42,90,70,64,41,18807,0,16315,0,['10:51 LNGPlex(万花通灵) 击杀了 DMOTwila(时光守护者)']
132,12,23,57,45,45,53,83,89,30,82,68,7,60,36,59,42,87,75,66,51,18963,0,16394,0,[]
133,15,19,57,45,44,49,83,89,42,78,55,8,51,32,59,42,87,68,63,62,19014,0,16445,0,[]
134,17,18,57,45,48,52,85,86,56,75,42,15,52,36,59,42,87,68,58,56,19170,0,16573,0,[]
135,20,28,57,45,48,57,86,84,57,65,33,11,49,33,59,42,94,8,55,50,19304,0,16684,0,[]
136,29,36,5,90,53,53,84,85,56,56,25,7,38,32,59,42,93,19,65,53,19410,0,16800,0,[]
137,34,38,12,78,55,46,85,87,49,58,27,9,44,23,90,13,92,30,66,53,19621,0,16865,0,[]
138,28,35,18,65,51,50,2,96,50,58,27,22,41,16,80,23,91,41,76,50,19839,0,16995,0,[]
139,21,30,23,56,51,51,10,95,57,67,20,23,40,16,70,32,90,52,66,49,20020,0,17096,0,[]
140,23,32,22,54,40,51,21,94,60,60,18,21,42,16,61,39,89,63,75,49,20171,0,17239,0,[]
141,20,37,22,48,28,50,32,93,64,58,16,17,44,14,55,42,87,73,78,51,20355,0,17528,0,[]
142,11,32,22,43,28,50,44,92,62,58,14,15,44,14,52,47,87,76,74,57,20403,0,17734,0,[]
143,12,21,29,36,40,51,55,91,58,69,14,13,93,4,53,45,86,77,78,63,20506,0,17801,0,[]
144,11,26,33,30,47,48,66,89,68,80,8,18,78,12,56,46,88,79,72,63,20617,0,17999,0,[]
145,11,27,33,36,46,52,73,85,72,83,11,14,68,19,51,47,87,79,67,55,20811,0,18099,0,[]
146,12,22,33,37,42,44,75,87,77,91,16,16,58,27,52,41,84,81,63,57,20920,0,18208,0,[]
