,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
89,7,61,58,68,53,45,88,84,87,85,35,10,52,27,54,45,88,76,87,76,11522,0,10489,0,[]
90,9,50,60,61,51,49,85,83,87,84,23,12,52,28,55,45,88,76,89,77,11594,0,10655,0,[]
91,10,39,71,68,52,47,87,83,85,82,15,12,55,32,57,43,88,76,89,75,11803,0,10789,0,[]
92,10,28,78,73,53,47,85,80,88,83,15,13,64,38,57,43,88,76,88,75,11928,0,11039,0,[]
93,10,26,74,70,54,47,82,80,88,82,15,15,72,41,58,42,86,74,87,73,12021,0,11220,0,[]
94,11,29,66,66,54,46,82,81,88,84,17,12,73,41,61,41,88,77,87,76,12103,0,11395,0,[]
95,10,23,57,64,53,47,83,84,81,82,19,21,76,47,59,42,88,78,86,78,12195,0,11461,0,[]
96,8,26,47,64,51,50,81,81,83,84,25,32,82,58,61,42,87,80,88,80,12371,0,11540,0,[]
97,8,24,50,65,52,51,83,86,84,86,30,38,87,67,56,43,86,79,88,80,12546,0,11639,0,[]
98,7,26,56,62,56,46,81,87,85,88,35,40,87,74,59,41,84,81,84,82,12691,0,11891,0,[]
99,8,26,57,57,54,47,83,89,84,89,44,45,87,71,54,48,84,81,83,82,12745,0,12017,0,[]
100,9,27,51,53,45,55,80,90,78,87,51,51,84,78,54,48,83,83,83,82,12812,0,12077,0,[]
101,12,23,43,59,41,54,75,87,78,87,49,52,75,71,52,51,79,75,77,74,12958,0,12135,0,[]
102,12,19,39,62,47,54,78,85,80,85,48,41,66,65,56,43,73,69,69,66,13066,0,12185,0,[]
103,20,14,39,62,50,50,78,84,81,82,41,31,60,60,59,40,70,65,66,62,13219,0,12274,0,[]
104,18,11,5,91,45,51,81,85,80,84,39,38,53,58,52,47,81,66,57,57,13409,0,12348,0,[]
105,18,12,10,81,42,55,82,83,86,84,40,40,54,58,50,50,87,71,54,58,13557,0,12421,0,[]
106,18,12,16,70,38,58,83,85,87,84,39,26,64,61,57,42,87,76,60,58,13740,0,12476,0,[]
107,13,14,17,58,38,58,85,87,87,82,34,12,73,68,58,44,87,74,70,63,13949,0,12669,0,[]
108,13,14,18,46,2,96,85,88,83,88,25,9,79,75,60,43,86,80,77,71,13999,0,12897,0,[]
109,3,94,15,44,49,48,84,87,85,87,27,10,76,67,95,4,87,77,78,74,14199,0,12948,0,[]
110,4,83,19,47,49,50,85,82,82,85,19,14,83,57,92,9,88,75,78,73,14313,0,13070,0,[]
111,6,72,24,55,57,42,90,79,84,80,15,15,83,57,88,15,88,73,77,70,14581,0,13253,0,[]
112,6,61,24,57,57,42,89,80,83,79,17,11,83,57,79,24,89,72,72,64,14645,0,13411,0,[]
113,7,50,21,51,48,49,88,77,80,83,17,11,75,54,70,32,90,73,80,65,14778,0,13483,0,[]
114,7,39,24,46,37,50,83,83,80,83,93,4,76,57,61,40,89,71,90,69,14829,0,13569,0,[]
115,8,29,24,46,28,45,82,84,83,88,87,4,77,54,53,46,89,71,91,72,14993,0,13656,0,[]
116,10,22,22,47,23,50,85,83,85,87,74,6,75,54,53,46,87,74,88,69,15069,0,13832,0,[]
117,9,18,22,47,35,49,87,83,85,87,62,7,73,63,53,44,87,74,88,69,15141,0,13904,0,[]
118,8,23,4,95,46,52,87,82,2,96,49,8,71,64,54,45,87,74,88,7,15282,0,13997,0,[]
119,9,24,15,90,47,52,87,83,13,91,37,10,95,4,50,47,88,74,82,17,15368,0,14062,0,[]
120,9,21,24,81,43,54,82,85,23,80,25,12,82,10,50,47,90,69,75,27,15433,0,14184,0,[]
121,8,20,31,71,49,58,81,86,33,70,16,17,72,17,51,48,87,74,68,36,15534,0,14293,0,[]
122,10,20,42,67,48,53,83,84,46,67,16,15,62,23,51,47,87,73,66,47,15654,0,14391,0,[]
123,9,23,55,66,50,51,84,85,59,62,13,16,54,32,52,45,86,77,61,52,15780,0,14635,0,[]
124,10,23,64,62,48,52,85,85,67,61,13,16,46,39,49,47,87,78,58,50,15864,0,14776,0,[]
125,9,24,67,66,44,57,87,83,69,62,15,19,46,51,46,56,88,74,46,55,16029,0,14989,0,[]
126,6,27,56,60,36,60,91,76,55,58,11,24,46,55,47,54,91,70,45,52,16159,0,15140,0,[]
127,8,27,48,54,41,55,87,76,47,50,11,21,45,47,43,48,91,71,47,45,16446,0,15225,0,[]
128,9,25,51,59,45,56,89,80,53,53,10,23,37,40,42,40,90,74,44,39,16559,0,15373,0,[]
129,7,30,62,64,46,57,89,77,65,60,11,23,32,37,52,41,90,72,55,41,16645,0,15444,0,[]
130,8,29,66,68,56,61,87,75,78,63,7,24,26,35,54,44,93,67,67,40,16759,0,15606,0,[]
131,8,30,65,70,53,57,87,74,87,66,14,22,33,30,49,47,93,56,76,41,16827,0,15661,0,[]
132,13,34,67,69,48,52,86,75,77,61,23,28,32,30,51,45,93,56,83,48,16946,0,15711,0,[]
133,8,26,66,69,50,51,86,77,66,61,29,32,31,31,54,44,95,4,90,57,17160,0,15791,0,[]
134,8,22,65,65,46,49,88,78,53,56,20,23,31,32,56,44,94,7,92,57,17272,0,15947,0,['11:9 SN 击杀了火龙']
135,11,24,56,57,41,42,86,79,43,46,14,15,33,31,55,43,94,17,94,63,17350,0,16061,0,[]
136,11,22,46,49,31,36,83,83,34,39,20,19,35,29,50,42,88,23,90,69,17405,0,16137,0,[]
