,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDKui, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
76,11,91,16,41,50,59,68,92,7,95,18,22,87,19,68,62,84,85,85,87,0,0,0,0,[]
77,17,81,10,31,57,67,70,91,11,92,11,23,82,30,63,51,86,85,85,87,0,0,0,0,[]
78,17,69,7,31,48,65,70,90,20,83,10,26,80,41,55,47,95,4,95,5,0,0,0,0,[]
79,17,58,6,33,46,65,73,91,28,74,11,22,78,51,54,45,94,9,93,7,0,0,0,0,[]
80,13,47,6,33,50,65,69,92,37,66,12,19,73,62,54,47,91,19,87,20,0,0,0,0,[]
81,11,36,5,96,45,57,69,92,43,67,13,20,67,64,54,50,84,28,81,33,0,0,0,0,[]
82,8,26,8,95,42,54,3,96,39,65,18,16,68,66,62,60,81,38,80,47,0,0,0,0,[]
83,13,22,18,94,43,55,8,95,42,76,18,16,67,66,65,64,80,49,74,61,0,0,0,0,[]
84,20,14,30,92,46,51,19,95,50,79,90,5,67,66,64,64,76,58,67,69,0,0,0,0,[]
85,23,12,42,91,48,49,30,94,59,74,77,6,68,67,65,64,70,65,66,69,0,0,0,0,[]
86,18,13,52,88,49,49,40,93,59,75,65,7,70,65,64,53,77,72,66,59,0,0,0,0,['7:6 LGD »÷É±ÁË»ðÁú']
87,21,12,57,84,44,43,51,91,68,80,53,7,75,68,58,45,85,80,69,61,0,0,0,0,[]
88,28,12,57,83,41,31,62,90,71,78,41,8,77,61,57,43,82,83,77,72,0,0,0,0,[]
89,39,9,58,82,35,22,72,88,72,84,44,14,83,57,56,44,81,86,80,86,0,0,0,0,[]
90,43,11,62,82,31,15,76,89,77,91,47,8,81,55,54,48,81,85,80,89,0,0,0,0,[]
91,35,11,70,79,32,16,78,88,81,88,42,7,77,50,52,48,82,84,80,89,0,0,0,0,['7:33 FPXLwx(ÄæÓð) »÷É±ÁË LGDRD(Ñª¸Û¹íÓ°)']
92,35,9,78,74,36,11,81,86,85,86,34,9,75,44,53,46,86,76,80,89,0,0,0,0,[]
93,31,12,75,67,30,11,82,85,85,81,28,12,76,45,49,44,86,65,80,89,0,0,0,0,['7:45 FPXDoinb(°µÒá½£Ä§) »÷É±ÁË LGDLies(Íò»¨Í¨Áé)']
94,17,11,77,61,27,8,84,79,87,77,28,12,77,48,42,32,86,63,94,9,0,0,0,0,[]
95,16,10,74,58,17,14,89,71,89,70,28,12,87,54,35,24,93,67,92,28,0,0,0,0,[]
96,2,96,76,58,18,24,89,71,88,71,28,12,88,64,27,13,92,67,91,43,0,0,0,0,[]
97,7,92,75,65,20,26,87,76,86,78,86,9,89,73,23,11,91,73,89,57,0,0,0,0,[]
98,13,81,79,75,17,17,82,80,83,80,79,18,91,66,18,12,89,71,85,66,0,0,0,0,[]
99,23,73,70,78,14,18,81,83,82,81,71,27,91,66,15,14,89,77,89,77,0,0,0,0,[]
100,31,65,62,77,15,18,72,87,73,86,63,36,92,4,17,12,88,76,88,75,0,0,0,0,[]
101,40,57,53,76,10,20,72,87,64,77,54,44,89,5,18,13,89,75,87,78,0,0,0,0,[]
102,45,50,50,74,9,24,4,96,57,68,52,48,76,13,16,10,90,72,87,70,0,0,0,0,[]
103,52,48,47,71,7,26,14,95,57,56,55,47,66,20,95,4,90,72,81,57,0,0,0,0,[]
104,52,51,48,67,11,21,25,94,48,55,54,45,56,30,93,8,94,8,71,50,0,0,0,0,[]
105,48,50,48,67,11,20,35,92,46,54,54,46,54,31,83,14,94,11,61,52,0,0,0,0,[]
106,41,44,4,91,13,19,46,91,43,55,56,42,50,33,71,12,93,22,62,53,0,0,0,0,[]
107,39,38,9,83,13,19,57,90,43,55,57,41,50,31,63,11,92,33,64,53,0,0,0,0,[]
108,45,48,15,72,2,96,67,89,14,93,54,48,51,27,50,9,91,44,64,63,0,0,0,0,[]
109,49,48,17,61,5,85,78,86,29,90,54,47,49,25,38,11,89,55,55,56,0,0,0,0,[]
110,45,49,21,53,5,72,83,86,44,91,55,47,50,31,27,10,88,66,57,55,0,0,0,0,[]
111,41,39,22,55,7,60,81,84,59,89,56,42,43,32,24,11,86,77,68,63,0,0,0,0,[]
112,43,47,20,49,9,49,81,84,74,87,54,46,42,20,23,11,86,79,80,66,0,0,0,0,[]
113,47,50,20,45,9,36,80,85,71,83,55,45,43,17,23,10,87,78,87,74,0,0,0,0,[]
114,45,51,18,44,11,25,71,84,60,74,52,49,42,16,30,20,86,77,81,77,0,0,0,0,[]
115,46,51,19,44,14,21,68,81,61,74,52,47,43,17,32,22,84,80,79,75,0,0,0,0,[]
116,46,50,24,38,13,18,72,84,72,84,53,47,43,17,40,30,84,81,82,82,0,0,0,0,[]
117,43,48,32,30,16,17,74,87,74,86,50,41,91,11,48,41,82,83,80,82,0,0,0,0,[]
118,36,40,32,33,21,21,77,89,67,80,42,32,82,22,48,42,81,80,77,73,0,0,0,0,[]
119,39,41,37,36,30,20,73,90,57,70,43,24,71,27,47,34,75,70,72,65,0,0,0,0,[]
120,46,47,41,34,30,19,71,85,50,60,46,16,61,35,48,34,75,68,73,68,0,0,0,0,[]
121,50,46,40,36,28,17,70,83,40,53,35,12,49,33,43,35,75,68,68,65,0,0,0,0,[]
122,50,44,38,36,35,24,62,84,33,43,37,14,42,41,46,38,68,63,56,56,0,0,0,0,['10:8 LGDKui(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË FPXTian(Ö©ÖëÅ®»Ê)']
123,48,53,38,36,23,21,66,84,36,48,26,11,46,50,49,50,58,56,51,51,0,0,0,0,[]
124,46,57,38,36,17,16,77,86,40,57,21,10,47,56,51,52,53,56,46,57,0,0,0,0,['10:18 LGDKramer(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË FPXGimGoon(½âÍÑÕß)']
125,46,57,38,36,15,17,81,84,41,67,20,10,45,47,56,43,62,61,50,49,0,0,0,0,[]
126,46,57,4,94,15,18,83,83,41,66,19,12,36,39,54,46,74,62,44,39,0,0,0,0,[]
127,46,57,10,82,11,20,86,77,31,55,14,17,32,34,50,46,84,66,32,36,0,0,0,0,[]
128,46,57,15,71,10,19,87,77,23,44,15,16,33,32,48,46,89,72,33,28,0,0,0,0,[]
129,46,57,18,58,12,22,79,75,24,38,13,16,41,35,44,43,91,70,33,28,0,0,0,0,[]
130,12,90,21,46,9,24,83,83,23,34,16,20,41,30,44,43,91,74,35,24,0,0,0,0,[]
131,19,81,27,36,17,19,77,85,31,37,25,15,40,34,89,7,88,83,26,25,0,0,0,0,[]
132,27,72,27,34,21,23,78,85,28,36,29,21,41,35,76,13,86,85,25,25,0,0,0,0,[]
133,32,62,29,35,14,20,77,86,27,37,27,24,40,35,64,22,82,84,24,29,0,0,0,0,[]
134,32,50,21,37,12,16,79,85,23,40,18,18,36,38,54,30,87,84,27,31,0,0,0,0,[]
135,33,37,22,27,17,14,79,88,31,35,17,18,32,36,43,35,87,85,36,39,0,0,0,0,[]
136,33,37,27,16,23,10,80,86,27,34,26,7,29,34,36,37,87,84,33,37,0,0,0,0,[]
137,33,38,25,28,20,15,73,86,25,35,31,6,32,32,35,39,94,4,31,38,0,0,0,0,['11:22 LGDKui(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË FPXCrisp(¹â»ÔÅ®ÀÉ)']
138,36,39,31,36,23,27,72,85,25,35,31,6,38,39,36,40,92,11,34,41,0,0,0,0,[]
139,37,39,22,43,15,20,2,96,25,35,92,5,39,37,43,43,82,16,35,39,0,0,0,0,['11:31 LGDKui(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË FPXGimGoon(½âÍÑÕß)']
140,37,39,21,48,14,15,14,95,6,95,87,5,35,38,51,46,70,19,27,36,0,0,0,0,[]
141,37,39,30,52,12,12,26,93,20,90,19,13,33,32,47,48,60,26,27,31,0,0,0,0,[]
142,37,39,32,48,16,19,38,92,27,79,20,11,35,30,38,39,50,32,31,32,0,0,0,0,[]
143,37,39,30,39,22,30,49,90,31,65,19,19,34,30,31,33,39,36,27,33,0,0,0,0,[]
144,2,96,31,50,15,34,51,83,31,51,26,29,32,35,33,37,33,37,28,35,0,0,0,0,[]
145,42,56,27,59,10,25,62,86,35,62,27,30,30,32,34,38,37,37,34,40,0,0,0,0,[]
146,46,57,28,60,6,19,73,87,48,66,20,20,41,31,46,45,48,42,35,39,0,0,0,0,[]
147,51,66,23,56,6,19,81,85,58,67,17,15,95,5,55,42,59,48,95,4,0,0,0,0,[]
148,50,65,18,46,8,21,87,80,70,78,24,14,86,22,57,39,70,50,91,17,0,0,0,0,[]
149,48,56,16,44,9,17,92,73,85,78,26,23,80,34,57,39,81,57,83,29,0,0,0,0,[]
150,51,50,15,39,16,11,92,74,90,74,23,23,80,47,95,4,88,67,81,43,0,0,0,0,[]
