,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
89,83,89,39,53,43,53,81,83,81,84,23,11,83,61,50,51,89,81,89,81,10623,0,11578,0,[]
90,83,89,47,59,47,50,83,86,82,85,23,11,82,58,53,49,87,80,87,80,10744,0,11723,0,[]
91,83,89,52,65,46,50,81,85,81,86,24,12,82,57,52,47,86,81,84,81,10817,0,11924,0,[]
92,82,91,51,74,47,51,79,88,79,87,23,11,74,56,53,47,85,81,85,81,11045,0,12030,0,[]
93,82,91,53,76,48,51,78,88,77,88,23,12,75,53,58,50,86,81,86,81,11182,0,12164,0,[]
94,2,96,47,73,47,54,77,89,76,86,24,11,76,54,69,50,84,87,84,87,11530,0,12367,0,[]
95,25,14,46,63,51,59,75,90,76,89,27,12,77,49,73,49,80,86,80,88,11633,0,12440,0,[]
96,21,13,49,66,48,50,70,92,72,91,26,12,74,44,64,51,75,87,75,87,11880,0,12587,0,[]
97,21,14,56,68,48,51,69,91,72,89,26,12,73,42,54,47,73,87,73,87,11985,0,12739,0,[]
98,21,12,57,77,49,53,69,89,68,89,25,11,70,41,50,48,80,88,80,88,12055,0,12919,0,[]
99,19,18,58,83,48,54,70,90,69,91,25,13,60,36,52,49,78,87,78,87,12215,0,13048,0,[]
100,26,22,60,85,47,51,68,93,69,91,23,12,54,30,53,47,77,88,77,88,12318,0,13118,0,[]
101,26,16,59,84,47,51,69,91,70,90,23,12,51,26,52,46,78,82,78,82,12459,0,13190,0,[]
102,22,21,60,84,46,51,71,92,71,89,25,12,48,24,51,47,76,79,76,79,12610,0,13246,0,[]
103,25,28,59,82,48,52,74,89,70,90,22,13,46,24,52,46,78,85,78,85,12710,0,13491,0,[]
104,28,36,3,94,49,50,68,91,70,90,19,13,38,17,55,45,82,86,82,86,12789,0,13608,0,[]
105,23,40,8,85,48,50,63,87,67,90,18,14,36,15,53,46,78,84,76,87,12932,0,13766,0,[]
106,18,34,13,74,41,51,64,88,65,88,17,14,29,9,52,46,78,85,77,86,12987,0,14045,0,[]
107,11,30,17,64,44,55,69,91,68,91,20,14,39,15,54,45,77,88,77,84,13039,0,14205,0,[]
108,9,23,24,56,40,51,68,92,68,92,27,20,42,16,51,47,74,89,74,89,13380,0,14256,0,[]
109,9,21,22,52,41,51,69,92,63,87,26,23,41,16,50,48,73,91,73,91,13694,0,14724,0,[]
110,9,21,23,46,46,53,65,92,63,87,17,22,43,16,56,48,77,87,77,86,13823,0,14914,0,[]
111,9,22,24,41,47,52,65,92,7,95,13,22,41,17,66,54,74,87,73,86,14013,0,15020,0,[]
112,7,24,23,35,44,52,4,96,18,92,10,21,33,12,60,62,75,87,76,87,14085,0,15116,0,[]
113,14,18,19,24,38,43,7,96,31,89,15,17,24,14,66,55,77,85,72,90,14158,0,15233,0,[]
114,18,13,19,14,29,34,12,94,35,80,20,11,23,12,57,50,77,85,77,85,14232,0,15284,0,[]
