,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
107,7,30,23,54,39,44,74,93,75,88,12,17,75,88,57,47,77,90,75,88,0,0,0,0,['8:55 FPXCrisp(血港鬼影) 击杀了 OMGHudie(光辉女郎)']
108,8,28,22,53,48,47,73,90,75,88,92,4,78,81,53,49,83,85,83,86,0,0,0,0,[]
109,9,25,24,52,48,47,75,88,75,88,80,6,77,74,55,45,82,86,86,84,0,0,0,0,[]
110,14,21,31,45,45,52,71,87,75,88,68,7,69,79,55,43,82,85,81,90,0,0,0,0,[]
111,15,17,41,41,41,57,67,93,5,96,58,9,70,79,58,44,82,85,68,83,0,0,0,0,[]
112,16,17,41,31,44,48,69,92,4,95,47,12,70,79,60,44,84,87,69,80,0,0,0,0,[]
113,13,22,43,24,47,51,70,92,16,94,40,15,87,5,60,44,85,87,69,80,0,0,0,0,[]
114,13,22,43,24,46,49,68,90,31,93,33,12,77,12,56,47,95,6,85,9,0,0,0,0,[]
115,3,91,42,25,39,44,70,90,35,79,26,8,68,18,52,47,94,9,72,17,0,0,0,0,[]
116,5,79,41,32,34,48,76,87,42,70,23,11,59,26,54,47,93,20,59,23,0,0,0,0,[]
117,6,67,44,43,44,50,78,86,42,59,21,11,53,33,53,46,91,31,45,23,0,0,0,0,[]
118,7,54,43,45,47,47,78,88,41,51,20,12,50,35,55,45,90,42,40,36,0,0,0,0,[]
119,7,42,41,43,44,47,74,87,42,45,20,23,48,43,52,46,92,53,40,43,0,0,0,0,[]
120,7,31,36,42,47,48,74,87,36,43,24,27,42,39,49,42,93,64,40,43,0,0,0,0,['9:58 OMGicon(符文法师) 击杀了 FPXCrisp(血港鬼影)']
121,8,25,35,48,50,51,9,95,35,48,18,23,46,40,55,46,91,73,40,43,0,0,0,0,[]
122,10,21,44,56,51,49,20,94,46,56,16,18,58,39,56,45,84,78,40,43,0,0,0,0,[]
123,12,22,53,62,51,47,30,93,54,66,17,17,70,41,57,46,84,78,94,10,0,0,0,0,[]
124,10,23,49,65,52,50,41,92,61,58,16,17,72,42,58,44,84,80,86,24,0,0,0,0,[]
125,8,28,49,65,52,52,52,90,65,58,12,21,66,47,59,48,82,80,76,33,0,0,0,0,[]
126,6,31,50,65,47,52,63,89,56,58,7,25,66,55,54,48,84,79,66,41,0,0,0,0,[]
127,10,30,49,57,46,47,72,87,48,55,8,23,56,57,53,50,83,81,65,56,0,0,0,0,[]
128,8,28,46,55,44,54,73,87,47,59,10,22,57,61,59,44,83,83,56,66,0,0,0,0,[]
129,8,29,44,57,44,56,74,90,44,58,14,16,57,74,58,45,81,84,53,76,0,0,0,0,[]
130,8,29,39,64,41,57,68,93,43,69,17,9,67,80,59,45,73,87,62,78,0,0,0,0,[]
131,8,30,46,73,44,54,68,92,50,82,17,9,68,81,59,45,74,90,71,87,0,0,0,0,[]
132,18,34,51,83,47,49,67,92,63,88,90,4,60,77,54,47,74,88,74,87,0,0,0,0,[]
133,24,34,56,83,46,48,71,94,70,89,78,6,50,81,55,46,78,88,81,90,0,0,0,0,[]
134,19,26,59,85,41,53,71,90,71,86,67,7,50,81,58,42,80,87,78,87,0,0,0,0,[]
135,17,17,60,86,41,53,70,91,64,88,55,8,57,76,56,47,77,88,72,83,0,0,0,0,[]
136,17,16,62,86,6,94,69,92,70,89,44,9,67,80,56,47,78,86,77,86,0,0,0,0,[]
137,19,19,63,91,8,94,70,94,68,91,33,9,69,84,95,4,76,87,69,83,0,0,0,0,[]
138,25,27,62,93,17,86,67,88,66,88,25,10,67,84,95,4,76,88,71,83,0,0,0,0,[]
139,31,36,62,89,25,78,69,90,65,90,16,16,68,80,52,49,78,86,67,80,0,0,0,0,[]
140,30,37,66,93,42,55,78,91,74,89,17,16,69,80,54,55,81,84,70,80,0,0,0,0,[]
141,25,33,73,90,41,54,76,91,75,92,12,18,74,87,57,66,78,86,76,92,0,0,0,0,[]
142,25,33,64,91,43,52,75,92,75,92,8,26,73,93,63,76,74,88,74,92,0,0,0,0,"['11:47 FPXLwx(圣枪游侠) 击杀了 OMGkRYST4L(皮城女警)', '11:48 FPXCrisp(血港鬼影) 击杀了 OMGHudie(光辉女郎)']"
143,20,26,53,86,51,45,75,92,75,92,7,26,78,91,56,66,70,90,70,93,0,0,0,0,[]
144,11,23,51,73,51,42,75,92,75,92,5,27,78,91,55,54,71,90,71,91,0,0,0,0,[]
145,12,20,52,75,46,38,75,92,2,96,8,17,89,4,61,43,72,89,77,90,0,0,0,0,[]
146,13,12,52,76,25,16,6,96,10,86,14,11,89,4,55,45,79,84,81,91,0,0,0,0,[]
147,14,12,47,78,19,13,18,91,21,76,14,11,79,5,55,45,79,84,95,4,0,0,0,0,['12:14 OMGicon(符文法师) 击杀了 FPXGimGoon(万花通灵)']
148,14,17,47,78,21,28,31,89,35,74,14,11,66,7,90,7,94,8,90,5,0,0,0,0,[]
149,23,13,4,96,31,38,43,91,48,68,14,11,54,9,81,14,94,9,76,16,0,0,0,0,[]
150,26,10,13,90,37,49,56,90,57,64,14,11,44,14,70,25,90,21,64,22,0,0,0,0,[]
151,25,12,27,85,45,49,71,88,57,65,14,11,41,17,62,33,89,36,50,33,0,0,0,0,[]
152,22,12,36,77,47,56,80,87,64,77,14,11,29,19,54,43,89,49,36,37,0,0,0,0,[]
153,14,18,47,79,58,61,82,84,73,77,93,4,23,24,47,37,88,59,22,28,0,0,0,0,[]
154,6,28,59,75,71,62,81,78,80,76,78,6,28,31,47,35,90,72,29,34,0,0,0,0,[]
155,6,28,71,66,82,65,89,72,88,71,65,7,38,39,46,38,93,69,41,42,0,0,0,0,[]
156,2,96,79,65,86,66,86,76,87,66,60,8,46,47,51,50,93,65,52,51,0,0,0,0,[]
157,4,91,75,67,77,62,81,81,77,63,84,64,55,57,59,59,87,75,62,62,0,0,0,0,[]
158,10,84,72,69,75,67,73,73,77,62,79,61,59,69,70,63,85,78,70,66,0,0,0,0,[]
159,63,62,72,63,69,66,69,66,76,68,79,63,65,77,79,65,78,73,70,67,0,0,0,0,"['13:12 OMGicon(符文法师) 击杀了 FPXCrisp(血港鬼影)', '13:13 FPXDoinb(机械先驱) 击杀了 OMGHudie(光辉女郎)']"
160,61,61,63,60,68,57,61,63,76,68,70,65,57,66,70,66,69,68,70,67,0,0,0,0,[]
161,58,63,65,67,65,62,59,62,76,68,68,63,63,61,67,66,67,64,70,67,0,0,0,0,"['13:22 FPXTian(狂战士) 击杀了 OMGkRYST4L(皮城女警)', '13:24 FPXLwx(圣枪游侠) 击杀了 OMGicon(符文法师)']"
162,57,71,56,68,65,62,59,62,76,68,65,60,65,62,65,63,72,64,70,67,0,0,0,0,[]
163,50,61,47,65,65,62,59,62,2,95,65,64,66,68,65,63,64,70,93,10,0,0,0,0,[]
164,45,55,46,65,65,62,59,62,15,91,57,58,63,63,60,59,73,70,81,22,0,0,0,0,['13:38 FPX 击杀了火龙']
165,37,49,37,63,65,62,59,62,27,87,45,52,55,53,49,53,81,79,70,31,0,0,0,0,[]
166,32,43,24,56,65,62,3,96,30,72,39,42,49,43,45,53,79,86,58,40,0,0,0,0,[]
167,28,50,22,55,65,62,13,88,34,60,31,47,38,37,44,53,74,92,48,46,0,0,0,0,[]
168,23,55,22,47,10,93,14,76,31,58,30,37,33,31,43,48,73,92,42,44,0,0,0,0,[]
169,23,55,24,43,16,84,25,70,39,53,28,32,31,33,36,39,74,91,31,43,0,0,0,1,"['14:4 FPXLwx(圣枪游侠) 击破了防御塔,获得一塔']"
170,3,96,22,44,17,71,35,62,35,47,26,31,30,33,35,37,79,90,34,39,0,0,0,1,[]
171,15,95,21,48,18,59,40,54,40,50,25,29,28,32,31,35,81,90,34,38,0,0,0,1,[]
172,27,94,19,48,16,49,45,47,46,49,25,29,28,33,44,37,94,4,33,42,0,0,0,1,[]
173,39,94,19,49,11,39,46,49,44,50,31,34,32,37,55,32,90,5,33,43,0,0,0,1,[]
174,52,93,3,95,7,33,47,52,44,51,26,32,23,37,56,41,89,5,41,42,0,0,0,1,[]
